Frame,X_thumb,Y_thumb,X_index,Y_index
0,124,221,229,147
1,124,221,229,146
2,121,224,231,144
3,117,226,232,141
4,113,228,233,138
5,110,230,235,135
6,107,232,235,132
7,105,233,236,129
8,102,234,237,126
9,102,234,237,124
10,100,234,237,122
11,99,235,238,120
12,99,235,238,119
13,99,235,239,117
14,99,235,239,116
15,100,235,239,115
16,100,236,240,114
17,101,236,240,114
18,101,236,240,113
19,102,237,240,113
20,103,238,240,112
21,104,238,240,112
22,104,239,240,113
23,105,240,240,113
24,105,241,240,113
25,105,242,240,113
26,105,243,240,113
27,106,244,240,114
28,106,245,240,114
29,106,245,239,115
30,106,246,239,115
31,106,247,238,115
32,105,248,238,116
33,105,248,238,117
34,105,249,237,117
35,105,249,237,118
36,105,250,237,118
37,105,251,237,118
38,104,251,237,118
39,104,251,237,118
40,104,252,236,118
41,104,252,236,118
42,103,252,236,118
43,103,253,236,118
44,103,253,235,118
45,103,253,236,118
46,103,254,235,118
47,102,254,235,118
48,102,255,235,118
49,102,255,235,117
50,102,255,235,117
51,102,255,235,117
52,102,255,235,118
53,102,256,236,118
54,102,255,235,118
55,102,256,235,119
56,102,256,235,119
57,103,256,236,119
58,104,256,236,119
59,104,257,236,119
60,104,257,236,119
61,105,257,236,119
62,105,257,236,119
63,106,257,236,119
64,106,258,237,119
65,107,258,237,120
66,108,258,237,121
67,110,257,237,124
68,110,257,237,126
69,113,256,237,131
70,116,256,235,135
71,121,252,233,141
72,124,251,231,147
73,130,247,225,154
74,133,245,221,160
75,138,241,213,169
76,142,237,208,174
77,146,231,200,180
78,149,228,191,184
79,151,223,180,186
80,151,221,177,186
81,150,219,176,183
82,150,218,176,182
83,150,216,175,180
84,150,215,175,178
85,150,212,174,177
86,149,211,174,176
87,150,209,173,174
88,150,207,173,172
89,150,205,174,170
90,150,204,174,169
91,150,202,174,167
92,150,201,174,167
93,150,200,175,167
94,149,200,176,167
95,149,200,177,168
96,148,200,178,170
97,147,200,180,172
98,146,201,181,176
99,145,201,184,179
100,143,203,187,182
101,141,207,191,184
102,138,211,194,186
103,135,214,198,186
104,132,219,201,188
105,129,222,204,187
106,125,227,207,186
107,123,230,211,185
108,119,234,215,183
109,115,236,219,179
110,111,240,221,176
111,107,242,224,172
112,102,244,226,168
113,99,245,229,163
114,94,246,229,159
115,91,247,230,154
116,88,247,231,150
117,87,246,231,146
118,86,246,231,142
119,86,245,231,138
120,85,244,231,135
121,87,242,231,132
122,88,241,231,129
123,90,240,232,126
124,92,238,232,124
125,95,237,232,122
126,97,236,233,120
127,101,235,234,119
128,102,235,234,118
129,105,235,235,117
130,106,235,235,117
131,109,235,236,117
132,109,237,236,118
133,111,238,237,118
134,111,239,237,118
135,113,241,237,119
136,113,242,237,119
137,114,243,237,120
138,114,244,237,120
139,114,245,237,121
140,114,245,237,121
141,113,245,237,121
142,113,246,237,121
143,113,246,237,121
144,112,246,237,121
145,111,246,237,121
146,109,246,237,121
147,108,246,236,120
148,107,247,236,120
149,106,247,236,120
150,105,247,236,120
151,104,247,236,120
152,103,247,235,120
153,103,247,235,120
154,102,247,235,121
155,102,248,235,121
156,102,248,236,121
157,102,248,236,121
158,102,248,236,121
159,103,248,236,122
160,104,248,236,122
161,104,248,236,123
162,105,248,236,123
163,106,248,236,124
164,107,248,236,124
165,107,248,236,124
166,108,248,236,125
167,109,248,236,125
168,110,248,236,125
169,110,248,236,125
170,110,247,236,125
171,111,247,236,125
172,111,247,235,126
173,112,247,235,126
174,111,247,235,126
175,112,246,235,127
176,112,246,235,129
177,113,245,235,131
178,113,245,235,134
179,114,244,234,139
180,115,244,233,145
181,117,242,230,152
182,119,242,226,160
183,121,241,221,169
184,123,239,215,177
185,127,237,207,184
186,129,235,199,193
187,134,233,188,198
188,136,231,180,200
189,140,228,171,201
190,140,227,172,199
191,142,226,173,197
192,142,225,173,195
193,144,224,172,194
194,144,223,172,193
195,144,222,172,192
196,144,221,171,191
197,144,219,171,190
198,144,218,170,188
199,143,216,170,186
200,144,215,169,185
201,143,212,169,183
202,142,212,168,182
203,142,210,167,181
204,141,209,167,181
205,140,208,166,181
206,139,208,166,180
207,138,207,165,181
208,137,207,164,181
209,136,207,164,182
210,135,207,164,182
211,134,207,164,184
212,133,207,165,185
213,133,207,165,187
214,132,207,167,189
215,132,207,170,190
216,130,207,173,189
217,129,209,178,189
218,126,211,180,188
219,125,213,183,186
220,122,215,187,185
221,120,217,191,182
222,117,220,196,179
223,114,222,202,175
224,111,225,206,172
225,108,227,212,167
226,104,230,216,162
227,101,231,221,156
228,98,232,225,151
229,96,232,228,145
230,94,233,230,140
231,93,232,232,135
232,92,231,233,132
233,92,230,234,127
234,91,230,234,125
235,90,229,234,121
236,90,229,235,118
237,90,229,235,116
238,90,229,235,114
239,90,229,235,111
240,90,229,235,111
241,89,230,235,111
242,89,231,234,110
243,88,232,235,111
244,88,233,234,111
245,88,233,234,112
246,87,235,234,113
247,85,237,234,114
248,85,237,234,115
249,85,239,234,116
250,84,240,234,117
251,84,242,234,118
252,84,243,234,119
253,84,244,234,121
254,84,245,234,121
255,85,246,233,121
256,85,247,233,122
257,85,248,233,122
258,85,248,233,122
259,85,248,233,121
260,85,249,233,121
261,85,249,233,120
262,85,249,233,119
263,85,249,233,119
264,85,249,232,118
265,85,249,232,118
266,85,249,232,118
267,85,249,232,118
268,85,249,232,118
269,85,249,232,118
270,85,249,232,118
271,85,249,232,118
272,85,249,232,118
273,86,249,232,118
274,86,249,232,118
275,86,249,232,119
276,86,249,232,119
277,86,249,233,120
278,87,249,233,121
279,87,250,233,121
280,88,249,233,122
281,88,249,233,122
282,88,249,233,122
283,89,250,233,122
284,90,250,233,122
285,91,249,233,122
286,93,249,233,121
287,94,249,233,121
288,96,248,234,122
289,99,248,234,122
290,100,247,233,123
291,102,246,234,125
292,104,246,233,127
293,108,244,233,130
294,111,244,232,136
295,116,241,230,145
296,120,240,226,153
297,125,235,220,163
298,130,234,213,170
299,135,230,204,180
300,139,226,194,184
301,143,222,183,188
302,145,219,174,188
303,144,218,173,186
304,144,217,174,183
305,144,215,174,181
306,144,214,173,179
307,144,213,172,178
308,143,211,171,176
309,142,210,170,175
310,142,208,170,173
311,141,207,169,172
312,141,205,169,170
313,141,203,168,168
314,141,202,168,167
315,139,201,168,167
316,139,201,167,167
317,138,200,167,167
318,138,200,167,168
319,137,200,167,169
320,136,201,167,171
321,136,201,168,173
322,135,203,169,175
323,135,203,170,178
324,134,205,172,181
325,133,207,174,184
326,131,210,176,187
327,130,212,182,190
328,127,214,186,193
329,125,217,189,194
330,120,222,192,195
331,119,225,195,196
332,114,229,198,195
333,110,231,202,194
334,106,234,206,192
335,104,236,211,188
336,99,238,216,184
337,95,239,221,177
338,91,241,224,173
339,89,241,227,167
340,87,241,229,162
341,87,241,229,158
342,85,240,230,154
343,84,239,231,150
344,84,238,231,146
345,84,236,231,141
346,83,236,231,137
347,84,235,232,133
348,84,235,232,130
349,85,234,232,127
350,85,234,232,125
351,88,233,232,124
352,89,234,232,124
353,91,235,232,124
354,94,235,233,125
355,97,236,233,125
356,99,237,233,126
357,102,238,234,128
358,104,239,234,130
359,106,239,234,131
360,108,240,235,133
361,110,241,235,135
362,111,242,235,136
363,112,242,235,137
364,113,242,236,137
365,113,242,236,138
366,114,243,236,138
367,114,242,236,138
368,114,243,236,138
369,114,243,236,137
370,114,242,236,137
371,113,242,236,136
372,113,242,236,134
373,112,242,237,133
374,112,242,237,133
375,111,242,237,131
376,111,242,237,130
377,111,241,237,129
378,110,242,238,128
379,111,242,237,126
380,111,242,238,125
381,111,242,238,125
382,111,242,238,124
383,111,242,239,123
384,112,242,239,123
385,112,242,239,123
386,112,242,240,122
387,112,242,240,122
388,112,242,241,121
389,112,243,241,120
390,112,242,241,120
391,112,243,242,119
392,112,243,242,119
393,112,243,242,119
394,112,242,242,118
395,112,243,242,118
396,112,243,242,118
397,111,243,242,118
398,111,243,242,118
399,111,243,242,119
400,111,243,242,120
401,112,243,241,122
402,112,243,241,125
403,113,242,240,128
404,113,242,238,132
405,115,242,236,138
406,116,241,234,147
407,118,241,228,157
408,121,240,222,164
409,124,238,217,174
410,126,237,208,180
411,130,236,200,189
412,132,234,192,193
413,136,232,183,196
414,137,231,177,197
415,139,229,176,196
416,140,229,176,194
417,141,227,176,192
418,142,226,176,191
419,143,226,176,190
420,144,224,176,189
421,144,223,176,188
422,144,223,177,186
423,145,222,177,185
424,145,220,177,184
425,146,218,178,183
426,146,218,178,181
427,147,215,178,180
428,147,214,179,178
429,147,213,179,177
430,147,213,180,177
431,147,211,180,176
432,145,211,181,176
433,145,211,182,176
434,143,211,183,176
435,142,212,186,177
436,140,212,189,177
437,137,214,194,178
438,133,215,199,178
439,131,218,205,177
440,125,222,209,177
441,122,224,213,177
442,115,229,217,176
443,109,232,222,174
444,100,236,226,172
445,95,239,229,170
446,89,242,233,168
447,86,245,234,166
448,83,245,234,164
449,82,245,234,162
450,82,244,234,160
451,82,244,234,158
452,81,243,234,154
453,81,241,234,151
454,81,241,235,147
455,81,238,234,144
456,81,236,234,141
457,83,233,234,138
458,84,231,233,136
459,87,229,231,134
460,88,226,230,132
461,93,224,230,130
462,96,222,228,129
463,100,219,228,127
464,104,216,227,126
465,109,213,226,126
466,112,211,225,126
467,117,208,225,127
468,120,207,224,128
469,122,206,223,129
470,124,206,223,129
471,125,207,223,130
472,126,207,224,131
473,127,208,224,132
474,126,210,225,132
475,127,211,226,133
476,126,213,227,133
477,126,215,228,134
478,126,218,229,135
479,126,219,229,136
480,125,221,231,136
481,124,223,232,136
482,122,225,233,137
483,122,227,234,137
484,120,229,235,137
485,119,230,236,136
486,117,232,237,134
487,116,233,238,133
488,114,233,239,131
489,113,234,240,129
490,112,234,241,126
491,110,233,241,125
492,110,232,242,122
493,108,231,242,119
494,107,230,243,117
495,107,229,243,115
496,105,229,243,112
497,105,228,243,111
498,103,228,243,109
499,103,228,243,108
500,102,227,243,107
501,102,227,243,106
502,101,227,243,106
503,101,227,243,106
504,101,227,243,106
505,101,228,243,106
506,101,228,243,107
507,101,229,243,109
508,101,230,243,111
509,101,230,243,114
510,102,231,243,118
511,103,231,242,123
512,104,233,240,130
513,106,233,237,139
514,108,233,233,149
515,111,232,227,159
516,114,232,220,169
517,119,230,212,178
518,122,230,200,186
519,127,227,189,192
520,132,225,177,195
521,136,222,169,195
522,137,221,170,193
523,138,219,171,190
524,139,218,171,188
525,140,216,170,187
526,139,215,170,185
