Frame,X_thumb,Y_thumb,X_index,Y_index
0,243,213,139,131
1,245,213,135,128
2,247,214,131,125
3,248,214,130,123
4,250,215,127,121
5,252,214,125,119
6,253,214,123,118
7,254,214,122,117
8,256,214,121,116
9,256,213,120,115
10,257,213,119,115
11,258,213,119,114
12,259,212,118,113
13,260,212,118,111
14,261,212,118,110
15,261,212,118,109
16,262,212,117,108
17,263,212,117,107
18,263,212,117,107
19,264,212,117,106
20,265,212,117,106
21,265,212,117,106
22,266,212,116,105
23,266,212,116,105
24,267,212,116,105
25,267,212,116,106
26,267,212,116,105
27,267,212,117,106
28,268,213,117,106
29,268,213,117,106
30,269,213,117,107
31,269,214,117,107
32,269,214,117,108
33,269,214,117,109
34,269,214,117,110
35,269,215,117,111
36,270,215,117,112
37,270,215,118,112
38,270,215,118,114
39,270,216,119,115
40,269,216,119,116
41,268,216,120,117
42,268,216,121,118
43,268,216,121,120
44,267,217,122,122
45,266,217,123,124
46,265,218,124,125
47,262,218,125,128
48,260,218,126,130
49,257,219,129,133
50,255,219,131,137
51,252,219,133,140
52,249,220,136,144
53,246,220,139,148
54,243,220,143,152
55,240,220,147,157
56,237,221,151,161
57,234,220,156,165
58,231,220,160,168
59,228,220,164,169
60,226,220,169,171
61,224,219,172,173
62,223,219,175,174
63,223,218,179,174
64,223,218,179,174
65,222,218,179,174
66,222,218,179,174
67,222,218,179,174
68,221,218,179,173
69,221,217,180,173
70,221,217,180,173
71,221,217,180,173
72,221,217,181,173
73,221,217,181,173
74,221,217,181,173
75,221,217,181,173
76,221,217,181,173
77,221,217,181,173
78,221,217,181,173
79,221,217,181,173
80,220,216,182,173
81,220,216,182,173
82,220,216,182,172
83,220,216,181,172
84,220,216,181,172
85,220,215,181,172
86,220,215,181,171
87,220,215,181,171
88,219,215,181,171
89,219,214,181,170
90,219,214,180,170
91,218,214,180,170
92,218,214,180,169
93,218,214,179,169
94,218,213,179,169
95,217,212,178,168
96,217,211,178,167
97,217,211,177,166
98,216,210,177,165
99,216,210,176,165
100,215,209,175,164
101,215,209,175,163
102,215,208,174,162
103,216,208,173,161
104,216,208,171,159
105,218,209,169,158
106,219,209,167,157
107,220,210,164,156
108,222,211,161,155
109,223,212,158,153
110,226,212,155,152
111,227,214,153,150
112,230,214,149,148
113,232,215,147,146
114,234,216,143,145
115,236,216,140,143
116,238,217,136,141
117,240,217,133,138
118,242,218,131,137
119,243,218,129,134
120,245,218,127,132
121,246,218,125,130
122,248,218,123,129
123,249,218,122,127
124,250,218,121,125
125,251,217,121,124
126,251,217,121,122
127,251,216,120,121
128,253,216,120,120
129,253,216,119,119
130,254,215,119,118
131,255,215,119,117
132,256,215,118,116
133,256,214,118,115
134,257,214,118,114
135,258,214,117,114
136,259,214,117,113
137,260,214,117,113
138,260,214,117,112
