Frame,X_thumb,Y_thumb,X_index,Y_index
0,206,228,159,131
1,206,227,159,131
2,206,229,158,130
3,208,230,157,129
4,208,230,156,128
5,210,231,156,126
6,211,232,156,125
7,212,232,156,124
8,212,233,156,123
9,213,233,156,122
10,214,233,155,121
11,215,234,156,120
12,215,234,155,119
13,215,234,155,118
14,215,233,155,117
15,216,234,155,116
16,216,234,155,115
17,217,234,155,114
18,217,234,155,114
19,217,233,155,113
20,217,233,155,112
21,217,233,155,112
22,217,232,155,111
23,217,232,155,111
24,217,231,155,110
25,217,231,155,110
26,216,231,155,109
27,216,230,155,109
28,216,230,155,109
29,215,230,155,109
30,215,228,155,110
31,214,227,156,111
32,213,227,156,111
33,212,227,156,112
34,211,226,156,114
35,209,225,157,115
36,207,223,157,117
37,206,223,158,119
38,203,223,159,120
39,202,222,160,123
40,198,220,161,125
41,198,220,162,128
42,196,219,163,132
43,194,218,165,134
44,192,217,167,136
45,191,216,168,138
46,189,215,170,141
47,188,213,172,143
48,187,212,173,144
49,186,211,175,145
50,186,211,176,146
51,186,210,176,145
52,185,209,176,145
53,185,209,175,143
54,185,208,175,143
55,185,208,175,142
56,185,207,175,142
57,185,207,175,141
58,185,207,175,141
59,184,206,175,141
60,184,206,175,141
61,184,206,175,140
62,184,206,175,140
63,184,205,175,140
64,184,205,175,140
65,184,205,174,140
66,184,205,174,140
67,184,205,174,140
68,185,205,174,140
69,185,204,174,139
70,185,204,174,139
71,186,204,174,138
72,186,204,174,138
73,187,204,173,137
74,187,205,173,137
75,188,205,172,135
76,189,207,171,135
77,190,208,170,134
78,191,209,169,134
79,192,211,168,133
80,193,212,167,133
81,193,214,166,132
82,195,215,165,132
83,195,216,163,131
84,196,218,162,131
85,197,219,161,130
86,198,220,161,129
87,199,221,159,128
88,200,222,159,127
89,201,223,159,126
90,201,223,159,125
91,202,223,159,124
92,202,223,159,123
93,203,224,158,122
94,204,225,158,121
95,204,225,158,120
96,205,225,158,120
97,206,225,158,119
98,206,226,158,119
99,206,226,158,118
100,206,225,157,118
101,207,225,157,117
102,207,225,157,117
103,207,225,157,116
104,207,224,157,115
105,207,224,157,115
106,207,224,157,115
107,207,224,157,115
108,207,223,157,114
109,207,223,157,114
110,207,223,157,114
111,207,223,157,114
112,207,223,157,114
113,206,223,157,115
114,206,222,158,115
115,205,222,158,116
116,204,221,158,116
117,203,220,158,118
118,202,219,159,119
119,201,219,159,120
120,200,219,160,122
121,199,218,161,123
122,197,217,162,125
123,196,216,162,128
124,195,215,164,130
125,193,215,165,132
126,191,214,167,134
127,190,213,169,136
128,189,212,170,139
129,188,211,173,141
130,186,209,175,143
131,186,208,177,144
132,186,208,179,145
133,186,208,178,144
134,186,208,177,143
135,185,207,176,142
136,185,207,176,142
137,185,206,176,141
138,185,205,176,140
139,185,205,176,140
140,184,204,176,139
141,184,204,176,139
142,184,204,176,138
143,184,203,176,138
144,184,203,176,137
145,184,202,176,137
146,184,202,176,137
147,184,201,176,136
148,184,201,176,136
149,184,201,175,136
150,184,201,175,135
151,184,200,175,135
152,184,200,175,135
153,184,200,175,135
154,184,200,175,134
155,184,199,175,134
156,184,199,175,134
157,185,198,175,133
158,185,198,175,133
159,185,198,174,133
160,185,197,174,132
161,186,198,173,132
162,186,199,173,131
163,187,200,172,130
164,188,200,171,130
165,189,201,170,129
166,189,203,169,128
167,191,205,167,127
168,192,206,166,127
169,193,208,164,126
170,195,210,164,126
171,196,212,162,125
172,197,214,161,125
173,198,216,159,124
174,200,218,159,123
175,201,219,158,122
176,201,219,157,120
177,202,220,157,119
178,203,222,157,119
179,204,222,157,118
180,205,222,156,117
181,206,223,156,116
182,206,223,156,115
183,207,224,156,114
184,208,224,156,113
185,208,225,156,113
186,209,225,156,112
187,209,226,156,112
188,210,226,156,111
189,210,226,156,110
190,210,226,156,110
191,210,226,156,109
192,211,226,156,109
193,211,226,156,108
194,211,226,156,108
195,211,225,156,107
196,211,225,156,107
197,210,225,156,107
198,210,225,155,106
199,210,224,156,106
200,210,224,156,106
201,209,223,156,106
202,209,223,156,106
203,209,223,156,106
204,209,222,156,107
205,208,221,156,107
206,207,220,156,108
207,206,219,157,110
208,205,219,157,111
209,204,218,157,113
210,202,216,158,114
211,201,216,159,116
212,199,215,160,118
213,197,215,161,120
214,195,213,162,122
215,194,212,163,125
216,192,212,165,127
217,191,211,166,129
218,189,209,168,132
219,188,208,170,134
220,186,207,171,136
221,186,205,173,137
222,185,204,175,139
223,184,204,176,140
224,184,204,177,140
225,184,203,176,140
226,184,203,176,139
227,184,202,176,139
228,184,202,176,138
229,184,201,176,138
230,184,201,176,138
231,184,201,176,137
232,184,200,176,137
233,184,200,176,137
234,184,200,176,137
235,184,199,176,136
236,185,199,176,136
237,185,198,176,135
238,186,198,176,135
239,186,198,175,134
240,187,198,175,134
241,188,199,174,133
242,189,200,173,133
243,190,201,172,132
244,191,202,171,132
245,192,204,170,131
246,194,206,168,131
247,196,208,167,130
248,197,209,166,129
249,198,212,164,128
250,199,213,162,127
251,201,215,161,126
252,202,216,161,126
253,203,218,160,125
254,204,220,159,124
255,205,221,158,123
256,206,223,158,122
257,207,224,157,120
258,208,225,156,120
259,210,227,156,119
260,211,227,155,117
261,212,229,155,116
262,214,230,155,115
263,214,231,154,115
264,215,231,154,114
265,216,231,154,114
266,217,233,153,113
267,218,233,153,112
268,219,234,153,112
269,220,234,153,111
270,220,234,153,111
271,221,235,153,110
272,221,235,153,110
273,221,235,153,109
274,222,235,153,109
275,222,235,153,108
276,223,235,153,108
277,223,235,153,108
278,223,235,153,107
279,223,235,153,107
280,223,235,153,107
281,224,234,153,107
282,223,234,154,106
283,223,234,154,106
284,223,233,154,106
285,222,233,154,106
286,221,232,155,106
287,220,231,155,107
288,220,230,156,107
289,218,230,156,108
290,217,229,156,109
291,215,227,156,111
292,213,227,157,112
293,211,226,158,115
294,209,225,158,116
295,207,224,159,118
296,205,223,159,121
297,203,222,161,124
298,201,222,162,126
299,199,220,163,130
300,197,219,164,132
301,195,218,166,135
302,193,217,167,138
303,192,215,169,140
304,190,215,170,142
305,189,213,171,144
306,188,212,173,145
307,187,211,174,147
308,186,210,175,148
309,186,209,176,148
310,186,209,176,149
311,186,209,176,148
312,185,208,176,147
313,185,208,176,147
314,185,208,176,146
315,185,207,176,146
316,185,207,176,145
317,185,206,176,145
318,185,205,176,145
319,185,205,176,144
320,186,204,176,144
321,186,204,176,143
322,186,204,176,143
323,187,203,176,141
324,187,203,176,141
325,188,203,175,140
326,189,203,175,139
327,189,204,174,138
328,190,204,173,137
329,192,205,172,136
330,192,206,171,135
331,194,208,170,134
332,195,209,169,133
333,196,211,168,132
334,197,212,167,131
335,198,214,165,130
336,199,215,164,130
337,200,216,163,128
338,201,217,162,128
339,203,218,162,126
340,203,219,161,125
341,205,220,161,124
342,206,220,160,123
343,207,221,159,122
344,208,222,159,120
345,209,222,159,119
346,210,223,158,118
347,211,223,158,116
348,212,223,158,115
349,213,223,158,115
350,213,224,157,114
351,215,224,157,113
352,215,225,157,112
353,216,225,157,111
354,217,226,156,110
355,217,226,156,110
356,218,226,156,109
357,218,226,156,109
358,219,227,156,109
359,219,227,156,108
360,220,227,156,108
361,220,227,156,107
362,220,226,156,107
363,220,226,156,107
364,220,226,156,106
365,220,226,156,106
366,220,225,157,106
367,220,225,157,106
368,219,224,157,106
369,218,223,158,106
370,217,222,158,106
371,216,221,158,107
372,215,220,159,108
373,212,218,159,109
374,212,217,160,110
375,209,216,160,112
376,208,215,161,114
377,206,213,162,117
378,203,212,164,119
379,201,211,165,123
380,200,209,167,126
381,198,208,169,129
382,196,207,170,132
383,194,205,173,135
384,193,205,175,137
385,191,204,177,140
386,190,202,179,141
387,189,201,181,143
388,189,201,181,143
389,188,201,181,143
390,188,201,180,142
391,188,201,179,142
392,187,201,179,141
393,187,201,179,141
394,187,200,179,141
395,187,200,179,140
396,187,200,179,140
397,187,199,179,140
398,187,199,179,139
399,187,198,179,139
400,187,198,179,139
401,187,197,179,138
402,187,197,179,138
403,187,197,179,138
404,187,197,179,137
405,187,197,179,137
406,187,197,179,137
407,187,197,179,137
408,187,197,179,137
409,187,196,179,136
410,187,197,179,136
411,187,197,179,136
412,188,197,179,136
413,188,197,179,136
414,188,197,179,135
415,189,198,178,135
416,189,198,178,135
417,190,199,177,134
418,191,200,176,134
419,192,201,175,133
420,193,203,174,133
421,195,204,173,132
422,196,206,172,131
423,198,208,171,130
424,199,209,170,130
425,201,211,168,129
426,202,212,167,128
427,203,213,166,127
428,204,215,165,127
429,206,216,164,125
430,207,216,164,124
431,208,217,164,123
432,209,218,163,122
433,211,219,162,120
434,212,219,162,119
435,213,220,162,118
436,213,221,161,116
437,214,221,161,115
438,215,222,161,114
439,216,223,160,114
440,217,223,160,113
441,217,224,159,112
442,218,225,159,112
443,219,224,159,111
444,219,225,159,111
445,220,226,159,110
446,220,226,158,110
447,220,226,158,110
448,221,226,158,109
449,221,226,158,109
450,221,226,158,108
451,221,226,158,108
452,221,226,158,108
453,221,226,158,107
454,221,225,158,107
455,220,224,158,107
456,220,224,159,106
457,220,223,159,106
458,219,223,159,106
459,218,221,159,107
460,217,220,160,107
461,215,218,161,109
462,213,217,161,110
463,212,216,163,111
464,210,215,164,112
465,208,212,165,114
