Frame,X_thumb,Y_thumb,X_index,Y_index
0,156,233,202,136
1,154,235,202,132
2,152,237,203,130
3,150,239,204,127
4,148,242,204,125
5,147,243,204,122
6,145,246,206,121
7,143,247,206,118
8,142,250,206,118
9,139,250,206,116
10,139,253,206,115
11,137,253,206,114
12,136,256,207,113
13,134,256,207,112
14,132,258,207,111
15,131,258,207,110
16,129,260,207,110
17,128,260,208,110
18,127,262,208,109
19,125,262,208,109
20,124,264,208,109
21,122,264,208,109
22,122,265,208,108
23,121,265,208,108
24,121,266,208,108
25,120,266,208,108
26,120,267,208,109
27,119,267,208,109
28,118,268,208,109
29,118,268,208,109
30,118,268,208,110
31,118,268,208,110
32,118,268,208,110
33,118,268,208,110
34,118,268,208,110
35,119,268,208,110
36,119,267,208,110
37,119,267,208,111
38,120,266,208,111
39,120,265,208,111
40,121,264,207,111
41,122,263,207,112
42,123,262,207,113
43,124,260,207,114
44,126,259,207,115
45,128,257,206,117
46,130,254,206,118
47,132,252,205,121
48,135,249,205,123
49,137,246,204,127
50,140,243,203,130
51,144,240,203,134
52,146,238,201,139
53,149,234,199,144
54,152,231,197,148
55,155,228,195,152
56,157,226,192,156
57,160,222,190,160
58,162,219,188,164
59,164,217,185,166
60,165,215,183,169
61,166,212,181,170
62,167,209,179,172
63,168,208,178,173
64,168,206,176,174
65,168,205,176,173
66,169,205,176,173
67,169,205,176,173
68,169,204,176,173
69,168,204,176,174
70,169,204,176,173
71,169,204,176,174
72,169,204,176,174
73,169,204,175,174
74,169,204,175,174
75,169,204,175,174
76,169,204,175,174
77,169,204,175,175
78,169,204,175,175
79,169,205,175,175
80,169,205,175,175
81,168,205,175,175
82,168,205,175,175
83,168,205,175,175
84,168,205,175,175
85,168,205,175,175
86,167,204,175,175
87,167,204,176,174
88,167,205,177,173
89,166,206,179,170
90,166,207,180,168
91,165,208,183,166
92,165,211,185,163
93,164,214,187,159
94,163,216,189,156
95,161,219,191,152
96,160,223,194,149
97,159,225,196,145
98,158,229,197,142
99,155,231,199,139
100,155,235,200,136
101,153,237,201,132
102,151,241,202,129
103,149,243,203,127
104,147,246,203,125
105,145,248,203,123
106,143,251,204,121
107,141,253,204,120
108,139,255,204,118
109,138,257,204,117
110,136,259,205,116
111,134,260,205,115
112,132,261,205,114
113,131,263,205,114
114,129,264,205,113
115,128,264,205,113
116,126,265,205,112
117,125,265,205,111
118,123,266,205,111
119,122,265,205,110
120,121,266,205,110
121,120,266,205,109
122,119,266,205,108
123,118,265,205,107
124,118,265,205,107
125,117,264,205,106
126,116,264,205,106
127,116,264,205,105
