"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","hidden_dim","increase_variance","last_hidden_dim","learning_rate","minority_oversample","model","model_subset_choice","momentum","noise_variance","num_buckets","num_epochs","num_trials","optimizer","patience","query_dim","random_state","sampler","scaling_method","scheduler","seed","step_size","temperature","train_random_noise","uncertainty_weight","use_feature_scaling","use_scheduler","validation_random_noise","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","coverage","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"peach-sweep-30","","finished","-","","","2024-05-13T20:01:50.000Z","35","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","330","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10347538617794096","0.05153004804978503","0.07281553398058252","0.8721461187214612","0.8051948051948052","0.9271844660194176","0.6888888888888889","0.8547297297297297","0.918824163969795","0.84553698696665","28","15","191","62","","0.8584615384615385","0.9386208638545088","0.8469561794804513","0.040686804698063794","0.7850467289719626","0.30329373873197113","0.7425149700598802","0.3318648982692409","0.8051948051948052","0.6888888888888889","0.6888888888888889","0.9271844660194176","0.15283387899398804","0.8386704619581332"
"avid-sweep-29","","finished","-","","","2024-05-13T20:01:49.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","338","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10355009040428716","0.03354780134317035","0.08737864077669903","0.8826291079812206","0.7831325301204819","0.912621359223301","0.7222222222222222","0.8547297297297297","0.915480043149946","0.832245787034886","25","18","188","65","","0.8584615384615385","0.9337374757935504","0.8483910891089108","0.0415651273727417","0.7830188679245284","0.3150047419621394","0.7514450867052023","0.33733690107190933","0.7831325301204819","0.7222222222222222","0.7222222222222222","0.912621359223301","0.18866416811943057","0.8328808190508512"
"radiant-sweep-28","","finished","-","","","2024-05-13T20:01:47.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","731","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10918157090944772","0.05792682658176164","0.07766990291262135","0.8837209302325582","0.8024691358024691","0.9223300970873788","0.7222222222222222","0.8614864864864865","0.9043689320388348","0.8050842392101641","25","16","190","65","","0.8430769230769231","0.9389155510650836","0.8286199095022624","0.0596132071201618","0.7627906976744186","0.30234818678635816","0.7602339181286549","0.35968574317725927","0.8024691358024691","0.7222222222222222","0.7222222222222222","0.9223300970873788","0.1600809246301651","0.8430950330175137"
"noble-sweep-27","","finished","-","","","2024-05-13T20:01:43.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","172","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10624910078925702","0.02835787430002885","0.0970873786407767","0.8857142857142857","0.7674418604651163","0.9029126213592232","0.7333333333333333","0.8513513513513513","0.909762675296656","0.8203837237129609","24","20","186","66","","0.8492307692307692","0.9360949734781512","0.8356900452488688","0.05551993260016808","0.772093023255814","0.30744924692007214","0.75","0.3458845293199694","0.7674418604651163","0.7333333333333333","0.7333333333333333","0.9029126213592232","0.1366921216249466","0.826578073089701"
"comfy-sweep-26","","finished","-","","","2024-05-13T20:01:41.000Z","37","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","745","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10500035979107132","0.07075963853984267","0.10679611650485436","0.9019607843137256","0.7608695652173914","0.8932038834951457","0.7777777777777778","0.8581081081081081","0.9149946062567422","0.8339211883331074","20","22","184","70","","0.8646153846153846","0.937231624147512","0.8504289840299015","0.04209224609228281","0.8","0.30584930419921874","0.7692307692307693","0.34523340173669764","0.7608695652173914","0.7777777777777778","0.7777777777777778","0.8932038834951457","0.17797282338142395","0.8314151747655585"
"brisk-sweep-25","","finished","-","","","2024-05-13T20:01:09.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","315","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.110356395835138","0.05432922513903799","0.0825242718446602","0.883177570093458","0.7926829268292683","0.9174757281553398","0.7222222222222222","0.8581081081081081","0.912891046386192","0.822390221563691","25","17","189","65","","0.8830769230769231","0.9416940304790772","0.8711348963642542","0.0597585725784302","0.8272727272727273","0.2950281700721154","0.7558139534883721","0.3559873941782358","0.7926829268292683","0.7222222222222222","0.7222222222222222","0.9174757281553398","0.12438352406024931","0.8379302484613631"
"devoted-sweep-24","","finished","-","","","2024-05-13T20:01:08.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","909","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.1056535966745208","0.04620784319735863","0.09223300970873786","0.8862559241706162","0.7764705882352941","0.9077669902912622","0.7333333333333333","0.8547297297297297","0.9127831715210356","0.8226517272243102","24","19","187","66","","0.8707692307692307","0.9376526058769048","0.8563399848446578","0.038034161237569954","0.8108108108108109","0.30131124643179086","0.7542857142857143","0.3460607270936708","0.7764705882352941","0.7333333333333333","0.7333333333333333","0.9077669902912622","0.12639640271663666","0.8313632562029551"
"glamorous-sweep-23","","finished","-","","","2024-05-13T20:01:06.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","131","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10956228386655688","0.046587548948623034","0.12135922330097088","0.8960396039603961","0.7340425531914894","0.8786407766990292","0.7666666666666667","0.8445945945945946","0.909762675296656","0.8231174179921698","21","25","181","69","","0.8584615384615385","0.933653279447672","0.8419185172816831","0.04397378426331741","0.7946428571428571","0.31108177771935097","0.75","0.35478857401255015","0.7340425531914894","0.7666666666666667","0.7666666666666667","0.8786407766990292","0.16284948587417605","0.8150410785759428"
"likely-sweep-22","","finished","-","","","2024-05-13T20:01:02.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","512","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.11080380602271066","0.06821486212917274","0.1407766990291262","0.8984771573604061","0.7070707070707071","0.8592233009708737","0.7777777777777778","0.8344594594594594","0.9142934196332256","0.8117827865011779","20","29","177","70","","0.8523076923076923","0.9317588616654038","0.8338092518560822","0.04354472673856295","0.7913043478260869","0.3207108717698317","0.7407407407407407","0.3522671364449166","0.7070707070707071","0.7777777777777778","0.7777777777777778","0.8592233009708737","0.1561792492866516","0.8027739322155566"
"copper-sweep-21","","finished","-","","","2024-05-13T20:01:00.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","476","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10612054823190488","0.06039719062077032","0.07281553398058252","0.8721461187214612","0.8051948051948052","0.9271844660194176","0.6888888888888889","0.8547297297297297","0.911326860841424","0.8308462479754608","28","15","191","62","","0.8707692307692307","0.941946619516713","0.8664315427744619","0.04271802131946273","0.7980769230769231","0.3013129131610577","0.7425149700598802","0.3503037787772514","0.8051948051948052","0.6888888888888889","0.6888888888888889","0.9271844660194176","0.16406987607479095","0.8386704619581332"
"autumn-sweep-20","","finished","-","","","2024-05-13T20:00:27.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","105","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10572706888378527","0.03532055100879157","0.09223300970873786","0.8820754716981132","0.7738095238095238","0.9077669902912622","0.7222222222222222","0.8513513513513513","0.911596548004315","0.8362772714557587","25","19","187","65","","0.8646153846153846","0.935800286267576","0.8514961845151333","0.02840403208365807","0.7981651376146789","0.30934971736027644","0.7471264367816092","0.34241202070906357","0.7738095238095238","0.7222222222222222","0.7222222222222222","0.9077669902912622","0.17352871596813202","0.8279424977538186"
"comic-sweep-19","","finished","-","","","2024-05-13T20:00:26.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","824","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10679721444194812","0.056190807875749246","0.09223300970873786","0.8862559241706162","0.7764705882352941","0.9077669902912622","0.7333333333333333","0.8547297297297297","0.9168824163969796","0.8302084369260103","24","19","187","66","","0.8646153846153846","0.9404310852908984","0.8474893162393162","0.02653099500215973","0.8070175438596491","0.29871328500600963","0.7542857142857143","0.34293592298353043","0.7764705882352941","0.7333333333333333","0.7333333333333333","0.9077669902912622","0.17019236087799072","0.8313632562029551"
"sage-sweep-18","","finished","-","","","2024-05-13T20:00:25.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","337","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10791716858696784","0.06408454558333838","0.08737864077669903","0.8744186046511628","0.7777777777777778","0.912621359223301","0.7","0.847972972972973","0.9096008629989212","0.8247974378205704","27","18","188","63","","0.8492307692307692","0.9429990738401954","0.8434650455927051","0.046825501001798206","0.7609756097560976","0.29770601712740385","0.7368421052631579","0.3577488564156197","0.7777777777777778","0.7","0.7","0.912621359223301","0.13221171498298645","0.8260981912144703"
"hearty-sweep-17","","finished","-","","","2024-05-13T20:00:21.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","906","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10764371987357688","0.046186233493121905","0.10679611650485436","0.8846153846153846","0.75","0.8932038834951457","0.7333333333333333","0.8445945945945946","0.9104099244875944","0.8230313485127487","24","22","184","66","","0.8676923076923077","0.944262019028374","0.8533826638477802","0.03825113956744855","0.8054298642533937","0.28788672814002403","0.7415730337078652","0.3473009676546664","0.75","0.7333333333333333","0.7333333333333333","0.8932038834951457","0.13275665044784546","0.8173076923076923"
"serene-sweep-16","","finished","-","","","2024-05-13T20:00:19.000Z","34","38615xoc","512","0.9","0.999","","","0.3763157755397192","0.6285394613235075","128","no","4","0.16688970966723005","no","","3","0.22419387711544064","0.01","20","132","30","SGD","13","64","228","BorderlineSMOTE","","reduce","976","14","0.05","no","51.88439832518041","","yes","no","0.0001","0.10327390106573558","0.04023737440238128","0.0825242718446602","0.8873239436619719","0.7951807228915663","0.9174757281553398","0.7333333333333333","0.8614864864864865","0.916235167206041","0.8383275273441979","24","17","189","66","","0.8584615384615385","0.938789256546266","0.8456709956709957","0.03951749673256507","0.7870370370370371","0.30168597881610576","0.7630057803468208","0.3362569808959961","0.7951807228915663","0.7333333333333333","0.7333333333333333","0.9174757281553398","0.13715873658657074","0.8412523332767691"
