"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","hand","learning_rate","minority_oversample","model","momentum","num_buckets","num_epochs","num_trials","optimizer","patience","random_state","scaling_method","scheduler","seed","step_size","use_feature_scaling","use_scheduler","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"vital-sweep-30","","finished","-","","","2024-04-29T22:39:04.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","924","18","yes","yes","0.0001","0.1971261380298935","0.1056500716278186","0.20863309352517984","0.8148148148148148","0.6027397260273972","0.7913669064748201","0.6376811594202898","0.7403846153846154","0.7145240329475551","0.5619732171100039","25","29","110","44","0.6923076923076923","0.7265584075432163","0.6813214108296075","0.08490948008196386","0.6263736263736264","0.6211704582110789","0.6197183098591549","0.5906286239624023","0.6027397260273972","0.6376811594202898","0.6376811594202898","0.7913669064748201","0.5516682863235474","0.7087772704211059"
"morning-sweep-29","","finished","-","","","2024-04-29T22:39:00.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","693","18","yes","yes","0.0001","0.18561364179361056","0.10376333416654517","0.20863309352517984","0.8333333333333334","0.618421052631579","0.7913669064748201","0.6811594202898551","0.7548076923076923","0.7582108226462307","0.6189397636898415","22","29","110","47","0.6832579185520362","0.7271695477562423","0.6756211946684219","0.07230313412204588","0.6236559139784946","0.6212174773755657","0.6482758620689655","0.5619053840637207","0.618421052631579","0.6811594202898551","0.6811594202898551","0.7913669064748201","0.5661028027534485","0.7258771929824561"
"atomic-sweep-28","","finished","-","","","2024-04-29T22:38:59.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","890","18","yes","yes","0.0001","0.19604579441714595","0.09504556541259472","0.22302158273381295","0.8120300751879699","0.5866666666666667","0.7769784172661871","0.6376811594202898","0.7307692307692307","0.7498696694818059","0.6107312916020795","25","31","108","44","0.6832579185520362","0.7282172166928584","0.6691311612364244","0.10327997952025404","0.6067415730337079","0.6248930503879737","0.6111111111111112","0.583676448235145","0.5866666666666667","0.6376811594202898","0.6376811594202898","0.7769784172661871","0.5222556591033936","0.6993483709273183"
"lunar-sweep-27","","finished","-","","","2024-04-29T22:38:59.000Z","9","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","294","18","yes","yes","0.0001","0.19599422856847223","0.06176795867773202","0.2158273381294964","0.8074074074074075","0.589041095890411","0.7841726618705036","0.6231884057971014","0.7307692307692307","0.7418413095610469","0.5430667109860585","26","30","109","43","0.7104072398190046","0.7245503754147024","0.699619142242093","0.112892760680272","0.6483516483516484","0.6206149968626272","0.6056338028169014","0.5834702711838943","0.589041095890411","0.6231884057971014","0.6231884057971014","0.7841726618705036","0.503203272819519","0.6982242516489092"
"fancy-sweep-26","","finished","-","","","2024-04-29T22:38:48.000Z","9","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","666","18","yes","yes","0.0001","0.18649668409756867","0.09590173713289776","0.20863309352517984","0.8148148148148148","0.6027397260273972","0.7913669064748201","0.6376811594202898","0.7403846153846154","0.7534146595766864","0.5806905059687486","25","29","110","44","0.6923076923076923","0.716081718177056","0.6797888260724975","0.0757898356580087","0.6222222222222222","0.6279294113228224","0.6197183098591549","0.5635169102595403","0.6027397260273972","0.6376811594202898","0.6376811594202898","0.7913669064748201","0.4868077933788299","0.7087772704211059"
"sunny-sweep-25","","finished","-","","","2024-04-29T22:38:44.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","344","18","yes","yes","0.0001","0.18600403055696604","0.09798823984769678","0.23741007194244604","0.8346456692913385","0.5925925925925926","0.762589928057554","0.6956521739130435","0.7403846153846154","0.7703054947346472","0.5875272115541572","21","33","106","48","0.665158371040724","0.7261218788196263","0.65935960591133","0.1285060258472667","0.6063829787234043","0.6262350643382353","0.64","0.561920349414532","0.5925925925925926","0.6956521739130435","0.6956521739130435","0.762589928057554","1.097093939781189","0.7136191309419655"
"deep-sweep-23","","finished","-","","","2024-04-29T22:38:43.000Z","12","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","659","18","yes","yes","0.0001","0.1916421264091056","0.04402030259370804","0.23741007194244604","0.8153846153846154","0.5769230769230769","0.762589928057554","0.6521739130434783","0.7259615384615384","0.7564383275987906","0.5758712894806552","24","33","106","45","0.6787330316742082","0.7239392352016762","0.6701680672268908","0.08805669324969813","0.6162162162162163","0.6277431988608244","0.6122448979591837","0.5722065705519456","0.5769230769230769","0.6521739130434783","0.6521739130434783","0.762589928057554","0.5954917073249817","0.6961538461538461"
"winter-sweep-24","","finished","-","","","2024-04-29T22:38:43.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","849","18","yes","yes","0.0001","0.1928815478733107","0.06384240778592917","0.26618705035971224","0.8225806451612904","0.5595238095238095","0.7338129496402878","0.6811594202898551","0.7163461538461539","0.7684287352726514","0.6157308963055835","22","37","102","47","0.6877828054298643","0.7267330190326523","0.6792717086834734","0.08861791602087239","0.6270270270270271","0.6355536275319924","0.6143790849673203","0.5748196748586801","0.5595238095238095","0.6811594202898551","0.6811594202898551","0.7338129496402878","0.5838340520858765","0.6910522273425499"
"sweepy-sweep-22","","finished","-","","","2024-04-29T22:38:32.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","783","18","yes","yes","0.0001","0.1958572823334001","0.06540237768338276","0.23741007194244604","0.8091603053435115","0.5714285714285714","0.762589928057554","0.6376811594202898","0.7211538461538461","0.7367323532478365","0.5608255527089019","25","33","106","44","0.6877828054298643","0.7266457132879344","0.6759581881533101","0.07850957968655753","0.6187845303867403","0.621650316057162","0.6027397260273972","0.5854392785292405","0.5714285714285714","0.6376811594202898","0.6376811594202898","0.762589928057554","0.7569339275360107","0.6902944383860414"
"dauntless-sweep-21","","finished","-","","","2024-04-29T22:38:28.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","592","18","yes","yes","0.0001","0.19772220801976176","0.05728974193334578","0.2589928057553957","0.8046875","0.55","0.7410071942446043","0.6376811594202898","0.7067307692307693","0.7423626316338233","0.5850954609685639","25","36","103","44","0.7013574660633484","0.7242884581805482","0.687593984962406","0.08529730673828817","0.6292134831460674","0.62494932148791","0.5906040268456376","0.5858520727891189","0.55","0.6376811594202898","0.6376811594202898","0.7410071942446043","1.2120928764343262","0.67734375"
