"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","gamma","hand","learning_rate","minority_oversample","model","momentum","num_epochs","optimizer","patience","random_state","scaling_method","scheduler","seed","step_size","use_feature_scaling","use_scheduler","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"radiant-sweep-29","","finished","-","","","2024-04-29T20:58:05.000Z","12","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","991","11","yes","no","0.0001","0.2020471730302907","0.09969846388468376","0.2014388489208633","0.7928571428571428","0.5882352941176471","0.7985611510791367","0.5797101449275363","0.7259615384615384","0.7415285163173809","0.5835653081744283","29","28","111","40","0.669683257918552","0.6995809324253536","0.6560416666666666","0.5921787709497207","0.7623017600219174","0.583941605839416","0.7740058898925781","0.5882352941176471","0.5797101449275363","0.5797101449275363","0.7985611510791367","0.6531175971031189","0.690546218487395"
"atomic-sweep-30","","finished","-","","","2024-04-29T20:58:05.000Z","10","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","778","11","yes","no","0.0001","0.21894906216036267","0.12641741822545344","0.2446043165467626","0.7894736842105263","0.5466666666666666","0.7553956834532374","0.5942028985507246","0.7019230769230769","0.7144197685329997","0.557894760811106","28","34","105","41","0.6742081447963801","0.7230661777544962","0.6614150315929498","0.6","0.7928230665388151","0.5694444444444444","0.7732747151301458","0.5466666666666666","0.5942028985507246","0.5942028985507246","0.7553956834532374","0.6258509755134583","0.6680701754385965"
"proud-sweep-28","","finished","-","","","2024-04-29T20:58:04.000Z","13","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","933","11","yes","no","0.0001","0.21405307952673572","0.1390614615610013","0.2446043165467626","0.8076923076923077","0.5641025641025641","0.7553956834532374","0.6376811594202898","0.7163461538461539","0.7191116671879887","0.5826603266422251","25","34","105","44","0.6606334841628959","0.6956521739130435","0.6501652892561984","0.5901639344262295","0.8423171928026018","0.5986394557823129","0.797794562119704","0.5641025641025641","0.6376811594202898","0.6376811594202898","0.7553956834532374","0.6271584630012512","0.6858974358974359"
"devout-sweep-27","","finished","-","","","2024-04-29T20:57:50.000Z","10","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","427","11","yes","no","0.0001","0.2067519184269555","0.12304542385614836","0.23741007194244604","0.8091603053435115","0.5714285714285714","0.762589928057554","0.6376811594202898","0.7211538461538461","0.7332916275675112","0.5862775702471286","25","33","106","44","0.665158371040724","0.6918980268901693","0.652228134353176","0.5888888888888889","0.8357868453496182","0.6027397260273972","0.7973082615778997","0.5714285714285714","0.6376811594202898","0.6376811594202898","0.762589928057554","0.5878812670707703","0.6902944383860414"
"stellar-sweep-25","","finished","-","","","2024-04-29T20:57:49.000Z","12","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","367","11","yes","no","0.0001","0.2082981793401722","0.13775267251409018","0.2158273381294964","0.8134328358208955","0.5945945945945946","0.7841726618705036","0.6376811594202898","0.7355769230769231","0.7352726514440622","0.5670463027034742","25","30","109","44","0.6380090497737556","0.6976602060415577","0.6229741019214703","0.550561797752809","0.8618437477905826","0.6153846153846154","0.7522584475003756","0.5945945945945946","0.6376811594202898","0.6376811594202898","0.7841726618705036","0.6574142575263977","0.704013715207745"
"light-sweep-26","","finished","-","","","2024-04-29T20:57:49.000Z","11","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","795","11","yes","no","0.0001","0.2318932420391442","0.159021816861171","0.28776978417266186","0.7795275590551181","0.5061728395061729","0.7122302158273381","0.5942028985507246","0.6730769230769231","0.7133771243874466","0.5845832061894611","28","40","99","41","0.6968325791855203","0.7083115068971538","0.6866942148760331","0.6338797814207651","0.8219040400302249","0.5466666666666666","0.7978069598858173","0.5061728395061729","0.5942028985507246","0.5942028985507246","0.7122302158273381","0.6593629717826843","0.6428501992806455"
"dry-sweep-24","","finished","-","","","2024-04-29T20:57:48.000Z","13","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","767","11","yes","no","0.0001","0.1854901170228732","0.1264587609240642","0.2158273381294964","0.8134328358208955","0.5945945945945946","0.7841726618705036","0.6376811594202898","0.7355769230769231","0.7787509123136274","0.6594354312309906","25","30","109","44","0.6425339366515838","0.678278330714161","0.6284166666666666","0.5586592178770949","0.7624151997976174","0.6153846153846154","0.5802705471332257","0.5945945945945946","0.6376811594202898","0.6376811594202898","0.7841726618705036","1.2026739120483398","0.704013715207745"
"hardy-sweep-23","","finished","-","","","2024-04-29T20:57:31.000Z","12","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","308","11","yes","no","0.0001","0.23003367651104836","0.13189247938302848","0.34532374100719426","0.8198198198198198","0.5051546391752577","0.6546762589928058","0.7101449275362319","0.6730769230769231","0.7217182775518716","0.6038609554010839","20","48","91","49","0.6018099547511312","0.6498166579360921","0.5917904290429044","0.5217391304347826","0.7607552368716417","0.5903614457831325","0.6979028995220478","0.5051546391752577","0.7101449275362319","0.7101449275362319","0.6546762589928058","0.732048749923706","0.6624872294975388"
"brisk-sweep-22","","finished","-","","","2024-04-29T20:57:25.000Z","11","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","708","11","yes","no","0.0001","0.20573223345243305","0.11620607427679576","0.2446043165467626","0.8203125","0.575","0.7553956834532374","0.6666666666666666","0.7259615384615384","0.751225106871025","0.5884224884067122","23","34","105","46","0.6923076923076923","0.7230661777544963","0.6813214108296075","0.6263736263736264","0.7844444723690257","0.6174496644295302","0.7947273254394531","0.575","0.6666666666666666","0.6666666666666666","0.7553956834532374","0.6623489260673523","0.69765625"
"clean-sweep-21","","finished","-","","","2024-04-29T20:57:23.000Z","11","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","112","11","yes","no","0.0001","0.21295403203104168","0.13782031261003935","0.23741007194244604","0.803030303030303","0.5657894736842105","0.762589928057554","0.6231884057971014","0.7163461538461539","0.7265144406214159","0.5612468584719112","26","33","106","43","0.6787330316742082","0.6930330015715034","0.6638046573965488","0.5988700564971752","0.7922325997331023","0.593103448275862","0.830173712510329","0.5657894736842105","0.6231884057971014","0.6231884057971014","0.762589928057554","0.8301640748977661","0.6844098883572567"
