"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","hidden_dim","increase_variance","last_hidden_dim","learning_rate","minority_oversample","model","model_subset_choice","momentum","noise_variance","num_buckets","num_epochs","num_trials","optimizer","patience","query_dim","random_state","sampler","scaling_method","scheduler","seed","step_size","temperature","train_random_noise","uncertainty_weight","use_feature_scaling","use_scheduler","validation_random_noise","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","coverage","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"spring-sweep-30","","finished","-","","","2024-05-13T17:37:05.000Z","14","lusmf1wj","512","0.9","0.999","","","","0.5541579400585179","512","no","32","0.06568259613855633","no","","0","0.5062396552762815","0.565011755638535","","246","","SGD","5","","359","KMeansSMOTE","","reduce","646","23","0.5059772368291524","no","","","no","no","0.0001","0.11606476681555536","0.09126613739178265","0.15503875968992248","0.8790322580645161","0.726027397260274","0.8449612403100775","0.7794117647058824","0.8223350253807107","0.9140446876424988","0.8664368643973757","15","20","109","53","","0.813953488372093","0.9043645699614892","0.8071739130434783","","0.7802197802197802","0.4122242417446403","0.75177304964539","0.3669997859122184","0.726027397260274","0.7794117647058824","0.7794117647058824","0.8449612403100775","0.004127819091081619","0.8025298276623951"
"likely-sweep-29","","finished","-","","","2024-05-13T17:36:57.000Z","15","lusmf1wj","512","0.9","0.999","","","","0.5541579400585179","512","no","32","0.06568259613855633","no","","0","0.5062396552762815","0.565011755638535","","246","","SGD","5","","359","KMeansSMOTE","","reduce","559","23","0.5059772368291524","no","","","no","no","0.0001","0.11525030090106486","0.052475226712105846","0.11627906976744186","0.8837209302325582","0.7794117647058824","0.8837209302325582","0.7794117647058824","0.8477157360406091","0.907090743274054","0.8634362311146145","15","15","114","53","","0.8232558139534883","0.9094993581514764","0.8141631652661064","","0.7865168539325843","0.40634779819222383","0.7794117647058824","0.3671906369591728","0.7794117647058824","0.7794117647058824","0.7794117647058824","0.8837209302325582","0.004003164358437061","0.8315663474692203"
"tough-sweep-28","","finished","-","","","2024-05-13T17:36:56.000Z","13","lusmf1wj","512","0.9","0.999","","","","0.5541579400585179","512","no","32","0.06568259613855633","no","","0","0.5062396552762815","0.565011755638535","","246","","SGD","5","","359","KMeansSMOTE","","reduce","456","23","0.5059772368291524","no","","","no","no","0.0001","0.1129448983170075","0.043073202752824974","0.13178294573643412","0.8818897637795275","0.7571428571428571","0.8682170542635659","0.7794117647058824","0.8375634517766497","0.9166666666666666","0.8687406796567884","15","17","112","53","","0.8418604651162791","0.9077571978727308","0.8329831932773109","","0.8089887640449438","0.4055144908816315","0.7681159420289855","0.361633339509141","0.7571428571428571","0.7794117647058824","0.7794117647058824","0.8682170542635659","0.0037003594916313887","0.8195163104611923"
"noble-sweep-27","","finished","-","","","2024-05-13T17:36:52.000Z","13","lusmf1wj","512","0.9","0.999","","","","0.5541579400585179","512","no","32","0.06568259613855633","no","","0","0.5062396552762815","0.565011755638535","","246","","SGD","5","","359","KMeansSMOTE","","reduce","218","23","0.5059772368291524","no","","","no","no","0.0001","0.11073810260978643","0.08606568508341834","0.13178294573643412","0.8888888888888888","0.7605633802816901","0.8682170542635659","0.7941176470588235","0.8426395939086294","0.9191746466028272","0.8700788752571845","14","17","112","54","","0.8232558139534883","0.9041811846689894","0.8141631652661064","","0.7865168539325843","0.40911670063817224","0.7769784172661871","0.35249692655456855","0.7605633802816901","0.7941176470588235","0.7941176470588235","0.8682170542635659","0.003915204666554928","0.8247261345852894"
"vague-sweep-26","","finished","-","","","2024-05-13T17:36:45.000Z","13","lusmf1wj","512","0.9","0.999","","","","0.5541579400585179","512","no","32","0.06568259613855633","no","","0","0.5062396552762815","0.565011755638535","","246","","SGD","5","","359","KMeansSMOTE","","reduce","929","23","0.5059772368291524","no","","","no","no","0.0001","0.11164231135978452","0.052525995649057","0.12403100775193798","0.875968992248062","0.7647058823529411","0.875968992248062","0.7647058823529411","0.8375634517766497","0.9150706794345644","0.8750764591825864","16","16","113","52","","0.8186046511627907","0.9029891802677424","0.8111720654824103","","0.7845303867403315","0.42297789107921513","0.7647058823529411","0.3529185183762294","0.7647058823529411","0.7647058823529411","0.7647058823529411","0.875968992248062","0.003991748671978712","0.8203374373005016"
"zany-sweep-25","","finished","-","","","2024-05-13T17:36:44.000Z","14","lusmf1wj","512","0.9","0.999","","","","0.5541579400585179","512","no","32","0.06568259613855633","no","","0","0.5062396552762815","0.565011755638535","","246","","SGD","5","","359","KMeansSMOTE","","reduce","590","23","0.5059772368291524","no","","","no","no","0.0001","0.11011462711604449","0.04043516955399877","0.13178294573643412","0.8818897637795275","0.7571428571428571","0.8682170542635659","0.7794117647058824","0.8375634517766497","0.9131326949384404","0.8631021742659447","15","17","112","53","","0.8232558139534883","0.911608289015221","0.8141631652661064","","0.7865168539325843","0.4127036870912064","0.7681159420289855","0.3531815582120479","0.7571428571428571","0.7794117647058824","0.7794117647058824","0.8682170542635659","0.004061300307512283","0.8195163104611923"
"confused-sweep-24","","finished","-","","","2024-05-13T17:36:36.000Z","14","lusmf1wj","512","0.9","0.999","","","","0.5541579400585179","512","no","32","0.06568259613855633","no","","0","0.5062396552762815","0.565011755638535","","246","","SGD","5","","359","KMeansSMOTE","","reduce","730","23","0.5059772368291524","no","","","no","no","0.0001","0.11783196622880338","0.041414140747283314","0.14728682170542637","0.9016393442622952","0.7466666666666667","0.8527131782945736","0.8235294117647058","0.8426395939086294","0.9170086639306884","0.8619632888452333","12","19","110","56","","0.8186046511627907","0.9064735008252338","0.8082143486691344","","0.7771428571428571","0.41773983267850656","0.7832167832167832","0.3750924822037595","0.7466666666666667","0.8235294117647058","0.8235294117647058","0.8527131782945736","0.004374201409518719","0.8241530054644809"
"eternal-sweep-23","","finished","-","","","2024-05-13T17:36:35.000Z","14","lusmf1wj","512","0.9","0.999","","","","0.5541579400585179","512","no","32","0.06568259613855633","no","","0","0.5062396552762815","0.565011755638535","","246","","SGD","5","","359","KMeansSMOTE","","reduce","865","23","0.5059772368291524","no","","","no","no","0.0001","0.11008023182352548","0.03270323294673472","0.10852713178294572","0.8846153846153846","0.7910447761194029","0.8914728682170543","0.7794117647058824","0.8527918781725888","0.9118787049703604","0.8579776730224272","15","14","115","53","","0.8232558139534883","0.9152759948652116","0.8141631652661064","","0.7865168539325843","0.3919208615325218","0.7851851851851852","0.3596225099515189","0.7910447761194029","0.7794117647058824","0.7794117647058824","0.8914728682170543","0.004080615006387234","0.8378300803673937"
"silver-sweep-22","","finished","-","","","2024-05-13T17:36:31.000Z","14","lusmf1wj","512","0.9","0.999","","","","0.5541579400585179","512","no","32","0.06568259613855633","no","","0","0.5062396552762815","0.565011755638535","","246","","SGD","5","","359","KMeansSMOTE","","reduce","992","23","0.5059772368291524","no","","","no","no","0.0001","0.1131809441110403","0.04468588720118333","0.11627906976744186","0.8837209302325582","0.7794117647058824","0.8837209302325582","0.7794117647058824","0.8477157360406091","0.9113087095303238","0.8658154638580291","15","15","114","53","","0.8418604651162791","0.9077571978727306","0.8322050290135397","","0.8068181818181818","0.4073436648346657","0.7794117647058824","0.35972618451578364","0.7794117647058824","0.7794117647058824","0.7794117647058824","0.8837209302325582","0.004311596509069204","0.8315663474692203"
"pretty-sweep-21","","finished","-","","","2024-05-13T17:36:17.000Z","13","lusmf1wj","512","0.9","0.999","","","","0.5541579400585179","512","no","32","0.06568259613855633","no","","0","0.5062396552762815","0.565011755638535","","246","","SGD","5","","359","KMeansSMOTE","","reduce","534","23","0.5059772368291524","no","","","no","no","0.0001","0.11847548548381096","0.0374179146616592","0.13178294573643412","0.8818897637795275","0.7571428571428571","0.8682170542635659","0.7794117647058824","0.8375634517766497","0.9098267213862288","0.8643015893738601","15","17","112","53","","0.8186046511627907","0.9021639464514946","0.8111720654824103","","0.7845303867403315","0.42164987963299416","0.7681159420289855","0.37443821321284104","0.7571428571428571","0.7794117647058824","0.7794117647058824","0.8682170542635659","0.004299757070839405","0.8195163104611923"
