"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","hidden_dim","increase_variance","last_hidden_dim","learning_rate","minority_oversample","model","model_subset_choice","momentum","noise_variance","num_buckets","num_epochs","num_trials","optimizer","patience","query_dim","random_state","sampler","scaling_method","scheduler","seed","step_size","temperature","train_random_noise","uncertainty_weight","use_feature_scaling","use_scheduler","validation_random_noise","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","coverage","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"jolly-sweep-29","","finished","-","","","2024-05-02T15:11:06.000Z","9","neural_late_fusion_drop_preds_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","","957","ADASYN","","reduce","163","9","0.5059772368291524","no","","","no","no","0.0001","0.1588776320758467","0.30720795876060436","0.08163265306122448","0.967741935483871","0.8666666666666667","0.9183673469387756","0.9454545454545454","0.9281045751633988","0.9623376623376624","0.938603157156404","3","8","90","52","0.7766497461928934","0.8046511627906977","0.9083073537502292","0.799366649314593","","0.7717391304347826","0.5639295711073764","0.9043478260869564","0.5452172138969306","0.8666666666666667","0.9454545454545454","0.9454545454545454","0.9183673469387756","0.5136677622795105","0.9172043010752688"
"solar-sweep-28","","finished","-","","","2024-05-02T15:11:03.000Z","11","neural_late_fusion_drop_preds_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","","957","ADASYN","","reduce","545","9","0.5059772368291524","no","","","no","no","0.0001","0.1806677716777194","0.3869953877557584","0.02247191011235955","0.9775280898876404","0.9411764705882352","0.9775280898876404","0.9411764705882352","0.967479674796748","0.9755452742894912","0.9596403384379788","2","2","87","32","0.6243654822335025","0.8465116279069768","0.9252704933064368","0.8364253393665158","","0.8023952095808383","0.6023105355196221","0.9411764705882352","0.5938893429518957","0.9411764705882352","0.9411764705882352","0.9411764705882352","0.9775280898876404","0.5769073963165283","0.9593522802379378"
"zesty-sweep-27","","finished","-","","","2024-05-02T15:11:02.000Z","13","neural_late_fusion_drop_preds_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","","957","ADASYN","","reduce","490","9","0.5059772368291524","no","","","no","no","0.0001","0.1689348225572447","0.3192546502749125","0.04854368932038835","0.9423076923076924","0.8913043478260869","0.9514563106796116","0.8723404255319149","0.9266666666666666","0.9336913860772568","0.8898863692924437","6","5","98","41","0.7614213197969543","0.8418604651162791","0.9149092242802128","0.8312455261274159","","0.8","0.5565537918445675","0.8817204301075269","0.5641069363821581","0.8913043478260869","0.8723404255319149","0.8723404255319149","0.9514563106796116","0.5276824831962585","0.9168060200668896"
"northern-sweep-26","","finished","-","","","2024-05-02T15:11:01.000Z","13","neural_late_fusion_drop_preds_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","","957","ADASYN","","reduce","105","9","0.5059772368291524","no","","","no","no","0.0001","0.17517603619417704","0.3390665795201453","0.09090909090909093","0.9836065573770492","0.8695652173913043","0.9090909090909092","0.975609756097561","0.9345794392523364","0.9637841832963784","0.9396839968137805","1","6","60","40","0.5431472081218274","0.8325581395348837","0.9273794241701816","0.8309676302579193","","0.8085106382978723","0.5940905903660973","0.9195402298850576","0.6002293698073644","0.8695652173913043","0.975609756097561","0.975609756097561","0.9090909090909092","0.573652446269989","0.9265858873841768"
"amber-sweep-25","","finished","-","","","2024-05-02T15:10:55.000Z","12","neural_late_fusion_drop_preds_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","","957","ADASYN","","reduce","110","9","0.5059772368291524","no","","","no","no","0.0001","0.15734016449227942","0.2817481968551874","0.08490566037735849","0.9509803921568628","0.8448275862068966","0.9150943396226416","0.9074074074074074","0.9125","0.936408106219427","0.8881864611927955","5","9","97","49","0.8121827411167513","0.8604651162790697","0.9226114065651936","0.8511077896957975","","0.8295454545454546","0.5251210767169331","0.875","0.5364534407097676","0.8448275862068966","0.9074074074074074","0.9074074074074074","0.9150943396226416","0.4910161793231964","0.8979039891818796"
"super-sweep-24","","finished","-","","","2024-05-02T15:10:51.000Z","10","neural_late_fusion_drop_preds_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","","957","ADASYN","","reduce","809","9","0.5059772368291524","no","","","no","no","0.0001","0.14190855706280553","0.2601792118128608","0.05357142857142857","0.9217391304347826","0.8909090909090909","0.9464285714285714","0.8448275862068966","0.9117647058823528","0.9548953201970444","0.9259529571144328","9","6","106","49","0.8629441624365483","0.8372093023255814","0.8922611406565193","0.8264637212643677","","0.7928994082840237","0.5300308937250182","0.8672566371681416","0.497675242157757","0.8909090909090909","0.8448275862068966","0.8448275862068966","0.9464285714285714","0.4633158147335053","0.9063241106719367"
"different-sweep-23","","finished","-","","","2024-05-02T15:10:46.000Z","12","neural_late_fusion_drop_preds_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","","957","ADASYN","","reduce","872","9","0.5059772368291524","no","","","no","no","0.0001","0.17542856201868254","0.3443743616131181","0.01886792452830189","0.9369369369369368","0.9333333333333332","0.981132075471698","0.8","0.9361702127659576","0.9654986522911052","0.9389501688655572","7","2","104","28","0.7157360406091371","0.8558139534883721","0.904823033192738","0.8542349990353078","","0.8","0.5941783816315407","0.8615384615384616","0.5779186965245281","0.9333333333333332","0.8","0.8","0.981132075471698","0.5595421195030212","0.9351351351351352"
"good-sweep-21","","finished","-","","","2024-05-02T15:10:42.000Z","12","neural_late_fusion_drop_preds_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","","957","ADASYN","","reduce","376","9","0.5059772368291524","no","","","no","no","0.0001","0.11538046637664089","0.2404069016839183","0.04424778761061947","0.9473684210526316","0.913793103448276","0.9557522123893806","0.8983050847457628","0.936046511627907","0.9644517774111294","0.9332242224611924","6","5","108","53","0.8730964467005076","0.8558139534883721","0.9497524298551256","0.8457550514002127","","0.8208092485549133","0.43841879201489825","0.905982905982906","0.4401306694534224","0.913793103448276","0.8983050847457628","0.8983050847457628","0.9557522123893806","0.3624492287635803","0.9305807622504536"
"still-sweep-22","","finished","-","","","2024-05-02T15:10:42.000Z","15","neural_late_fusion_drop_preds_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","","957","ADASYN","","reduce","372","9","0.5059772368291524","no","","","no","no","0.0001","0.20669609467579425","0.31651545407479265","0","0.8771929824561403","0","1","0","0.8771929824561403","0.8085714285714285","0.3344009826152683","7","0","50","0","0.2893401015228426","0.627906976744186","0.858793324775353","0.812206572769953","","0.047619047619047616","0.6555543411609739","0","0.6538719525797113","0","0","0","1","0.6608934998512268","0.43859649122807015"
"vivid-sweep-20","","finished","-","","","2024-05-02T15:10:41.000Z","13","neural_late_fusion_drop_preds_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","","957","ADASYN","","reduce","650","9","0.5059772368291524","no","","","no","no","0.0001","0.13680015061132855","0.2706973345693714","0.07207207207207207","0.9626168224299064","0.8666666666666667","0.927927927927928","0.9285714285714286","0.9281437125748504","0.962033462033462","0.9367968253503616","4","8","103","52","0.8477157360406091","0.8232558139534883","0.9147258389877132","0.8141631652661064","","0.7865168539325843","0.5167749449264172","0.896551724137931","0.49268840654247303","0.8666666666666667","0.9285714285714286","0.9285714285714286","0.927927927927928","0.45357975363731384","0.9146417445482866"
