"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","hidden_dim","increase_variance","last_hidden_dim","learning_rate","minority_oversample","model","model_subset_choice","momentum","noise_variance","num_buckets","num_epochs","num_trials","optimizer","patience","query_dim","random_state","sampler","scaling_method","scheduler","seed","step_size","temperature","train_random_noise","uncertainty_weight","use_feature_scaling","use_scheduler","validation_random_noise","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","coverage","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"decent-sweep-29","","finished","-","","","2024-05-03T15:25:33.000Z","34","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","602","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.11030918267495374","0.05662734798973587","0.08527131782945736","0.8613138686131386","0.8166666666666667","0.9147286821705426","0.7205882352941176","0.8477157360406091","0.9203146374829","0.8554266503495952","19","11","118","49","","0.8418604651162791","0.9216944801026958","0.8324316889785439","0.043970472590867865","0.7926829268292683","0.34924898369367735","0.765625","0.3499426285022406","0.8166666666666667","0.7205882352941176","0.7205882352941176","0.9147286821705426","0.18519747257232663","0.8389902676399026"
"jolly-sweep-28","","finished","-","","","2024-05-03T15:25:02.000Z","36","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","349","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.09951592372218644","0.06588522825144269","0.09302325581395347","0.9140625","0.8260869565217391","0.9069767441860463","0.8382352941176471","0.883248730964467","0.92875056999544","0.8620132998087429","11","12","117","57","","0.8325581395348837","0.9140839904639648","0.8217054263565892","0.059897204332573464","0.7857142857142857","0.36576176133266713","0.8321167883211679","0.32940445333567975","0.8260869565217391","0.8382352941176471","0.8382352941176471","0.9069767441860463","0.15916074812412262","0.8700747282608696"
"eternal-sweep-27","","finished","-","","","2024-05-03T15:24:58.000Z","36","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","813","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.0997888329100417","0.049905031465636907","0.08527131782945736","0.8872180451127819","0.828125","0.9147286821705426","0.7794117647058824","0.868020304568528","0.930346557227542","0.8693369288742268","15","11","118","53","","0.8418604651162791","0.917568311021456","0.8324316889785439","0.053813045246656574","0.7926829268292683","0.35975082752316495","0.803030303030303","0.3271602107788706","0.828125","0.7794117647058824","0.7794117647058824","0.9147286821705426","0.1896299123764038","0.8576715225563909"
"dashing-sweep-26","","finished","-","","","2024-05-03T15:24:54.000Z","35","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","220","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10300131197126602","0.08452307663593193","0.08527131782945736","0.9076923076923076","0.835820895522388","0.9147286821705426","0.8235294117647058","0.883248730964467","0.9220246238030096","0.848533265385792","12","11","118","56","","0.8465116279069768","0.922428021272694","0.8369843008397225","0.04321003570113071","0.8","0.35192683020303417","0.8296296296296296","0.3412554203556274","0.835820895522388","0.8235294117647058","0.8235294117647058","0.9147286821705426","0.224185511469841","0.8717566016073479"
"usual-sweep-25","","finished","-","","","2024-05-03T15:24:52.000Z","36","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","756","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.0982324889923225","0.054456704764196714","0.06976744186046512","0.8955223880597015","0.8571428571428571","0.9302325581395348","0.7941176470588235","0.883248730964467","0.9292065663474692","0.8777898877719105","14","9","120","54","","0.8558139534883721","0.914817531633963","0.8488924050632911","0.06010616601899615","0.8074534161490683","0.3578615765238917","0.8244274809160306","0.3241413910376844","0.8571428571428571","0.7941176470588235","0.7941176470588235","0.9302325581395348","0.22155043482780457","0.8763326226012793"
"zany-sweep-24","","finished","-","","","2024-05-03T15:24:18.000Z","37","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","255","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.09446817243449251","0.05490681846734835","0.08527131782945736","0.8939393939393939","0.8307692307692308","0.9147286821705426","0.7941176470588235","0.8730964467005076","0.9402644778841768","0.8973022463254022","14","11","118","54","","0.8558139534883721","0.918026774252705","0.8467962760131436","0.05803237571272737","0.8121212121212121","0.3599907453670058","0.8120300751879699","0.30851360262953087","0.8307692307692308","0.7941176470588235","0.7941176470588235","0.9147286821705426","0.20352038741111755","0.8623543123543124"
"dainty-sweep-23","","finished","-","","","2024-05-03T15:24:17.000Z","38","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","936","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10943416364009086","0.04261637308875919","0.11627906976744186","0.890625","0.782608695652174","0.8837209302325582","0.7941176470588235","0.8527918781725888","0.9168946648426812","0.8318666654931304","14","15","114","54","","0.8325581395348837","0.9126169081239685","0.8217054263565892","0.06924866992373799","0.7857142857142857","0.3674779492755269","0.7883211678832117","0.352391819058336","0.782608695652174","0.7941176470588235","0.7941176470588235","0.8837209302325582","0.16198982298374176","0.8366168478260869"
"atomic-sweep-22","","finished","-","","","2024-05-03T15:24:13.000Z","36","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","651","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10274196447537504","0.06830699371202344","0.06976744186046512","0.8633093525179856","0.8448275862068966","0.9302325581395348","0.7205882352941176","0.8578680203045685","0.9322845417236664","0.8622175523261744","19","9","120","49","","0.8372093023255814","0.9128919860627178","0.8301336344814606","0.05641905346582102","0.779874213836478","0.3689424381699673","0.7777777777777778","0.3351931886624564","0.8448275862068966","0.7205882352941176","0.7205882352941176","0.9302325581395348","0.1661379188299179","0.8540684693624411"
"gentle-sweep-21","","finished","-","","","2024-05-03T15:24:12.000Z","35","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","742","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10455202102770587","0.037822903412852805","0.09302325581395347","0.8863636363636364","0.8153846153846154","0.9069767441860463","0.7794117647058824","0.8629441624365483","0.9194026447788416","0.8339664572648698","15","12","117","53","","0.8186046511627907","0.906381808178984","0.8075483753194597","0.05865677816923274","0.7636363636363637","0.37896082678506543","0.7969924812030075","0.3430780710907757","0.8153846153846154","0.7794117647058824","0.7794117647058824","0.9069767441860463","0.16458185017108917","0.8508741258741259"
"ethereal-sweep-20","","finished","-","","","2024-05-03T15:23:37.000Z","36","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","972","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.1010212480377491","0.07395833700441468","0.08527131782945736","0.8872180451127819","0.828125","0.9147286821705426","0.7794117647058824","0.868020304568528","0.9274965800273598","0.8597159073455981","15","11","118","53","","0.8232558139534883","0.9185769301302036","0.813425925925926","0.08909113268519557","0.7654320987654321","0.3618759864984557","0.803030303030303","0.33106820353396654","0.828125","0.7794117647058824","0.7794117647058824","0.9147286821705426","0.2046804130077362","0.8576715225563909"
"silvery-sweep-19","","finished","-","","","2024-05-03T15:23:35.000Z","36","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","987","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10510616551340328","0.06193393287319822","0.07751937984496124","0.85","0.8245614035087719","0.9224806201550388","0.6911764705882353","0.8426395939086294","0.9327405380756956","0.869642046616732","21","10","119","47","","0.8511627906976744","0.9225197139189436","0.8501845376845376","0.06586047133734059","0.7922077922077922","0.34876588333484737","0.752","0.33771731768767843","0.8245614035087719","0.6911764705882353","0.6911764705882353","0.9224806201550388","0.18899725377559665","0.837280701754386"
"rosy-sweep-18","","finished","-","","","2024-05-03T15:23:33.000Z","35","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","290","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10704759279546014","0.0670700611801922","0.09302325581395347","0.8863636363636364","0.8153846153846154","0.9069767441860463","0.7794117647058824","0.8629441624365483","0.9157546739626083","0.8505573695273091","15","12","117","53","","0.8418604651162791","0.9161012286814596","0.8333333333333334","0.05635898695435633","0.7901234567901234","0.3592364643895349","0.7969924812030075","0.3495993444762254","0.8153846153846154","0.7794117647058824","0.7794117647058824","0.9069767441860463","0.15131120383739471","0.8508741258741259"
"smart-sweep-17","","finished","-","","","2024-05-03T15:23:31.000Z","36","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","323","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.0935214185413246","0.06873905719234252","0.06976744186046512","0.8955223880597015","0.8571428571428571","0.9302325581395348","0.7941176470588235","0.883248730964467","0.935248518011856","0.8875076719657461","14","9","120","54","","0.8372093023255814","0.916834769851458","0.827897549290584","0.051410498452741045","0.7852760736196319","0.3568429991256359","0.8244274809160306","0.31787479226359255","0.8571428571428571","0.7941176470588235","0.7941176470588235","0.9302325581395348","0.16888399422168732","0.8763326226012793"
"fearless-sweep-16","","finished","-","","","2024-05-03T15:22:56.000Z","38","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","704","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.09267663747180466","0.058642910519227154","0.07751937984496124","0.9015151515151516","0.8461538461538461","0.9224806201550388","0.8088235294117647","0.883248730964467","0.9370725034199726","0.8782181504411489","13","10","119","55","","0.8325581395348837","0.9123418301852192","0.8217054263565892","0.031989443024923625","0.7857142857142857","0.3653289794921875","0.8270676691729323","0.3111590661373235","0.8461538461538461","0.8088235294117647","0.8088235294117647","0.9224806201550388","0.17549672722816467","0.8738344988344988"
"honest-sweep-15","","finished","-","","","2024-05-03T15:22:55.000Z","37","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","294","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10803164334028008","0.03577080172330594","0.07751937984496124","0.8686131386861314","0.8333333333333334","0.9224806201550388","0.7352941176470589","0.8578680203045685","0.9168946648426812","0.855007121471933","18","10","119","50","","0.8465116279069768","0.9096827434439758","0.8419047619047619","0.06834249246952147","0.7898089171974523","0.36992315248001456","0.78125","0.3467405677446859","0.8333333333333334","0.7352941176470589","0.7352941176470589","0.9224806201550388","0.163011834025383","0.8509732360097324"
"happy-sweep-14","","finished","-","","","2024-05-03T15:22:52.000Z","36","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","319","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10379554983753692","0.05866902764073483","0.06201550387596899","0.8581560283687943","0.8571428571428571","0.937984496124031","0.7058823529411765","0.8578680203045685","0.920656634746922","0.8727719344202781","20","8","121","48","","0.8325581395348837","0.9066568861177332","0.8315270935960591","0.051695885769156506","0.7631578947368421","0.3787112568700036","0.7741935483870968","0.34294353039736675","0.8571428571428571","0.7058823529411765","0.7058823529411765","0.937984496124031","0.2425028830766678","0.8576494427558257"
"sweet-sweep-13","","finished","-","","","2024-05-03T15:22:50.000Z","36","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","335","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10025664718823324","0.0489671484467947","0.07751937984496124","0.8880597014925373","0.8412698412698413","0.9224806201550388","0.7794117647058824","0.8730964467005076","0.9301185590515276","0.8628386558727488","15","10","119","53","","0.8465116279069768","0.9181184668989548","0.8388868205510052","0.05715235388556193","0.7950310559006211","0.3580484789471294","0.8091603053435115","0.32670008470564327","0.8412698412698413","0.7794117647058824","0.7794117647058824","0.9224806201550388","0.2617112100124359","0.8646647713811892"
"pretty-sweep-12","","finished","-","","","2024-05-03T15:22:16.000Z","35","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","370","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10581652681925524","0.05235917646872817","0.06976744186046512","0.8633093525179856","0.8448275862068966","0.9302325581395348","0.7205882352941176","0.8578680203045685","0.9238486092111264","0.8625434892848237","19","9","120","49","","0.8418604651162791","0.9060150375939848","0.8359522907989398","0.08207719215126927","0.7848101265822784","0.3773650768191315","0.7777777777777778","0.33853157159640707","0.8448275862068966","0.7205882352941176","0.7205882352941176","0.9302325581395348","0.21142441034317017","0.8540684693624411"
"youthful-sweep-11","","finished","-","","","2024-05-03T15:22:14.000Z","35","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","779","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10927767043596144","0.05568218896836799","0.08527131782945736","0.8740740740740741","0.8225806451612904","0.9147286821705426","0.75","0.8578680203045685","0.9174646602827178","0.8561416741722606","17","11","118","51","","0.8325581395348837","0.9122501375389692","0.8273912210082424","0.03913360113321348","0.7692307692307693","0.36656731893849925","0.7846153846153846","0.34937379323891576","0.8225806451612904","0.75","0.75","0.9147286821705426","0.22644129395484924","0.8483273596176822"
"zesty-sweep-10","","finished","-","","","2024-05-03T15:22:11.000Z","36","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","906","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.09592053445593944","0.06652325119463927","0.09302325581395347","0.9069767441860463","0.8235294117647058","0.9069767441860463","0.8235294117647058","0.8781725888324873","0.9327405380756956","0.8685914140299226","12","12","117","56","","0.827906976744186","0.9094993581514762","0.8188756515264333","0.047237293664799174","0.7701863354037267","0.3698027854742006","0.8235294117647058","0.31839210006791324","0.8235294117647058","0.8235294117647058","0.8235294117647058","0.9069767441860463","0.19035935401916504","0.8652530779753762"
"honest-sweep-9","","finished","-","","","2024-05-03T15:22:10.000Z","34","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","233","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.1085240182704454","0.05681444757480912","0.07751937984496124","0.8947368421052632","0.84375","0.9224806201550388","0.7941176470588235","0.8781725888324873","0.913360693114455","0.8225229850300747","14","10","119","54","","0.8372093023255814","0.909591050797726","0.8288812360387193","0.058508901263392254","0.782608695652174","0.3717878474745639","0.8181818181818182","0.35847542854735087","0.84375","0.7941176470588235","0.7941176470588235","0.9224806201550388","0.1837196946144104","0.8692434210526316"
"soft-sweep-8","","finished","-","","","2024-05-03T15:21:35.000Z","38","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","791","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.1032859835837842","0.05607252526404288","0.06976744186046512","0.851063829787234","0.8392857142857143","0.9302325581395348","0.6911764705882353","0.8477157360406091","0.9318285453716372","0.8667768559954572","21","9","120","47","","0.8372093023255814","0.9057399596552356","0.8316666666666667","0.06129696812740593","0.7770700636942676","0.3769720388013263","0.7580645161290323","0.33133298612488105","0.8392857142857143","0.6911764705882353","0.6911764705882353","0.9302325581395348","0.1886475682258606","0.8451747720364742"
"fanciful-sweep-7","","finished","-","","","2024-05-03T15:21:33.000Z","38","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","771","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10700728852097302","0.04627246572281501","0.08527131782945736","0.8740740740740741","0.8225806451612904","0.9147286821705426","0.75","0.8578680203045685","0.9235066119471044","0.8656560702243239","17","11","118","51","","0.8511627906976744","0.9141756831102146","0.8415576154125772","0.05503711561824001","0.8072289156626506","0.3632160275481468","0.7846153846153846","0.33785394968720256","0.8225806451612904","0.75","0.75","0.9147286821705426","0.17910350859165192","0.8483273596176822"
"rare-sweep-6","","finished","-","","","2024-05-03T15:21:31.000Z","38","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","681","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10364838528734166","0.10159895383767065","0.07751937984496124","0.8814814814814815","0.8387096774193549","0.9224806201550388","0.7647058823529411","0.868020304568528","0.9295485636114912","0.8677685807507313","16","10","119","52","","0.8651162790697674","0.9171098477902072","0.8604837191793713","0.07197659514671151","0.8176100628930818","0.36393844249636625","0.8","0.3441246923456337","0.8387096774193549","0.7647058823529411","0.7647058823529411","0.9224806201550388","0.22171597182750705","0.8600955794504181"
"spring-sweep-5","","finished","-","","","2024-05-03T15:21:29.000Z","36","uncertainty_early_fusion_no_drop_stats","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","505","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10940186081389448","0.06041031894344968","0.08527131782945736","0.8805970149253731","0.8253968253968254","0.9147286821705426","0.7647058823529411","0.8629441624365483","0.9196306429548564","0.8201975655752206","16","11","118","52","","0.8232558139534883","0.8958371538602604","0.8127177700348431","0.03963596626769666","0.7682926829268293","0.39401908697083937","0.7938931297709924","0.3588158079815395","0.8253968253968254","0.7647058823529411","0.7647058823529411","0.9147286821705426","0.16623423993587494","0.8529969201610992"
