"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","hidden_dim","increase_variance","last_hidden_dim","learning_rate","minority_oversample","model","model_subset_choice","momentum","noise_variance","num_buckets","num_epochs","num_trials","optimizer","patience","query_dim","random_state","sampler","scaling_method","scheduler","seed","step_size","temperature","train_random_noise","uncertainty_weight","use_feature_scaling","use_scheduler","validation_random_noise","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","coverage","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"efficient-sweep-30","","finished","-","","","2024-05-02T17:59:01.000Z","38","uhqxn83g","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","950","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.09058927978127176","0.04554837755858896","0.047619047619047616","0.8888888888888888","0.8947368421052632","0.9523809523809524","0.7727272727272727","0.890625","0.9397546897546898","0.8925639342862409","15","6","120","51","0.9746192893401016","0.8465116279069768","0.9078488905189804","0.8419047619047619","0.06050060987472535","0.7898089171974523","0.3718766323355741","0.8292682926829268","0.31334442293583437","0.8947368421052632","0.7727272727272727","0.7727272727272727","0.9523809523809524","0.2138120234012604","0.8918128654970761"
"giddy-sweep-29","","finished","-","","","2024-05-02T17:58:36.000Z","41","uhqxn83g","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","264","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.09695410505806452","0.0637262050436918","0.06451612903225806","0.8854961832061069","0.8620689655172413","0.935483870967742","0.7692307692307693","0.8783068783068783","0.9332506203473946","0.8755632753097561","15","8","116","50","0.9593908629441624","0.8558139534883721","0.915642765450211","0.8503670242800678","0.05236098100972732","0.8050314465408805","0.3546523692996003","0.8130081300813008","0.3336890748309605","0.8620689655172413","0.7692307692307693","0.7692307692307693","0.935483870967742","0.1282425969839096","0.8737825743616741"
"sage-sweep-28","","finished","-","","","2024-05-02T17:58:36.000Z","40","uhqxn83g","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","453","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.09591949788580992","0.050725682243626787","0.08661417322834646","0.8992248062015504","0.8225806451612904","0.9133858267716536","0.796875","0.8743455497382199","0.9301181102362204","0.87146788497358","13","11","116","51","0.9695431472081218","0.813953488372093","0.9079405831652302","0.8034722222222221","0.05459524115850759","0.7530864197530864","0.3759572228720022","0.8095238095238095","0.3312106834450349","0.8225806451612904","0.796875","0.796875","0.9133858267716536","0.1992110013961792","0.8609027256814203"
"usual-sweep-27","","finished","-","","","2024-05-02T17:58:35.000Z","40","uhqxn83g","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","596","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.09507701278972996","0.06800546269342689","0.07874015748031496","0.9069767441860463","0.84375","0.9212598425196852","0.8181818181818182","0.8860103626943006","0.9329515628728228","0.873076742739769","12","10","117","54","0.9796954314720812","0.827906976744186","0.9142673757564642","0.8179933665008292","0.0774408565011135","0.7730061349693251","0.36431008272392806","0.8307692307692308","0.323835440698614","0.84375","0.8181818181818182","0.8181818181818182","0.9212598425196852","0.16011980175971985","0.8753633720930232"
"divine-sweep-26","","finished","-","","","2024-05-02T17:58:20.000Z","38","uhqxn83g","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","505","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.1045991405275104","0.0553671027484693","0.07936507936507936","0.8854961832061069","0.8305084745762712","0.9206349206349206","0.765625","0.868421052631579","0.9233630952380952","0.8224166082111877","15","10","116","49","0.964467005076142","0.8232558139534883","0.8958371538602604","0.8127177700348431","0.03963596626769666","0.7682926829268293","0.39401908697083937","0.7967479674796748","0.3588158079815395","0.8305084745762712","0.765625","0.765625","0.9206349206349206","0.16623423993587494","0.8580023288911891"
"swept-sweep-25","","finished","-","","","2024-05-02T17:57:50.000Z","40","uhqxn83g","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","681","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.09903828838870406","0.10431392779525037","0.078125","0.900763358778626","0.8333333333333334","0.921875","0.7936507936507936","0.8795811518324608","0.9315476190476192","0.868909399672332","13","10","118","50","0.9695431472081218","0.8651162790697674","0.9171098477902072","0.8604837191793713","0.07197659514671151","0.8176100628930818","0.36393844249636625","0.8130081300813008","0.3441246923456337","0.8333333333333334","0.7936507936507936","0.7936507936507936","0.921875","0.22171597182750705","0.8670483460559797"
"lyric-sweep-24","","finished","-","","","2024-05-02T17:57:50.000Z","40","uhqxn83g","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","771","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10302959384701822","0.04920122679322955","0.08527131782945736","0.8939393939393939","0.8166666666666667","0.9147286821705426","0.7777777777777778","0.8697916666666666","0.9242032730404824","0.864729664081441","14","11","118","49","0.9746192893401016","0.8511627906976744","0.9141756831102146","0.8415576154125772","0.05503711561824001","0.8072289156626506","0.3632160275481468","0.7967479674796748","0.33785394968720256","0.8166666666666667","0.7777777777777778","0.7777777777777778","0.9147286821705426","0.17910350859165192","0.8553030303030302"
"faithful-sweep-23","","finished","-","","","2024-05-02T17:57:49.000Z","41","uhqxn83g","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","791","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.1024137241714988","0.053686732844430554","0.06976744186046512","0.8571428571428571","0.8392857142857143","0.9302325581395348","0.7014925373134329","0.8520408163265306","0.9318523660765936","0.8662058522898821","20","9","120","47","0.9949238578680204","0.8372093023255814","0.9057399596552356","0.8316666666666667","0.06129696812740593","0.7770700636942676","0.3769720388013263","0.7642276422764228","0.33133298612488105","0.8392857142857143","0.7014925373134329","0.7014925373134329","0.9302325581395348","0.1886475682258606","0.8482142857142857"
"dulcet-sweep-22","","finished","-","","","2024-05-02T17:57:34.000Z","41","uhqxn83g","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","233","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.10441997373721348","0.048498895467888006","0.07874015748031496","0.9","0.8360655737704918","0.9212598425196852","0.796875","0.8795811518324608","0.9146161417322836","0.8214413281299823","13","10","117","51","0.9695431472081218","0.8372093023255814","0.909591050797726","0.8288812360387193","0.058508901263392254","0.782608695652174","0.3717878474745639","0.816","0.35847542854735087","0.8360655737704918","0.796875","0.796875","0.9212598425196852","0.1837196946144104","0.868032786885246"
"super-sweep-21","","finished","-","","","2024-05-02T17:57:04.000Z","40","uhqxn83g","512","0.9","0.999","","","0.48385975999639574","0.9119364253361356","256","no","8","0.035555835471023464","no","","0","0.15063512200116608","0.01","20","220","30","SGD","11","128","770","SMOTE","","step","906","13","0.05","no","306.6723144477691","","yes","no","0.0001","0.0933658900485905","0.06472129029097018","0.0859375","0.9140625","0.8333333333333334","0.9140625","0.8333333333333334","0.8865979381443299","0.9343039772727272","0.8700786688713074","11","11","117","55","0.9847715736040608","0.827906976744186","0.9094993581514762","0.8188756515264333","0.047237293664799174","0.7701863354037267","0.3698027854742006","0.8333333333333334","0.31839210006791324","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.9140625","0.19035935401916504","0.8736979166666667"
