Frame,X_thumb,Y_thumb,X_index,Y_index
0,213,215,152,160
1,212,214,151,159
2,214,215,150,158
3,215,215,149,157
4,216,216,147,156
5,217,215,145,154
6,218,216,143,152
7,219,216,141,151
8,220,217,139,149
9,220,217,137,148
10,221,218,135,146
11,222,218,133,145
12,222,218,131,143
13,222,218,128,142
14,223,218,125,140
15,223,219,125,139
16,223,219,122,137
17,224,219,121,137
18,224,219,119,135
19,224,219,118,135
20,224,219,117,133
21,224,219,116,133
22,224,219,116,132
23,224,219,115,132
24,225,218,114,130
25,225,218,113,130
26,225,218,111,129
27,225,218,112,129
28,225,218,112,128
29,225,217,111,128
30,225,217,111,128
31,225,217,111,128
32,225,217,111,128
33,225,217,111,128
34,224,217,111,128
35,224,217,111,128
36,223,218,111,129
37,223,218,113,130
38,222,218,113,131
39,222,218,115,133
40,221,218,115,134
41,220,218,119,137
42,219,217,119,140
43,218,217,123,144
44,217,217,126,147
45,215,216,130,153
46,215,215,133,158
47,214,215,138,163
48,213,215,143,170
49,212,215,148,174
50,212,215,154,180
51,212,215,154,180
52,213,216,154,180
53,212,216,154,181
54,213,216,155,182
55,213,217,155,183
56,213,217,155,184
57,213,218,156,185
58,213,218,156,186
59,213,218,156,186
60,213,218,157,186
61,213,219,157,187
62,214,219,158,187
63,214,218,158,187
64,214,218,158,187
65,214,218,158,187
66,214,219,158,187
67,214,217,158,186
68,214,216,159,186
69,214,216,159,186
70,214,215,159,185
71,214,215,159,185
72,214,215,159,184
73,213,213,159,183
74,213,213,159,182
75,213,212,159,181
76,212,211,159,180
77,212,210,159,179
78,212,210,159,178
79,212,208,159,177
80,211,207,158,176
81,211,207,158,175
82,210,206,158,174
83,210,205,158,173
84,209,204,158,172
85,209,203,158,171
86,209,203,158,170
87,208,202,158,169
88,208,201,157,168
89,207,200,157,167
90,207,200,157,167
91,207,200,157,166
92,207,199,157,165
93,207,198,157,164
94,207,198,157,163
95,207,197,157,163
96,206,197,157,162
97,206,197,157,162
98,206,197,157,161
99,206,197,158,161
100,207,197,158,160
101,207,197,158,159
102,207,198,158,158
103,207,198,158,157
104,206,198,158,156
105,206,199,158,155
106,207,199,158,153
107,207,199,158,152
108,208,199,156,151
109,209,200,155,149
110,210,200,153,147
111,211,201,151,146
112,213,202,149,144
113,214,202,148,143
114,215,204,145,141
115,216,204,144,140
116,217,204,141,139
117,218,204,141,138
118,219,205,139,137
119,220,205,138,136
120,220,205,136,135
121,221,206,135,134
122,221,206,133,133
123,221,206,132,132
124,221,206,130,130
125,221,206,130,130
126,221,206,128,129
127,221,206,128,128
128,222,206,127,127
129,222,206,126,126
130,222,206,125,125
131,222,205,125,125
132,222,205,125,124
133,222,205,124,123
134,222,204,123,122
135,222,204,123,122
136,222,204,123,121
137,223,204,123,121
138,222,204,123,121
139,222,204,122,120
140,222,203,122,120
141,223,203,122,119
142,222,204,121,119
143,223,203,121,119
144,222,204,122,119
145,222,204,121,119
146,222,204,121,120
147,222,204,121,120
148,221,205,122,121
149,221,205,122,122
150,220,206,123,124
151,219,206,124,125
152,218,206,125,127
153,217,207,127,130
154,215,207,128,132
155,214,206,131,137
156,213,207,133,141
157,212,206,136,145
158,211,207,139,150
159,210,205,143,155
160,209,205,147,160
161,208,205,152,165
162,209,205,153,168
163,209,207,154,169
164,210,207,154,170
165,210,208,155,171
166,210,208,156,172
