Frame,X_thumb,Y_thumb,X_index,Y_index
0,114,248,234,100
1,113,247,233,99
2,111,248,232,96
3,108,248,231,95
4,106,248,230,92
5,104,249,229,89
6,102,248,229,87
7,100,248,229,85
8,99,246,227,84
9,97,246,227,81
10,97,245,226,80
11,96,245,226,78
12,95,242,225,76
13,94,242,224,75
14,94,240,224,72
15,94,239,224,70
16,94,238,224,69
17,94,237,223,67
18,94,235,223,66
19,94,234,224,64
20,93,233,223,63
21,93,233,223,62
22,93,231,223,62
23,93,231,223,61
24,92,230,223,61
25,92,230,223,60
26,92,229,222,60
27,92,229,222,60
28,92,229,222,59
29,92,229,222,59
30,92,229,222,59
31,92,230,222,59
32,92,230,222,59
33,92,230,221,59
34,93,230,221,59
35,93,231,221,59
36,93,231,220,59
37,93,233,220,59
38,93,233,220,59
39,94,234,220,59
40,94,234,220,59
41,94,235,220,60
42,94,235,220,60
43,95,237,219,60
44,95,237,219,60
45,96,238,219,60
46,96,238,219,61
47,97,239,219,61
48,98,239,219,61
49,98,240,220,62
50,99,240,220,62
51,100,241,220,62
52,101,241,220,63
53,103,242,220,63
54,105,241,220,64
55,106,242,220,64
56,109,242,220,64
57,112,242,221,65
58,115,241,221,65
59,118,242,221,65
60,122,240,221,66
61,126,241,221,67
62,131,238,221,68
63,135,237,221,69
64,140,234,221,72
65,145,232,222,73
66,150,229,223,77
67,155,226,224,80
68,159,222,225,84
69,164,219,227,90
70,167,216,228,97
71,171,212,229,105
72,174,208,230,113
73,177,205,229,121
74,180,202,227,132
75,181,200,226,138
76,183,198,223,149
77,184,199,221,155
78,184,200,221,158
79,185,201,222,159
80,185,202,223,160
81,185,204,223,162
82,185,205,223,164
83,184,207,223,166
84,184,208,223,169
85,184,210,223,170
86,184,211,223,173
87,184,213,223,175
88,183,215,223,177
89,183,216,223,179
90,183,218,223,181
91,183,220,223,183
92,182,222,222,185
93,182,223,223,186
94,182,225,222,188
95,181,226,222,190
96,181,227,222,191
97,181,228,221,192
98,181,229,221,192
99,181,229,221,192
100,181,229,221,192
101,181,230,221,192
102,181,229,221,192
103,181,230,221,192
104,181,229,220,192
105,181,230,220,192
106,181,230,220,192
107,181,231,220,193
108,180,231,219,193
109,179,231,219,193
110,179,231,218,193
111,178,233,218,195
112,177,233,217,195
113,176,234,216,196
114,176,235,215,197
115,175,237,215,197
116,174,238,215,197
117,173,239,215,197
118,172,240,215,196
119,170,244,216,195
120,168,246,217,193
121,165,249,218,192
122,161,252,221,190
123,157,255,223,187
124,154,258,225,185
125,150,261,227,181
126,146,263,229,177
127,142,266,231,173
128,138,267,233,168
129,133,270,235,162
130,129,271,237,155
131,125,273,238,148
132,120,272,238,141
133,116,273,238,136
134,112,272,238,130
135,108,272,238,125
136,104,271,237,121
137,100,270,236,117
138,98,267,235,112
139,96,265,235,110
140,94,263,235,107
141,92,261,234,105
142,90,259,233,102
143,89,256,232,99
144,88,254,231,97
145,87,253,229,95
146,86,252,229,93
147,85,251,228,92
