llm,ml,system,alpha,MAE,Spearman,Kappa,Kappa_CI_lo,Kappa_CI_hi,AAcc
deepseek-r1_70b,GradientBoosting,Only ML,0.0,0.41509433962264153,0.6891081769708869,0.6641705069124424,0.48872808717459093,0.7705689715689715,1.0
deepseek-r1_70b,GradientBoosting,Only LLM,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.36719586230045037,0.7030700979115753,0.9622641509433962
deepseek-r1_70b,GradientBoosting,Ens a=0.30,0.3,0.4339622641509434,0.6984340209648645,0.6739769991976464,0.5312784640294766,0.7759731964102606,1.0
deepseek-r1_70b,RandomForest,Only ML,0.0,0.4716981132075472,0.6629845606801177,0.5777515491295367,0.457745477198744,0.6902870920058859,0.9811320754716981
deepseek-r1_70b,RandomForest,Only LLM,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.37473521499888846,0.7024008330696877,0.9622641509433962
deepseek-r1_70b,RandomForest,Ens a=0.40,0.4,0.5094339622641509,0.6401245855998919,0.6335467349551857,0.46348032620335544,0.7433884405341671,1.0
deepseek-r1_70b,ExtraTrees,Only ML,0.0,0.5471698113207547,0.5817406117350928,0.5064583959146891,0.3764705882352941,0.6110130518121826,0.9811320754716981
deepseek-r1_70b,ExtraTrees,Only LLM,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.37441420691257754,0.705568313113807,0.9622641509433962
deepseek-r1_70b,ExtraTrees,Ens a=0.50,0.5,0.5283018867924528,0.6358850191981736,0.6278836509528586,0.461113556646732,0.7308146290972788,1.0
deepseek-r1_70b,SVR,Only ML,0.0,0.6037735849056604,0.4185676025610635,0.3148028442146089,0.14564738737671312,0.5099324924862357,0.9622641509433962
deepseek-r1_70b,SVR,Only LLM,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.3667280263958092,0.6992923031828684,0.9622641509433962
deepseek-r1_70b,SVR,Ens a=0.40,0.4,0.4528301886792453,0.654898044869012,0.5906120023767083,0.43700440706421717,0.7226759686023115,0.9811320754716981
deepseek-r1_70b,Ridge,Only ML,0.0,0.5283018867924528,0.5593348276648207,0.5538720538720538,0.352531932490795,0.7007570549469491,0.9811320754716981
deepseek-r1_70b,Ridge,Only LLM,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.37077247431506843,0.7018177565439921,0.9622641509433962
deepseek-r1_70b,Ridge,Ens a=0.30,0.3,0.41509433962264153,0.6676347823052085,0.6582649472450176,0.4673251359119566,0.7765302714934819,1.0
deepseek-r1_70b,KNN,Only ML,0.0,0.5283018867924528,0.5373155830102608,0.47975460122699387,0.29194904331184446,0.6288241798746774,0.9622641509433962
deepseek-r1_70b,KNN,Only LLM,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.3764705882352941,0.7048027499756031,0.9622641509433962
deepseek-r1_70b,KNN,Ens a=0.45,0.45,0.5094339622641509,0.5833687077001815,0.590460964561684,0.3805057929237853,0.7306086910759239,0.9811320754716981
deepseek-r1_70b,KNN-clf,Only ML,0.0,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.43162854803795386,0.7907827607010169,0.9433962264150944
deepseek-r1_70b,KNN-clf,Only LLM,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.37229092575540174,0.7047062325725213,0.9622641509433962
deepseek-r1_70b,KNN-clf,Ens a=0.50,0.5,0.37735849056603776,0.660326328663588,0.6463039014373717,0.46034267837337506,0.8165113182423436,0.9433962264150944
qwen2.5_72b,GradientBoosting,Only ML,0.0,0.41509433962264153,0.6891081769708869,0.6641705069124424,0.49178082191780825,0.7767676939998486,1.0
qwen2.5_72b,GradientBoosting,Only LLM,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.30374377953942394,0.7271677895899691,0.9056603773584906
qwen2.5_72b,GradientBoosting,Ens a=0.35,0.35,0.41509433962264153,0.6900324827741285,0.671147880041365,0.4877318611371447,0.793271768668822,0.9811320754716981
qwen2.5_72b,RandomForest,Only ML,0.0,0.4716981132075472,0.6629845606801177,0.5777515491295367,0.45687121879758497,0.685094485653499,0.9811320754716981
