llm,ml,alpha,MAE,Spearman,Kappa,AAcc
deepseek-r1_70b,GradientBoosting,0.0,0.41509433962264153,0.6891081769708869,0.6641705069124424,1.0
deepseek-r1_70b,GradientBoosting,0.05,0.41509433962264153,0.6891081769708869,0.6641705069124424,1.0
deepseek-r1_70b,GradientBoosting,0.1,0.4339622641509434,0.6976210880238031,0.6557469641344253,1.0
deepseek-r1_70b,GradientBoosting,0.15,0.4528301886792453,0.6848489634056518,0.6321573163678427,1.0
deepseek-r1_70b,GradientBoosting,0.2,0.4716981132075472,0.6829334326467118,0.6306105380540843,1.0
deepseek-r1_70b,GradientBoosting,0.25,0.4716981132075472,0.6762311307396179,0.64562717304092,1.0
deepseek-r1_70b,GradientBoosting,0.3,0.4339622641509434,0.6984340209648645,0.6739769991976464,1.0
deepseek-r1_70b,GradientBoosting,0.35,0.4528301886792453,0.6723013764559405,0.6576964477933263,1.0
deepseek-r1_70b,GradientBoosting,0.4,0.4528301886792453,0.6723013764559405,0.6576964477933263,1.0
deepseek-r1_70b,GradientBoosting,0.45,0.5471698113207547,0.5785452538341581,0.5838072028161387,1.0
deepseek-r1_70b,GradientBoosting,0.5,0.5660377358490566,0.617227681163044,0.6159420289855073,1.0
deepseek-r1_70b,GradientBoosting,0.55,0.5660377358490566,0.617227681163044,0.6159420289855073,1.0
deepseek-r1_70b,GradientBoosting,0.6,0.5660377358490566,0.635698067317553,0.6255299105040037,1.0
deepseek-r1_70b,GradientBoosting,0.65,0.5660377358490566,0.635698067317553,0.6255299105040037,1.0
deepseek-r1_70b,GradientBoosting,0.7,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,GradientBoosting,0.75,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,GradientBoosting,0.8,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,GradientBoosting,0.85,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,GradientBoosting,0.9,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,GradientBoosting,0.95,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,GradientBoosting,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.9622641509433962
deepseek-r1_70b,RandomForest,0.0,0.4716981132075472,0.6629845606801177,0.5777515491295367,0.9811320754716981
deepseek-r1_70b,RandomForest,0.05,0.49056603773584906,0.6486086254502116,0.5511191772534785,0.9811320754716981
deepseek-r1_70b,RandomForest,0.1,0.49056603773584906,0.657153765991279,0.5572792362768497,0.9811320754716981
deepseek-r1_70b,RandomForest,0.15,0.5094339622641509,0.6555494410544774,0.5584602125825913,0.9811320754716981
deepseek-r1_70b,RandomForest,0.2,0.5471698113207547,0.594329635338553,0.5715082241427376,1.0
deepseek-r1_70b,RandomForest,0.25,0.5471698113207547,0.6114078253815581,0.5954198473282444,1.0
deepseek-r1_70b,RandomForest,0.3,0.5660377358490566,0.59473831686961,0.5721205597416578,1.0
deepseek-r1_70b,RandomForest,0.35,0.5471698113207547,0.6057148562804151,0.6002600780234071,1.0
deepseek-r1_70b,RandomForest,0.4,0.5094339622641509,0.6401245855998919,0.6335467349551857,1.0
deepseek-r1_70b,RandomForest,0.45,0.5094339622641509,0.6401245855998919,0.6335467349551857,1.0
deepseek-r1_70b,RandomForest,0.5,0.5283018867924528,0.6358850191981736,0.6278836509528586,1.0
deepseek-r1_70b,RandomForest,0.55,0.5471698113207547,0.6356554486107941,0.6266699052708282,1.0
deepseek-r1_70b,RandomForest,0.6,0.5660377358490566,0.635698067317553,0.6255299105040037,1.0
deepseek-r1_70b,RandomForest,0.65,0.5849056603773585,0.5882612779198969,0.5903021784961349,0.9811320754716981
deepseek-r1_70b,RandomForest,0.7,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,RandomForest,0.75,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
