Frame,X_thumb,Y_thumb,X_index,Y_index
0,150,204,197,168
1,150,204,196,168
2,148,204,198,165
3,147,204,199,164
4,146,204,201,162
5,144,204,202,160
6,142,205,203,159
7,141,205,205,156
8,139,205,207,154
9,136,206,209,151
10,134,207,211,149
11,132,206,213,146
12,130,207,215,144
13,128,207,217,141
14,126,207,218,139
15,124,207,219,136
16,121,208,221,134
17,120,207,223,132
18,117,208,224,130
19,116,207,225,127
20,114,207,226,126
21,111,206,227,124
22,109,206,228,124
23,107,205,229,122
24,103,205,230,121
25,102,204,231,120
26,99,203,232,119
27,96,202,232,118
28,94,202,233,117
29,92,201,234,117
30,90,201,234,117
31,89,201,235,116
32,87,200,235,116
33,86,200,236,115
34,84,200,236,114
35,83,200,236,114
36,82,199,237,113
37,82,199,237,113
38,81,199,237,112
39,80,199,237,111
40,79,199,237,111
41,79,199,237,111
42,79,199,237,110
43,78,199,237,110
44,78,199,237,109
45,78,199,237,109
46,78,199,237,108
47,79,199,237,108
48,79,199,237,108
49,79,199,237,108
50,80,199,237,108
51,81,199,236,108
52,81,199,236,108
53,83,199,236,108
54,83,200,235,109
55,86,200,235,110
56,87,200,235,112
57,89,201,234,113
58,90,202,233,114
59,94,202,233,117
60,96,204,233,119
61,100,204,231,123
62,104,206,230,126
63,107,207,229,130
64,112,208,228,133
65,115,209,224,138
66,119,211,221,143
67,123,211,218,147
68,128,211,215,151
69,131,211,211,155
70,136,212,207,159
71,139,211,202,164
72,142,211,198,167
73,146,209,194,171
74,147,209,190,173
75,149,207,187,176
76,151,206,186,176
77,151,205,185,177
78,152,205,186,176
79,152,205,187,175
80,152,205,187,175
81,153,204,187,175
82,153,204,187,175
83,153,204,187,174
84,153,203,187,174
85,154,203,187,174
86,154,203,187,174
87,154,202,187,173
88,154,202,187,173
89,154,202,187,173
90,154,202,187,173
91,154,202,187,173
92,154,202,187,173
93,154,202,187,173
94,154,202,187,174
95,154,202,187,174
96,154,202,187,174
97,154,202,186,174
98,154,202,186,174
99,154,203,186,174
100,154,203,186,174
101,154,203,186,174
102,154,203,186,174
103,154,203,186,175
104,154,203,187,174
105,154,203,187,174
106,153,203,188,174
107,153,203,189,173
108,153,203,191,171
109,153,203,193,170
110,152,204,195,167
111,150,204,197,165
112,148,205,200,163
113,147,205,202,160
114,144,206,206,158
115,144,207,207,155
116,140,208,210,153
117,139,208,212,150
118,137,210,215,146
119,136,210,217,144
120,134,211,220,141
121,131,211,221,137
