Frame,X_thumb,Y_thumb,X_index,Y_index
0,218,213,156,155
1,218,214,153,151
2,221,215,150,150
3,221,216,148,147
4,224,217,146,145
5,226,218,144,143
6,227,219,142,140
7,229,220,141,138
8,230,221,139,135
9,231,222,138,133
10,232,222,137,132
11,233,222,136,130
12,234,223,135,129
13,235,223,134,127
14,237,224,132,126
15,237,225,131,125
16,238,225,131,123
17,239,225,130,122
18,240,226,130,121
19,241,226,128,120
20,242,226,128,119
21,242,226,128,119
22,243,227,127,118
23,244,227,127,118
24,244,227,126,118
25,245,227,126,117
26,245,227,125,117
27,246,227,125,117
28,246,227,126,117
29,246,227,126,117
30,246,226,126,117
31,246,226,126,117
32,246,226,126,117
33,245,225,127,118
34,245,224,128,118
35,243,223,129,120
36,241,222,130,121
37,239,221,131,122
38,238,220,133,125
39,234,219,135,127
40,233,219,136,130
41,230,218,137,133
42,227,218,139,137
43,223,217,142,140
44,220,216,145,145
45,217,215,147,148
46,215,215,150,154
47,212,214,154,158
48,209,213,158,164
49,207,213,161,168
50,205,211,165,172
51,201,211,169,177
52,201,210,173,180
53,200,209,177,182
54,200,210,177,183
55,200,210,177,183
56,200,210,177,183
57,200,210,177,183
58,200,210,177,183
59,199,210,177,183
60,199,210,177,183
61,199,210,177,183
62,199,210,177,183
63,199,210,177,183
64,200,209,178,183
65,200,209,178,182
66,200,208,178,182
67,200,208,178,181
68,201,207,178,181
69,201,207,178,179
70,202,205,178,178
71,203,205,176,176
72,205,205,175,174
73,206,205,173,172
74,209,206,171,170
75,212,206,169,167
76,212,207,167,165
77,215,208,164,163
78,217,209,161,160
79,218,210,158,158
80,221,211,156,156
81,223,212,154,152
82,225,214,152,151
83,226,214,149,149
84,228,215,147,147
85,230,216,145,145
86,231,217,143,144
87,233,218,140,141
88,235,218,140,139
89,236,218,138,137
90,237,219,137,135
91,240,219,136,133
92,241,219,135,131
93,243,219,134,129
94,243,219,133,128
95,245,220,133,126
96,246,220,131,125
97,247,220,130,123
98,248,221,130,122
99,248,221,128,121
100,249,221,128,120
101,250,221,128,119
102,251,221,127,118
103,251,221,127,118
104,251,222,127,117
105,252,222,127,117
106,252,222,126,116
107,252,222,126,116
108,252,221,126,115
109,252,221,126,115
110,252,222,126,115
111,252,222,126,114
112,252,222,126,114
113,250,221,127,114
114,250,221,127,115
115,248,220,129,115
116,246,220,130,116
117,244,219,132,118
118,242,219,132,119
119,239,218,133,121
120,236,218,136,124
121,233,218,138,127
122,229,218,139,132
123,225,218,139,135
124,221,218,144,140
125,217,217,147,145
126,215,217,150,150
127,213,217,153,155
128,209,217,156,161
129,206,216,159,165
130,205,216,163,170
131,203,216,167,173
132,201,215,170,177
133,201,215,173,181
134,199,214,176,182
135,199,215,177,183
136,198,215,177,184
137,198,215,176,184
138,198,215,176,184
139,198,215,176,184
140,198,215,176,184
141,198,215,176,184
142,198,214,176,184
143,198,214,176,184
144,198,214,176,184
145,198,214,176,184
146,198,214,176,184
147,198,214,176,183
148,198,214,176,183
149,198,213,176,182
150,199,212,176,181
151,200,211,175,180
152,202,211,174,179
153,203,211,172,178
154,206,212,170,176
155,207,212,169,174
156,211,213,166,171
157,214,213,164,169
158,215,214,161,167
159,217,215,157,164
160,221,216,155,162
161,223,217,152,159
162,226,218,150,156
163,228,218,147,153
164,230,219,146,151
165,232,219,143,149
166,234,220,142,146
167,235,220,140,144
168,238,221,139,141
169,239,221,137,139
170,242,221,136,137
171,244,221,135,136
172,245,222,133,134
173,246,221,133,132
174,248,221,131,130
175,249,220,131,129
176,250,221,130,128
177,251,220,129,126
178,252,221,128,125
179,253,220,127,124
180,255,220,127,122
181,256,220,126,121
182,257,220,126,120
183,257,220,126,119
184,258,219,125,118
185,259,219,125,117
186,259,219,125,117
187,260,219,125,115
188,260,219,125,115
189,261,219,125,114
190,261,219,125,114
191,261,219,124,114
192,261,219,124,113
193,261,219,124,113
194,261,219,124,113
195,261,219,125,113
196,260,219,125,113
197,259,218,126,113
198,257,218,127,114
199,254,217,128,115
200,252,217,129,117
201,248,217,131,119
202,246,217,132,121
203,242,218,133,124
204,238,217,135,128
205,233,217,137,132
206,230,218,139,136
207,224,218,140,141
208,223,219,144,147
209,218,218,148,152
210,215,219,150,157
211,212,219,154,163
212,209,218,158,167
213,205,218,163,172
214,204,217,167,177
215,202,217,171,182
216,201,216,174,184
217,200,216,178,186
218,200,217,178,187
219,200,217,177,187
220,200,217,177,187
221,200,217,177,187
222,200,217,177,188
223,200,218,177,188
224,200,218,177,188
225,199,218,177,188
226,199,218,177,188
227,199,218,177,188
228,199,218,177,188
229,199,218,177,188
230,199,218,177,188
231,200,217,177,188
232,200,217,177,186
233,200,216,177,186
234,201,215,177,185
235,201,215,176,184
236,203,214,175,182
237,206,214,173,181
238,207,214,171,179
239,209,215,169,177
240,212,216,167,175
241,214,216,165,172
242,217,217,161,170
243,218,218,159,168
244,221,219,156,166
245,223,220,153,163
246,225,220,151,160
247,228,221,149,158
248,229,221,146,155
249,231,222,144,152
250,233,223,142,149
251,234,223,140,147
252,236,223,139,144
253,237,223,136,142
254,240,224,136,139
255,240,223,135,138
256,242,224,133,136
257,243,224,133,134
258,245,224,131,133
259,246,224,130,131
260,247,224,129,129
261,248,223,128,129
262,249,223,128,127
263,249,223,127,126
264,251,223,127,125
265,251,223,126,124
266,252,223,126,123
267,253,222,125,122
268,254,222,125,121
269,254,223,125,121
270,255,222,125,120
271,255,222,125,120
272,256,222,125,119
273,256,222,124,118
274,256,222,124,118
275,256,222,124,118
276,256,222,124,118
277,255,222,125,118
278,255,222,125,118
279,254,222,125,118
280,254,222,126,118
281,253,222,126,118
282,252,222,127,119
283,250,221,127,121
284,249,222,129,122
285,246,221,130,125
286,243,222,132,128
287,239,222,134,131
288,237,223,136,135
289,233,222,139,140
290,229,223,142,145
291,225,223,145,151
292,222,223,149,156
293,218,223,153,162
294,215,223,158,169
295,213,222,163,174
296,210,222,168,179
297,209,221,172,183
298,206,221,178,186
299,204,220,181,187
300,204,220,182,189
301,204,220,182,189
302,204,220,181,189
303,203,220,181,189
304,203,221,181,189
305,203,221,181,189
306,203,221,181,190
307,203,221,181,190
308,203,221,180,190
309,203,221,180,190
310,203,221,180,190
311,203,220,180,189
312,203,219,180,189
313,203,219,180,188
314,204,218,179,188
315,204,218,179,187
316,206,217,177,186
317,206,217,175,184
318,209,217,173,182
319,210,217,170,180
320,212,218,168,178
321,214,218,164,176
322,217,219,161,174
323,219,219,158,171
324,221,221,155,168
325,223,221,153,166
326,226,223,150,163
327,228,223,147,160
328,230,224,145,158
329,232,224,143,156
330,234,226,141,154
331,235,226,139,151
332,237,226,137,149
333,238,227,136,147
334,240,227,134,145
335,241,228,133,143
336,242,228,132,141
337,243,228,131,139
338,245,229,130,137
339,246,229,130,136
340,247,229,128,134
341,248,229,128,133
342,249,229,127,132
343,249,229,126,131
344,251,229,126,129
345,251,229,126,128
346,252,228,125,128
347,252,228,124,126
348,253,228,124,126
349,253,228,124,125
350,253,228,124,125
351,253,228,124,124
352,253,228,124,124
353,253,227,124,124
354,253,227,124,123
355,252,227,124,123
356,251,226,124,123
357,251,226,125,124
358,249,225,126,124
359,248,225,128,125
360,246,225,129,127
361,243,224,130,129
