Frame,X_thumb,Y_thumb,X_index,Y_index
0,124,217,230,151
1,122,218,234,147
2,120,218,237,144
3,119,219,240,141
4,119,219,241,138
5,118,220,243,135
6,118,219,245,133
7,118,219,246,131
8,118,219,247,129
9,118,219,248,127
10,118,219,248,125
11,118,219,249,123
12,118,219,250,121
13,119,218,251,119
14,119,218,251,118
15,120,217,252,116
16,120,216,252,115
17,120,216,252,113
18,120,216,253,112
19,121,215,253,111
20,121,215,254,110
21,121,215,254,109
22,121,215,254,109
23,122,215,255,108
24,122,214,255,108
25,122,215,255,108
26,122,214,255,108
27,122,215,255,108
28,122,214,255,109
29,122,215,255,109
30,122,215,254,111
31,122,215,254,112
32,122,215,254,113
33,122,216,253,115
34,123,216,252,117
35,124,217,251,118
36,125,217,249,122
37,127,218,248,124
38,128,217,243,132
39,131,218,240,137
40,134,216,233,146
41,138,216,226,154
42,141,214,215,163
43,144,214,205,170
44,148,212,193,175
45,146,215,192,176
46,147,215,192,176
47,147,216,192,177
48,146,217,190,178
49,145,219,189,179
50,145,219,188,181
51,143,222,187,182
52,144,222,186,184
53,143,223,185,185
54,143,223,184,185
55,143,224,184,186
56,143,224,184,186
57,143,225,184,187
58,143,225,184,187
59,143,225,184,187
60,143,224,184,187
61,143,223,184,186
62,143,223,184,186
63,142,222,183,186
64,142,221,184,186
65,142,220,183,185
66,142,219,183,184
67,142,218,184,183
68,142,216,184,182
69,142,215,185,182
70,142,213,186,180
71,141,212,187,179
72,141,210,187,178
73,140,209,189,178
74,140,208,192,176
75,138,207,195,175
76,136,207,198,173
77,133,208,201,170
78,132,207,204,167
79,129,208,208,164
80,127,208,211,161
81,125,209,215,157
82,123,209,220,153
83,120,210,225,149
84,118,211,228,145
85,116,212,233,141
86,115,212,236,137
87,113,212,240,133
88,113,212,242,130
89,112,212,245,126
90,112,212,246,124
91,112,211,248,121
92,112,211,248,120
93,113,211,249,118
94,113,210,249,116
95,113,210,250,114
96,114,210,251,113
97,114,210,251,111
98,114,210,251,110
99,115,210,252,109
100,116,210,252,109
101,116,211,252,108
102,116,212,253,108
103,117,213,253,108
104,117,213,253,108
