Feature,Pearson_with_Mean,Pearson_with_Rating1,Pearson_with_Rating2
period_quartile_range,0.5817916138630169,0.5025909494135856,0.49136816058686483
period_stdev,0.5663820185629441,0.5154601803042654,0.46274081049224136
periodVarianceNorm,0.5410056962054693,0.4819939448133608,0.4481929225150073
periodEntropy,0.532180355961427,0.5318583196681559,0.4064568294027743
finger_mvmnt_x_mean,-0.5092773766201375,-0.33234869332734535,-0.4942898697239553
finger_mvmnt_x_stdev,-0.4979548036614512,-0.2659694719989413,-0.5184785775254791
finger_mvmnt_x_median,-0.468333986780045,-0.2626842213198968,-0.4801612642719598
finger_mvmnt_x_max,-0.4637247877072657,-0.2511723483029135,-0.48075893719110835
finger_mvmnt_dist_stdev,-0.46354288021450535,-0.234612869928622,-0.49038662327434523
finger_mvmnt_dist_mean,-0.4490743897340713,-0.26961842509006495,-0.44983821317439904
finger_mvmnt_x_quartile_range,-0.42320052145646003,-0.25296442061539615,-0.4245880374574012
speed_mean,-0.41847105305386567,-0.3191264445038025,-0.3787023470097734
finger_mvmnt_dist_max,-0.40403613824138623,-0.18780443784240686,-0.4373868924275809
speed_median,-0.4027904625313983,-0.36926765266206973,-0.3274798514053329
speed_quartile_range,-0.38757063414552145,-0.2730403102562367,-0.3641688716875493
period_max,0.3764978147955527,0.4390749450419335,0.2501001650646363
finger_mvmnt_dist_quartile_range,-0.37151910165211055,-0.23076884747764612,-0.3675511010358173
speed_stdev,-0.36429453296049336,-0.2204985807501916,-0.3638521511659278
finger_mvmnt_dist_median,-0.35930368430014475,-0.32499106676686207,-0.294753175173973
finger_mvmnt_y_median,-0.3452979538976269,-0.1237762636956283,-0.39570096710972946
aperiodicity,-0.33723092792357123,0.027565719628872283,-0.47498280265526216
frequency_min,-0.3353504928169182,-0.4102473521268577,-0.21134171871687008
finger_mvmnt_y_stdev,-0.32684226670061717,-0.15873808460118494,-0.3497571106448284
maxFreezeDuration,0.32250030221317433,0.42148628044670416,0.18716668803278794
finger_mvmnt_y_mean,-0.3142788231790327,-0.15820668714838193,-0.33299106204123474
frequency_stdev,0.2954563571604287,0.18697758344177257,0.2902403622026187
frequency_quartile_range,0.2878325106575499,0.17032668953800112,0.28980350566298635
frequency_lr_slope,0.25868722730293187,0.1608299486856232,0.25583693373697264
finger_mvmnt_y_max,-0.2517380095752924,-0.056485127310923616,-0.3086125382316941
finger_mvmnt_y_quartile_range,-0.24556225365337714,-0.16096380959682216,-0.23791063529031617
acceleration_median,-0.21885752430245103,-0.18284880736229997,-0.1885484714196852
acceleration_mean,-0.21294468870701103,-0.17552736223893373,-0.18487463774463692
period_mean,0.19661131126505604,0.31656385335952986,0.07856029305952125
acceleration_quartile_range,-0.1959933398024439,-0.1488018160764836,-0.1777627488111858
num_peaks,0.1903554224951073,0.1446791951535139,0.1725551532086956
frequency_median,-0.1887378884846673,-0.2897217268087824,-0.08386148965301558
period_median,0.17920073872705092,0.3042943407555809,0.062203312539788995
frequency_mean,-0.16984705821960808,-0.27955755954626993,-0.0642362568454173
acceleration_stdev,-0.14861745383294972,-0.10791655773994809,-0.13772554621045155
speed_max,-0.13541036638872614,-0.06212375060353395,-0.1470753724528349
num_freeze_norm,-0.1162948333925657,-0.037045648318055784,-0.13603833698396833
numFreeze,-0.11629483339256548,-0.03704564831805573,-0.136038336983968
speed_min,0.1068262323552338,-0.02320123479955357,0.1590910123482226
acceleration_min,-0.09607652368314741,-0.14565264461487792,-0.04378043002013402
numInterruptions,0.09041539566843748,0.12348822661003875,0.04930026759705337
num_interruptions_norm,0.08696864125148172,0.12140596880125121,0.04585532626623322
acceleration_max,-0.08462449841155316,-0.05236267480732728,-0.08384099574240542
frequency_lr_fitness_r2,0.06017753141016545,0.10901607037220072,0.01681510127936496
period_min,-0.017841777776328064,0.13015181340800885,-0.10187443031132515
frequency_max,0.010669345731930123,-0.11356052093570407,0.08222782717937584
finger_mvmnt_x_min,,,
finger_mvmnt_y_min,,,
finger_mvmnt_dist_min,,,
frequency_fit_min_degree,,,
