Frame,X_thumb,Y_thumb,X_index,Y_index
0,168,226,189,150
1,167,226,190,148
2,167,226,191,147
3,166,227,192,145
4,166,227,192,144
5,166,228,193,142
6,165,228,193,141
7,165,229,193,140
8,165,229,193,138
9,166,229,194,136
10,165,229,194,135
11,166,229,194,134
12,165,229,193,133
13,165,229,193,132
14,165,229,193,130
15,165,230,192,129
16,165,230,192,128
17,165,230,191,128
18,164,231,191,127
19,164,231,190,126
20,164,231,190,126
21,163,233,190,126
22,162,232,189,126
23,162,233,189,125
24,162,233,189,125
25,162,234,189,126
26,161,235,189,126
27,162,237,189,127
28,161,237,189,128
29,161,239,190,129
30,161,239,190,130
31,161,240,190,132
32,161,241,192,133
33,161,243,192,135
34,161,243,193,135
35,160,244,193,136
36,161,245,194,137
37,160,247,195,137
38,160,248,195,138
39,160,249,196,139
40,160,249,196,140
41,159,251,197,141
42,160,251,197,142
43,159,252,198,143
44,159,253,198,144
45,159,254,199,145
46,159,255,199,146
47,159,256,200,147
48,158,256,200,148
49,158,257,201,150
50,157,257,202,152
51,158,258,202,153
52,157,258,202,155
53,157,259,203,157
54,158,259,204,159
55,158,260,204,161
56,157,260,204,163
57,158,260,205,165
58,158,260,205,167
59,158,261,205,169
60,159,260,206,171
61,159,260,206,175
62,160,260,206,176
63,160,259,205,179
64,161,258,205,181
65,162,257,204,183
66,164,256,203,185
67,165,255,203,187
68,166,253,201,188
69,167,251,199,189
70,169,249,198,190
71,170,248,196,190
72,171,246,195,190
73,170,244,193,190
74,171,242,192,189
75,171,241,190,189
76,171,239,189,188
77,170,239,189,187
78,170,237,188,186
79,169,237,187,186
80,169,236,186,185
81,168,236,185,185
82,167,235,184,184
83,166,235,184,184
84,166,233,183,182
85,166,234,183,182
86,166,232,183,180
87,166,232,183,179
88,166,230,183,178
89,166,230,183,177
90,166,228,184,175
91,167,228,184,175
92,167,227,185,174
93,168,227,186,173
94,169,225,187,172
95,169,225,187,171
96,170,224,188,170
97,171,224,189,170
98,171,223,190,169
99,171,223,190,169
100,172,222,191,168
101,172,223,191,168
102,173,222,192,167
103,173,222,192,167
104,174,222,193,167
105,174,222,193,167
106,174,221,193,166
107,174,222,193,166
108,174,221,193,166
109,174,222,193,166
110,174,221,193,166
111,175,221,194,166
112,175,221,193,165
113,175,221,193,165
114,175,221,193,165
115,174,220,193,165
116,174,220,193,165
117,174,220,192,165
118,174,220,192,165
119,174,220,191,165
120,174,219,191,164
121,174,219,190,164
122,173,219,190,164
123,173,219,190,164
124,173,219,190,164
125,173,218,189,163
126,173,218,189,163
127,173,218,189,163
128,173,218,189,163
129,173,217,189,163
130,173,217,189,162
131,173,217,189,162
132,173,216,188,161
133,174,216,188,161
134,174,215,188,160
135,174,215,189,160
136,174,214,189,159
137,174,213,189,159
138,175,212,189,158
139,174,212,189,156
140,175,211,189,155
141,174,211,190,153
142,175,211,190,151
143,175,212,191,149
144,174,212,191,147
145,173,212,192,145
146,173,213,193,143
147,172,214,193,141
148,172,215,194,139
149,171,216,195,137
150,170,216,195,136
151,169,218,196,134
152,169,218,196,133
153,169,219,197,132
154,169,220,198,131
155,168,222,198,130
156,168,222,199,129
157,168,223,199,128
158,169,223,199,126
159,169,224,200,125
160,169,224,200,125
161,169,225,200,125
162,169,225,201,123
163,170,226,201,123
164,170,226,201,122
165,170,226,201,122
166,170,226,202,122
167,170,226,202,122
168,170,226,202,121
169,170,227,202,121
170,171,227,202,121
171,171,227,202,121
172,171,227,202,121
173,170,227,202,121
174,170,228,202,121
175,170,227,202,121
176,170,228,202,121
177,170,228,202,121
178,170,228,202,121
179,170,228,202,121
180,170,228,202,121
181,169,229,201,121
182,169,229,201,121
183,169,229,201,121
184,169,229,201,120
185,168,229,201,120
186,168,230,201,119
187,168,230,201,119
188,168,230,200,118
189,167,231,200,118
190,167,231,200,118
191,166,231,200,118
192,166,232,200,117
193,166,232,200,117
194,165,232,200,118
195,165,232,200,118
196,165,232,200,118
197,165,232,200,118
198,165,232,201,119
199,165,232,201,119
200,164,232,201,120
201,164,232,201,122
202,165,232,202,123
203,165,233,202,125
204,165,232,203,126
205,165,233,203,129
206,165,233,203,132
207,165,233,204,135
208,165,233,204,137
209,165,234,205,141
210,165,234,205,144
211,165,235,205,148
212,165,236,205,150
213,165,237,206,154
214,165,237,206,156
215,165,238,206,160
216,165,239,206,163
217,166,240,207,166
218,165,241,206,169
219,166,242,206,171
220,166,242,206,174
221,166,243,206,177
222,167,243,204,178
223,168,244,203,180
224,168,243,203,181
225,169,243,203,183
226,171,242,201,184
227,172,241,200,185
228,173,240,199,185
229,175,238,198,185
230,176,237,197,185
231,176,235,196,185
232,176,233,196,183
233,176,233,195,182
234,177,232,195,181
235,176,230,194,180
236,176,229,194,179
237,175,229,193,178
238,175,227,193,177
239,174,226,192,176
240,174,226,191,175
241,173,225,190,174
242,173,224,190,173
243,172,224,189,172
244,172,223,189,170
245,171,223,189,170
246,171,222,188,169
247,171,222,188,169
248,171,222,188,168
249,171,222,189,168
250,171,221,189,167
251,171,221,189,167
252,171,221,190,167
253,172,221,190,167
254,172,220,191,167
255,172,220,191,167
256,173,220,192,167
257,173,220,192,167
258,174,220,193,167
259,174,220,193,167
260,175,220,194,167
261,175,220,194,167
262,175,220,194,166
263,175,220,195,166
264,175,220,195,166
265,175,219,195,165
266,176,219,195,165
267,176,219,195,164
268,175,219,195,163
269,175,218,195,163
270,175,218,195,163
271,176,218,195,162
272,176,218,195,162
273,176,217,195,161
274,175,217,194,161
275,176,216,195,160
276,176,215,194,159
277,175,215,194,159
278,176,215,194,158
279,176,214,194,157
280,176,214,194,156
281,176,213,194,155
282,176,212,194,154
283,176,211,194,152
284,176,210,195,151
285,176,209,195,150
286,176,208,195,148
287,176,208,196,146
288,176,208,196,144
289,176,208,197,141
290,176,208,197,140
291,176,207,198,137
292,176,207,198,136
293,176,207,198,134
294,176,207,198,133
295,176,207,198,132
296,176,207,199,131
297,176,207,199,129
298,175,207,199,129
299,175,207,198,127
300,175,207,198,126
301,175,208,198,126
302,175,208,198,125
303,175,208,198,125
304,175,208,198,124
305,174,208,197,123
306,174,208,197,122
307,173,208,197,122
308,173,208,197,121
309,173,208,197,120
310,173,209,197,119
311,172,208,196,118
312,172,209,196,117
313,172,210,196,116
314,171,210,196,115
315,171,210,196,114
316,171,211,196,112
317,170,211,196,111
318,170,212,195,110
319,170,212,195,109
320,170,213,195,107
321,170,214,195,107
322,170,214,195,106
323,170,215,195,106
324,169,216,195,105
325,169,216,195,105
326,169,217,195,104
327,169,218,195,104
328,169,218,195,104
329,169,219,195,104
330,169,219,195,104
331,169,219,195,105
332,169,220,195,105
333,169,220,196,106
334,169,221,196,107
335,169,221,196,108
336,169,222,197,109
337,169,223,197,110
338,169,223,198,110
339,169,224,198,111
340,168,225,199,112
341,168,225,199,112
342,167,226,199,113
343,167,226,200,113
344,167,227,200,113
345,167,228,200,114
346,167,229,200,114
347,166,229,201,115
348,166,230,200,115
349,166,230,201,116
350,166,230,201,117
351,166,231,201,118
352,166,231,201,119
353,166,231,201,121
354,165,232,201,122
355,165,232,201,124
356,165,232,202,126
357,164,232,202,128
358,164,233,203,130
359,164,233,203,133
360,164,233,203,136
361,165,233,204,140
362,165,233,204,144
363,166,233,204,148
364,166,233,204,151
365,167,233,204,155
366,168,233,203,158
367,169,231,203,161
368,169,231,203,163
369,170,230,201,164
370,171,230,201,165
371,173,229,201,165
372,173,228,200,165
373,175,226,200,165
374,175,225,200,164
375,177,223,199,164
376,177,222,198,165
377,178,220,197,166
378,178,219,197,166
379,178,218,197,165
380,178,218,197,164
381,178,217,197,163
382,178,217,197,163
383,178,216,197,163
384,177,216,197,163
385,177,215,197,164
386,177,215,197,164
387,177,215,197,164
388,177,215,197,165
389,177,215,197,166
390,177,215,197,166
391,177,215,197,166
392,177,215,197,167
393,177,215,197,167
394,177,215,197,167
395,178,215,198,167
396,179,215,198,167
397,179,214,198,167
398,179,214,198,167
399,180,214,198,166
400,180,214,198,166
401,180,213,198,164
402,181,213,198,164
403,181,212,198,163
404,181,212,198,163
405,181,211,198,162
406,181,211,198,161
407,181,211,198,159
408,180,210,198,158
409,180,209,198,156
410,180,209,198,156
411,180,208,198,154
412,180,207,198,154
413,180,206,198,152
414,179,206,198,151
415,179,205,198,149
416,179,205,198,147
417,179,205,198,145
418,178,206,198,143
419,178,206,198,140
420,176,207,198,139
421,176,207,199,136
422,175,209,199,134
423,174,209,199,132
424,172,211,199,131
425,172,211,200,129
426,171,212,199,127
427,170,213,199,125
428,169,214,199,124
429,169,215,199,122
430,168,215,199,121
431,168,216,199,121
432,167,216,199,120
433,167,216,198,119
434,168,218,198,119
435,168,218,198,119
436,167,218,198,119
437,168,218,198,119
438,168,218,199,118
439,168,218,198,118
440,168,219,198,118
441,169,218,198,118
442,168,219,198,118
443,169,219,198,117
444,169,219,198,117
445,169,219,198,116
446,169,219,198,116
447,169,219,197,115
448,169,219,197,114
449,169,219,197,114
450,168,219,197,114
451,168,219,196,112
452,167,220,196,111
453,167,219,196,111
454,167,220,196,110
455,167,220,195,109
456,166,220,195,108
457,166,219,195,107
458,166,219,195,106
459,166,219,194,105
460,166,219,194,104
461,165,218,193,103
462,165,219,193,102
463,165,218,193,100
464,165,218,192,99
465,164,217,192,99
466,164,217,192,98
467,164,216,192,96
468,165,216,192,95
469,164,216,192,95
470,165,216,192,94
471,165,216,193,93
472,165,216,193,92
473,165,216,193,92
474,165,216,193,92
475,166,216,194,92
476,165,216,194,93
477,166,217,194,93
478,166,217,194,94
479,166,217,195,95
480,166,218,195,96
481,166,218,195,96
482,166,219,196,98
483,166,219,196,99
484,166,220,196,100
485,165,221,197,102
486,166,222,197,103
487,166,222,198,104
488,165,223,198,106
489,165,224,198,107
490,165,225,198,108
491,165,225,198,109
492,164,226,199,111
493,164,226,199,111
494,164,227,199,113
495,164,227,199,113
496,163,228,199,114
497,163,229,199,115
498,163,229,199,115
499,164,229,199,116
500,162,229,199,117
501,163,229,199,117
502,162,229,199,118
503,162,229,199,118
504,162,229,199,119
505,163,229,199,119
506,162,228,199,120
507,164,228,199,122
508,163,227,199,123
509,165,226,199,125
510,165,226,199,128
511,167,225,199,130
512,167,224,200,133
513,168,223,199,136
514,169,222,199,139
515,170,220,199,143
516,171,220,199,146
517,171,218,198,148
518,172,218,198,151
519,173,217,197,153
520,174,216,196,154
521,175,215,196,155
522,175,215,195,156
523,176,214,195,157
524,176,214,195,157
525,177,212,194,158
526,176,212,194,159
527,177,211,194,159
528,177,211,194,159
529,177,211,194,159
530,177,211,195,159
531,177,211,195,159
532,176,211,195,159
533,176,211,195,159
534,176,211,195,159
535,176,211,195,159
536,176,211,196,159
537,176,211,196,159
538,175,212,196,160
539,175,212,196,160
540,175,212,196,160
541,174,212,196,160
542,174,213,196,161
543,174,213,197,162
544,174,214,197,163
545,174,214,197,163
546,173,215,198,164
547,173,215,198,164
548,173,215,198,165
549,173,216,198,166
550,173,216,199,166
551,173,216,199,166
552,173,218,200,166
553,173,218,200,167
554,173,218,200,167
555,173,218,201,166
556,174,218,201,166
557,174,218,202,165
558,175,218,203,165
559,175,218,203,164
560,175,218,203,163
561,175,217,203,162
562,175,217,203,162
563,176,216,203,160
564,176,216,203,160
565,176,215,203,159
566,176,215,203,158
567,176,214,203,156
568,176,214,203,155
569,176,212,203,153
570,175,213,203,152
571,175,211,202,149
572,175,212,202,147
573,174,212,202,146
574,173,212,202,144
575,173,211,201,142
576,172,212,201,141
577,171,211,201,139
578,170,212,200,137
579,169,211,200,136
580,169,212,200,134
581,168,213,199,132
582,167,213,199,131
583,167,212,199,129
584,166,213,199,128
585,166,213,199,127
586,165,213,198,126
587,165,213,198,125
588,165,213,199,123
589,165,213,199,122
590,165,212,199,121
591,165,212,199,119
592,165,212,199,118
593,165,212,199,117
594,164,212,199,116
595,164,213,199,115
596,164,213,199,114
597,163,214,199,113
598,163,214,199,113
599,163,215,199,112
600,162,216,199,111
601,162,216,199,111
602,161,218,199,112
603,161,219,199,111
604,160,220,199,111
605,160,221,199,111
606,159,222,199,112
607,159,224,199,112
608,158,224,199,112
609,158,226,198,112
610,158,226,198,112
611,158,227,198,112
612,157,228,198,112
613,157,229,198,112
614,157,230,198,112
615,157,230,198,112
616,156,230,198,113
617,157,231,198,113
618,157,231,198,113
619,157,231,198,114
620,157,232,198,114
621,157,232,198,115
622,157,232,199,115
623,157,233,199,116
624,157,233,199,116
625,157,233,199,117
626,157,234,199,117
627,157,234,199,118
628,157,234,199,118
629,157,235,199,118
630,157,235,199,119
631,157,235,199,119
632,157,236,199,119
633,157,236,199,120
634,157,237,199,120
635,157,237,199,120
636,157,237,199,120
637,157,238,199,120
638,157,237,199,120
639,157,238,199,120
640,157,238,199,120
641,157,238,199,120
642,157,238,199,121
643,157,238,199,120
644,157,238,199,121
645,157,238,199,121
646,157,237,199,121
647,157,237,199,121
648,157,237,199,121
649,157,237,199,121
650,158,237,200,122
651,158,237,200,122
652,158,236,200,122
653,159,236,201,124
654,159,235,201,125
655,160,234,202,127
656,159,234,202,129
657,161,233,202,131
658,161,233,203,134
659,162,232,203,136
660,162,232,203,140
661,163,231,203,143
662,164,231,203,147
663,165,231,202,149
664,166,230,202,152
665,167,230,201,155
666,168,229,201,158
667,169,229,200,159
668,169,229,200,162
669,171,229,200,163
670,171,229,200,165
671,173,229,200,166
672,172,230,200,168
673,172,230,200,169
674,172,231,200,171
675,172,231,200,172
676,172,232,200,174
677,172,232,200,176
678,172,233,199,178
679,172,234,199,180
680,172,234,199,182
681,172,234,198,183
682,172,234,198,185
683,172,234,197,185
684,172,234,197,187
685,172,234,197,188
686,172,234,197,188
687,173,234,197,188
688,172,234,198,187
689,173,234,198,187
690,173,234,198,187
691,173,234,199,187
692,173,234,199,187
693,173,233,200,186
694,172,233,200,186
695,172,233,200,186
696,172,233,200,186
697,172,233,200,186
698,172,232,200,185
699,172,232,200,185
700,171,231,200,185
701,171,231,200,184
702,170,231,200,184
703,170,230,200,184
704,170,230,200,183
705,170,230,200,183
706,170,230,200,182
707,170,229,200,182
708,170,229,200,182
709,170,229,200,181
710,170,229,201,181
711,171,228,201,181
712,170,228,201,180
713,171,227,202,179
714,171,227,202,178
715,172,227,202,177
716,172,226,203,176
717,173,226,203,175
718,173,225,203,174
719,174,224,203,173
720,174,224,203,172
721,174,223,203,171
722,174,223,203,170
723,174,222,203,170
724,174,222,202,170
725,174,221,202,169
726,174,221,201,168
727,175,220,201,167
728,174,220,201,167
729,174,219,200,166
730,173,220,200,166
731,174,219,200,164
732,172,220,200,163
733,172,220,199,162
734,170,220,199,161
735,170,220,199,160
736,169,221,198,159
737,168,221,198,158
738,168,222,198,157
739,167,223,198,155
740,167,223,198,155
741,166,223,198,154
742,165,225,198,153
743,165,225,199,151
744,164,226,198,151
745,164,226,199,149
746,164,227,198,148
747,164,226,199,147
748,163,227,198,146
749,163,226,199,144
750,162,226,199,143
751,162,226,199,141
752,161,225,199,140
753,162,225,199,138
754,161,224,199,137
755,162,224,199,136
756,161,223,199,135
757,161,223,198,134
758,161,223,198,133
759,161,223,198,132
760,160,223,197,132
761,161,223,197,132
762,160,223,197,132
763,160,224,197,131
764,160,223,197,131
765,160,224,197,130
766,160,224,196,130
767,160,223,196,130
768,160,225,196,130
769,160,224,196,130
770,160,225,196,130
771,160,225,196,130
772,160,225,196,130
773,161,226,196,130
774,160,226,196,130
775,161,226,197,129
776,160,226,197,129
777,161,226,197,129
778,160,226,197,129
779,161,226,197,129
780,161,227,197,128
781,161,227,197,128
782,161,227,197,128
783,161,227,197,127
784,161,227,197,127
785,161,226,197,127
786,161,227,197,127
787,161,227,197,127
788,161,227,197,126
789,161,227,197,127
790,161,227,197,127
791,161,227,197,127
792,160,228,197,128
793,161,228,197,128
794,161,228,196,128
795,161,228,196,129
796,161,228,196,129
797,161,228,196,129
798,161,228,196,130
799,161,227,196,130
800,161,228,196,131
801,161,227,196,132
802,161,227,196,133
803,162,226,196,134
804,162,226,196,137
805,163,224,196,139
806,163,224,197,141
807,165,223,197,144
808,165,223,196,146
809,166,222,196,148
810,166,221,195,151
811,167,220,195,151
812,167,220,194,153
813,167,219,194,154
814,167,219,193,155
815,168,218,193,155
816,168,218,193,155
817,169,218,193,155
818,169,218,192,155
819,170,217,193,155
820,170,217,192,156
821,170,216,192,156
822,171,215,192,156
823,172,215,192,156
824,172,214,192,157
825,173,214,192,159
826,173,214,192,159
827,174,213,192,159
828,173,212,192,159
829,174,212,193,159
830,174,212,194,159
831,174,211,194,159
832,174,212,195,159
833,174,211,195,159
834,174,212,196,160
835,174,211,196,160
836,174,212,197,161
837,174,212,197,161
838,174,213,197,162
839,174,213,198,163
840,174,214,198,163
841,174,214,198,164
842,173,215,198,165
843,173,215,198,166
844,173,216,198,167
845,173,216,198,167
846,173,217,198,169
847,173,217,198,170
848,173,218,198,170
849,173,218,199,170
850,173,218,198,170
851,173,218,198,171
852,173,218,198,171
853,173,218,198,171
854,173,219,198,171
855,173,218,198,171
856,173,218,198,171
857,173,218,198,171
858,173,218,198,171
859,174,218,197,171
860,173,218,197,171
861,173,218,197,171
862,173,218,196,171
863,173,217,196,170
864,172,217,196,170
865,172,216,195,170
866,172,216,195,170
867,172,215,195,169
868,172,215,194,169
869,172,214,194,168
870,171,215,193,168
871,172,214,193,168
872,172,214,193,167
873,172,214,193,167
874,172,213,193,166
875,173,212,193,166
876,173,212,193,165
877,173,211,193,165
878,173,211,193,164
879,173,211,193,163
880,173,211,192,163
881,173,211,192,163
882,174,211,192,163
883,173,211,192,162
884,173,211,192,162
885,174,211,192,162
886,173,211,192,162
887,173,211,192,161
888,173,211,192,160
889,173,211,192,159
890,173,211,192,159
891,173,210,193,158
892,173,210,192,157
893,174,209,193,156
894,173,209,193,155
895,173,209,194,152
896,173,210,195,151
897,173,210,195,148
898,173,210,195,147
899,172,210,196,146
900,172,209,196,144
901,172,209,196,142
902,171,209,196,141
903,171,209,196,139
904,170,208,196,137
905,170,207,196,136
906,169,208,195,134
907,170,206,196,133
908,168,207,195,131
909,169,206,196,129
