Frame,X_thumb,Y_thumb,X_index,Y_index
0,222,214,148,146
1,223,214,143,142
2,224,214,138,138
3,226,215,135,135
4,228,215,131,131
5,229,215,127,128
6,230,215,124,125
7,232,215,119,122
8,232,215,118,119
9,233,215,115,117
10,234,215,114,115
11,235,215,112,114
12,235,214,110,113
13,236,214,109,112
14,237,214,108,111
15,237,214,108,110
16,238,214,107,109
17,238,214,107,109
18,239,214,107,108
19,239,213,107,108
20,239,213,107,107
21,239,213,107,107
22,240,213,107,106
23,240,214,107,106
24,240,214,108,105
25,240,214,108,105
26,240,214,108,105
27,240,214,108,105
28,240,214,108,105
29,240,214,108,105
30,240,214,108,104
31,241,214,108,104
32,240,214,108,104
33,240,214,108,104
34,240,214,109,104
35,240,215,109,104
36,240,214,109,103
37,240,215,109,103
38,240,215,109,103
39,240,215,109,102
40,240,215,109,102
41,240,215,109,101
42,241,215,109,101
43,241,215,109,100
44,241,215,109,100
45,241,215,109,100
46,241,215,109,99
47,241,215,109,100
48,241,215,109,99
49,241,215,109,99
50,241,215,109,99
51,241,215,109,99
52,242,214,110,99
53,241,214,111,100
54,241,214,112,100
55,240,214,113,101
56,240,213,115,103
57,239,213,117,105
58,238,211,120,107
59,236,210,122,109
60,235,210,125,112
61,234,209,128,114
62,233,208,132,118
63,232,207,135,120
64,231,206,139,123
65,231,206,142,126
66,229,205,146,129
67,228,205,148,131
68,227,204,151,133
69,226,204,154,136
70,225,203,156,139
71,224,203,159,141
72,222,203,162,143
73,221,203,163,145
74,219,203,167,147
75,217,203,168,149
76,215,203,172,151
77,214,203,174,153
78,212,203,178,155
79,212,204,178,156
80,212,204,178,156
81,212,204,178,156
82,211,204,176,157
83,209,205,175,157
84,208,205,174,157
85,208,205,173,157
86,207,205,173,157
87,206,205,172,157
88,205,204,172,157
89,205,204,172,156
90,205,204,171,156
91,204,203,171,156
92,204,203,171,155
93,204,202,171,155
94,203,202,170,154
95,203,202,170,154
96,203,201,170,153
97,203,200,170,152
98,202,200,170,151
99,203,199,170,151
100,202,198,170,150
101,202,197,169,149
102,202,197,169,148
103,202,196,169,148
104,201,195,169,147
105,201,194,169,145
106,201,194,168,144
107,201,193,168,144
108,201,192,168,142
109,201,191,168,141
110,200,190,167,140
111,201,188,167,138
112,201,187,167,137
113,201,186,166,135
114,202,184,166,133
115,202,183,165,131
116,202,182,164,129
117,203,181,163,126
118,204,181,161,123
119,206,180,159,120
120,206,180,157,117
121,208,180,155,113
122,210,179,151,109
123,211,179,148,105
124,212,179,144,101
125,214,179,141,96
126,216,180,138,93
127,218,180,133,89
128,219,180,131,86
129,221,180,128,83
130,222,180,126,80
131,224,180,122,79
132,225,180,121,77
133,227,179,119,75
134,228,179,117,74
135,229,179,116,73
136,230,179,114,72
137,232,179,113,72
138,232,178,112,72
139,233,178,111,72
140,233,178,110,72
141,233,178,110,72
142,234,178,109,72
143,234,178,109,72
144,235,178,109,72
145,235,179,109,72
146,235,179,108,72
147,235,179,108,73
148,234,180,108,73
149,234,180,109,74
150,233,181,110,74
151,233,182,110,75
152,232,181,112,76
153,231,182,113,78
154,229,182,116,78
155,229,183,117,80
156,228,183,118,82
157,227,183,119,84
158,226,183,122,86
159,225,184,123,89
160,223,184,125,92
161,223,185,128,95
162,220,186,129,99
163,219,186,131,101
164,218,187,133,104
165,217,188,135,107
166,215,188,137,112
167,214,190,139,115
168,212,190,141,118
169,211,190,143,121
170,209,191,147,125
171,207,191,150,128
172,205,191,153,131
173,204,191,157,134
174,202,191,161,137
175,201,192,164,140
176,201,193,166,141
177,201,194,165,142
178,200,195,165,143
179,200,195,164,143
180,199,196,163,144
181,198,196,162,145
182,198,197,162,146
183,198,197,162,146
184,197,198,162,147
185,198,198,162,147
186,197,199,163,148
187,197,199,162,148
188,197,200,163,148
189,197,200,163,149
190,198,200,163,149
191,198,200,163,149
192,198,200,164,150
193,198,200,164,150
194,198,200,164,150
195,198,200,164,150
196,198,200,164,149
197,198,200,164,149
198,198,200,164,149
199,198,199,164,149
200,198,199,164,148
201,198,198,163,147
202,198,198,163,147
203,198,197,162,146
204,198,196,162,145
205,198,195,161,144
206,198,194,161,143
207,198,193,160,142
208,199,192,160,140
209,198,190,159,138
210,198,189,158,136
211,198,188,157,134
212,199,186,157,132
213,198,185,156,131
214,199,184,155,129
215,199,182,154,127
216,200,181,154,125
217,202,181,152,122
218,202,181,150,120
219,204,181,148,118
220,205,180,144,115
221,206,181,141,111
222,208,181,138,109
223,211,181,134,106
224,212,181,131,104
225,214,182,127,102
226,216,183,124,100
227,218,183,120,97
228,220,184,118,96
229,222,185,116,95
230,224,185,113,93
231,226,186,111,92
232,227,186,109,92
233,229,187,107,91
234,230,188,106,91
235,231,188,105,91
236,232,189,105,91
237,233,189,105,91
238,233,190,104,91
239,234,190,104,92
240,234,190,104,92
241,235,191,104,92
242,235,192,104,93
243,236,192,104,93
244,235,193,104,94
245,236,193,104,95
246,236,194,104,96
247,236,194,104,96
248,236,195,104,97
249,236,196,104,98
250,237,196,105,99
251,237,197,105,100
252,237,197,105,101
253,237,198,106,102
254,237,198,107,103
255,237,199,107,104
256,236,199,109,106
257,236,200,110,108
258,235,200,112,111
259,233,200,115,115
260,232,200,118,118
261,231,200,121,121
262,228,200,127,125
263,227,200,131,130
264,225,200,136,134
265,223,200,142,139
266,221,200,149,141
267,220,201,154,145
268,218,201,160,147
269,217,201,165,150
270,215,202,171,152
