Frame,X_thumb,Y_thumb,X_index,Y_index
0,233,154,141,185
1,232,154,141,185
2,234,153,137,187
3,236,153,134,189
4,237,152,130,192
5,239,152,126,195
6,240,152,121,198
7,241,151,117,202
8,242,151,113,206
9,243,151,110,209
10,243,151,107,213
11,243,151,105,217
12,243,151,103,219
13,243,152,102,221
14,242,152,100,223
15,241,153,100,222
16,240,153,100,222
17,239,154,100,219
18,237,154,100,217
19,236,155,102,213
20,234,155,104,210
21,232,155,107,205
22,230,155,109,201
23,227,155,113,196
24,225,155,116,192
25,221,155,122,187
26,219,155,126,183
27,215,155,132,179
28,212,156,136,176
29,208,156,142,172
30,205,156,145,170
31,204,156,145,169
32,201,156,144,170
33,199,156,142,170
34,197,156,141,170
35,195,155,140,170
36,193,156,138,170
37,191,157,137,171
38,189,158,135,172
39,187,159,134,173
40,186,160,132,175
41,184,162,131,176
42,183,162,130,177
43,182,162,129,178
44,181,163,128,178
45,180,164,128,179
46,180,165,128,180
47,179,165,127,180
48,179,165,127,180
49,179,165,127,180
50,179,166,127,180
51,179,166,127,181
52,179,166,127,180
53,179,166,127,180
54,179,166,127,180
55,179,166,127,180
56,179,166,127,180
57,179,165,127,180
58,179,165,127,179
59,180,165,127,179
60,180,165,127,179
61,180,165,128,178
62,181,165,128,178
63,181,164,128,178
64,182,164,129,178
65,182,164,130,177
66,183,164,130,177
67,183,163,131,177
68,183,163,131,177
69,184,163,132,176
70,185,163,133,176
71,186,162,133,176
72,187,162,134,175
73,188,162,135,175
74,189,162,136,175
75,190,162,137,175
76,191,162,138,175
77,192,162,139,175
78,193,162,140,175
79,194,162,142,176
80,195,163,142,177
81,196,163,142,177
82,197,163,144,178
83,198,164,145,179
84,198,164,145,179
85,199,165,146,180
86,200,166,147,181
87,201,166,147,182
88,201,167,147,183
89,202,167,147,184
90,203,168,148,185
91,203,168,148,186
92,204,169,147,187
93,206,169,147,188
94,207,169,146,189
95,209,169,144,191
96,211,169,141,193
97,213,168,139,194
98,215,168,136,197
99,216,168,133,199
100,218,167,130,200
101,220,167,129,202
102,221,167,127,204
103,222,168,126,206
104,223,168,124,207
105,224,168,123,209
106,225,168,121,210
107,226,168,119,212
108,226,168,118,212
109,227,168,117,213
110,228,168,116,215
111,228,167,114,215
112,229,167,112,216
113,230,167,111,217
114,230,167,109,218
115,231,167,108,219
116,231,166,106,220
117,232,166,105,221
118,233,166,103,222
119,233,166,102,223
120,234,166,100,224
121,234,166,99,225
122,235,166,97,226
123,235,166,95,227
124,236,166,93,227
125,236,166,92,229
126,237,166,90,230
127,238,165,88,231
128,238,165,87,232
129,238,165,86,232
130,238,165,85,232
131,238,165,84,232
132,238,165,84,232
133,238,165,84,232
134,238,165,83,232
135,238,164,83,231
136,237,164,83,230
137,237,164,83,228
138,237,164,84,227
139,236,164,85,225
140,235,164,86,222
141,234,164,88,219
142,233,164,91,215
143,231,164,94,211
144,229,164,98,207
145,227,163,102,202
146,224,164,107,197
147,222,163,113,193
148,219,164,119,188
149,216,164,126,184
150,212,165,132,181
151,209,165,140,177
152,207,166,146,174
153,206,164,147,173
154,204,164,145,173
155,203,164,145,173
156,202,163,144,172
157,201,163,143,172
158,200,163,142,172
159,199,163,142,173
160,198,164,141,173
161,197,164,140,174
162,195,165,139,175
163,195,166,139,176
164,193,167,137,176
165,192,167,137,177
166,192,168,136,177
167,191,168,136,178
168,191,169,136,178
169,190,169,135,178
170,190,170,135,178
171,190,170,134,179
172,189,170,134,179
173,189,171,134,180
174,189,171,134,180
175,189,171,134,180
176,189,172,134,180
177,189,172,134,180
178,189,173,134,180
179,189,173,134,181
180,189,173,134,181
181,190,173,134,181
182,190,173,134,181
183,190,173,135,181
184,191,173,135,181
185,191,173,135,181
186,191,173,136,181
187,191,173,136,181
188,192,173,136,180
189,192,173,137,180
190,193,173,137,180
191,193,173,138,180
192,194,173,139,180
193,194,172,139,180
194,195,172,140,180
195,195,172,140,179
196,196,172,141,179
197,197,171,142,179
198,198,171,142,179
199,199,171,143,179
200,199,171,144,179
201,200,171,144,180
202,201,172,145,180
203,201,172,146,181
204,203,172,147,181
205,203,172,147,181
206,204,173,147,182
207,205,173,148,183
208,206,174,148,184
209,206,174,149,184
210,207,174,149,185
211,208,175,149,186
212,209,175,149,187
213,210,175,149,188
214,212,176,147,189
215,213,176,145,191
216,215,175,141,192
217,217,175,138,194
218,220,175,133,196
219,221,174,129,199
220,223,174,124,200
221,225,174,120,203
222,226,173,116,206
223,228,173,112,208
224,229,173,108,211
225,230,173,104,214
226,231,173,101,217
227,232,173,99,219
228,232,173,97,220
229,232,173,96,221
230,231,174,95,221
231,231,174,95,221
232,230,174,95,220
233,229,173,96,219
234,229,173,97,218
235,228,173,98,216
236,227,172,99,214
237,225,172,102,211
238,224,171,104,208
239,223,171,108,205
240,220,171,111,202
241,219,171,116,199
242,217,170,120,196
243,215,170,126,192
244,213,170,131,188
245,211,170,137,185
246,209,170,143,182
247,207,170,146,180
248,207,169,146,178
249,206,168,146,178
250,205,167,145,177
251,204,166,145,176
252,203,166,145,174
253,203,165,145,174
254,201,165,144,174
255,200,165,143,174
256,199,165,142,174
257,198,165,141,174
258,198,165,141,174
259,197,165,141,174
260,196,165,140,174
261,195,166,139,174
262,195,166,139,174
263,195,166,139,174
264,194,166,138,174
265,194,166,138,174
266,193,166,137,175
267,192,167,136,175
268,192,168,136,176
269,192,168,136,176
270,192,169,136,177
271,191,169,136,177
272,191,170,136,178
273,191,170,136,178
274,191,170,136,178
275,191,171,136,178
276,192,171,136,179
277,192,172,136,179
278,192,172,136,180
279,192,173,137,180
280,192,173,137,180
281,192,173,137,181
282,193,174,137,181
283,193,174,138,181
284,193,174,138,181
285,194,174,139,181
286,194,174,139,182
287,194,174,139,182
288,195,175,140,182
289,195,174,140,182
290,196,175,141,182
291,197,175,141,183
292,198,175,142,183
293,198,175,143,183
294,199,176,144,184
295,200,176,144,184
296,201,177,145,185
297,202,177,145,185
298,203,177,146,186
299,203,177,147,186
300,204,178,148,187
301,205,178,148,188
302,206,179,149,189
303,207,180,149,190
304,207,180,150,191
305,208,180,150,192
306,209,181,149,193
307,209,181,149,194
308,211,181,148,195
309,213,181,145,197
310,215,181,142,199
311,217,181,139,200
312,220,180,135,202
313,221,180,131,204
314,224,180,128,206
315,226,180,124,208
316,229,180,120,211
317,230,180,116,213
318,232,180,112,216
319,233,179,108,219
320,234,179,104,222
321,235,179,101,225
322,237,179,98,227
323,237,178,95,230
324,238,178,93,232
325,239,178,91,234
326,239,178,89,236
327,240,177,88,238
328,240,177,87,239
