Frame,X_thumb,Y_thumb,X_index,Y_index
0,135,216,207,148
1,133,217,210,141
2,130,220,215,136
3,128,222,217,130
4,126,223,221,125
5,125,225,223,119
6,123,226,225,115
7,122,227,226,111
8,121,228,227,108
9,120,228,228,105
10,119,230,229,104
11,118,230,230,102
12,118,230,230,100
13,117,231,230,99
14,116,232,230,97
15,116,233,231,96
16,115,233,231,96
17,115,234,231,95
18,114,235,231,94
19,113,236,230,92
20,113,236,230,92
21,111,237,230,91
22,110,237,230,90
23,110,238,230,89
24,109,238,230,88
25,109,239,230,87
26,108,239,229,87
27,108,240,229,86
28,107,241,229,86
29,107,241,229,85
30,106,242,229,84
31,106,242,229,84
32,106,243,228,83
33,106,243,228,83
34,106,244,228,82
35,106,244,228,82
36,106,244,228,81
37,106,245,227,81
38,106,245,227,81
39,106,245,227,81
40,106,245,227,81
41,106,245,227,81
42,107,245,227,81
43,107,245,227,81
44,107,245,226,82
45,108,245,226,83
46,109,244,226,85
47,111,243,226,87
48,112,243,225,90
49,114,242,225,94
50,117,240,224,99
51,120,238,223,103
52,124,235,222,111
53,128,232,220,117
54,132,228,217,127
55,137,224,214,133
56,142,220,209,142
57,147,215,204,149
58,151,210,198,157
59,155,205,193,162
60,159,201,186,167
61,162,196,181,171
62,163,195,178,171
63,164,193,179,170
64,165,192,179,169
65,165,191,179,168
66,166,190,179,168
67,166,190,180,167
68,166,189,180,167
69,166,189,180,166
70,167,188,180,166
71,167,188,180,166
72,167,187,180,166
73,167,187,180,165
74,167,187,180,165
75,167,186,180,165
76,167,186,181,165
77,167,186,180,164
78,168,185,181,164
79,168,185,180,163
80,168,185,180,163
81,168,184,180,163
82,168,184,180,162
83,168,183,180,162
84,168,183,180,161
85,168,182,180,161
86,168,182,181,160
87,168,181,181,159
88,168,181,181,159
89,168,180,181,158
90,168,179,181,157
91,168,178,181,156
92,168,177,182,155
93,168,176,182,154
94,167,175,182,152
95,167,174,183,151
96,165,174,185,149
97,164,174,187,147
98,163,176,190,144
99,161,177,192,140
100,159,180,196,136
101,156,182,199,132
102,153,186,203,128
103,150,189,206,123
104,147,193,210,118
105,145,196,213,113
106,142,200,216,109
107,140,203,218,104
108,139,205,220,101
109,136,208,222,96
110,134,210,223,93
111,133,212,224,90
112,131,214,224,88
113,130,215,225,86
114,128,217,226,85
115,128,218,226,83
116,127,219,226,82
117,126,221,227,81
118,125,222,227,80
119,124,222,227,79
120,123,223,227,78
121,122,224,228,77
122,121,225,228,76
123,120,226,228,75
124,119,226,228,74
125,118,227,228,74
126,116,227,228,73
127,116,228,228,73
128,115,228,228,72
129,114,229,229,72
130,113,229,229,71
131,112,229,229,71
132,112,230,229,70
133,111,230,229,70
134,111,231,229,70
135,111,231,229,70
136,111,232,229,69
137,110,233,229,69
138,110,234,230,69
139,110,234,230,69
140,110,234,230,69
141,110,234,230,69
142,110,235,230,70
143,109,235,230,70
144,109,235,230,70
145,109,235,230,71
146,109,235,230,71
147,108,235,230,72
148,108,236,230,73
149,107,235,229,73
150,107,235,229,75
151,107,235,229,77
152,107,235,229,79
153,107,234,228,81
154,108,234,227,85
155,109,232,226,88
156,110,231,225,94
157,112,229,223,99
158,115,226,221,106
159,118,225,219,113
160,122,222,215,121
161,126,219,211,129
162,131,216,205,138
163,136,213,200,146
164,142,209,193,153
165,146,205,187,158
166,150,202,179,164
167,153,199,174,168
168,156,197,171,169
169,158,197,172,168
170,159,195,172,167
171,160,194,173,166
172,161,194,173,166
173,161,193,173,166
174,162,193,174,165
175,162,192,174,165
176,162,192,174,166
177,163,192,175,166
178,163,192,175,166
179,164,192,176,166
180,164,192,176,166
181,164,192,176,166
182,165,192,176,166
183,165,192,177,166
184,165,191,177,166
185,166,190,178,165
186,166,190,178,165
187,166,190,178,165
188,166,189,178,164
189,167,188,179,164
190,167,188,179,163
191,167,187,179,162
192,167,185,180,162
193,167,184,181,161
194,167,183,181,159
195,167,182,181,158
196,167,181,182,157
197,167,179,182,155
198,166,179,184,153
199,164,178,186,151
200,162,180,189,148
201,160,181,193,145
202,157,183,197,141
203,155,185,201,137
204,151,187,205,132
205,148,189,209,126
206,145,192,214,120
207,143,194,217,114
208,141,196,220,109
209,138,198,223,103
210,136,200,225,98
211,134,201,227,93
212,133,203,228,89
213,132,204,229,86
214,131,205,229,83
215,130,206,230,80
216,129,207,229,78
217,128,208,229,76
218,127,209,230,74
219,127,210,229,72
220,126,211,229,71
221,126,211,229,70
222,125,212,229,69
223,124,213,229,68
224,123,214,229,67
225,122,215,229,67
226,121,215,229,66
227,120,216,229,65
228,119,216,229,65
229,119,217,229,64
230,118,217,229,64
231,118,218,229,63
232,118,218,229,63
233,118,218,229,62
234,117,218,229,62
235,117,219,229,62
236,117,219,228,62
237,117,219,228,62
238,117,219,228,62
239,117,219,228,62
240,117,220,228,62
241,118,220,228,62
242,118,220,228,62
243,118,220,228,62
244,118,220,227,62
245,119,220,227,62
246,119,220,227,62
247,120,219,227,64
248,122,219,227,65
249,123,218,227,67
250,126,217,226,70
251,127,215,226,73
252,131,214,226,78
253,134,211,224,83
254,138,209,223,92
255,142,207,221,99
256,146,203,218,108
257,150,200,215,116
258,154,196,209,126
259,158,190,204,133
260,161,186,197,140
261,164,181,192,145
262,167,177,184,150
263,169,175,182,151
264,169,174,182,150
265,170,173,182,148
266,170,172,182,148
267,170,171,181,147
268,169,171,181,147
269,169,171,181,147
270,169,171,180,147
271,168,171,180,148
272,168,171,180,148
273,168,172,179,149
274,167,173,179,150
275,167,173,179,151
276,167,174,178,151
277,166,174,178,152
278,166,175,177,153
279,165,175,177,153
280,165,176,176,154
281,164,176,176,154
282,164,176,176,154
283,164,176,176,154
