Frame,X_thumb,Y_thumb,X_index,Y_index
0,203,265,162,122
1,204,265,162,119
2,206,267,162,118
3,207,267,163,116
4,209,268,163,115
5,210,268,164,114
6,212,270,164,114
7,213,270,165,113
8,214,271,165,113
9,215,271,165,113
10,217,272,165,114
11,217,273,165,114
12,218,274,165,114
13,219,275,166,114
14,220,275,166,115
15,220,276,166,115
16,221,277,166,115
17,221,278,166,116
18,222,279,167,116
19,223,279,167,117
20,224,279,167,117
21,224,280,168,117
22,224,280,168,117
23,225,281,168,117
24,226,281,168,117
25,226,282,168,117
26,227,282,168,117
27,228,282,168,117
28,228,282,168,117
29,228,282,169,117
30,229,282,168,117
31,229,282,168,117
32,230,282,168,117
33,230,282,168,117
34,230,282,168,117
35,231,282,168,117
36,231,282,168,117
37,231,283,168,117
38,232,283,168,118
39,232,283,168,118
40,232,283,167,118
41,232,283,167,118
42,232,283,167,118
43,232,284,167,118
44,232,284,167,118
45,232,284,167,118
46,232,284,167,118
47,232,285,167,118
48,231,285,167,118
49,231,286,167,118
50,230,286,167,119
51,229,287,167,119
52,229,287,167,119
53,228,287,167,119
54,227,289,167,119
55,225,290,166,120
56,224,291,167,120
57,221,291,166,120
58,220,293,166,121
59,217,294,166,122
60,215,294,165,122
61,213,296,165,123
62,210,297,165,124
63,208,298,164,125
64,206,298,164,126
65,204,299,164,128
66,202,301,163,130
67,200,301,163,132
68,199,301,162,135
69,197,302,161,137
70,196,302,160,141
71,194,301,159,145
72,192,301,158,150
73,191,299,157,155
74,190,298,156,162
75,188,297,157,168
76,187,294,157,174
77,186,293,158,178
78,186,292,159,183
79,184,290,161,184
80,183,288,162,186
81,182,285,163,186
82,181,283,164,186
83,180,279,166,186
84,179,276,167,186
85,177,272,169,186
86,177,268,171,185
87,176,264,173,184
88,176,261,175,183
89,175,257,176,181
90,175,254,177,180
91,173,250,178,178
92,173,246,180,177
93,172,242,181,175
94,172,240,184,174
95,171,235,186,172
96,172,233,188,170
97,172,230,189,167
98,172,227,189,162
99,173,223,188,156
100,172,219,189,153
101,173,217,190,149
102,173,213,191,146
103,174,210,192,142
104,174,207,193,139
105,174,204,193,136
106,174,201,194,132
107,175,199,195,130
108,175,196,196,126
109,175,193,196,124
110,175,190,197,121
111,175,188,198,118
112,175,185,198,116
113,175,183,198,114
114,176,181,198,112
115,175,179,199,110
116,175,178,198,108
117,175,176,198,107
118,175,175,198,105
119,175,174,198,104
120,175,173,198,103
121,175,172,198,102
122,175,171,198,101
123,175,170,197,100
124,175,170,197,99
125,175,169,197,98
126,175,167,197,97
127,175,167,197,97
128,174,166,197,96
129,175,166,197,95
130,174,165,197,95
131,174,164,197,94
132,174,164,197,94
