Frame,X_thumb,Y_thumb,X_index,Y_index
0,152,209,204,148
1,150,211,206,143
2,147,217,209,139
3,144,219,211,134
4,141,226,213,128
5,137,230,215,122
6,135,236,217,116
7,132,240,218,108
8,129,246,218,101
9,127,250,218,95
10,123,256,217,90
11,120,260,216,87
12,117,265,216,86
13,115,267,215,86
14,114,271,214,86
15,113,271,213,86
16,111,274,212,86
17,110,273,211,85
18,109,276,209,85
19,108,276,207,84
20,107,277,207,83
21,106,277,207,82
22,106,278,206,82
23,105,277,206,81
24,104,277,205,80
25,104,276,205,79
26,103,276,204,78
27,103,275,204,78
28,102,275,204,77
29,102,275,204,77
30,101,274,204,77
31,100,273,204,77
32,100,273,205,76
33,99,272,205,76
34,99,272,205,76
35,98,272,205,76
36,97,272,206,76
37,96,271,206,76
38,95,271,206,75
39,94,271,206,75
40,93,271,206,75
41,93,271,206,75
42,92,271,206,74
43,91,271,206,74
44,90,270,207,74
45,90,270,206,74
46,89,270,206,74
47,89,270,206,74
48,89,270,207,74
49,88,270,207,74
50,88,270,207,74
51,87,269,207,74
52,87,269,207,75
53,87,269,207,75
54,86,268,207,75
55,86,268,207,74
56,86,268,207,75
57,86,266,207,75
58,85,267,207,75
59,85,266,207,75
60,84,266,206,75
61,84,265,206,75
62,84,265,206,76
63,84,264,206,76
64,83,264,206,76
65,82,263,206,76
66,82,263,206,76
67,82,262,206,76
68,81,262,206,76
69,81,261,206,76
70,81,261,206,76
71,81,261,206,75
72,80,260,206,76
73,80,260,206,75
74,80,260,206,75
75,80,260,206,75
76,80,259,206,75
77,80,259,206,75
78,80,259,205,75
79,80,259,205,74
80,80,259,205,74
81,80,259,205,74
82,81,259,205,73
83,81,259,205,73
84,82,259,205,73
85,82,259,205,73
86,83,259,205,73
87,83,259,205,72
88,84,259,205,72
89,85,259,205,72
90,85,259,205,72
91,86,259,205,72
92,87,259,205,72
93,87,260,204,72
94,88,260,204,72
95,89,260,204,72
96,90,261,204,72
97,90,261,203,72
98,91,261,203,73
99,92,261,203,73
100,93,262,203,73
101,94,262,203,74
102,96,262,203,75
103,97,261,202,76
104,99,261,202,77
105,100,261,202,78
106,102,261,201,79
107,104,260,201,80
108,107,260,201,81
109,109,258,201,82
110,111,258,201,83
111,114,256,201,84
112,116,255,201,84
113,119,253,201,85
114,122,252,202,86
115,125,249,201,87
116,128,247,202,87
117,132,244,202,88
118,134,242,203,88
119,138,239,204,89
120,140,237,204,89
121,143,233,205,90
122,146,231,205,91
123,149,226,206,92
124,150,223,207,93
125,152,219,207,95
126,154,217,208,96
127,155,213,209,98
128,157,211,210,101
129,158,207,211,103
130,160,204,211,106
131,162,200,211,109
132,163,197,210,113
133,164,193,210,117
134,166,191,208,122
135,167,188,207,126
136,167,185,205,132
137,168,182,203,136
138,169,180,201,142
139,168,179,199,145
140,169,178,199,146
141,168,178,199,146
142,168,178,199,146
143,169,178,198,147
144,168,179,198,148
145,167,180,198,148
146,167,180,197,149
147,167,181,197,151
148,167,182,196,152
149,166,183,196,153
150,166,184,196,155
151,166,186,196,156
152,166,187,195,158
153,166,188,195,160
154,165,189,195,161
155,165,190,195,163
156,165,191,195,164
157,165,192,195,166
158,165,193,195,167
159,165,194,195,168
160,165,195,195,169
161,165,196,195,170
162,165,197,194,171
163,165,197,194,172
164,164,197,194,172
165,164,198,194,172
166,164,198,194,172
167,164,198,194,172
168,164,198,194,172
169,164,198,194,172
170,164,197,194,172
171,164,197,194,172
172,164,197,194,171
173,164,197,194,171
174,164,197,194,171
175,164,196,194,171
176,164,196,195,170
177,164,196,195,171
178,164,196,195,170
179,164,196,195,171
180,164,196,195,170
181,164,196,195,171
182,164,196,195,170
183,164,196,195,171
184,164,196,195,171
185,164,196,195,171
186,164,196,195,171
187,164,196,195,171
188,164,196,195,171
189,164,196,195,171
190,164,196,195,170
191,164,196,195,170
192,164,196,195,170
193,164,196,195,170
194,164,196,195,170
195,164,195,195,169
196,164,195,195,169
197,164,195,195,169
198,164,195,195,168
199,164,195,194,168
200,164,195,194,167
201,164,195,194,167
202,163,195,194,167
203,163,195,194,166
204,163,194,193,166
205,163,195,193,166
206,162,195,193,166
207,162,195,193,166
208,161,196,192,166
209,160,197,192,167
210,159,198,192,168
211,158,199,193,168
212,156,203,194,168
213,154,204,196,167
