Frame,X_thumb,Y_thumb,X_index,Y_index
0,228,214,142,152
1,228,214,142,151
2,230,216,138,150
3,232,219,135,149
4,235,221,133,148
5,237,224,131,147
6,239,226,128,145
7,240,228,127,144
8,242,230,124,141
9,244,232,123,139
10,246,234,121,136
11,248,235,120,134
12,250,237,117,131
13,251,238,116,129
14,253,239,115,126
15,255,240,115,124
16,257,241,114,122
17,258,242,115,120
18,260,244,114,118
19,261,244,114,116
20,262,245,115,115
21,263,246,114,114
22,264,247,114,113
23,264,248,114,113
24,265,249,113,113
25,264,249,113,113
26,265,250,113,113
27,264,251,113,113
28,264,252,112,113
29,263,252,113,112
30,263,253,112,111
31,263,253,112,111
32,263,253,111,110
33,263,253,111,110
34,263,253,111,109
35,262,253,111,108
36,262,252,110,107
37,262,252,110,106
38,262,252,109,105
39,262,252,109,105
40,262,252,108,104
41,262,251,108,103
42,262,251,108,103
43,261,250,108,103
44,261,250,108,104
45,260,250,108,104
46,260,249,108,105
47,260,249,108,106
48,259,249,108,107
49,258,249,109,109
50,257,248,109,110
51,255,248,111,114
52,253,247,113,118
53,251,246,115,122
54,248,245,118,128
55,244,243,120,133
56,240,242,123,139
57,237,240,127,146
58,231,238,131,154
59,227,236,136,161
60,223,234,141,167
61,219,231,145,173
62,214,228,152,180
63,210,226,157,184
64,207,222,163,188
65,205,220,169,190
66,205,218,172,190
67,205,217,172,189
68,204,215,171,186
69,203,213,170,184
70,202,211,169,181
71,201,209,169,179
72,201,207,168,176
73,200,205,168,174
74,200,203,168,171
75,199,200,168,169
76,199,198,168,167
77,199,196,167,164
78,198,194,167,162
79,198,192,167,160
80,197,190,166,158
81,197,189,166,156
82,197,187,166,154
83,196,186,165,153
84,196,184,165,152
85,195,184,164,151
86,195,183,164,150
87,194,182,163,150
88,194,182,162,149
89,194,182,162,149
90,194,182,161,149
91,195,182,161,150
92,195,182,161,150
93,196,183,161,150
94,197,186,160,150
95,200,188,158,150
96,204,192,154,149
97,208,195,151,148
98,213,200,146,147
99,217,204,140,145
100,224,209,134,142
101,229,213,129,140
102,235,216,123,136
103,241,220,117,132
104,246,224,112,129
105,250,227,109,125
106,254,230,107,123
107,257,232,104,122
108,259,234,103,121
109,261,235,102,120
110,263,237,102,119
111,263,238,101,118
112,264,240,101,117
113,264,241,101,116
114,265,241,102,115
115,264,242,102,114
116,264,242,103,113
117,264,242,103,112
118,263,242,104,112
119,263,242,104,111
120,263,242,105,110
121,262,242,105,110
122,261,242,105,110
123,260,243,105,110
124,259,243,106,110
125,257,243,106,111
126,255,244,106,112
127,252,244,107,113
128,249,244,107,114
129,246,245,107,116
130,243,245,107,117
131,239,245,108,119
132,235,246,108,121
133,232,246,109,125
134,228,245,110,129
135,224,245,111,133
136,220,244,113,139
137,216,242,115,144
138,212,240,118,151
139,209,237,121,157
140,205,234,126,164
141,202,231,129,169
142,198,227,135,176
143,195,223,140,180
144,194,218,147,184
145,192,215,153,187
146,191,212,156,186
147,190,211,155,185
148,189,208,153,180
149,189,206,152,177
150,188,202,151,173
151,187,200,151,171
152,187,197,150,167
153,186,196,150,165
154,186,193,149,163
155,186,192,148,162
156,186,190,147,161
157,185,190,147,160
158,185,189,147,159
159,184,188,146,158
160,184,188,145,158
161,183,188,145,158
162,183,188,145,157
163,183,187,144,157
164,182,187,143,157
165,181,186,142,156
166,181,186,142,155
167,181,185,141,155
168,181,185,141,154
169,181,185,140,153
170,181,185,140,151
171,182,185,139,151
172,183,185,138,148
173,186,186,136,147
174,189,187,134,145
175,192,189,131,144
176,196,191,128,141
177,202,194,125,139
178,207,197,122,136
179,212,201,119,133
180,219,205,117,131
181,224,208,114,129
182,231,213,112,126
183,235,216,110,124
184,240,219,109,122
185,244,222,109,120
186,247,224,108,119
187,249,227,108,118
188,252,229,107,118
189,253,231,106,118
190,255,234,106,118
191,255,236,105,118
192,255,238,104,118
193,255,239,103,118
194,254,240,102,118
195,254,241,102,117
196,254,242,101,116
197,253,242,101,115
198,253,242,101,115
199,251,242,101,113
200,251,243,101,112
201,251,242,102,111
202,252,242,102,109
203,252,242,102,108
204,252,242,103,107
205,252,242,103,105
206,253,242,104,104
207,254,242,104,104
208,254,242,104,103
209,255,243,105,103
210,255,243,105,103
211,256,244,105,103
212,256,245,105,103
213,257,245,105,104
214,257,246,105,104
215,257,246,105,105
216,257,247,105,106
217,257,248,104,107
218,257,248,104,108
219,257,249,104,109
220,257,249,103,110
221,256,249,103,110
222,255,250,103,111
223,255,250,103,111
224,254,250,103,112
225,253,250,103,112
226,253,249,103,112
227,252,249,102,112
