Frame,X_thumb,Y_thumb,X_index,Y_index
0,205,228,164,151
1,204,228,164,150
2,206,228,162,149
3,206,229,161,148
4,207,230,161,146
5,207,230,160,144
6,207,230,159,143
7,208,231,159,141
8,209,231,158,140
9,209,231,157,139
10,209,231,156,137
11,210,231,156,136
12,210,231,156,135
13,211,231,155,134
14,211,231,155,133
15,212,232,154,132
16,212,231,154,131
17,212,232,153,130
18,212,232,153,129
19,212,232,153,129
20,213,232,153,128
21,213,232,153,127
22,213,232,153,127
23,213,232,153,126
24,213,233,153,125
25,213,233,153,124
26,214,233,153,124
27,214,233,153,123
28,214,234,153,122
29,214,234,153,122
30,214,234,154,122
31,214,234,154,121
32,214,234,154,121
33,214,234,155,121
34,213,235,155,121
35,213,235,155,121
36,213,235,155,121
37,212,235,156,121
38,212,235,156,121
39,212,235,156,121
40,211,234,157,122
41,210,234,157,123
42,209,233,158,124
43,208,232,158,126
44,207,232,159,127
45,205,231,160,129
46,204,230,161,131
47,202,229,161,132
48,200,229,162,134
49,198,227,163,136
50,197,227,164,139
51,195,226,164,140
52,194,226,165,143
53,193,225,165,145
54,193,224,165,148
55,192,224,166,150
56,191,224,166,154
57,191,224,167,156
58,190,223,168,160
59,189,222,169,163
60,189,222,170,167
61,187,221,172,170
62,187,221,174,174
63,186,220,176,178
64,186,220,179,181
65,187,221,180,183
66,186,222,180,183
67,186,222,179,183
68,186,223,178,183
69,186,223,176,182
70,186,223,176,182
71,186,223,176,182
72,186,223,176,182
73,186,224,176,182
74,186,224,176,182
75,186,224,175,183
76,186,224,175,183
77,186,224,175,183
78,186,225,175,184
79,186,225,175,184
80,186,226,175,184
81,186,226,175,185
82,187,227,175,185
83,187,227,175,186
84,187,227,175,186
85,187,228,175,187
86,187,229,175,187
87,188,229,175,188
88,188,230,175,189
89,188,230,175,189
90,188,231,175,190
91,188,231,175,190
92,189,231,175,191
93,189,232,175,191
94,189,233,175,192
95,189,233,175,192
96,189,234,175,193
97,189,234,175,193
98,189,235,175,194
99,190,235,175,195
100,190,235,175,195
101,190,236,175,196
102,190,236,175,196
103,190,236,175,197
104,190,237,175,197
105,190,237,175,197
106,190,237,175,197
107,190,238,176,198
108,190,238,176,198
109,190,238,176,198
110,190,238,176,198
111,190,238,176,197
112,190,237,176,197
113,190,237,176,197
114,190,237,176,197
115,190,236,176,196
116,190,236,176,196
117,190,235,176,196
118,190,235,177,195
119,190,235,177,195
120,190,234,177,194
121,190,234,177,193
122,190,233,178,193
123,191,233,178,192
124,190,232,179,192
125,190,231,179,191
126,190,231,179,191
127,190,230,179,190
128,191,230,180,189
129,190,229,180,189
130,191,228,181,188
131,191,228,181,188
132,190,227,181,187
133,190,227,181,187
134,190,227,182,186
135,190,227,181,186
136,191,227,181,185
137,190,227,180,184
138,191,227,179,183
139,191,227,178,183
140,191,228,176,181
141,192,228,175,180
142,192,229,174,179
143,192,230,172,178
144,193,231,170,176
145,193,231,169,174
146,194,232,167,173
147,194,233,165,171
148,195,234,163,170
149,195,235,161,168
150,196,236,159,166
151,196,237,157,165
152,196,238,156,163
153,197,239,154,161
154,197,240,152,160
155,197,241,151,159
156,198,241,150,158
157,199,242,149,156
158,199,242,148,155
159,200,243,147,154
160,200,243,147,153
161,201,243,146,151
162,201,244,146,150
163,202,244,146,149
164,202,244,146,148
165,203,244,146,147
166,203,243,146,146
167,204,243,146,145
168,204,243,146,143
169,205,242,146,143
170,205,242,146,142
171,205,242,146,141
172,206,242,146,140
173,206,241,147,139
174,207,242,147,139
175,207,241,147,138
176,208,242,147,138
177,208,242,147,137
178,208,242,147,136
179,209,242,147,136
180,209,242,147,136
181,209,242,147,136
182,209,242,147,136
183,209,242,147,136
184,209,242,147,137
185,209,242,147,137
186,210,242,147,138
187,209,242,147,139
188,210,242,148,140
189,209,242,148,141
190,210,242,149,142
191,209,242,150,143
192,209,242,150,144
193,209,242,151,144
194,209,242,152,146
195,209,242,152,147
196,209,241,153,148
197,209,241,154,149
198,209,241,155,150
199,209,242,155,151
200,209,242,156,152
201,209,241,157,152
202,209,242,157,154
203,209,242,158,155
204,208,242,158,156
205,207,242,159,157
206,207,242,159,158
207,206,242,160,159
208,206,242,160,161
209,204,241,161,163
210,203,241,162,165
211,202,240,162,166
212,200,239,164,169
213,198,238,165,171
214,196,238,167,175
215,195,237,169,177
216,193,236,170,180
217,192,235,172,184
218,191,234,176,186
219,190,234,178,189
220,189,233,181,192
221,189,233,183,194
222,190,234,184,195
223,190,234,184,195
224,190,234,182,195
225,189,235,181,195
226,189,235,180,194
227,189,234,179,194
228,189,234,179,194
229,189,234,179,193
230,189,234,178,193
231,189,234,178,193
232,188,234,177,193
233,188,234,177,193
234,188,235,177,193
235,188,235,177,194
236,189,235,177,194
237,189,236,177,195
238,189,236,177,195
239,189,237,177,196
240,189,237,177,196
241,189,238,177,197
242,190,238,178,198
243,190,239,178,198
244,190,239,178,199
245,190,240,178,199
246,190,240,178,200
247,191,241,178,200
248,191,241,178,201
249,191,241,178,201
250,191,241,178,201
251,191,242,178,202
252,191,242,178,202
253,191,242,178,202
254,191,242,178,202
255,191,242,178,202
256,191,242,178,202
257,191,242,178,202
258,191,242,178,202
259,191,242,178,202
260,191,242,178,202
261,191,241,178,202
262,191,241,178,202
263,191,241,178,201
264,191,240,178,201
265,191,240,178,201
266,191,239,178,200
267,191,239,178,200
268,190,238,178,199
269,190,237,179,198
270,190,237,179,197
271,190,236,179,197
272,190,235,179,196
273,190,235,179,195
274,190,234,179,194
275,190,233,179,193
276,190,233,179,193
277,190,232,179,192
278,190,231,179,191
279,189,230,179,191
280,190,229,180,190
281,190,228,180,189
282,190,228,181,189
283,189,227,181,188
284,189,226,181,187
285,190,225,181,187
286,190,225,181,186
287,189,224,181,186
288,190,224,181,185
289,190,224,180,184
290,190,224,180,183
291,190,224,179,182
292,191,223,178,180
293,191,223,177,179
294,192,224,176,177
295,192,224,175,175
296,192,224,173,173
297,193,224,173,171
298,193,225,171,168
299,194,226,170,166
300,194,226,169,164
301,195,227,167,161
302,195,227,166,158
303,196,228,164,156
304,197,228,163,154
305,197,229,162,152
306,198,229,161,149
307,198,230,160,147
308,199,230,160,145
309,200,231,159,143
310,200,231,159,141
311,200,231,159,140
312,201,232,159,138
313,201,232,158,137
314,202,232,158,136
315,202,232,158,135
316,203,232,158,134
317,203,233,158,133
