Frame,X_thumb,Y_thumb,X_index,Y_index
0,233,194,140,163
1,233,194,140,162
2,233,193,135,159
3,235,194,131,157
4,235,194,126,153
5,237,195,122,150
6,238,195,117,147
7,238,195,113,144
8,239,196,109,141
9,240,196,105,137
10,241,196,103,135
11,242,196,100,132
12,243,196,99,130
13,243,196,97,127
14,244,196,96,126
15,244,196,96,125
16,245,196,95,124
17,245,196,94,123
18,246,196,94,122
19,246,196,94,121
20,246,196,93,120
21,246,196,93,119
22,246,196,93,118
23,246,196,93,117
24,246,196,92,116
25,246,196,92,115
26,246,197,92,115
27,245,197,91,114
28,245,197,91,114
29,245,197,91,113
30,245,197,91,113
31,244,197,91,113
32,244,197,90,113
33,243,198,90,113
34,243,198,90,113
35,243,199,90,113
36,242,199,90,114
37,242,199,91,115
38,240,199,90,115
39,240,200,91,116
40,239,200,91,117
41,239,200,92,118
42,237,200,93,120
43,236,201,94,122
44,234,201,95,124
45,234,201,97,126
46,233,201,98,129
47,232,202,100,132
48,232,202,102,135
49,231,202,104,139
50,231,202,106,143
51,230,202,110,147
52,229,202,113,151
53,228,202,117,155
54,228,202,122,159
55,227,201,127,164
56,226,201,133,168
57,225,201,139,172
58,223,201,146,175
59,223,200,153,178
60,222,200,160,181
61,221,200,166,182
62,219,199,173,184
63,218,199,179,185
64,218,199,184,185
65,218,199,186,185
66,217,200,186,186
67,216,200,184,186
68,215,199,182,185
69,214,199,181,185
70,214,199,180,185
71,213,199,180,185
72,212,199,179,185
73,212,199,179,185
74,212,199,179,185
75,212,199,179,184
76,212,199,179,184
77,212,198,179,184
78,212,198,179,184
79,212,198,179,184
80,212,198,179,184
81,211,197,179,183
82,211,197,178,183
83,212,197,178,183
84,211,197,178,182
85,211,196,178,182
86,212,196,177,182
87,212,195,176,181
88,212,195,176,181
89,212,194,175,180
90,212,193,174,179
91,212,192,174,179
92,212,192,173,178
93,213,191,172,177
94,213,190,172,175
95,213,189,171,174
96,214,189,170,173
97,215,188,169,171
98,215,188,167,170
99,217,188,164,169
100,218,188,160,167
101,219,188,156,165
102,221,188,152,164
103,223,188,147,162
104,224,188,142,160
105,226,189,137,157
106,227,188,132,154
107,229,189,127,152
108,229,189,122,148
109,231,189,117,145
110,232,189,113,142
111,233,189,108,138
112,234,189,105,134
113,236,189,101,130
114,237,189,98,126
115,237,189,95,122
116,238,189,93,118
117,239,189,91,115
118,239,189,89,112
119,241,189,87,109
120,240,189,86,106
121,242,189,84,104
122,242,188,84,102
123,243,188,83,100
124,243,188,82,99
125,243,188,82,97
126,243,188,81,95
127,243,188,80,94
128,243,188,80,93
129,243,188,80,91
130,243,188,79,90
131,244,188,79,89
132,243,188,79,89
133,244,188,78,88
134,244,188,78,88
135,243,188,78,87
136,243,188,77,87
137,244,188,77,87
138,243,188,77,86
139,244,189,77,87
140,244,189,77,87
141,244,189,77,87
142,244,189,77,87
143,244,189,78,88
144,244,190,77,88
145,244,190,78,89
146,244,190,78,89
147,243,190,78,90
148,243,191,78,91
149,243,191,78,92
150,243,192,79,93
151,242,192,80,95
152,242,192,80,96
153,241,192,82,100
154,240,192,83,103
155,239,193,85,107
156,238,193,87,111
157,237,192,91,116
158,236,192,94,122
159,235,193,98,128
160,233,192,103,134
161,231,193,109,141
162,230,192,115,146
163,230,193,121,150
164,228,193,127,154
165,227,193,134,158
166,225,193,140,160
167,224,193,146,163
168,223,193,153,164
169,223,193,158,167
170,220,193,164,167
171,220,193,169,169
172,218,193,174,170
173,217,193,178,171
174,217,194,181,171
175,217,195,181,171
176,217,195,180,171
177,216,196,179,172
178,215,195,177,172
179,216,196,175,172
180,215,196,175,172
181,215,196,175,172
182,215,196,175,172
183,215,196,175,172
184,215,196,176,172
185,215,196,176,171
186,215,196,176,172
187,215,196,176,172
188,215,196,176,171
189,215,196,176,171
190,215,196,176,171
191,215,196,176,171
192,215,196,176,171
193,215,196,177,171
194,215,195,176,171
195,215,195,177,170
196,215,195,176,170
197,215,194,176,169
198,215,194,176,169
199,214,193,176,168
200,215,193,176,168
201,214,192,176,167
202,214,192,176,167
203,214,192,175,166
204,213,191,175,166
205,214,191,175,165
206,213,190,175,165
207,213,190,174,164
208,212,189,174,163
209,212,189,173,163
210,212,188,173,163
211,212,188,172,162
212,212,187,171,162
213,212,186,170,161
214,212,185,169,161
215,212,184,168,161
216,212,184,166,160
217,212,183,165,160
218,213,183,163,159
219,214,182,161,159
220,215,182,157,158
221,217,183,153,157
222,218,183,148,156
223,221,184,141,154
224,221,184,136,152
225,224,185,129,150
226,225,186,123,148
227,227,187,117,145
228,228,188,112,142
229,230,189,106,138
230,231,189,102,135
231,232,191,98,131
232,232,191,94,128
233,233,191,91,124
234,234,192,89,122
235,234,192,86,119
236,234,192,84,117
237,235,192,83,115
238,235,193,81,113
239,235,193,80,111
240,235,193,79,110
241,235,193,78,108
242,235,193,77,108
243,235,193,77,107
244,235,193,76,105
245,235,193,76,105
246,235,193,75,104
247,234,193,75,103
248,234,193,75,103
249,234,193,75,102
250,233,193,74,102
251,233,193,74,102
252,232,193,74,102
253,232,193,74,102
254,231,193,74,102
255,231,192,74,103
256,231,192,74,103
257,231,192,75,103
258,230,193,75,104
259,229,193,76,104
260,229,193,76,106
261,228,193,77,107
262,228,193,78,108
263,227,193,79,110
264,226,193,81,112
265,226,193,83,115
266,225,193,84,117
267,224,193,86,121
268,223,193,89,124
269,223,194,92,128
270,222,193,94,131
271,222,194,97,135
272,220,194,100,139
273,220,195,104,142
274,219,195,107,146
275,219,195,111,149
276,218,196,115,153
277,217,196,119,156
278,217,196,124,159
279,215,196,128,162
280,214,196,134,165
281,213,196,140,168
282,211,196,146,171
283,210,196,152,174
284,208,196,159,175
285,207,196,167,177
286,206,196,173,178
287,207,196,175,179
288,208,196,176,179
289,208,197,176,180
290,207,197,175,180
291,207,197,175,180
292,207,197,175,181
293,208,197,176,182
294,208,198,177,182
295,209,199,177,182
296,209,199,178,183
297,209,199,178,183
298,210,199,178,184
299,210,199,179,184
300,211,200,179,185
301,211,200,179,185
302,211,200,179,185
303,211,200,179,185
304,211,200,179,185
305,211,200,179,185
306,211,199,178,185
307,211,199,178,184
308,211,198,177,184
309,210,197,176,183
310,210,197,176,182
311,210,196,175,182
312,209,195,173,181
313,209,194,172,180
314,208,193,171,179
315,208,193,170,178
316,207,192,169,177
317,207,191,167,176
318,206,189,167,175
319,206,189,165,174
320,206,188,164,173
321,206,187,163,172
322,205,185,163,171
323,205,185,162,171
324,205,184,162,170
325,205,183,161,169
326,205,182,160,167
327,206,183,158,167
328,206,182,156,165
329,207,182,153,164
330,208,181,150,163
331,210,182,145,161
332,211,182,140,159
333,212,182,134,157
334,213,183,130,154
335,215,184,124,151
336,215,184,119,148
337,218,185,115,144
338,218,184,110,140
339,221,185,105,137
340,221,185,101,133
341,223,185,98,130
342,223,185,95,127
343,224,185,93,125
344,224,185,91,122
345,225,185,88,120
346,226,185,87,118
347,226,185,86,116
348,226,185,84,115
349,227,184,83,113
350,227,184,83,112
351,227,184,82,111
352,228,184,81,111
353,228,184,80,109
354,228,184,80,108
355,228,184,80,108
356,228,183,79,108
357,227,183,79,107
358,227,183,78,107
359,227,183,78,107
360,227,183,78,108
361,227,183,78,108
362,227,183,78,108
363,227,183,78,109
364,227,183,78,110
365,227,184,79,110
366,227,184,79,111
367,227,184,80,112
368,228,185,80,113
369,228,184,81,114
370,228,185,81,116
371,228,185,82,116
372,228,185,83,118
373,228,185,83,119
374,228,186,85,120
375,228,186,86,123
376,228,187,87,124
377,227,186,90,127
378,227,187,92,130
379,226,187,96,134
380,225,187,100,137
381,224,187,104,142
382,222,186,109,145
383,221,186,115,150
384,218,186,121,153
385,217,186,126,157
386,215,186,133,160
387,213,186,140,163
388,212,186,147,165
389,210,186,153,166
390,209,187,159,168
391,208,187,164,169
392,208,188,169,169
393,208,189,170,170
394,209,189,170,170
395,208,189,168,171
396,207,189,167,170
397,207,189,165,170
398,206,190,165,170
399,206,191,164,171
400,206,191,165,171
401,206,192,165,172
402,206,192,165,172
403,206,192,165,172
404,206,192,165,172
405,206,192,165,173
406,206,193,165,173
407,207,193,165,173
408,206,193,165,173
409,206,193,165,173
410,207,193,164,173
411,207,193,164,173
412,207,193,164,173
413,207,193,164,173
414,207,193,163,173
415,207,193,163,172
416,207,192,162,172
417,207,192,162,172
418,206,192,161,171
419,206,191,161,171
420,206,190,160,170
421,206,190,160,170
422,206,189,159,169
423,206,189,159,169
424,206,188,159,168
425,207,188,158,168
426,206,186,158,167
427,207,185,157,166
428,206,184,156,165
429,208,184,154,164
430,207,183,152,163
431,209,183,148,161
432,209,182,144,159
433,211,182,139,157
434,213,182,133,154
435,215,183,127,152
436,216,183,121,148
437,219,183,115,144
438,220,184,110,141
439,223,185,104,137
440,224,184,100,134
441,226,185,96,130
442,227,185,93,127
443,228,186,90,125
444,229,186,88,122
445,230,186,85,119
446,231,185,84,118
447,232,186,82,115
448,232,186,81,114
449,233,185,80,112
450,234,185,80,111
451,234,185,79,110
452,234,185,79,109
453,235,185,78,107
454,236,185,77,107
455,236,185,77,105
456,236,185,76,104
457,237,185,76,103
458,237,185,75,102
459,237,186,75,101
460,237,186,74,100
461,238,186,74,99
462,238,186,74,98
463,238,186,73,97
464,238,186,73,97
465,238,186,73,96
466,238,186,72,96
467,237,186,72,95
468,237,186,72,95
469,237,186,72,95
470,237,187,71,95
471,237,187,71,95
472,237,187,71,95
473,236,187,71,95
474,236,187,71,95
475,236,187,71,95
476,235,188,71,96
477,235,188,71,97
478,234,188,72,98
479,234,188,72,101
480,233,188,74,103
481,232,188,75,106
482,231,188,77,109
483,230,188,79,113
484,228,188,82,118
485,227,188,85,123
486,225,188,89,128
487,224,189,94,134
488,223,189,98,139
489,222,189,104,144
490,221,189,110,149
491,220,190,115,154
492,218,190,121,157
493,218,191,127,160
494,216,190,134,163
495,215,192,141,166
496,214,192,147,168
497,213,192,153,170
498,211,192,159,172
499,210,192,166,174
500,209,192,170,175
501,210,193,173,176
502,210,193,173,176
503,209,193,172,176
504,209,193,170,177
505,209,193,169,177
506,208,194,169,178
507,208,194,169,178
508,208,194,170,178
509,208,195,170,179
510,208,195,170,179
511,209,195,171,179
512,209,196,171,180
513,209,196,171,180
514,210,196,172,181
515,210,196,172,181
516,210,196,172,181
517,210,196,172,181
518,210,196,172,181
519,210,196,172,181
520,210,196,172,181
521,210,196,172,181
522,210,196,172,180
523,210,195,171,180
524,209,195,171,179
525,209,194,170,178
526,209,194,170,178
527,209,193,169,178
528,209,193,169,177
529,209,192,168,176
530,208,192,167,175
531,209,191,166,175
532,208,190,166,174
533,208,189,166,173
534,207,189,166,172
535,208,188,165,171
536,207,187,165,171
537,208,187,164,170
538,208,186,163,169
539,209,186,161,169
540,210,186,159,168
541,211,186,157,167
542,212,186,154,165
543,214,185,151,164
544,215,186,147,163
545,217,186,143,162
546,218,186,140,159
547,220,186,136,158
548,221,186,133,156
549,223,187,128,153
550,223,187,125,152
551,224,188,122,150
552,226,188,120,148
553,226,188,117,146
554,227,188,115,145
555,228,188,113,143
556,228,188,111,142
557,229,189,110,140
558,229,188,109,139
559,230,188,107,138
560,230,188,106,137
561,231,188,105,136
562,231,188,105,136
563,231,188,104,135
564,231,188,103,134
565,231,188,103,133
566,231,188,102,133
567,231,188,101,132
568,232,188,100,131
569,232,188,100,130
570,232,188,99,130
571,232,188,99,129
572,232,188,98,128
573,232,188,97,127
574,231,188,96,127
575,231,188,96,126
576,231,189,95,126
577,231,189,95,125
578,231,189,94,125
579,231,189,94,125
580,230,189,94,125
581,230,189,94,125
582,229,189,94,124
583,229,189,94,125
584,229,189,94,125
585,228,190,95,126
586,228,189,95,127
587,227,189,96,128
588,226,189,98,129
589,226,190,99,131
590,225,190,101,133
591,225,190,102,134
592,224,190,104,136
593,223,190,106,139
594,222,189,108,141
595,222,190,110,143
596,221,190,112,145
597,221,190,115,147
598,219,190,117,150
599,219,190,120,152
600,218,190,122,154
601,217,191,125,157
602,217,190,128,159
603,216,190,132,161
604,215,191,135,162
605,214,191,138,165
606,213,191,142,166
607,212,191,147,168
608,211,191,151,169
609,210,191,156,170
610,209,191,161,172
611,208,190,166,173
612,207,190,171,173
613,207,191,172,173
614,206,191,172,174
615,206,191,171,174
616,205,191,170,174
617,204,191,169,173
618,204,191,169,174
619,203,191,169,174
620,203,191,169,174
621,203,192,169,175
622,203,192,169,175
623,203,192,170,175
624,203,192,170,175
625,204,192,170,176
626,204,192,171,176
627,204,193,171,177
628,204,193,172,177
629,206,193,172,178
630,205,193,173,178
631,206,193,173,178
632,206,193,173,178
633,206,193,173,178
634,206,193,173,178
635,206,193,173,178
636,206,193,173,178
637,206,193,173,178
638,206,193,173,178
639,206,193,173,178
640,206,193,173,178
641,206,192,173,177
642,206,192,172,177
643,206,192,172,177
644,205,191,171,176
645,205,190,171,175
646,204,190,170,175
647,204,189,170,174
648,204,189,169,173
649,203,188,168,172
650,203,187,168,171
651,203,187,167,171
652,202,186,166,170
653,202,185,165,169
654,202,184,165,168
655,202,183,164,167
656,202,182,164,167
657,202,182,164,166
658,203,181,163,166
659,203,181,162,165
660,203,180,162,164
661,204,179,162,163
662,204,179,160,163
663,206,179,159,162
664,206,178,158,161
665,207,178,155,160
666,208,178,153,159
667,209,178,150,158
668,210,178,147,156
669,212,178,144,154
670,212,178,140,153
671,214,178,137,151
672,214,178,134,149
673,216,178,130,147
674,217,178,127,145
675,218,179,124,143
676,218,179,121,141
677,220,179,119,139
678,220,179,116,138
679,221,180,114,136
680,222,180,112,134
681,223,180,110,133
682,223,180,108,131
683,224,180,106,129
684,225,180,105,128
685,226,180,103,127
686,226,181,102,126
687,227,181,100,125
688,228,181,99,123
689,229,181,97,122
690,229,181,96,120
691,229,181,95,119
692,229,182,94,118
693,230,182,93,117
694,230,182,92,116
695,231,182,91,115
696,231,183,91,114
697,231,183,89,113
698,231,184,89,112
699,231,184,88,112
700,231,184,88,111
701,231,185,87,111
702,231,185,87,110
703,232,185,86,110
704,231,186,86,110
705,232,186,86,110
706,231,187,85,110
707,231,187,85,110
708,231,188,85,111
709,231,188,85,111
710,231,189,85,111
711,231,189,85,112
712,230,189,85,113
713,230,190,86,114
714,229,190,87,116
715,229,191,87,118
716,228,191,88,119
717,228,191,89,122
718,227,191,91,124
719,227,192,92,126
720,226,192,94,128
721,226,192,95,131
722,225,192,97,133
723,225,192,99,135
724,224,192,101,138
725,223,193,103,140
726,223,193,106,143
727,222,193,109,146
728,221,193,112,149
729,220,193,116,153
730,218,193,121,156
731,217,193,127,159
732,216,193,133,162
733,215,193,140,165
734,214,193,146,166
735,212,193,153,169
736,211,193,159,170
737,209,193,166,171
738,209,193,172,172
739,209,193,174,172
740,208,193,174,172
741,207,193,173,172
742,206,193,171,171
743,206,193,170,171
744,204,193,170,171
745,204,194,171,171
746,204,194,171,171
747,204,194,171,172
748,204,194,171,171
749,204,193,172,172
750,204,194,172,172
751,204,194,172,172
752,205,194,173,172
753,205,194,173,172
754,205,194,174,173
755,206,194,174,173
756,206,194,174,173
757,206,194,174,173
758,206,194,174,173
759,206,193,174,173
760,206,193,174,172
761,206,193,174,172
762,206,193,174,172
763,206,192,173,171
764,206,192,173,171
765,206,191,173,170
766,206,190,172,169
767,206,189,172,168
768,206,188,171,167
769,206,187,170,166
770,205,186,169,165
771,205,185,168,164
772,205,184,167,163
773,205,182,167,162
774,205,181,166,161
775,205,180,165,160
776,204,179,164,159
777,205,178,164,157
778,205,177,164,156
779,205,176,163,155
780,205,175,163,154
781,206,174,162,152
782,206,173,161,152
783,207,172,161,150
784,207,171,159,149
785,208,171,157,147
786,209,171,154,146
787,210,171,150,145
788,211,171,146,142
789,212,171,141,140
790,214,171,136,137
791,215,172,130,133
792,216,173,124,130
793,218,173,119,125
794,220,173,112,120
795,221,174,107,116
796,222,174,103,112
797,224,175,97,107
798,224,175,94,104
799,226,176,91,99
800,227,176,88,97
801,228,177,86,94
802,229,177,84,93
803,230,177,82,91
804,230,177,81,90
805,231,177,80,89
806,231,178,79,88
807,232,178,78,88
808,232,178,77,87
809,233,178,76,86
810,233,179,76,85
811,234,179,76,85
812,234,180,75,85
813,235,180,75,84
814,235,180,74,84
815,236,180,74,84
816,236,181,74,84
817,236,181,74,84
818,236,182,74,84
819,237,182,74,84
820,237,182,75,85
821,237,182,75,85
822,238,183,75,86
823,238,183,75,86
824,238,183,75,87
825,239,184,76,88
826,239,185,75,89
827,239,185,76,91
828,239,185,77,91
829,239,186,77,93
830,240,186,78,95
831,240,186,79,98
832,239,186,80,102
833,239,187,83,106
834,239,187,86,110
835,238,187,89,116
836,237,187,93,121
837,236,187,98,127
838,234,187,104,133
839,233,188,110,139
840,232,188,117,144
