Frame,X_thumb,Y_thumb,X_index,Y_index
0,131,219,208,147
1,131,219,207,147
2,129,219,210,144
3,127,219,211,141
4,125,219,213,138
5,124,219,214,136
6,122,219,215,134
7,121,219,216,131
8,120,220,217,129
9,118,220,218,126
10,117,219,218,125
11,116,219,219,123
12,115,219,220,121
13,114,219,220,120
14,114,219,220,119
15,113,219,221,117
16,112,219,221,117
17,111,219,221,116
18,111,219,221,115
19,110,219,221,114
20,109,219,221,113
21,108,218,221,112
22,108,218,221,111
23,107,218,221,110
24,106,218,221,110
25,105,217,222,110
26,104,217,222,109
27,103,217,221,109
28,102,217,221,109
29,101,217,221,109
30,100,217,221,109
31,100,217,221,109
32,99,217,222,109
33,98,218,222,109
34,98,218,222,109
35,97,219,221,110
36,97,219,221,110
37,96,219,221,110
38,96,219,221,110
39,95,220,221,110
40,95,220,221,111
41,94,221,221,111
42,94,222,221,111
43,94,222,220,112
44,93,223,220,112
45,93,223,220,112
46,92,223,220,113
47,92,224,220,113
48,92,224,220,113
49,91,224,220,113
50,91,225,220,114
51,91,226,220,114
52,91,226,220,114
53,91,226,220,115
54,91,227,220,115
55,91,227,220,115
56,91,227,221,116
57,92,228,221,116
58,92,228,221,117
59,93,228,221,117
60,93,229,221,118
61,94,229,221,118
62,96,230,220,119
63,98,230,220,120
64,99,231,220,122
65,102,232,219,124
66,105,233,218,126
67,107,233,218,129
68,110,234,217,134
69,113,234,216,139
70,117,234,214,144
71,120,234,212,150
72,123,234,210,158
73,125,234,207,165
74,128,234,203,171
75,130,234,199,174
76,132,235,195,178
77,133,236,191,181
78,134,236,187,183
79,135,237,184,185
80,136,237,180,188
81,137,237,178,189
82,138,238,176,191
83,138,238,176,192
84,138,239,175,193
85,138,240,175,193
86,138,240,175,194
87,138,241,174,195
88,139,241,174,195
89,139,241,174,196
90,138,242,174,197
91,138,242,174,197
92,139,243,174,197
93,138,243,173,198
94,139,244,173,198
95,139,244,173,198
96,139,244,173,198
97,139,244,173,198
98,139,244,173,198
99,139,244,173,198
100,139,243,174,198
101,139,243,174,197
102,139,242,174,197
103,140,242,174,196
104,140,241,175,195
105,141,240,175,194
106,141,239,176,193
107,142,238,176,192
108,143,237,177,191
109,143,236,177,189
110,144,235,178,187
111,144,233,179,185
112,145,231,179,183
113,146,230,181,181
114,145,227,182,179
115,145,226,183,177
116,144,224,184,174
117,144,223,186,172
118,142,223,187,171
119,141,222,189,168
120,139,223,191,167
121,138,223,193,165
122,136,223,196,163
123,133,223,198,162
124,131,224,200,159
125,130,224,202,157
126,127,226,204,155
127,125,226,206,152
128,123,227,209,149
129,122,227,210,147
130,119,228,212,144
131,118,228,213,141
132,116,229,214,139
133,115,229,215,136
134,113,229,216,134
135,112,229,216,132
136,111,229,217,130
137,110,229,217,129
138,109,229,217,127
139,109,228,218,125
140,108,227,218,124
141,107,227,218,123
142,106,227,218,121
143,105,226,218,120
144,105,225,218,119
145,104,224,218,118
146,103,223,219,116
147,103,223,219,115
148,102,223,219,114
149,102,222,219,114
150,102,221,219,113
151,101,220,220,112
152,100,220,220,111
153,100,219,220,111
154,99,219,220,111
155,99,219,220,110
156,99,219,220,109
157,99,218,220,109
158,98,218,220,108
159,98,218,220,108
160,98,217,220,108
161,97,217,220,108
162,97,216,220,107
163,97,216,220,107
164,97,216,220,107
165,97,216,220,107
166,97,216,220,106
167,97,216,220,106
168,97,216,220,106
169,97,215,220,105
170,97,215,220,105
171,97,215,220,105
172,96,215,220,105
173,96,215,220,104
174,97,214,220,104
175,97,214,220,104
176,97,214,220,104
177,97,214,220,104
178,97,214,220,104
179,97,214,220,104
180,97,214,220,104
181,97,215,221,104
182,97,215,220,104
183,97,215,221,104
184,97,215,220,104
185,98,215,221,104
186,97,215,220,104
187,98,215,221,104
188,98,216,221,104
189,98,216,221,104
190,99,216,221,104
191,99,217,221,104
192,99,217,220,104
193,100,217,221,105
194,100,218,220,105
195,101,218,220,105
196,102,218,220,105
197,102,219,221,105
198,103,219,220,105
199,104,219,221,105
200,105,219,221,106
201,106,219,221,106
202,107,219,221,107
203,109,219,221,108
204,110,219,221,109
205,112,219,221,110
206,114,220,220,113
207,117,219,220,116
208,119,220,220,120
209,122,220,220,124
210,124,220,218,131
211,127,220,216,137
212,130,220,214,144
213,132,221,211,150
214,134,221,208,156
215,136,222,204,160
216,137,222,199,163
217,138,223,194,166
218,138,223,189,170
219,138,224,186,172
220,139,225,183,175
221,139,226,181,178
222,139,227,179,180
223,139,229,177,182
224,139,230,177,184
225,139,231,176,185
226,138,233,176,187
227,138,234,175,188
228,138,235,174,190
229,138,236,174,191
230,138,237,173,192
231,137,237,173,193
232,138,238,173,194
233,138,238,173,194
234,138,239,173,195
235,138,239,173,195
236,138,239,173,195
237,138,239,174,195
238,139,239,174,195
239,139,238,174,194
240,139,238,174,194
241,139,237,174,193
242,140,237,175,193
243,140,237,175,193
244,140,236,175,192
245,141,235,176,191
246,141,235,176,190
247,141,234,176,189
248,142,234,177,188
249,142,232,177,187
250,142,231,178,186
251,143,230,178,185
252,143,229,179,183
253,143,227,180,182
254,143,226,181,180
255,142,226,183,179
256,142,225,184,177
257,141,224,186,175
258,139,224,188,174
259,138,224,190,172
260,136,224,192,171
261,134,224,193,170
262,132,225,196,168
263,131,225,198,166
264,128,226,200,164
265,127,226,202,162
266,125,226,204,159
267,124,227,206,157
268,121,227,208,154
269,120,227,210,151
270,119,227,212,148
271,117,227,213,146
272,116,227,214,144
273,115,227,215,142
274,114,226,216,139
275,113,226,217,138
276,113,226,217,136
277,112,226,218,134
278,111,226,218,132
279,111,226,218,130
280,111,226,218,128
281,111,225,219,126
282,111,225,219,124
283,111,224,219,123
284,111,224,219,121
285,111,224,219,120
286,111,223,219,119
287,111,223,220,117
288,112,223,220,117
289,112,223,220,116
290,112,222,220,115
291,112,222,220,114
292,112,222,220,113
293,112,221,220,113
294,113,221,221,112
295,113,220,221,111
296,113,220,221,111
297,113,220,221,111
298,113,220,221,110
299,113,219,221,110
300,113,220,221,110
301,113,220,221,109
302,112,220,221,109
303,112,219,221,109
304,112,220,221,109
305,112,219,221,109
306,111,219,221,108
307,111,219,221,108
308,111,220,222,107
309,111,219,222,107
310,110,220,222,107
311,110,220,222,106
312,110,220,222,106
313,110,220,222,106
314,110,220,222,106
315,110,220,222,106
316,110,221,222,106
317,111,221,222,106
318,111,222,223,106
319,111,222,223,107
320,112,223,223,107
321,113,223,223,107
322,113,224,224,107
323,114,225,224,107
324,114,226,224,108
325,116,226,224,108
326,116,227,225,109
327,117,228,225,110
328,118,229,225,111
329,120,230,225,112
330,121,231,226,114
331,123,231,226,116
332,126,233,226,120
333,128,233,226,123
334,131,234,226,128
335,134,235,226,132
336,137,235,226,139
337,140,235,225,146
338,143,236,224,154
339,145,236,221,161
340,147,237,218,169
341,149,237,214,173
342,150,238,210,179
343,150,238,206,182
344,151,239,201,185
345,151,241,198,187
346,151,241,194,191
347,151,242,191,194
348,151,244,189,196
349,151,245,188,198
350,150,247,187,200
351,150,248,186,201
352,150,248,186,202
353,150,249,185,203
354,150,249,185,203
355,150,250,184,204
356,150,250,184,204
357,150,250,184,204
358,150,249,184,203
359,150,248,184,202
360,151,248,185,202
361,151,247,185,200
362,152,246,185,200
363,153,244,186,198
364,153,243,186,197
365,154,241,186,195
366,155,240,187,193
367,155,238,187,191
368,156,236,188,189
369,156,234,189,187
370,157,233,190,186
371,158,230,190,183
372,158,228,191,182
373,158,226,192,179
374,158,225,193,177
375,158,223,194,174
376,157,222,195,171
377,156,220,197,169
378,155,220,198,167
379,154,219,200,164
380,153,219,202,162
381,151,219,204,160
382,149,219,205,157
383,147,219,207,155
384,145,219,209,152
385,143,219,211,149
386,141,220,212,147
387,139,220,214,144
388,137,221,215,142
389,135,221,217,139
390,133,221,218,136
391,131,222,219,134
392,130,222,220,131
393,128,222,221,129
394,127,222,221,126
395,126,222,222,124
396,125,222,222,122
397,124,222,222,120
398,122,222,222,119
399,122,221,222,117
400,121,220,222,116
401,121,219,222,114
402,119,219,222,113
403,119,219,223,111
404,118,219,223,110
405,118,218,223,109
406,117,217,223,108
407,117,216,223,107
408,116,216,222,106
409,116,215,222,105
410,115,214,223,104
411,115,213,222,103
412,114,213,222,103
413,113,212,222,102
414,113,211,222,102
415,112,211,222,101
416,111,211,222,101
417,111,210,222,101
418,110,210,222,100
419,109,209,222,100
420,109,209,222,99
421,108,209,222,99
422,108,209,222,99
423,108,209,221,99
424,107,209,221,99
425,107,208,221,99
426,107,208,221,98
427,107,208,221,98
428,107,208,221,98
429,107,208,221,98
430,107,208,221,98
431,107,208,221,97
432,107,208,221,97
433,108,208,221,97
434,108,208,221,97
435,108,208,222,96
436,108,208,222,96
437,109,208,222,96
438,110,208,222,96
439,110,208,222,96
440,111,208,223,96
441,111,208,223,95
442,112,208,223,95
443,112,208,223,95
444,113,208,223,95
445,113,208,223,96
446,114,208,223,95
447,114,208,223,96
448,114,209,223,96
449,115,209,223,96
450,115,210,223,97
451,116,210,223,97
452,116,211,224,98
453,116,211,224,99
454,116,212,224,100
455,116,213,223,102
456,116,214,223,103
457,117,214,223,105
458,118,215,223,108
459,119,216,223,111
460,120,217,222,116
461,122,218,221,121
462,123,219,221,127
463,124,220,219,133
464,126,221,217,141
465,128,222,214,148
466,130,224,210,156
467,131,225,207,162
468,133,226,202,168
469,134,228,197,172
470,135,230,192,176
471,135,232,188,180
472,136,234,185,184
473,136,235,182,187
474,136,237,180,190
475,136,238,178,192
476,137,239,176,194
477,137,241,176,196
478,137,242,175,197
479,138,243,175,198
480,138,244,175,199
481,138,245,175,199
482,139,245,175,200
483,139,245,175,200
484,139,245,175,201
485,139,245,175,200
486,140,245,175,200
487,141,245,176,200
488,141,245,176,200
489,142,244,176,199
490,142,243,177,198
491,143,242,177,198
492,144,241,178,197
493,144,241,178,196
494,145,239,179,194
495,146,238,180,193
496,146,237,180,192
497,147,235,181,190
498,148,234,182,189
499,148,233,183,187
500,149,230,184,185
501,149,228,184,183
502,150,226,185,181
503,150,225,186,178
504,149,224,188,176
505,149,223,190,174
506,149,222,191,172
507,148,220,193,170
508,147,220,195,167
509,146,219,196,165
510,145,219,199,162
511,144,219,201,159
512,142,219,203,156
513,141,219,205,153
514,140,218,207,150
515,139,217,209,147
516,138,217,210,143
517,137,216,212,140
518,136,215,213,137
519,136,215,215,134
520,134,214,216,131
521,134,213,218,128
522,133,212,218,125
523,133,212,219,123
524,132,211,219,120
525,131,210,220,118
526,131,209,220,116
527,130,208,221,113
528,130,207,221,111
529,130,207,221,109
530,130,206,221,107
531,130,204,222,105
532,129,204,222,103
533,129,203,222,102
534,129,202,222,99
535,129,201,222,98
536,128,200,222,97
537,128,199,222,96
538,128,198,222,95
539,127,197,222,94
540,126,196,222,93
541,126,195,222,92
542,125,194,222,91
543,125,193,222,90
544,124,193,222,89
545,124,192,222,89
546,123,192,222,88
547,123,191,222,88
548,123,191,222,87
549,122,191,222,86
550,122,190,222,86
551,122,190,222,86
552,122,190,222,85
553,122,190,222,85
554,122,190,222,85
555,122,190,222,85
556,122,190,222,84
557,122,190,222,84
558,122,191,222,84
559,122,191,222,84
560,122,191,222,84
561,122,191,222,83
562,122,192,222,83
563,122,192,222,83
564,122,192,222,83
565,122,192,222,83
566,122,193,222,83
567,122,193,222,83
568,122,193,222,84
569,122,193,222,84
570,122,194,222,84
571,123,194,222,85
572,123,195,223,86
573,123,196,223,86
574,123,197,223,88
575,123,197,223,89
576,124,198,223,90
577,124,199,223,92
578,125,200,223,94
579,126,201,222,97
580,127,203,222,101
581,128,204,222,105
582,130,206,221,110
583,131,207,220,116
584,133,208,218,123
585,134,210,216,130
586,135,212,213,138
587,136,213,210,146
588,138,215,206,152
589,139,217,202,158
590,139,219,197,163
591,139,220,193,167
592,139,223,189,171
593,140,224,186,174
594,139,226,183,177
595,139,227,181,179
596,140,229,179,182
597,140,230,178,184
598,140,232,177,186
599,140,233,177,187
600,140,234,176,188
601,140,235,176,189
602,140,236,175,190
603,140,237,175,190
604,140,237,175,190
605,140,237,175,191
606,140,237,175,191
607,140,237,175,191
608,140,237,175,191
609,141,237,175,191
610,141,237,175,191
611,141,236,175,190
612,141,236,175,190
613,142,235,176,189
614,142,234,176,189
615,142,234,176,189
616,143,233,176,188
617,143,232,176,187
618,143,231,177,186
619,144,230,177,186
620,144,230,177,184
621,145,228,178,183
622,145,227,178,181
623,145,226,179,180
624,146,223,179,178
625,147,222,180,176
626,147,219,181,174
627,147,217,182,171
628,147,215,183,169
629,147,212,184,166
630,147,211,186,163
631,146,209,188,160
632,145,208,190,157
633,144,207,192,155
634,143,206,194,152
635,141,205,196,150
636,140,204,199,148
637,138,204,201,145
638,136,204,203,142
639,135,204,206,140
640,133,204,208,136
641,132,204,210,134
642,130,204,212,130
643,128,204,214,128
644,127,204,215,125
645,125,204,216,122
646,124,204,217,120
647,123,204,218,117
648,121,204,218,115
649,119,204,219,113
650,118,204,219,111
651,116,204,219,109
652,115,204,219,108
653,113,204,220,107
654,112,203,219,106
655,111,202,220,104
656,110,201,220,103
657,109,201,220,103
658,108,200,220,102
659,107,200,220,101
660,107,199,220,100
661,106,198,220,99
662,105,198,220,98
663,105,197,220,97
664,104,197,220,97
665,104,196,220,96
666,104,196,220,96
667,103,196,220,96
668,102,196,220,95
669,102,195,220,95
670,102,195,220,95
671,101,196,220,94
672,101,196,220,94
673,100,196,220,94
674,100,196,220,94
675,99,196,220,94
676,99,197,220,94
677,99,197,220,94
678,99,197,219,94
679,99,197,219,94
680,99,198,219,94
681,98,198,219,94
682,98,198,218,94
683,97,199,218,94
684,97,199,218,94
685,97,199,218,94
686,97,199,218,94
687,97,199,218,94
688,97,199,218,94
689,97,199,218,94
690,97,199,218,93
691,97,199,218,93
692,97,199,218,93
693,97,199,218,93
694,97,199,218,93
695,98,199,218,93
696,99,199,219,93
697,99,200,219,93
698,99,200,219,93
699,100,200,219,94
700,101,200,220,95
701,102,201,220,95
702,104,202,220,96
703,106,203,219,98
704,109,204,219,99
705,111,206,218,102
706,114,206,218,105
707,117,207,218,108
708,121,208,218,113
709,124,208,218,118
710,127,208,216,124
711,130,208,214,130
712,133,208,212,136
713,136,209,209,142
714,138,209,205,146
715,140,211,201,150
716,141,211,197,153
717,142,211,194,156
718,144,211,190,158
719,145,212,188,161
720,145,212,186,163
721,147,213,184,164
722,147,213,182,165
723,148,213,182,167
724,147,214,181,167
725,148,214,181,168
726,148,215,181,168
727,148,215,181,169
728,149,215,181,169
729,149,215,181,170
730,149,215,181,170
731,149,215,181,170
732,150,216,181,171
733,150,215,181,171
734,150,215,181,171
735,150,215,181,171
736,150,215,181,171
737,150,215,181,170
738,150,215,181,170
739,151,215,181,170
740,151,215,181,170
741,151,215,181,170
742,151,214,181,169
743,151,213,182,169
744,151,212,182,168
745,152,212,182,168
746,152,211,183,167
747,152,210,183,166
748,152,209,183,164
749,152,207,184,163
750,152,205,184,161
751,153,204,184,160
752,153,202,185,158
753,153,200,185,156
754,153,197,186,155
755,153,196,186,153
756,152,195,188,151
757,151,193,189,149
758,150,192,191,147
759,149,192,193,146
760,148,192,194,144
761,146,191,196,142
762,144,191,198,141
763,142,191,200,140
764,141,191,202,138
765,139,190,204,137
766,136,191,206,135
767,135,190,207,133
768,133,190,209,131
769,131,190,211,129
770,130,189,212,127
771,128,189,214,125
772,126,189,214,123
773,125,189,215,120
774,123,188,216,118
775,122,187,217,117
776,121,187,218,115
777,120,186,219,113
778,118,185,219,111
779,118,185,219,110
780,116,184,220,108
781,115,183,220,107
782,114,182,220,105
783,113,181,220,104
784,113,180,221,102
785,112,180,221,101
786,111,179,221,100
787,110,178,221,98
788,110,177,222,97
789,109,177,222,96
790,109,176,222,95
791,108,175,222,95
792,108,174,223,94
793,108,173,223,93
794,107,172,223,93
795,107,171,223,92
796,106,171,223,92
797,105,171,223,91
798,105,170,223,91
799,105,170,223,90
800,104,170,223,90
801,104,170,223,90
802,104,170,223,90
803,104,170,223,89
804,104,170,223,89
805,104,171,223,89
806,104,171,223,89
807,104,172,223,89
808,104,173,223,89
809,105,173,223,89
810,105,174,223,89
811,106,175,223,89
812,106,176,224,89
813,107,177,224,89
814,108,178,224,89
815,109,179,224,90
816,109,180,224,90
817,110,181,224,90
818,111,181,224,90
819,113,182,224,91
820,114,183,224,91
821,116,184,224,92
822,119,185,224,93
823,121,186,224,93
824,124,187,223,95
825,127,188,223,96
826,130,189,223,100
827,134,189,222,103
828,137,189,221,108
829,141,189,220,113
830,143,189,218,118
831,146,189,216,122
832,148,189,213,129
833,151,189,210,133
834,152,189,207,136
835,153,190,204,139
836,155,190,201,141
837,156,190,199,144
838,157,191,196,146
839,158,192,195,148
840,159,192,193,149
841,159,193,191,151
842,159,193,191,152
843,160,195,190,153
844,160,195,190,154
845,160,196,190,155
846,160,196,190,155
847,160,197,190,156
848,160,197,190,156
849,160,199,190,157
850,161,199,190,157
851,161,199,190,158
852,161,199,190,158
853,161,199,190,158
854,161,199,190,158
855,161,199,190,158
856,161,198,190,158
857,161,198,190,157
858,161,198,191,157
859,161,198,191,157
860,161,197,191,156
861,162,197,191,156
862,162,197,191,156
863,162,197,191,155
864,162,196,191,155
865,162,196,192,155
866,162,196,192,154
867,162,195,192,154
868,162,195,192,153
869,162,194,192,153
870,161,193,192,152
871,161,193,192,152
872,161,193,193,151
873,161,192,193,151
874,161,192,193,150
875,161,191,194,149
876,161,191,195,148
877,161,190,195,147
878,161,190,196,146
879,160,189,197,144
880,160,189,198,143
881,159,189,200,142
882,159,189,201,141
883,158,189,202,140
884,158,189,203,139
885,157,189,204,138
886,156,190,206,137
887,155,190,207,136
888,154,190,208,135
889,153,191,209,134
890,152,191,210,133
891,150,191,211,133
892,149,192,213,131
893,148,192,213,130
894,146,192,214,128
895,145,192,215,126
896,143,192,216,124
897,142,192,217,122
898,141,192,217,120
899,140,192,218,118
900,139,191,218,116
901,138,190,218,115
902,136,190,219,112
903,136,189,219,111
904,135,189,219,109
905,134,189,220,106
906,133,188,220,105
907,132,187,220,103
908,131,186,220,102
909,131,187,220,101
910,130,186,220,100
911,130,186,221,98
912,130,186,221,97
913,130,186,220,96
914,130,186,221,95
915,130,185,221,95
916,130,186,220,94
917,130,186,221,93
918,130,186,220,93
919,130,187,220,92
920,130,187,220,92
921,130,188,221,92
922,130,188,220,91
923,130,188,220,91
924,130,188,220,91
925,130,188,221,91
926,131,189,221,91
927,130,189,221,91
928,130,189,221,91
929,130,189,221,91
930,130,190,221,91
931,130,190,221,91
932,130,190,221,91
933,130,190,221,91
934,130,190,221,91
935,130,190,221,91
936,130,190,222,91
937,130,190,222,91
938,130,190,222,91
939,130,190,222,92
940,131,190,222,92
941,131,190,222,93
942,132,190,223,94
943,133,190,222,95
944,134,191,222,96
945,136,191,222,98
946,138,191,221,101
947,140,192,220,104
948,142,192,219,107
949,145,192,218,111
950,147,192,217,116
951,150,192,215,121
952,151,192,213,127
953,153,193,210,132
954,154,193,208,135
955,155,195,206,138
956,156,196,204,141
957,156,197,201,144
958,156,198,199,147
959,157,200,197,150
960,157,200,196,152
961,158,202,195,155
962,158,203,193,157
963,158,204,191,159
964,158,205,190,161
965,158,206,189,162
966,158,207,189,164
967,158,208,189,165
968,158,208,188,166
969,158,209,188,166
970,158,209,188,167
971,159,210,188,167
972,159,210,188,168
973,159,210,188,168
974,159,210,188,168
975,159,210,188,168
976,159,210,188,168
977,159,210,188,167
978,159,209,188,167
979,160,209,188,167
980,160,209,188,167
981,160,208,188,167
982,160,208,188,167
983,160,208,188,166
984,160,208,188,166
985,161,207,188,165
986,161,207,188,164
987,161,206,189,164
988,161,205,189,163
989,161,204,189,161
990,161,204,189,160
991,160,203,189,159
992,160,201,189,158
993,159,201,190,156
994,159,200,191,155
995,159,199,192,153
996,158,198,193,151
997,157,197,194,150
998,156,197,195,148
999,156,197,196,146
1000,155,196,197,144
1001,154,196,199,143
1002,153,196,201,141
1003,151,196,202,139
1004,150,196,204,137
1005,148,196,206,136
1006,147,196,208,134
1007,145,196,209,132
1008,144,196,211,130
1009,142,196,212,128
1010,141,195,214,126
1011,139,195,215,123
1012,138,195,216,121
1013,137,194,217,119
1014,135,194,218,117
1015,134,193,218,115
1016,133,193,219,113
1017,133,193,220,112
1018,131,192,220,110
1019,130,192,220,109
1020,130,192,221,107
1021,129,191,221,106
1022,128,190,221,105
1023,128,190,222,103
1024,127,190,222,102
1025,127,189,223,102
1026,127,189,223,101
1027,127,189,223,100
1028,127,189,223,99
1029,126,189,223,98
1030,126,189,223,98
1031,126,189,223,97
1032,126,189,223,97
1033,126,189,223,97
1034,126,189,223,97
1035,126,190,224,97
1036,126,190,224,97
1037,125,191,224,97
1038,125,191,224,97
1039,125,192,224,97
1040,125,192,224,97
1041,125,193,224,97
1042,125,193,224,97
1043,125,194,224,98
1044,125,193,224,98
1045,125,195,225,98
1046,125,195,224,98
1047,125,196,225,98
1048,125,196,225,98
1049,125,196,225,99
1050,125,197,225,99
1051,126,197,225,101
1052,127,198,225,101
1053,128,198,225,102
1054,129,198,225,104
1055,131,198,224,107
1056,133,198,224,109
1057,136,200,223,113
1058,139,199,222,117
1059,142,199,221,121
1060,145,199,219,127
1061,148,199,217,131
1062,150,199,214,136
1063,152,200,212,139
1064,153,200,209,142
1065,154,201,208,145
1066,155,201,205,148
1067,156,202,204,150
1068,157,203,201,152
1069,158,204,200,155
1070,158,205,198,157
1071,159,206,197,159
1072,159,207,195,160
1073,160,208,194,162
1074,160,208,193,163
1075,160,209,192,165
1076,160,210,191,166
1077,161,211,191,167
1078,161,212,190,168
1079,161,212,190,169
1080,161,213,190,170
1081,161,213,190,170
1082,161,213,190,170
1083,162,214,190,171
1084,162,214,190,171
1085,162,214,190,171
1086,162,214,190,171
1087,162,213,191,171
1088,163,213,191,171
1089,163,213,191,170
1090,163,213,191,170
1091,163,212,191,170
1092,163,212,191,169
1093,163,212,192,169
1094,163,211,192,168
1095,163,211,192,168
1096,163,211,192,167
1097,163,211,192,167
1098,163,210,192,167
1099,164,210,192,167
1100,163,210,192,167
1101,163,209,192,166
1102,163,209,192,166
1103,163,209,192,166
1104,163,209,192,166
1105,163,208,192,166
1106,163,208,192,166
1107,162,208,192,165
1108,163,208,192,165
1109,162,207,192,164
1110,162,207,192,163
1111,162,207,193,162
1112,162,206,193,161
1113,162,205,194,160
1114,162,204,195,158
1115,162,204,196,157
1116,161,204,196,155
1117,161,203,198,153
1118,160,203,199,152
1119,159,203,201,150
1120,158,203,202,148
1121,156,202,204,146
1122,156,202,206,144
1123,154,201,208,141
1124,153,201,210,139
1125,152,201,211,136
1126,150,200,213,134
1127,148,200,215,131
1128,147,200,217,128
1129,146,199,218,126
1130,144,199,219,123
1131,142,199,221,120
1132,141,198,221,118
1133,139,197,223,115
1134,138,196,223,113
1135,137,196,224,111
1136,135,196,224,109
1137,134,195,224,107
1138,133,194,224,106
1139,131,193,224,103
1140,130,193,224,102
1141,130,192,224,101
1142,127,192,224,100
1143,126,191,224,98
1144,125,190,223,97
1145,124,189,223,96
1146,123,189,223,95
1147,122,189,223,94
1148,121,189,223,93
1149,120,189,223,93
1150,119,188,223,92
1151,118,187,223,91
1152,117,186,223,91
1153,116,186,223,91
1154,115,185,223,91
1155,114,184,223,91
1156,113,183,223,90
1157,112,182,223,90
1158,112,182,223,90
1159,111,181,223,90
1160,110,181,223,90
1161,110,180,223,90
1162,109,180,223,90
1163,108,180,223,90
1164,108,179,223,90
1165,108,179,223,90
1166,107,179,223,90
1167,107,179,223,90
1168,107,180,223,91
1169,107,180,223,91
1170,107,181,223,92
1171,108,182,223,92
1172,108,183,223,93
1173,108,184,223,93
1174,109,186,223,95
1175,109,187,224,96
1176,110,188,224,97
1177,110,190,224,98
1178,111,191,224,99
1179,113,193,224,101
1180,116,195,224,103
1181,118,196,224,105
1182,121,198,224,108
1183,124,199,223,113
1184,127,201,223,117
1185,131,202,221,123
1186,135,203,219,128
1187,138,204,217,135
1188,141,204,215,141
1189,144,204,211,146
1190,147,205,208,150
1191,149,205,204,154
