Frame,X_thumb,Y_thumb,X_index,Y_index
0,127,231,231,159
1,126,230,231,159
2,123,233,232,156
3,120,235,234,153
4,116,237,235,150
5,113,239,237,147
6,110,241,238,144
7,107,242,238,141
8,105,243,239,138
9,104,244,239,136
10,102,244,240,134
11,102,244,240,133
12,102,244,240,131
13,102,245,240,129
14,102,245,241,128
15,103,245,241,127
16,103,245,241,126
17,104,245,242,125
18,105,246,242,125
19,105,246,243,124
20,106,247,243,124
21,107,247,243,124
22,107,249,243,124
23,108,250,243,125
24,108,250,243,125
25,108,252,243,125
26,108,253,242,125
27,108,253,242,126
28,109,254,241,126
29,109,255,241,127
30,109,256,241,127
31,108,256,241,128
32,108,257,240,128
33,108,257,240,129
34,108,258,240,129
35,108,258,240,130
36,108,259,239,130
37,108,259,238,130
38,107,260,238,130
39,107,260,238,130
40,107,261,238,130
41,107,261,238,130
42,106,261,238,130
43,106,262,237,130
44,105,262,237,130
45,106,263,237,130
46,105,263,237,130
47,105,264,237,131
48,105,264,237,131
49,105,264,237,131
50,105,264,237,131
51,105,265,237,131
52,105,265,237,131
53,105,265,237,131
54,105,265,237,131
55,105,265,237,132
56,105,265,237,132
57,106,265,237,132
58,106,266,237,132
59,107,265,238,132
60,107,266,238,132
61,107,267,238,132
62,108,267,238,132
63,108,267,238,132
64,109,267,238,132
65,110,267,238,133
66,111,267,239,134
67,113,267,239,136
68,114,266,239,139
69,116,265,239,143
70,119,264,237,148
71,124,261,235,155
72,127,260,232,160
73,133,257,228,167
74,136,254,224,173
75,141,249,217,181
76,145,246,211,185
77,150,240,203,192
78,152,237,195,196
79,153,232,185,199
80,153,231,180,198
81,152,229,178,196
82,152,227,178,194
83,152,225,177,192
84,152,224,177,191
85,152,222,176,189
86,152,220,176,188
87,151,218,175,186
88,152,216,175,184
89,152,214,176,182
90,152,213,176,181
91,152,212,176,180
92,153,211,176,180
93,153,210,177,180
94,152,209,178,180
95,152,209,178,181
96,151,209,180,182
97,150,209,182,185
98,150,210,183,187
99,148,211,187,192
100,146,213,190,194
101,144,216,193,197
102,141,220,196,198
103,138,224,200,199
104,135,228,203,201
105,133,231,206,200
106,128,236,210,199
107,125,240,213,197
108,122,243,217,195
109,118,246,221,191
110,113,249,223,188
111,110,251,226,184
112,105,253,228,181
113,102,254,230,175
114,97,255,232,171
115,94,256,232,166
116,91,256,233,162
117,90,255,233,158
118,89,254,233,155
119,88,253,232,151
120,88,253,232,148
121,90,251,232,144
122,91,250,233,141
