Frame,X_thumb,Y_thumb,X_index,Y_index
0,152,210,207,149
1,152,209,207,149
2,151,211,208,146
3,150,212,211,142
4,150,213,212,139
5,149,214,215,135
6,149,214,216,132
7,148,215,218,128
8,148,216,219,125
9,148,216,220,122
10,148,217,221,120
11,148,217,222,118
12,148,217,222,117
13,148,217,223,115
14,148,217,223,113
15,148,217,223,111
16,148,217,223,110
17,148,217,224,109
18,148,217,224,108
19,148,217,224,107
20,148,217,224,106
21,148,217,224,105
22,148,217,224,104
23,148,217,224,103
24,148,217,224,103
25,148,218,224,102
26,148,217,224,102
27,148,218,224,101
28,148,218,225,101
29,148,218,224,100
30,148,218,224,100
31,147,219,224,100
32,147,219,224,100
33,147,220,224,100
34,147,221,224,100
35,146,221,224,100
36,146,222,224,100
37,146,222,224,100
38,146,222,224,100
39,146,222,224,100
40,146,222,224,100
41,146,223,224,100
42,146,223,224,101
43,146,223,224,101
44,146,223,224,102
45,146,223,224,103
46,147,223,224,104
47,147,222,224,106
48,147,222,224,109
49,148,222,224,112
50,148,222,224,117
51,148,221,224,122
52,149,221,223,128
53,149,220,222,134
54,150,220,219,141
55,150,220,217,146
56,150,220,215,152
57,150,220,213,156
58,150,219,210,160
59,151,219,207,164
60,151,219,204,167
61,151,218,202,170
62,151,218,198,174
63,152,217,195,176
64,152,216,192,179
65,152,215,189,180
66,152,215,187,182
67,152,215,185,182
68,152,215,185,182
69,152,215,185,182
70,152,215,184,182
71,152,215,184,182
72,152,215,184,182
73,152,215,184,182
74,152,215,184,182
75,151,215,183,182
76,151,215,183,183
77,151,215,183,182
78,151,214,183,182
79,151,214,183,182
80,151,213,183,182
81,151,213,183,182
82,151,212,183,181
83,152,212,183,181
84,152,212,183,181
85,152,212,183,180
86,152,211,183,180
87,152,211,183,179
88,152,211,183,179
89,153,210,184,179
90,153,209,184,178
91,153,209,184,178
92,153,209,184,178
93,153,208,184,177
94,153,208,184,177
95,153,208,184,177
96,153,208,184,177
97,153,208,184,177
98,153,207,184,177
99,153,207,184,177
100,153,207,184,176
101,153,207,184,176
102,153,206,184,175
103,153,206,184,175
104,154,206,185,175
105,154,206,185,175
106,154,205,185,175
107,154,205,185,175
108,155,204,186,175
109,155,204,186,175
110,155,205,187,175
111,154,206,188,174
112,154,207,190,173
113,154,208,192,171
114,153,209,194,170
115,153,210,196,168
116,152,211,198,166
117,152,212,200,164
118,151,213,202,161
119,150,215,204,158
120,150,216,207,155
121,149,217,209,151
122,149,218,212,148
123,149,219,213,144
124,149,219,216,140
125,148,220,217,136
126,147,221,219,132
127,147,222,220,129
128,147,222,221,126
129,147,222,221,124
130,147,222,222,122
131,147,222,223,120
132,147,222,223,119
133,147,222,223,117
134,147,222,223,116
135,147,222,223,114
136,147,223,224,114
137,147,223,224,112
138,146,223,224,112
139,146,223,224,110
140,146,223,224,110
141,146,223,224,109
142,146,223,224,109
143,146,223,224,108
144,146,223,225,108
145,146,224,224,107
146,146,224,224,107
147,146,224,224,106
148,146,224,224,106
149,146,224,224,105
150,146,225,224,105
151,145,225,224,105
152,145,225,224,104
153,145,225,224,104
154,145,225,224,104
155,145,226,224,104
156,145,226,225,104
157,144,226,224,104
158,145,226,225,103
159,144,226,224,103
160,144,227,225,103
161,144,227,224,103
162,144,227,225,103
163,144,227,225,103
164,143,228,225,103
165,144,228,225,103
166,143,228,225,103
167,144,228,225,104
168,144,227,225,104
169,144,227,225,105
170,144,227,225,106
171,144,227,225,108
172,144,226,225,110
173,144,226,225,113
174,144,226,226,116
175,145,226,225,120
176,145,225,225,125
177,145,225,224,130
