Frame,X_thumb,Y_thumb,X_index,Y_index
0,225,223,146,146
1,225,224,144,144
2,226,225,143,143
3,227,226,142,141
4,227,227,140,140
5,228,229,139,139
6,229,230,137,138
7,230,231,137,137
8,230,232,136,136
9,231,233,136,136
10,231,234,135,136
11,231,235,135,135
12,231,236,135,135
13,232,237,135,135
14,232,238,134,135
15,232,239,134,135
16,232,239,134,135
17,233,240,133,135
18,233,241,133,135
19,233,241,133,135
20,233,242,133,135
21,233,242,133,135
22,233,243,132,136
23,234,243,133,136
24,234,244,133,136
25,234,244,133,136
26,234,244,133,136
27,235,245,133,136
28,235,245,132,136
29,236,245,132,136
30,236,245,132,136
31,236,245,133,136
32,237,245,133,137
33,238,245,133,136
34,238,246,133,136
35,239,246,134,136
36,239,246,134,136
37,240,246,134,136
38,240,246,134,135
39,241,246,135,134
40,242,246,136,133
41,242,246,136,133
42,243,246,136,133
43,243,247,137,132
44,243,247,137,131
45,244,247,138,131
46,244,247,138,131
47,245,247,139,131
48,245,247,138,131
49,245,247,139,131
50,245,247,139,132
51,246,247,139,132
52,246,247,139,133
53,246,247,140,133
54,246,247,140,134
55,246,248,141,135
56,246,248,141,136
57,246,248,141,137
58,246,248,141,139
59,246,248,142,140
60,246,248,142,142
61,246,248,143,144
62,246,248,143,147
63,246,248,144,150
64,246,248,145,152
65,246,248,145,155
66,245,248,147,158
67,245,248,148,162
68,244,247,150,165
69,244,248,152,168
70,242,247,154,171
71,242,247,157,174
72,241,247,159,177
73,240,246,161,179
74,238,246,163,182
75,238,246,165,183
76,237,245,167,184
77,236,245,168,184
78,234,245,169,184
79,233,244,170,184
80,231,244,171,184
81,230,243,172,183
82,228,242,173,182
83,227,241,175,182
84,226,240,175,181
85,226,239,175,181
86,225,239,175,180
87,225,238,174,179
88,225,238,173,178
89,225,238,173,178
90,226,238,173,178
91,226,238,173,178
92,226,238,173,177
93,227,238,173,177
94,227,238,173,177
95,227,237,173,177
96,228,237,173,177
97,228,237,173,177
98,229,237,173,177
99,229,237,173,177
100,229,237,173,177
101,229,237,173,177
102,229,237,174,177
103,229,237,174,177
104,229,237,174,177
105,229,236,174,178
106,229,236,174,178
107,229,236,174,178
108,229,236,174,178
109,229,236,174,178
110,228,235,174,179
111,228,235,174,179
112,228,235,174,179
113,228,235,174,179
114,228,235,175,179
115,227,235,175,180
116,227,236,175,180
117,227,235,175,180
118,227,236,175,180
119,227,235,175,180
120,227,235,175,180
121,227,235,175,180
122,227,235,175,180
123,226,235,175,181
124,226,235,175,181
125,226,235,174,181
126,226,235,174,181
127,226,234,174,181
128,225,234,174,180
129,225,234,174,180
130,225,234,174,180
131,225,233,174,180
132,224,233,174,180
133,225,232,174,179
134,224,232,174,179
135,224,231,173,179
136,224,230,173,178
137,224,230,173,178
138,223,229,173,177
139,223,229,173,177
140,223,227,173,176
141,222,226,172,175
142,221,225,172,174
143,222,223,172,174
144,220,223,172,173
145,220,222,171,173
146,219,220,171,173
147,219,220,170,172
148,219,219,170,171
149,220,219,168,170
150,220,220,166,168
151,221,222,164,167
152,222,223,162,166
153,224,225,160,166
154,226,226,158,166
155,228,229,156,164
156,229,230,154,164
157,231,232,153,164
158,232,234,151,163
159,234,235,149,162
160,235,237,148,161
161,237,238,147,160
162,238,239,145,158
163,240,241,144,156
164,240,242,143,154
165,241,244,142,152
166,242,244,141,150
167,243,246,141,148
168,243,246,140,146
169,245,247,139,145
170,245,248,138,143
171,246,249,138,142
172,247,249,136,141
173,248,250,136,140
