Source,Method,n_features,MAE,ACC,AAcc,Kappa,WD,ICC,Spearman
LLM,ds32b_v1_amp_n2,2,0.5094339622641509,0.49056603773584906,1.0,0.6654196866962825,0.16981132075471694,0.711754207037226,0.7353115653213905
LLM,ds32b_v1_amp_n3,3,0.41509433962264153,0.5849056603773585,1.0,0.7202495201535508,0.15094339622641506,0.8154045307443367,0.8334266883827592
LLM,ds32b_v1_amp_n4,4,0.39622641509433965,0.6037735849056604,1.0,0.7171537484116899,0.13207547169811318,0.7765035338045079,0.7672755150895378
LLM,ds32b_v1_amp_n5,5,0.4339622641509434,0.5660377358490566,1.0,0.7258826174949404,0.24528301886792458,0.7870018393623546,0.81619773591762
LLM,ds32b_v1_amp_n6,6,0.4716981132075472,0.5660377358490566,0.9622641509433962,0.651710854294131,0.28301886792452824,0.7623956158663883,0.8168491310289838
LLM,ds32b_v1_amp_n7,7,0.5094339622641509,0.5283018867924528,0.9622641509433962,0.5755618703177474,0.2075471698113207,0.7454151624548737,0.7981751668504531
LLM,ds32b_v1_amp_n8,8,0.33962264150943394,0.6981132075471698,0.9622641509433962,0.7214524605828954,0.18867924528301883,0.8090445517981748,0.8189927995386134
LLM,ds32b_v1_amp_n9,9,0.4716981132075472,0.5849056603773585,0.9433962264150944,0.6433687866290427,0.24528301886792447,0.7405078597339784,0.8272090868114449
LLM,ds32b_v1_amp_n10,10,0.39622641509433965,0.6415094339622641,0.9622641509433962,0.6668342972089515,0.2075471698113207,0.7601592531576064,0.8105975049172596
LLM,ds32b_v1_amp_n11,11,0.5471698113207547,0.4716981132075472,0.9811320754716981,0.6335043497657818,0.16981132075471694,0.7328537765099845,0.7826859871808769
LLM,ds32b_v1_amp_n12,12,0.49056603773584906,0.5283018867924528,0.9811320754716981,0.6611872146118721,0.26415094339622636,0.7721084263461302,0.7919508242116702
LLM,ds32b_v1_amp_n13,13,0.4339622641509434,0.5849056603773585,0.9811320754716981,0.6668342972089515,0.2075471698113207,0.7471709350804053,0.7664427728423765
LLM,ds32b_v1_amp_n14,14,0.5094339622641509,0.5094339622641509,0.9811320754716981,0.6017102876392848,0.13207547169811318,0.7142857142857144,0.7283618748544116
LLM,ds32b_v1_amp_n15,15,0.4528301886792453,0.5849056603773585,0.9622641509433962,0.6055289739500265,0.18867924528301883,0.7067882775119617,0.7584498479837585
LLM,ds32b_v1_llmfreq_n2,2,0.7547169811320755,0.33962264150943394,0.9056603773584906,0.5538720538720538,0.45283018867924535,0.6079490130123046,0.67860402609778
LLM,ds32b_v1_llmfreq_n3,3,0.6792452830188679,0.4528301886792453,0.8679245283018868,0.5176556243174372,0.4150943396226415,0.6448157669237364,0.6825930680472854
LLM,ds32b_v1_llmfreq_n4,4,0.5283018867924528,0.5471698113207547,0.9245283018867925,0.578062804068996,0.3018867924528302,0.6912298910223147,0.7301467450710006
LLM,ds32b_v1_llmfreq_n5,5,0.5660377358490566,0.49056603773584906,0.9433962264150944,0.576940133037694,0.22641509433962265,0.6634544106745737,0.7019284927318798
LLM,ds32b_v1_llmfreq_n6,6,0.5471698113207547,0.49056603773584906,0.9622641509433962,0.6603223926976112,0.3584905660377358,0.7479481641468687,0.8168743683279426
LLM,ds32b_v1_llmfreq_n7,7,0.49056603773584906,0.5471698113207547,0.9622641509433962,0.6698504983388704,0.3018867924528301,0.7515281865519586,0.7996678810174835
LLM,ds32b_v1_llmfreq_n8,8,0.41509433962264153,0.5849056603773585,1.0,0.7202495201535508,0.2264150943396226,0.8103448275862069,0.8505109635699222
LLM,ds32b_v1_llmfreq_n9,9,0.4716981132075472,0.5849056603773585,0.9433962264150944,0.5981902665688432,0.24528301886792447,0.7752094770297603,0.8071160934129473
LLM,ds32b_v1_llmfreq_n10,10,0.4339622641509434,0.5849056603773585,0.9811320754716981,0.6678365505139132,0.28301886792452824,0.8346515445455902,0.833955376371516
