Subset,mean_R2,R2_AAcc,R2_ICC,R2_WD,R2_ACC,R2_Kappa,R2_Spearman,R2_MAE
MAE + Spearman + AAcc,0.8617846565921918,,0.9106839702375148,0.750781498720202,1.0,0.7856731574110504,,
Spearman + AAcc + ACC,0.8617846565921918,,0.9106839702375148,0.750781498720202,,0.7856731574110505,,1.0
MAE + Spearman + ACC,0.8617846565921918,1.0,0.9106839702375148,0.7507814987202018,,0.7856731574110504,,
AAcc + WD + ACC,0.8542814298571548,,0.8452632842740497,,,0.8581075260995709,0.7137549090549985,1.0
MAE + AAcc + WD,0.8542814298571548,,0.8452632842740497,,1.0,0.8581075260995709,0.7137549090549985,
MAE + WD + ACC,0.8542814298571548,1.0,0.8452632842740497,,,0.8581075260995709,0.7137549090549986,
MAE + AAcc + ICC,0.8444661743302602,,,0.7535670423816099,1.0,0.7876752849114148,0.8366223700280158,
MAE + ICC + ACC,0.8444661743302602,1.0,,0.7535670423816099,,0.7876752849114148,0.8366223700280158,
AAcc + ICC + ACC,0.84446617433026,,,0.7535670423816098,,0.7876752849114149,0.8366223700280158,1.0
ICC + WD + ACC,0.8348024340968374,0.8296681804392738,,,,0.6854054003898272,0.845825169419892,0.9783109861383567
MAE + Kappa + WD,0.8265963330945763,0.8468547337889666,0.8112796676415948,,0.9687854155838039,,0.67946551536394,
AAcc + ICC + WD,0.8231995645139254,,,,0.784389341501978,0.7978388926388693,0.8452677506872097,0.8653022732276445
Kappa + WD + ACC,0.8213925536066555,0.8874848783443051,0.773378877932479,,,,0.6390334467273588,0.9856730114224792
MAE + ICC + WD,0.8083726340584267,0.7375217886464216,,,0.9465008061403719,0.703397805832954,0.8460701356139592,
Spearman + WD + ACC,0.8049218720488344,0.7566789234211524,0.8809435987578721,,,0.6130479861963278,,0.9690169798199852
MAE + Spearman + WD,0.7992688761336445,0.6861556571065741,0.9005054571070177,,0.9360311880532247,0.6743832022677617,,
Kappa + AAcc + ACC,0.7943437062296943,,0.7896506760132423,0.7761251303719913,,,0.6115990185335437,1.0
MAE + Kappa + ACC,0.7943437062296943,1.0,0.7896506760132423,0.7761251303719914,,,0.6115990185335436,
MAE + Kappa + AAcc,0.7943437062296943,,0.7896506760132423,0.7761251303719913,1.0,,0.6115990185335437,
Kappa + ICC + WD,0.7898307234875575,0.8157423141222432,,,0.637044227371754,,0.8452660286647511,0.8612703237914815
Spearman + AAcc + WD,0.7871904005974497,,0.8798277683282778,,0.69023083430771,0.7722240563360085,,0.8064789434178024
Spearman + Kappa + WD,0.7868884518909887,0.8156114481515016,0.8932649509893728,,0.6012123807021708,,,0.8374650277209092
MAE + Spearman + Kappa,0.7803564853145669,0.6730769808203954,0.9093878757074563,0.6055956365664312,0.9333654481639847,,,
MAE + Kappa + ICC,0.7498443336549443,0.6694487098249864,,0.566470956548061,0.9326259217386954,,0.8308317465080343,
Spearman + Kappa + ACC,0.7290971389909937,0.6699524964210252,0.8987822175446712,0.3896800758434058,,,,0.9579737661548724
Spearman + ICC + WD,0.7221155158997139,0.7127036979176493,,,0.6376426146749516,0.6847850081822662,,0.8533307428239884
Kappa + ICC + ACC,0.7069279771132664,0.6944976911009435,,0.34511021909799056,,,0.8270047968809755,0.9610992013731563
Kappa + AAcc + ICC,0.7029918815969823,,,0.5894868145740131,0.6227741118426809,,0.835369669545042,0.764336930426193
MAE + Spearman + ICC,0.6929419277093337,0.5539381657754053,,0.6054237941842779,0.9090821732611691,0.7033235776164825,,
Spearman + AAcc + ICC,0.6837110765102833,,,0.5817531944751813,0.6136189466891558,0.7808547102084151,,0.7586174546683809
Kappa + AAcc + WD,0.6782443307123834,,0.6814073964504959,,0.6884166135826582,,0.537807761454564,0.8053455513618154
Spearman + Kappa + AAcc,0.6729602743803949,,0.886162808640576,0.5881980561035651,0.5183683594432,,,0.6991118733342381
MAE + AAcc + ACC,0.672666912858022,,0.7589236919737693,0.6160630182700533,,0.7566597436771423,0.5590211975111233,
Spearman + ICC + ACC,0.6429276743355232,0.5576045808418875,,0.39600337331884483,,0.6744346746031757,,0.9436680685781849
Spearman + Kappa + ICC,0.5932651480769822,0.6824930073126347,,0.33513937250978054,0.5880310368481236,,,0.7673971756373895
