model,n,n_samples,exact,within1,mae,kappa
ds32b_v1_amp,2,22,0.6818,1.0,0.3182,0.7742
ds32b_v1_amp,3,22,0.6364,1.0,0.3636,0.7471
ds32b_v1_amp,4,22,0.5909,1.0,0.4091,0.7027
ds32b_v1_amp,5,22,0.5909,1.0,0.4091,0.7211
ds32b_v1_amp,6,22,0.7727,0.9545,0.2727,0.7843
ds32b_v1_amp,7,22,0.5909,1.0,0.4091,0.7273
ds32b_v1_amp,8,22,0.8636,0.9545,0.1818,0.8187
ds32b_v1_amp,9,22,0.7727,0.9545,0.2727,0.7843
ds32b_v1_amp,10,22,0.7727,1.0,0.2273,0.8459
ds32b_v1_amp,11,22,0.5455,0.9545,0.5,0.6416
ds32b_v1_amp,12,22,0.5909,1.0,0.4091,0.7211
ds32b_v1_amp,13,22,0.8182,1.0,0.1818,0.8406
ds32b_v1_amp,14,22,0.5909,1.0,0.4091,0.6897
ds32b_v1_amp,15,22,0.7727,1.0,0.2273,0.7893
ds32b_v1_llmfreq,2,22,0.3636,0.8636,0.7727,0.5358
ds32b_v1_llmfreq,3,22,0.6818,0.9545,0.3636,0.7406
ds32b_v1_llmfreq,4,22,0.8636,0.9545,0.1818,0.8187
ds32b_v1_llmfreq,5,22,0.6818,0.9545,0.3636,0.709
ds32b_v1_llmfreq,6,22,0.7273,0.9545,0.3182,0.766
ds32b_v1_llmfreq,7,22,0.6818,0.9545,0.3636,0.7523
ds32b_v1_llmfreq,8,22,0.6818,1.0,0.3182,0.7742
ds32b_v1_llmfreq,9,22,0.8182,0.9545,0.2273,0.7794
ds32b_v1_llmfreq,10,22,0.8636,1.0,0.1364,0.8946
