model,n,n_samples,exact,within1,mae,kappa
ds32b_v1_amp,2,53,0.4906,1.0,0.4528,0.6654
ds32b_v1_amp,3,53,0.5849,1.0,0.3679,0.7202
ds32b_v1_amp,5,53,0.566,1.0,0.4717,0.7259
ds32b_v1_amp,6,53,0.566,0.9623,0.3679,0.6517
ds32b_v1_amp,7,53,0.5283,0.9623,0.4057,0.5756
ds32b_v1_amp,9,53,0.5849,0.9434,0.4057,0.6434
ds32b_v1_amp,11,53,0.4717,0.9811,0.4717,0.6335
ds32b_v1_amp,13,53,0.5849,0.9811,0.3868,0.6668
ds32b_v1_llmfreq,2,53,0.3396,0.9057,0.7264,0.5539
ds32b_v1_llmfreq,3,53,0.4528,0.8679,0.5849,0.5177
ds32b_v1_llmfreq,4,53,0.5472,0.9245,0.4434,0.5781
ds32b_v1_llmfreq,5,53,0.4906,0.9434,0.5094,0.5769
ds32b_v1_llmfreq,6,53,0.4906,0.9623,0.4623,0.6603
ds32b_v1_llmfreq,7,53,0.5472,0.9623,0.4245,0.6699
ds32b_v1_llmfreq,8,53,0.5849,1.0,0.3585,0.7202
ds32b_v1_llmfreq,9,53,0.5849,0.9434,0.3491,0.5982
ds32b_v1_llmfreq,10,53,0.5849,0.9811,0.3113,0.6678
