model,n,n_samples,exact,within1,mae,kappa
ds32b_v1_amp,2,53,0.4906,1.0,0.5094,0.6654
ds32b_v1_amp,3,53,0.5849,1.0,0.4151,0.7202
ds32b_v1_amp,5,53,0.566,1.0,0.434,0.7259
ds32b_v1_amp,6,53,0.566,0.9623,0.4717,0.6517
ds32b_v1_amp,7,53,0.5283,0.9623,0.5094,0.5756
ds32b_v1_amp,9,53,0.5849,0.9434,0.4717,0.6434
ds32b_v1_amp,11,53,0.4717,0.9811,0.5472,0.6335
ds32b_v1_amp,13,53,0.5849,0.9811,0.434,0.6668
ds32b_v1_llmfreq,3,53,0.4528,0.8679,0.6792,0.5177
ds32b_v1_llmfreq,5,53,0.4906,0.9434,0.566,0.5769
ds32b_v1_llmfreq,7,53,0.5472,0.9623,0.4906,0.6699
