model,n,n_samples,exact,within1,mae,kappa,approach
ds32b_v1_amp,2,22,0.6818,1.0,0.3182,0.7742,A_concordant
ds32b_v1_amp,3,22,0.6364,1.0,0.3636,0.7471,A_concordant
ds32b_v1_amp,5,22,0.5909,1.0,0.4091,0.7211,A_concordant
ds32b_v1_amp,6,22,0.7727,0.9545,0.2727,0.7843,A_concordant
ds32b_v1_amp,7,22,0.5909,1.0,0.4091,0.7273,A_concordant
ds32b_v1_amp,9,22,0.7727,0.9545,0.2727,0.7843,A_concordant
ds32b_v1_amp,11,22,0.5455,0.9545,0.5,0.6416,A_concordant
ds32b_v1_amp,13,22,0.8182,1.0,0.1818,0.8406,A_concordant
ds32b_v1_llmfreq,3,22,0.6818,0.9545,0.3636,0.7406,A_concordant
ds32b_v1_llmfreq,5,22,0.6818,0.9545,0.3636,0.709,A_concordant
ds32b_v1_llmfreq,7,22,0.6818,0.9545,0.3636,0.7523,A_concordant
ds32b_v1_amp,2,53,0.4906,1.0,0.4528,0.6654,B_mixed
ds32b_v1_amp,3,53,0.5849,1.0,0.3679,0.7202,B_mixed
ds32b_v1_amp,5,53,0.566,1.0,0.4717,0.7259,B_mixed
ds32b_v1_amp,6,53,0.566,0.9623,0.3679,0.6517,B_mixed
ds32b_v1_amp,7,53,0.5283,0.9623,0.4057,0.5756,B_mixed
ds32b_v1_amp,9,53,0.5849,0.9434,0.4057,0.6434,B_mixed
ds32b_v1_amp,11,53,0.4717,0.9811,0.4717,0.6335,B_mixed
ds32b_v1_amp,13,53,0.5849,0.9811,0.3868,0.6668,B_mixed
ds32b_v1_llmfreq,3,53,0.4528,0.8679,0.5849,0.5177,B_mixed
ds32b_v1_llmfreq,5,53,0.4906,0.9434,0.5094,0.5769,B_mixed
ds32b_v1_llmfreq,7,53,0.5472,0.9623,0.4245,0.6699,B_mixed
ds32b_v1_amp,2,53,0.4906,1.0,0.5094,0.6654,C_all_halfup
ds32b_v1_amp,3,53,0.5849,1.0,0.4151,0.7202,C_all_halfup
ds32b_v1_amp,5,53,0.566,1.0,0.434,0.7259,C_all_halfup
ds32b_v1_amp,6,53,0.566,0.9623,0.4717,0.6517,C_all_halfup
ds32b_v1_amp,7,53,0.5283,0.9623,0.5094,0.5756,C_all_halfup
ds32b_v1_amp,9,53,0.5849,0.9434,0.4717,0.6434,C_all_halfup
ds32b_v1_amp,11,53,0.4717,0.9811,0.5472,0.6335,C_all_halfup
ds32b_v1_amp,13,53,0.5849,0.9811,0.434,0.6668,C_all_halfup
ds32b_v1_llmfreq,3,53,0.4528,0.8679,0.6792,0.5177,C_all_halfup
ds32b_v1_llmfreq,5,53,0.4906,0.9434,0.566,0.5769,C_all_halfup
ds32b_v1_llmfreq,7,53,0.5472,0.9623,0.4906,0.6699,C_all_halfup
