model,n,n_half,mae_vs_Tan,mae_vs_Chien,midpoint,mae_bankers_GT,mae_halfup_GT,closer
ds32b_v1_amp,2,22,0.6818,0.5909,0.6364,0.5909,0.8182,bankers
ds32b_v1_amp,3,22,0.6364,0.3636,0.5,0.5455,0.5909,bankers
ds32b_v1_amp,5,22,0.7273,0.6364,0.6818,0.8182,0.5,bankers
ds32b_v1_amp,6,22,0.5455,0.5455,0.5455,0.6364,0.7727,bankers
ds32b_v1_amp,7,22,0.6364,0.5455,0.5909,0.5455,0.7727,bankers
ds32b_v1_amp,9,22,0.7273,0.5455,0.6364,0.6364,0.7727,bankers
ds32b_v1_amp,11,22,0.6364,0.4545,0.5455,0.5455,0.6818,bankers
ds32b_v1_amp,13,22,0.6818,0.5,0.5909,0.5909,0.7273,bankers
ds32b_v1_llmfreq,3,22,1.0,0.7273,0.8636,0.8182,1.0455,bankers
ds32b_v1_llmfreq,5,22,0.6818,0.5909,0.6364,0.5909,0.8182,bankers
ds32b_v1_llmfreq,7,22,0.7273,0.4545,0.5909,0.6364,0.6818,bankers
