Frame,X_thumb,Y_thumb,X_index,Y_index
0,200,212,166,143
1,199,212,165,142
2,201,213,164,141
3,203,215,162,139
4,204,217,161,137
5,206,219,160,136
6,208,221,158,133
7,210,222,157,132
8,212,223,156,130
9,213,225,155,128
10,214,226,154,127
11,216,227,153,125
12,217,227,152,123
13,218,229,151,122
14,219,229,151,121
15,220,230,150,120
16,220,230,150,119
17,221,231,150,118
18,221,231,150,118
19,221,231,149,118
20,222,232,149,117
21,222,232,149,117
22,222,232,149,116
23,222,232,150,116
24,222,233,150,115
25,223,233,150,115
26,223,233,150,115
27,223,233,150,115
28,223,233,150,114
29,223,233,150,114
30,224,234,150,114
31,224,234,150,114
32,225,234,150,114
33,225,234,150,114
34,225,234,150,114
35,226,234,151,114
36,226,234,151,114
37,227,234,151,114
38,227,235,151,115
39,227,235,151,115
40,227,235,151,115
41,228,236,151,115
42,228,236,151,115
43,228,236,151,116
44,229,236,151,116
45,229,237,151,116
46,229,237,151,116
47,229,237,151,116
48,229,236,151,115
49,229,237,151,115
50,229,236,151,115
51,229,236,151,115
52,229,236,151,114
53,229,236,151,114
54,229,236,151,114
55,229,236,151,114
56,229,236,151,114
57,229,236,151,114
58,229,236,151,114
59,228,235,151,114
60,228,235,151,114
61,228,235,151,113
62,228,235,151,113
63,227,234,151,113
64,227,234,151,113
65,227,234,151,113
66,226,234,151,112
67,226,234,151,112
68,226,234,151,112
69,226,234,151,112
70,225,234,151,111
71,225,233,151,111
72,224,233,151,111
73,224,233,151,111
74,223,233,151,111
75,223,232,151,111
76,222,231,152,111
77,221,231,152,111
78,220,230,152,112
79,218,230,152,112
80,217,228,153,113
81,214,227,153,114
82,214,227,153,114
83,213,227,153,116
84,211,226,154,117
85,209,225,154,119
86,208,225,155,121
87,207,225,155,123
88,205,223,156,126
89,203,222,158,129
90,201,220,159,133
91,199,219,162,137
92,197,217,166,141
93,195,215,171,146
94,193,212,175,150
95,192,211,181,152
96,192,210,183,152
97,193,210,181,150
98,193,208,178,147
99,193,207,178,145
100,193,207,178,144
101,194,206,178,143
102,194,205,177,141
103,195,204,177,140
104,195,203,177,139
105,195,203,177,138
106,195,201,177,137
107,194,200,177,135
108,195,199,177,134
109,195,198,177,133
110,195,198,177,133
111,195,197,176,132
112,194,196,176,132
113,195,196,176,132
114,195,196,175,133
115,195,196,175,133
116,195,196,175,133
117,195,196,175,133
118,195,196,175,134
119,195,197,175,135
120,195,197,175,136
121,196,198,175,137
122,196,198,175,138
123,196,200,175,139
124,196,200,175,140
125,196,201,175,141
126,196,201,175,142
127,197,203,175,143
128,197,204,174,144
129,197,207,173,145
130,198,208,173,145
131,199,210,172,146
132,200,212,171,147
133,200,215,170,147
134,201,216,169,147
135,203,219,168,147
136,203,220,167,147
137,204,222,166,147
138,204,223,166,146
139,205,225,164,146
140,205,226,164,145
141,206,227,163,143
142,206,228,162,143
143,206,229,161,141
144,207,229,161,140
145,207,229,160,139
146,207,229,159,138
147,207,230,159,136
148,207,229,158,135
149,207,229,158,133
150,207,229,157,132
151,207,228,157,131
152,207,228,156,129
153,207,227,156,128
154,207,227,156,127
155,207,227,155,126
156,207,226,155,125
157,207,226,155,124
158,207,226,155,123
159,207,226,154,122
160,207,225,154,121
161,207,225,154,120
162,208,225,153,119
163,208,225,153,118
164,208,225,153,118
165,208,225,153,117
166,209,225,153,117
167,209,225,153,117
168,209,225,153,116
169,209,226,153,116
170,209,226,153,116
171,209,226,153,116
172,209,226,153,115
173,209,226,153,116
174,209,226,153,115
175,208,226,153,115
176,208,226,153,115
177,208,226,153,115
178,208,226,153,115
179,208,226,153,115
180,208,226,153,114
181,208,226,153,114
182,208,227,153,114
183,208,226,153,114
184,208,227,153,114
185,208,227,153,113
186,208,227,153,114
187,208,227,153,113
188,208,227,153,113
189,208,227,153,113
190,208,227,153,113
191,208,227,153,113
192,208,227,153,113
193,208,227,153,113
194,208,227,153,113
195,208,227,153,113
196,208,227,153,113
197,208,227,153,113
198,208,227,153,113
199,208,227,153,112
200,208,227,153,112
201,208,227,153,112
202,208,227,153,111
203,208,227,153,111
204,207,227,153,111
205,208,227,153,111
206,207,227,153,111
207,207,227,153,111
208,207,227,153,111
209,207,227,153,111
210,207,227,153,111
211,206,226,153,111
212,206,226,153,111
213,206,226,153,112
214,205,226,153,113
215,204,226,153,114
216,204,224,153,115
217,203,223,154,117
218,202,222,155,119
219,200,221,156,122
220,199,219,158,125
221,197,216,162,130
222,196,214,165,134
223,194,211,170,138
224,193,208,175,142
225,192,205,180,143
226,192,204,182,144
227,192,203,181,141
228,192,201,177,138
229,191,200,176,137
230,191,200,177,137
231,191,200,177,137
232,191,199,177,136
233,191,198,177,136
234,191,198,177,136
235,191,198,176,136
236,191,198,176,136
237,191,197,176,136
238,191,197,176,136
239,191,197,176,136
240,191,197,176,136
241,191,197,176,136
242,191,197,176,136
243,191,197,175,137
244,191,197,175,137
245,191,197,175,138
246,191,198,175,139
247,191,198,175,140
248,191,199,175,141
249,191,199,175,141
250,190,199,174,142
251,190,199,174,142
252,190,199,174,143
253,190,199,174,143
254,190,199,174,144
255,190,200,174,144
256,191,200,175,145
257,191,200,175,145
258,191,200,174,146
259,192,201,173,146
260,193,203,173,145
261,193,204,172,144
262,194,205,172,144
263,195,206,171,143
264,195,208,170,142
265,196,209,169,141
266,197,210,168,141
267,198,211,167,140
268,199,213,166,138
269,200,214,165,137
270,200,215,164,136
271,201,216,163,134
272,201,218,162,133
273,201,218,161,131
274,202,219,160,130
275,202,219,159,128
276,203,219,159,127
277,203,220,158,125
278,203,221,158,124
279,204,221,157,122
280,204,222,157,121
281,204,222,156,119
282,205,222,156,118
283,205,222,155,117
284,205,222,155,116
285,205,222,155,115
286,205,222,155,115
287,206,222,154,114
288,206,222,154,113
289,206,222,154,112
290,206,222,154,112
291,206,222,154,111
292,206,222,153,111
293,206,221,153,110
294,206,221,153,110
295,206,221,153,110
296,206,221,153,109
297,206,221,153,108
298,206,221,153,108
299,206,220,153,108
300,206,220,153,107
301,206,220,153,107
302,206,220,153,107
303,206,220,153,107
304,206,220,153,106
305,206,220,153,106
306,206,220,153,106
307,205,221,153,106
308,205,221,152,106
309,205,221,152,107
310,204,221,152,107
311,204,221,152,107
312,204,222,152,107
313,204,222,152,108
314,204,222,152,108
315,203,222,152,109
316,203,222,152,109
317,203,221,152,109
318,202,222,152,110
319,201,221,152,110
320,201,221,153,111
321,200,220,153,112
322,199,219,154,114
323,198,218,155,117
324,196,216,156,119
325,195,214,158,122
326,194,212,161,127
327,192,209,165,133
328,191,207,169,137
329,190,204,174,141
330,190,202,178,143
331,190,202,180,143
332,190,201,179,143
333,190,200,175,140
334,190,200,175,139
335,190,200,175,139
336,190,200,175,140
337,191,200,175,140
338,191,200,175,140
339,191,200,175,140
340,191,201,175,141
341,191,201,175,141
342,191,201,174,142
343,191,201,174,142
344,191,201,174,142
345,191,201,174,142
346,191,200,174,142
347,190,200,174,142
348,190,200,174,142
349,190,200,174,142
350,190,200,174,142
351,190,200,174,142
352,190,200,174,143
353,190,200,174,143
354,190,200,174,143
355,191,200,174,144
356,191,200,174,144
357,191,200,174,144
358,191,200,174,144
359,191,200,174,144
360,191,200,174,144
361,191,200,175,144
362,191,200,175,144
363,192,200,175,144
364,192,200,175,144
365,192,200,175,145
366,193,201,175,144
367,193,201,175,144
368,193,201,174,143
369,194,203,173,142
370,195,204,173,142
371,195,204,172,141
372,196,205,172,140
373,197,207,171,139
374,197,207,170,138
375,198,208,169,137
376,198,208,168,135
377,198,209,167,134
378,199,209,166,133
379,200,209,166,131
380,200,210,165,130
381,201,210,164,129
382,201,210,163,127
383,201,210,163,126
384,202,211,162,125
385,203,210,161,124
386,203,211,161,123
387,203,211,160,122
388,203,211,159,121
389,204,211,159,120
390,204,211,158,120
391,204,211,158,118
392,204,211,157,118
393,205,211,157,117
394,205,211,157,117
395,205,211,157,117
396,205,211,156,116
397,205,211,156,116
398,205,211,156,116
399,205,212,156,115
400,205,211,155,115
401,205,212,155,115
402,205,212,155,115
403,205,211,155,115
404,205,212,155,114
405,205,211,155,114
406,205,211,155,114
407,204,211,155,114
408,204,211,154,114
409,204,211,154,114
410,203,211,154,114
411,203,211,154,114
412,203,211,154,114
413,202,211,154,114
414,201,211,154,114
415,201,211,154,114
416,201,211,153,114
417,201,211,154,114
418,200,211,154,114
419,200,211,154,114
420,199,211,154,115
421,198,211,154,115
422,198,211,155,117
423,197,210,155,118
424,196,208,157,119
425,195,207,159,122
426,193,206,161,125
427,191,204,164,129
428,190,201,168,133
429,188,199,171,136
430,188,198,175,139
431,188,198,176,139
432,188,199,173,138
433,188,199,170,136
434,189,199,171,136
435,189,199,172,137
436,190,200,172,138
437,190,200,172,139
438,190,201,172,140
439,190,201,173,140
440,191,202,173,141
441,191,202,173,141
442,191,202,173,141
443,190,201,173,141
444,191,201,173,141
445,190,201,173,141
446,190,200,173,141
447,190,200,173,140
448,190,199,173,140
449,190,199,173,140
450,190,199,173,140
451,190,198,174,140
452,190,197,174,140
453,190,197,174,139
454,190,196,174,139
455,190,195,174,139
456,190,194,173,138
457,190,194,173,138
458,190,193,173,137
459,190,193,173,137
460,190,193,173,137
461,190,192,173,137
462,190,192,173,137
463,190,192,173,137
464,190,193,173,136
465,190,193,173,136
466,191,193,173,135
467,191,194,172,135
468,193,196,172,135
469,193,197,170,134
470,194,199,170,133
