Frame,X_thumb,Y_thumb,X_index,Y_index
0,141,217,210,145
1,141,217,210,145
2,139,218,212,144
3,139,220,214,143
4,137,221,217,141
5,136,223,220,139
6,134,224,222,137
7,133,225,224,136
8,132,227,226,135
9,131,228,229,134
10,130,229,231,133
11,128,231,233,133
12,127,232,235,132
13,126,233,237,131
14,125,234,238,131
15,123,235,238,131
16,122,236,240,131
17,121,237,240,131
18,120,238,240,131
19,118,239,240,131
20,117,240,241,131
21,116,241,241,131
22,116,242,241,131
23,114,243,240,131
24,114,244,240,131
25,113,244,240,131
26,112,245,239,131
27,111,246,239,131
28,110,247,239,131
29,109,247,239,131
30,109,248,238,131
31,108,248,238,131
32,108,249,238,131
33,107,249,238,132
34,107,249,238,132
35,106,250,238,133
36,106,250,237,134
37,106,250,237,135
38,106,250,237,136
39,106,251,237,138
40,106,251,236,140
41,107,251,235,142
42,108,251,235,144
43,108,251,235,145
44,110,251,234,147
45,111,251,233,149
46,113,251,232,151
47,114,250,231,153
48,116,249,230,156
49,119,248,229,158
50,121,248,228,161
51,124,248,226,164
52,126,246,225,167
53,127,245,223,170
54,130,244,221,173
55,131,243,218,176
56,135,241,216,178
57,137,241,213,180
58,140,239,209,183
59,142,238,206,185
60,145,237,203,187
61,147,235,200,188
62,150,233,196,191
63,151,232,193,192
64,153,230,189,193
65,154,229,187,194
66,155,229,186,194
67,155,229,187,194
68,155,229,189,193
69,155,229,190,192
70,156,228,192,191
71,156,227,192,191
72,156,227,192,191
73,156,227,192,191
74,156,227,192,191
75,156,227,192,191
76,156,226,192,190
77,156,226,192,190
78,156,226,191,190
79,156,226,191,190
80,156,226,191,190
81,156,225,190,190
82,155,225,190,190
83,155,225,190,189
84,155,224,189,189
85,154,224,189,188
86,154,223,188,188
87,153,223,188,187
88,153,222,188,187
89,153,222,187,186
90,153,221,187,185
91,152,221,187,185
92,152,220,187,184
93,152,219,186,183
94,152,218,186,182
95,152,218,186,182
96,151,217,186,181
97,151,215,186,180
98,151,215,186,180
99,150,215,186,179
100,150,214,186,179
101,150,214,186,178
102,150,213,186,178
103,149,212,185,178
104,149,212,185,178
105,149,211,184,178
106,148,211,183,178
107,147,209,182,179
108,147,210,182,180
109,146,210,181,180
110,145,211,181,181
111,145,211,181,181
112,144,213,182,182
113,142,213,182,182
114,141,215,184,182
115,139,216,185,183
116,137,219,188,182
117,136,219,191,181
118,134,222,192,180
119,133,223,194,178
120,131,225,197,177
121,127,227,200,175
122,127,228,202,173
123,124,229,205,172
124,123,230,208,169
125,122,231,210,167
126,121,233,213,166
127,119,233,215,164
128,117,234,217,163
129,116,235,220,161
130,115,235,221,160
131,114,236,223,159
132,113,236,225,158
133,111,237,227,157
134,109,237,229,156
135,107,237,230,155
136,106,237,232,154
137,105,238,234,153
138,104,238,235,151
139,102,238,236,150
140,101,239,237,149
141,99,239,238,148
142,98,239,239,147
143,97,240,239,147
144,96,240,240,147
145,95,240,240,146
146,94,241,240,145
147,93,241,240,144
148,93,242,240,144
149,92,242,240,144
150,92,243,240,144
151,92,243,240,144
152,92,244,240,144
153,92,245,240,144
154,92,245,240,144
155,92,246,240,144
156,92,247,240,144
157,92,247,240,145
158,92,248,240,145
159,93,249,240,146
160,93,250,241,147
161,94,251,240,149
162,96,252,241,150
163,97,253,241,152
164,99,253,241,154
165,102,253,241,156
166,105,254,241,158
167,107,253,241,160
168,111,254,241,163
169,113,254,240,165
170,118,254,240,168
171,123,253,239,171
172,126,253,238,173
173,129,251,237,176
174,134,250,236,178
175,139,248,234,180
176,142,247,232,181
177,145,245,230,182
178,149,243,228,183
179,152,242,226,183
180,155,239,224,185
181,157,238,221,185
182,159,235,219,186
183,161,233,217,186
184,163,231,215,187
185,163,230,213,188
186,165,228,211,189
187,166,226,208,190
188,167,225,207,191
189,167,223,205,192
190,167,223,203,193
191,167,223,203,193
192,167,222,204,193
193,168,222,204,193
194,168,222,204,193
195,168,222,204,193
196,168,222,204,194
197,167,222,204,194
198,167,223,203,194
199,167,222,203,195
200,166,223,203,195
201,166,223,202,195
202,166,223,202,196
203,165,223,202,196
204,165,223,201,196
205,165,223,201,196
206,164,223,200,196
207,164,222,200,196
208,164,222,199,196
209,163,222,199,195
210,163,222,199,195
211,162,222,198,195
212,162,222,198,194
213,162,221,198,194
214,162,221,198,193
215,161,220,197,193
216,161,220,197,192
217,161,219,197,192
218,161,219,197,191
219,161,218,197,191
220,161,217,197,190
221,160,216,196,189
222,160,216,196,188
223,160,215,196,187
224,160,214,196,186
225,159,213,195,185
226,159,213,195,185
227,159,211,195,184
228,159,211,194,183
229,158,210,194,182
230,158,209,193,182
231,157,209,192,181
232,157,208,192,181
233,156,208,191,181
234,155,208,190,180
235,154,207,189,180
236,153,207,187,180
237,153,207,187,180
238,152,207,185,181
239,151,206,184,181
240,150,207,183,181
241,149,207,182,182
242,149,207,181,183
243,149,206,180,183
244,146,207,179,183
245,146,207,179,183
246,145,208,178,184
247,144,209,178,183
248,143,210,179,183
249,142,211,180,182
250,141,212,181,181
251,139,213,183,180
252,138,215,185,179
253,136,215,187,178
254,135,218,190,176
255,132,219,191,175
256,132,221,195,173
257,129,222,197,171
258,128,223,201,169
259,125,224,203,166
260,124,226,207,164
261,121,228,210,161
262,119,229,214,158
263,117,230,217,156
264,115,231,220,154
265,113,232,222,151
266,111,233,225,149
267,109,234,227,147
268,107,234,229,145
269,105,235,231,143
270,103,236,233,142
271,101,236,234,140
272,99,237,236,139
273,98,238,237,138
274,96,238,237,136
275,94,239,237,136
276,93,240,238,135
277,92,241,237,134
278,91,241,237,134
279,91,243,237,133
280,90,244,237,133
281,89,245,236,133
282,88,246,236,133
283,88,248,236,133
284,88,249,235,133
285,88,250,235,134
286,87,252,235,134
287,87,253,234,134
288,86,254,234,135
289,86,255,233,136
290,85,256,233,136
291,84,258,233,136
292,84,259,232,137
293,84,259,232,137
294,84,260,232,137
295,83,261,232,137
296,83,261,232,138
297,82,262,232,138
298,82,262,232,138
299,82,262,232,139
300,82,263,232,139
301,82,263,232,139
302,82,263,232,139
303,82,263,232,140
304,82,263,232,140
305,82,263,232,140
306,82,263,232,141
307,82,264,232,142
308,83,264,232,143
309,84,264,232,144
310,85,265,232,145
311,87,265,232,146
312,89,265,232,147
313,91,266,232,147
314,93,266,232,148
315,96,266,232,150
316,98,267,232,151
317,101,266,231,152
318,105,266,231,153
319,106,265,231,154
320,111,264,230,155
321,114,263,230,156
322,118,262,229,156
323,121,260,229,157
324,125,259,228,157
325,128,257,228,157
326,131,255,227,158
327,135,252,226,158
328,137,250,226,158
329,140,248,224,159
330,142,246,224,159
331,142,244,223,160
332,146,242,222,161
333,147,241,220,162
334,150,238,218,164
335,150,236,216,165
336,152,235,215,168
337,153,234,213,169
338,154,232,210,172
339,154,231,207,175
340,155,229,204,177
341,156,228,201,181
342,156,226,198,183
343,157,224,194,186
344,158,223,190,189
345,158,222,186,191
346,158,221,184,193
347,157,221,185,193
348,157,221,185,192
349,157,220,187,192
350,157,220,189,191
351,157,219,190,191
352,157,219,190,190
353,157,219,190,190
354,157,219,190,190
355,156,219,190,190
356,156,219,189,191
357,156,219,189,191
358,155,219,188,191
359,155,219,188,192
360,154,220,187,192
361,154,220,187,192
362,153,220,186,193
363,152,220,186,193
364,152,220,185,194
365,151,220,185,194
366,151,221,184,194
367,151,221,184,194
368,150,221,184,194
369,150,221,184,194
370,150,221,183,194
371,150,221,183,194
372,149,221,183,194
373,149,221,183,194
374,149,221,182,194
375,149,221,182,194
376,149,220,182,194
377,148,220,182,194
378,148,220,181,194
379,148,220,181,193
380,148,219,181,193
381,147,219,181,192
382,147,218,180,192
383,146,218,179,192
384,146,217,179,191
385,145,217,178,191
386,144,216,177,191
387,144,216,176,191
388,143,216,175,190
389,142,215,174,191
390,141,216,173,191
391,140,216,171,191
392,139,216,170,191
393,137,216,169,192
394,137,217,168,193
395,135,218,167,194
396,135,219,167,195
397,133,221,166,195
398,132,222,166,195
399,131,223,166,196
400,129,226,167,196
401,127,229,168,196
402,125,230,171,195
403,122,233,173,194
404,121,236,175,193
405,119,238,178,191
406,116,240,181,190
407,113,242,185,188
408,111,244,188,185
409,110,246,191,183
410,108,248,195,180
411,106,249,199,177
412,105,251,203,173
413,104,252,206,170
414,102,253,209,167
415,100,255,212,165
416,100,256,215,163
417,98,257,217,161
418,97,258,219,159
419,96,259,222,158
420,94,260,223,156
421,92,261,224,155
422,91,262,226,154
423,89,264,227,153
424,88,264,228,152
425,86,265,228,151
426,86,266,229,151
427,83,267,229,150
428,83,268,229,149
429,82,269,229,148
430,81,270,229,148
431,80,270,229,148
432,80,271,229,148
433,79,272,229,148
434,78,272,229,148
435,77,273,229,148
436,77,273,229,148
437,77,274,229,148
438,76,274,229,148
439,76,275,229,148
440,76,275,229,148
441,76,275,229,149
442,76,276,229,149
443,76,276,229,149
444,76,277,230,150
445,76,277,230,151
446,76,278,230,151
447,77,278,230,151
448,77,279,230,151
449,77,279,231,152
450,78,280,231,152
451,78,280,232,153
452,80,281,232,153
453,80,281,232,153
454,82,282,233,154
455,83,282,234,154
456,86,283,235,154
457,88,283,235,154
458,91,283,237,155
459,93,284,237,155
460,96,284,238,155
461,99,283,239,155
462,102,283,240,155
463,105,284,241,155
464,108,283,241,155
465,111,282,242,154
466,114,281,243,154
467,118,280,243,154
468,120,279,244,153
469,123,277,244,152
470,127,276,244,151
471,129,274,244,151
472,133,272,244,150
473,135,270,244,149
474,138,268,244,148
475,141,266,243,148
476,144,263,243,148
477,146,262,243,148
478,148,259,243,147
479,150,257,242,147
480,152,254,242,147
481,153,252,241,148
482,156,250,241,149
483,157,248,240,150
484,158,245,239,152
485,159,245,238,154
486,160,242,237,156
487,161,241,236,158
488,161,239,235,161
489,161,238,234,164
490,162,237,232,167
491,162,234,230,170
492,163,234,228,172
