Frame,X_thumb,Y_thumb,X_index,Y_index
0,235,230,146,132
1,235,229,146,131
2,237,231,143,128
3,239,233,140,124
4,241,234,138,120
5,243,236,137,117
6,245,237,135,113
7,246,238,134,110
8,248,238,133,107
9,249,240,133,105
10,251,240,133,103
11,251,241,133,101
12,252,241,133,98
13,252,241,133,96
14,253,242,133,94
15,252,243,133,93
16,252,243,134,91
17,251,243,134,89
18,251,244,135,88
19,250,244,135,87
20,248,244,135,85
21,247,244,136,85
22,245,244,136,84
23,243,245,136,83
24,240,244,137,83
25,235,244,137,83
26,232,243,138,83
27,228,241,138,84
28,224,239,139,85
29,219,236,139,87
30,216,232,141,89
31,214,228,143,93
32,208,223,144,97
33,203,216,148,104
34,200,213,150,110
35,197,209,154,118
36,194,206,156,124
37,193,203,163,132
38,192,201,167,136
39,191,199,174,140
40,192,198,177,143
41,192,200,180,144
42,193,200,180,145
43,193,201,180,145
44,194,203,180,146
45,195,204,181,147
46,195,205,181,148
47,195,206,181,149
48,195,207,181,149
49,195,207,181,149
50,195,207,181,150
51,195,207,181,150
52,195,208,181,150
53,195,207,181,150
54,195,207,181,150
55,196,206,181,150
56,196,206,181,151
57,196,205,181,151
58,197,205,181,151
59,197,204,180,151
60,198,203,180,151
61,199,203,180,151
62,199,203,179,150
63,200,203,178,150
64,200,203,177,149
65,201,203,175,149
66,203,203,173,147
67,205,204,171,146
68,205,205,168,144
69,206,206,167,142
70,206,206,163,140
71,207,207,161,138
72,208,207,159,136
73,208,208,158,133
74,209,209,155,130
75,210,209,153,127
76,211,209,150,124
77,212,209,150,121
78,212,209,147,117
79,213,209,145,114
80,214,209,144,110
81,215,210,142,107
82,216,210,142,104
83,217,211,141,101
84,218,210,140,97
85,218,210,139,95
86,219,211,139,92
87,220,211,139,89
88,220,211,139,87
89,220,211,138,85
90,221,211,138,83
91,222,211,138,81
92,223,212,138,80
93,223,212,137,78
94,223,212,137,77
95,223,212,138,76
96,223,212,138,75
97,223,212,138,75
98,222,212,138,75
99,221,211,139,75
100,220,211,139,75
101,219,210,139,76
102,217,209,139,77
103,215,208,140,79
104,213,207,141,82
105,213,206,144,86
106,209,204,144,90
107,207,201,148,97
108,204,198,150,103
109,200,196,155,111
110,196,193,158,118
111,192,190,165,125
112,192,188,170,129
113,192,186,176,133
114,192,186,178,133
115,192,186,179,133
116,192,187,178,133
117,192,188,179,133
118,192,189,179,133
119,192,189,180,134
120,192,190,180,134
121,193,190,180,134
122,193,190,180,134
123,193,191,180,135
124,193,191,180,135
125,193,191,180,135
126,193,192,180,136
127,193,191,180,136
128,193,191,179,136
129,194,190,179,136
130,194,189,179,136
131,195,189,178,137
132,195,189,177,137
133,197,190,177,138
134,198,190,175,138
135,199,190,173,139
136,201,192,170,138
137,203,194,168,138
138,204,195,164,136
139,207,197,161,135
140,209,199,158,133
141,211,201,156,131
142,212,203,154,128
143,214,204,152,125
144,215,205,150,122
145,217,206,149,119
146,218,207,147,115
147,219,207,146,111
148,220,207,144,107
149,221,208,144,104
150,222,207,142,99
151,223,207,141,96
152,224,207,141,93
153,225,206,140,90
154,226,205,140,87
155,226,204,140,85
156,226,203,139,83
157,226,202,139,82
158,226,201,139,81
159,226,199,139,80
160,225,197,139,80
161,224,196,140,81
162,222,194,141,81
163,220,192,142,83
164,218,190,143,85
165,215,187,144,88
166,213,185,147,91
167,210,182,149,96
168,207,180,151,101
169,205,178,156,107
170,201,175,159,114
171,198,174,165,120
172,197,172,170,125
173,197,171,176,129
174,197,174,178,132
175,198,177,178,134
176,197,179,179,135
177,198,181,179,136
178,199,183,180,139
179,199,184,181,141
180,200,186,181,143
181,201,188,181,144
182,201,189,182,145
183,201,189,182,146
184,202,189,182,146
185,202,189,182,146
186,202,189,183,146
187,202,188,183,145
188,203,187,183,145
189,203,185,183,144
190,204,184,183,143
191,205,182,184,142
192,205,179,183,142
193,207,178,184,141
194,208,177,182,139
195,210,177,180,137
196,212,177,177,135
197,213,177,175,133
198,216,177,171,130
199,217,177,168,128
200,220,178,164,125
201,222,178,161,122
202,223,179,158,118
203,226,179,156,115
204,228,179,152,110
205,229,180,149,106
206,230,180,146,102
207,232,180,144,98
208,233,181,142,93
209,233,181,141,90
210,234,181,139,86
211,235,181,139,83
212,235,182,139,81
213,236,181,138,78
214,236,182,138,76
215,235,182,138,75
216,235,182,138,73
217,234,181,138,73
218,232,182,139,72
219,231,182,139,73
220,228,181,140,73
221,227,180,140,74
222,223,180,142,76
223,220,180,143,78
224,217,179,144,81
225,212,178,144,86
226,210,176,147,91
227,207,175,150,97
228,202,173,153,103
229,199,170,159,111
230,197,169,162,118
231,196,168,168,124
232,195,166,173,129
233,195,168,176,131
234,195,170,176,132
235,196,172,176,133
236,196,173,177,134
237,197,175,179,135
238,197,176,179,137
239,198,177,180,138
240,198,177,180,138
241,198,178,180,139
242,198,178,181,139
243,198,178,181,140
244,199,178,181,140
245,199,178,181,140
246,199,178,181,140
247,200,177,182,140
248,201,177,182,140
249,202,176,182,140
250,204,177,181,140
251,206,178,181,140
252,208,179,178,140
253,210,181,176,139
254,212,182,173,137
255,213,184,170,136
256,216,186,166,133
257,218,189,163,131
258,221,191,159,126
259,223,193,157,123
260,225,193,153,118
261,226,195,152,116
262,228,197,149,110
263,229,198,147,106
264,230,199,145,101
265,231,200,145,97
266,231,200,144,93
267,232,201,143,89
268,232,201,143,85
269,231,201,142,83
270,231,201,143,80
271,231,202,143,78
272,231,202,143,76
273,230,202,143,74
274,229,202,144,72
275,229,201,144,71
276,227,201,145,69
277,227,201,145,67
278,224,201,145,66
279,222,201,146,65
280,220,201,146,64
281,219,201,146,64
282,216,200,147,64
283,215,200,147,65
284,212,199,147,65
285,211,198,147,66
286,207,197,148,68
287,206,195,148,70
288,204,194,149,73
289,203,192,150,76
290,203,190,151,81
291,202,188,153,85
292,201,185,155,91
293,199,184,159,97
294,198,181,162,104
295,198,178,167,110
296,197,177,171,116
297,197,175,177,121
298,197,175,181,126
299,198,175,184,129
300,198,177,185,129
301,198,178,185,130
302,198,178,184,130
303,198,179,184,131
304,198,179,184,131
305,199,179,185,131
306,199,179,185,131
307,199,179,185,131
308,199,178,185,131
309,199,178,185,130
310,199,178,185,130
311,198,177,185,129
312,199,176,185,129
313,199,175,185,128
314,200,175,184,127
315,201,175,184,126
316,202,175,182,125
317,202,175,181,123
318,203,176,178,121
319,204,178,176,119
320,205,178,174,117
321,207,179,171,114
322,208,181,168,111
323,209,182,166,108
324,210,182,163,104
325,211,184,161,101
326,212,185,157,97
327,213,185,155,94
328,215,186,153,90
329,217,187,152,88
330,218,187,150,84
331,220,187,149,82
332,220,188,148,79
333,221,188,147,78
334,222,189,146,76
335,222,189,146,74
336,223,189,145,73
337,223,188,145,72
338,223,188,145,71
339,223,188,145,70
340,223,188,144,70
341,222,189,145,70
342,221,189,145,70
343,220,188,146,70
344,218,188,145,72
345,217,188,146,74
346,216,188,147,77
347,214,186,149,81
348,211,186,149,85
349,210,187,150,90
350,207,186,152,96
351,205,186,156,103
352,203,185,158,110
353,202,185,163,118
354,200,184,167,124
355,198,185,172,130
356,198,185,176,134
357,197,185,181,137
358,198,188,181,139
359,198,189,181,139
360,199,190,181,140
361,199,191,181,141
362,199,193,182,142
363,199,193,182,142
364,199,193,182,142
365,199,193,182,142
366,199,193,182,142
367,199,192,182,141
368,199,191,182,141
369,199,190,182,140
370,200,189,182,139
371,200,188,182,139
372,201,186,181,138
373,202,186,181,137
374,203,186,179,136
375,206,188,177,135
376,206,189,174,132
377,206,192,171,131
378,210,193,168,128
379,213,195,166,125
380,215,197,162,122
381,216,198,159,118
382,219,200,156,114
383,221,202,154,110
384,223,203,152,106
385,225,204,151,102
386,226,205,150,98
387,227,205,149,95
388,228,206,148,92
389,229,205,147,89
390,230,206,146,86
391,231,206,145,84
392,231,206,145,81
393,231,205,145,79
394,232,205,144,76
395,232,204,144,74
396,232,204,144,72
397,232,203,145,70
398,232,203,145,68
399,232,203,145,66
400,231,202,145,65
401,231,201,145,63
402,230,201,146,62
403,229,200,146,61
404,228,200,146,60
405,227,200,147,60
406,225,199,147,60
407,223,199,147,61
408,221,198,147,61
409,219,197,147,63
410,217,197,147,66
411,214,196,147,70
412,211,195,148,73
413,208,195,149,79
414,206,194,150,85
415,204,193,152,93
416,203,193,154,101
417,202,193,159,110
418,201,192,162,120
419,199,193,167,128
420,198,193,173,135
421,198,194,179,140
422,199,197,183,144
423,199,199,184,145
424,200,201,184,147
425,201,202,184,148
426,201,205,184,149
427,201,206,186,151
428,202,208,186,152
429,202,209,187,152
430,203,209,187,153
431,203,210,187,154
432,203,210,187,154
433,203,211,187,154
434,203,210,187,154
435,203,210,187,154
436,203,208,187,153
437,204,208,187,153
438,204,206,187,153
439,205,204,187,153
440,206,204,187,153
441,208,203,187,153
442,210,203,186,153
443,211,204,185,153
444,213,204,183,152
445,214,204,181,151
446,216,206,177,150
447,218,207,174,148
448,220,209,170,146
449,222,211,167,144
450,225,213,163,141
451,226,214,160,138
452,229,216,156,134
453,230,216,153,130
454,232,218,149,126
455,234,218,147,122
456,236,219,144,117
457,237,220,142,114
458,239,220,141,109
459,240,220,139,105
460,242,220,139,101
461,243,219,138,98
462,244,219,139,94
463,244,218,138,91
464,245,217,139,88
465,245,216,138,86
466,245,216,138,83
467,245,214,139,81
468,245,213,139,79
469,245,213,139,78
470,244,212,139,76
471,243,212,140,74
472,242,212,140,73
473,240,211,141,73
474,238,211,141,72
475,236,210,141,71
476,234,210,142,72
477,231,209,142,72
478,228,209,142,73
479,225,208,143,75
480,221,208,143,77
481,218,207,145,80
482,214,207,145,84
483,211,205,147,88
484,207,204,148,94
485,204,202,151,100
486,202,200,154,109
487,200,199,157,116
488,198,198,162,124
489,196,197,166,131
490,196,197,172,137
491,195,197,177,142
492,196,198,181,145
493,196,200,181,146
494,196,200,181,146
495,197,202,181,147
496,198,202,182,147
497,198,203,182,148
498,198,204,183,149
499,199,204,183,149
500,199,204,184,150
501,200,204,184,150
502,200,204,184,150
503,200,203,184,151
504,200,203,184,151
505,200,203,184,151
506,201,202,184,151
507,201,202,184,151
508,204,202,183,152
509,206,203,182,152
510,209,204,180,152
511,209,204,178,152
512,212,206,176,152
513,215,209,173,151
514,217,211,170,150
515,220,214,167,148
516,225,216,164,146
517,228,217,161,144
518,232,219,158,140
519,234,220,155,137
520,238,222,152,133
521,242,222,150,130
522,244,223,148,125
523,247,223,145,122
524,249,223,144,117
525,251,223,142,114
526,253,222,140,109
527,253,221,140,106
528,255,221,139,102
529,255,219,139,99
530,256,218,139,95
531,257,216,139,93
532,257,215,139,90
533,258,214,139,88
534,258,212,138,85
535,260,211,139,83
536,260,209,139,81
537,261,208,139,79
538,262,208,139,77
539,263,206,138,76
540,263,205,138,74
541,264,205,138,73
542,265,205,138,72
543,265,205,138,71
544,266,205,138,70
545,266,204,138,70
546,266,204,138,70
547,266,204,138,69
548,266,205,138,69
549,266,206,138,70
550,265,206,138,70
551,264,207,138,70
552,263,208,138,71
553,261,209,138,72
554,258,211,138,74
555,255,212,138,75
556,251,212,138,77
557,248,213,139,80
558,243,213,139,84
559,240,213,141,87
560,236,212,142,93
561,233,212,145,99
562,230,211,147,107
563,228,209,150,114
564,225,208,155,122
565,223,207,160,127
566,222,205,166,134
567,221,205,172,137
568,220,204,176,140
569,219,204,181,142
570,218,203,184,144
571,218,202,187,145
