Frame,X_thumb,Y_thumb,X_index,Y_index
0,156,218,197,152
1,156,217,197,151
2,154,219,198,149
3,153,220,200,147
4,151,221,203,145
5,149,222,205,142
6,147,224,206,140
7,144,227,208,138
8,143,227,210,135
9,140,229,211,133
10,139,230,213,131
11,137,231,214,129
12,135,231,215,127
13,133,233,216,126
14,132,234,216,124
15,131,235,217,123
16,130,235,217,122
17,129,237,218,120
18,127,237,218,119
19,125,238,219,119
20,125,238,219,118
21,124,239,220,116
22,123,239,220,116
23,122,240,220,115
24,121,240,220,114
25,120,241,220,114
26,120,241,220,113
27,118,241,220,113
28,118,241,221,112
29,117,241,221,112
30,116,241,221,111
31,116,241,221,111
32,115,241,221,111
33,114,241,221,111
34,114,241,221,111
35,114,241,221,111
36,113,241,221,111
37,113,241,221,111
38,113,241,221,111
39,114,241,220,112
40,114,240,220,113
41,114,240,219,114
42,116,240,219,115
43,117,239,218,116
44,119,239,218,118
45,120,239,217,119
46,122,238,216,122
47,124,237,215,124
48,126,236,214,127
49,129,237,212,130
50,131,235,211,133
51,133,234,209,136
52,136,234,207,140
53,139,233,206,144
54,142,232,203,148
55,144,231,200,153
56,147,229,197,157
57,149,229,194,161
58,152,227,191,164
59,155,227,188,167
60,157,225,185,169
61,158,225,183,171
62,161,223,181,171
63,162,222,180,172
64,163,222,180,172
65,163,222,180,172
66,163,222,181,172
67,164,221,181,172
68,164,221,181,172
69,164,221,181,172
70,164,221,181,172
71,164,221,180,172
72,164,220,180,172
73,164,220,180,172
74,164,219,180,172
75,164,219,180,171
76,164,219,180,171
77,164,219,180,171
78,163,219,179,171
79,163,218,179,171
80,163,218,179,171
81,163,218,179,171
82,163,218,178,170
83,163,217,178,170
84,163,217,178,170
85,163,217,178,170
86,163,217,178,170
87,162,216,178,169
88,162,215,178,168
89,162,215,178,167
90,162,215,179,167
91,162,215,179,166
92,161,216,181,165
93,160,217,182,164
94,159,217,183,163
95,159,219,185,162
96,157,220,187,160
97,157,221,188,159
98,154,222,190,157
99,151,224,192,155
100,149,226,194,153
101,145,229,196,151
102,144,229,199,148
103,142,232,201,146
104,139,233,203,144
105,137,234,204,141
106,134,236,206,139
107,131,238,208,137
108,130,239,209,134
109,128,241,210,133
110,126,241,212,131
111,124,244,213,130
112,123,244,214,128
113,121,245,215,126
114,120,245,215,125
115,119,247,216,124
116,118,247,216,123
117,116,248,217,122
118,115,248,217,122
119,114,249,217,121
120,113,248,217,120
121,112,249,217,119
122,111,249,217,118
123,110,249,218,118
124,110,249,218,118
125,108,250,218,117
126,108,250,218,116
127,107,250,218,115
128,106,249,218,115
129,105,250,218,114
130,105,250,219,114
131,105,250,219,114
132,104,249,219,114
133,104,249,219,114
134,103,249,219,114
135,103,249,219,114
136,103,249,219,114
137,103,249,219,114
138,103,249,219,114
139,104,248,219,114
140,105,248,219,115
141,105,248,218,115
142,107,248,218,117
143,108,248,218,118
144,110,247,217,119
145,113,247,217,121
146,116,246,216,123
147,119,246,215,126
148,122,245,214,129
149,126,245,212,134
150,130,243,211,138
151,133,243,209,143
152,136,241,207,147
153,140,241,204,152
154,143,240,202,156
155,146,238,198,161
156,149,237,196,164
157,153,237,192,167
158,156,235,190,170
159,157,234,187,173
160,160,231,186,173
161,162,230,184,174
162,163,228,182,175
163,164,227,182,175
164,165,226,181,175
165,165,226,181,174
166,165,225,181,174
167,165,225,181,173
168,165,224,182,173
169,165,224,181,173
170,165,223,181,172
171,165,223,181,172
172,165,222,181,172
173,165,222,181,171
174,165,222,181,171
175,164,222,181,171
176,164,221,180,171
177,164,221,180,171
178,163,221,180,170
179,163,220,180,170
180,163,220,180,170
181,162,221,180,170
182,161,222,181,169
183,160,222,183,168
184,159,223,184,167
185,158,223,184,166
186,158,224,186,165
187,156,226,188,164
188,155,227,189,162
189,154,229,191,161
190,152,230,193,158
191,150,232,195,156
192,149,234,197,154
193,147,235,198,152
194,145,236,201,149
195,142,238,202,147
196,141,239,204,144
197,138,242,206,142
198,136,242,207,140
199,133,244,208,138
200,131,245,210,136
201,128,246,210,134
202,127,247,212,132
203,124,248,212,131
204,123,249,214,129
205,121,250,214,128
206,119,250,215,127
207,117,251,215,126
208,116,252,215,125
209,115,252,216,124
210,114,253,216,123
