Frame,X_thumb,Y_thumb,X_index,Y_index
0,222,216,151,145
1,224,216,147,137
2,227,217,144,132
3,231,218,141,125
4,234,220,139,120
5,237,221,136,115
6,240,223,133,111
7,243,224,132,108
8,245,225,130,106
9,247,226,128,106
10,249,227,127,106
11,250,228,125,106
12,251,228,125,106
13,253,229,123,107
14,254,229,123,107
15,255,230,123,107
16,255,230,122,107
17,256,231,122,106
18,257,232,122,106
19,257,232,122,106
20,258,233,122,106
21,258,233,122,106
22,259,234,122,106
23,259,235,122,107
24,260,236,121,108
25,260,237,121,109
26,260,237,121,109
27,260,238,121,110
28,261,239,121,110
29,262,240,121,111
30,262,240,121,111
31,262,241,121,112
32,263,241,121,112
33,263,242,121,112
34,263,242,121,112
35,264,243,121,112
36,264,243,121,112
37,264,244,122,112
38,264,244,122,113
39,264,244,122,113
40,264,244,122,113
41,264,244,122,113
42,264,244,122,113
43,264,244,123,113
44,264,245,123,114
45,264,245,123,114
46,264,245,123,114
47,264,245,123,114
48,263,245,123,114
49,263,245,124,115
50,263,245,124,115
51,263,245,124,115
52,263,245,124,115
53,263,245,124,115
54,263,245,124,115
55,262,245,124,114
56,262,245,124,114
57,262,245,124,114
58,262,245,124,114
59,262,245,124,114
60,262,245,124,114
61,262,245,124,114
62,262,244,124,114
63,261,244,124,114
64,261,244,124,114
65,261,244,124,114
66,261,244,124,114
67,261,244,124,114
68,261,243,124,114
69,261,243,124,114
70,260,243,124,114
71,260,243,124,114
72,260,243,124,114
73,260,243,124,114
74,260,243,124,114
75,260,242,124,114
76,260,242,124,114
77,260,242,124,114
78,260,242,124,114
79,260,242,124,114
80,260,242,124,114
81,260,242,124,114
82,260,242,124,114
83,260,242,124,114
84,260,242,124,114
85,260,242,124,115
86,260,242,124,115
87,260,242,124,115
88,260,242,124,115
89,260,242,124,115
90,260,242,124,115
91,260,242,124,115
92,260,242,124,115
93,260,242,124,115
94,259,242,124,116
95,259,242,123,116
96,259,242,124,116
97,259,242,124,116
98,259,243,124,116
99,259,242,124,116
100,259,243,124,117
101,258,243,124,117
102,258,243,124,117
103,258,243,124,117
104,257,242,124,117
105,257,242,124,117
106,256,243,125,117
107,256,242,125,117
108,255,242,125,117
109,254,242,125,117
110,253,242,125,118
111,252,241,126,120
112,251,240,127,121
113,249,240,128,124
114,247,238,129,126
115,245,238,129,130
116,243,237,131,134
117,241,235,134,138
118,239,233,137,143
119,236,232,139,149
120,235,230,142,153
121,232,229,147,159
122,230,228,150,163
123,229,227,154,168
124,227,226,156,171
125,226,225,161,174
126,225,225,164,176
127,223,224,167,178
128,222,224,169,181
129,221,223,173,183
130,220,223,175,185
131,219,223,176,187
132,219,223,178,188
133,218,223,180,189
134,218,223,180,189
135,218,224,180,190
136,218,224,181,190
137,218,225,181,191
138,218,225,181,191
139,218,226,182,192
140,218,226,182,192
141,218,226,183,192
142,219,226,183,193
143,219,227,183,193
144,219,227,183,193
145,219,228,184,194
146,219,228,184,194
147,219,228,185,195
148,219,229,185,195
149,219,229,185,195
150,220,229,186,196
151,220,230,186,196
152,220,230,186,196
153,220,230,186,196
154,220,230,186,196
155,220,231,187,197
156,220,231,186,197
157,221,231,187,197
158,221,231,187,197
159,221,232,187,197
160,221,231,186,197
161,221,232,186,197
162,221,232,186,197
163,221,232,186,197
164,221,232,186,197
165,221,232,185,196
166,221,232,185,196
167,221,232,184,196
168,221,232,183,195
169,221,232,183,194
170,221,232,182,194
171,221,232,181,193
172,221,232,181,192
173,221,232,179,192
174,221,232,178,191
175,221,232,178,190
176,221,231,177,189
177,221,231,176,189
178,221,231,176,188
179,221,231,175,188
180,221,231,174,188
181,221,231,174,187
182,221,231,173,187
183,220,231,173,187
184,220,230,173,187
185,220,230,173,187
186,220,230,172,187
187,220,230,172,187
188,220,230,172,187
189,220,230,172,187
190,220,229,171,186
191,220,229,170,185
192,220,228,169,184
193,220,228,167,181
194,221,228,165,177
195,221,227,162,173
196,222,227,159,168
197,223,227,155,160
198,225,228,152,155
199,226,228,148,149
200,228,229,144,143
201,230,229,140,136
202,232,230,137,130
203,234,231,134,124
204,235,231,132,119
205,237,232,129,115
206,238,232,129,111
207,239,233,128,107
208,239,233,127,105
209,240,233,126,102
210,240,234,126,101
211,240,234,125,100
212,240,234,125,99
213,241,234,124,98
214,241,234,124,97
215,241,234,124,95
216,241,233,124,94
217,241,233,124,94
218,241,233,124,93
219,241,233,124,92
220,241,233,124,91
221,241,234,124,90
222,241,234,124,90
223,241,234,124,89
224,242,234,124,89
225,242,234,124,88
226,242,234,124,88
227,243,234,125,87
228,243,234,125,87
229,244,234,125,87
230,244,234,125,87
231,245,234,125,87
232,246,234,125,88
233,247,235,125,88
234,247,235,125,88
235,248,235,125,88
236,248,236,125,89
237,250,236,125,90
238,250,237,125,90
239,251,238,125,91
240,251,238,125,91
241,252,238,125,92
242,252,239,124,92
243,252,239,124,92
244,253,240,124,92
245,253,240,124,93
246,253,240,124,93
247,254,241,124,93
248,254,240,124,94
249,254,241,124,94
250,254,241,124,94
251,254,241,124,94
252,254,241,124,94
