FS_Method,N_Features,Category,LLM_mode_MAE,LLM_mode_Spearman,LLM_mode_Kappa,LLM_mode_AAcc,LLM_mode_MAE_CI_lo,LLM_mode_MAE_CI_hi,LLM_mode_Spearman_CI_lo,LLM_mode_Spearman_CI_hi,LLM_mode_Kappa_CI_lo,LLM_mode_Kappa_CI_hi,LLM_mode_AAcc_CI_lo,LLM_mode_AAcc_CI_hi,LLM_median_MAE,LLM_median_Spearman,LLM_median_Kappa,LLM_median_AAcc,LLM_median_MAE_CI_lo,LLM_median_MAE_CI_hi,LLM_median_Spearman_CI_lo,LLM_median_Spearman_CI_hi,LLM_median_Kappa_CI_lo,LLM_median_Kappa_CI_hi,LLM_median_AAcc_CI_lo,LLM_median_AAcc_CI_hi,LLM_Coverage
Pearson,16,filter,0.6037735849056604,0.6231019759508887,0.5625257944696657,0.9245283018867925,0.4339622641509434,0.7735849056603774,0.42389910714728457,0.765392827900787,0.38550113219487603,0.702725597149875,0.8490566037735849,0.9811320754716981,0.6037735849056604,0.6231019759508887,0.5625257944696657,0.9245283018867925,0.4339622641509434,0.7735849056603774,0.4373547695293839,0.7644776592415042,0.38675742569215127,0.6996721687429218,0.8490566037735849,0.9811320754716981,1.0
Spearman,4,filter,0.6415094339622641,0.6462306566668139,0.590357011409643,0.9245283018867925,0.4716981132075472,0.8301886792452831,0.4676232007091679,0.77856173575495,0.4258813513318274,0.7172543409099015,0.8490566037735849,0.9811320754716981,0.6415094339622641,0.6462306566668139,0.590357011409643,0.9245283018867925,0.4716981132075472,0.8113207547169812,0.46892629416580517,0.7857129280170512,0.42482186931880667,0.7248718803443226,0.8490566037735849,0.9811320754716981,1.0
Kendall,4,filter,0.6037735849056604,0.6539172786547397,0.6164325244785014,0.9811320754716981,0.4528301886792453,0.7547169811320755,0.48723816385969726,0.7779638628896257,0.4613457708351526,0.7241222804911438,0.9433962264150944,1.0,0.6226415094339622,0.6379930060908245,0.6048988285410011,0.9811320754716981,0.49056603773584906,0.7735849056603774,0.4666790409561085,0.7733215400069492,0.4513910326882321,0.7182657929614387,0.9433962264150944,1.0,1.0
Mutual Info,3,filter,0.7547169811320755,0.5067974912108684,0.46692456479690525,0.8867924528301887,0.5849056603773585,0.9245283018867925,0.2641868273259869,0.6846049614892271,0.25351120281914846,0.6213560164295956,0.7924528301886793,0.9622641509433962,0.7358490566037735,0.5350129698852092,0.49738726533772015,0.9056603773584906,0.5660377358490566,0.9056603773584906,0.3172003712302057,0.7044245625565924,0.31290933310492103,0.6426797917052629,0.8301886792452831,0.9811320754716981,1.0
F-regression,16,filter,0.6415094339622641,0.5457095607839741,0.47592433361994846,0.9245283018867925,0.4528301886792453,0.8301886792452831,0.31693053103430535,0.7381774751552376,0.23734987652638362,0.6694044143746548,0.8490566037735849,0.9811320754716981,0.6415094339622641,0.5457095607839741,0.47592433361994846,0.9245283018867925,0.4528301886792453,0.8490566037735849,0.3186081400159468,0.7294771065912322,0.23902817546569108,0.6662980615507594,0.8490566037735849,0.9811320754716981,1.0
mRMR,8,filter,0.5471698113207547,0.6708445529157784,0.6375129533678756,0.9622641509433962,0.39622641509433965,0.6981132075471698,0.49650945525726675,0.8034673319404387,0.4741901166506871,0.7624217292445555,0.9056603773584906,1.0,0.5283018867924528,0.6678553566988028,0.640373197625106,0.9622641509433962,0.37735849056603776,0.6792452830188679,0.4849844013926547,0.8035656418209801,0.4660794961109369,0.7642855173513187,0.9056603773584906,1.0,1.0
Distance Correlation,20,filter,0.6415094339622641,0.5026489844917084,0.4637043554773428,0.8867924528301887,0.4716981132075472,0.8113207547169812,0.27878258283513696,0.6864603501811626,0.2430312596680089,0.6362757350508718,0.7924528301886793,0.9622641509433962,0.5471698113207547,0.5722294839302674,0.5345359601234274,0.9245283018867925,0.39622641509433965,0.7169811320754716,0.3582396491483275,0.7451791885704966,0.3246632276285343,0.6975131221785423,0.8490566037735849,0.9811320754716981,1.0
HSIC,9,filter,0.5283018867924528,0.7285632788120294,0.6833930704898448,0.9811320754716981,0.37735849056603776,0.6792452830188679,0.5886815270775935,0.8339556623562275,0.540657760421044,0.787073344215407,0.9433962264150944,1.0,0.5094339622641509,0.7271018379519212,0.6871565235090576,0.9811320754716981,0.37688679245283024,0.660377358490566,0.5833390226820306,0.832974399669962,0.5404994089097502,0.7892315323254226,0.9433962264150944,1.0,1.0
Fisher Score,8,filter,0.5094339622641509,0.6093637176852491,0.6174621653084982,0.9622641509433962,0.3584905660377358,0.6792452830188679,0.3950054789696438,0.7700292364589294,0.4139298153619222,0.7527329588626556,0.9056603773584906,1.0,0.4716981132075472,0.6446763157395708,0.6416414082536722,0.9622641509433962,0.32075471698113206,0.6226415094339622,0.4489043945174278,0.7949112011230361,0.4519293513551313,0.7758359898859504,0.9056603773584906,1.0,1.0
ReliefF,17,filter,0.5849056603773585,0.6960932204333057,0.5635864592863677,0.8679245283018868,0.41509433962264153,0.7924528301886793,0.5497594963282267,0.8103381050535665,0.412030658519493,0.7023697939446529,0.7735849056603774,0.9433962264150944,0.5849056603773585,0.6960932204333057,0.5635864592863677,0.8679245283018868,0.39622641509433965,0.7735849056603774,0.545753265129014,0.8156326738938736,0.41508500090170375,0.7048393847124331,0.7735849056603774,0.9433962264150944,1.0
