Method,Category,N_Features,Int_MAE,Int_Spearman,Int_Kappa,Int_AAcc,LLM_MAE,LLM_Spearman,LLM_Kappa,LLM_AAcc,LLM_Kappa_CI_lo,LLM_Kappa_CI_hi,LLM_MAE_CI_lo,LLM_MAE_CI_hi,Delta_Kappa,Delta_MAE
LASSO (Standard),embedded,22,0.4716981132075472,0.7025417721604711,0.6486343145054362,1.0,0.660377358490566,0.5174240668517335,0.3754909662215239,0.9056603773584906,0.2068910924503205,0.5150714732647077,0.490566037735849,0.8490566037735849,-0.2731433482839123,0.18867924528301883
ElasticNet,embedded,23,0.4716981132075472,0.696111767915507,0.6277044113515031,1.0,0.6981132075471698,0.5355693629647306,0.3896592244418331,0.8867924528301887,0.2251931184530487,0.5441641226123006,0.5094339622641509,0.8679245283018868,-0.23804518690967003,0.2264150943396226
Adaptive LASSO,embedded,13,0.41509433962264153,0.7034617459988433,0.6721034870641169,1.0,0.6226415094339622,0.5081752313696682,0.4218181818181817,0.8867924528301887,0.2360773950529572,0.5840591230538371,0.4339622641509434,0.8113207547169812,-0.25028530524593523,0.2075471698113207
LARS,embedded,21,0.4716981132075472,0.7025417721604711,0.6486343145054362,1.0,0.6037735849056604,0.4165106454230171,0.3310384394721744,0.9245283018867924,0.1264568766152185,0.550046904315197,0.4150943396226415,0.7740566037735824,-0.3175958750332618,0.13207547169811318
RF Importance,embedded,6,0.4339622641509434,0.6973863842009227,0.626444882999718,0.9811320754716981,0.7358490566037735,0.4964011753510958,0.4550921435499515,0.8679245283018868,0.2642242057229615,0.6164406820173259,0.5660377358490566,0.9245283018867924,-0.17135273944976653,0.3018867924528301
Extra Trees,embedded,14,0.4339622641509434,0.7017104122581558,0.6270757106670419,0.9811320754716981,0.5660377358490566,0.6785515090971163,0.624113475177305,0.9245283018867924,0.4484361223533505,0.7491023326357823,0.3962264150943396,0.7547169811320755,-0.002962235489736953,0.13207547169811318
Gradient Boosting,embedded,5,0.33962264150943394,0.7398208860078804,0.6807228915662651,0.9811320754716981,0.3773584905660377,0.6635130716589929,0.6900584795321637,0.981132075471698,0.4646464646464646,0.8212451882061975,0.2452830188679245,0.5283018867924528,0.009335587965898617,0.037735849056603765
XGBoost,embedded,9,0.37735849056603776,0.7255276070065656,0.6494287432351172,0.9811320754716981,0.5471698113207547,0.6012724026983832,0.4947686584515229,0.9245283018867924,0.287713294859063,0.679605649553145,0.3584905660377358,0.7363207547169786,-0.15466008478359433,0.16981132075471694
Permutation Importance,embedded,3,0.41509433962264153,0.6993881348553127,0.6300174520069809,0.9811320754716981,0.4528301886792453,0.6809627507340279,0.6426348547717842,0.981132075471698,0.4748873170298635,0.7583310549906686,0.320754716981132,0.6037735849056604,0.012617402764803276,0.037735849056603765
Stability Selection,embedded,6,0.3584905660377358,0.7519609212731552,0.7078619089062954,1.0,0.5471698113207547,0.7070710082667071,0.5848563968668408,0.9622641509433962,0.4587973964869252,0.6962471039088405,0.3962264150943396,0.6981132075471698,-0.12300551203945465,0.18867924528301888
RFECV (RF),wrapper,128,0.4528301886792453,0.5516675910265408,0.46695402298850575,0.9622641509433962,1.339622641509434,-0.1777480975301177,-0.0486589476769747,0.5471698113207547,-0.1365683388976424,0.0388369469770317,1.0943396226415094,1.5660377358490567,-0.5156129706654804,0.8867924528301888
RFECV (SVR),wrapper,3,0.6226415094339622,0.1935431192504471,0.16050686378035917,0.8867924528301887,0.9245283018867924,0.2528596367689387,0.2218291172828586,0.7547169811320755,0.0004838709677419,0.4401487259706889,0.6981132075471698,1.150943396226415,0.061322253502499424,0.3018867924528301
RFECV (Lasso),wrapper,4,0.32075471698113206,0.7494605616534935,0.7298350824587706,1.0,0.4528301886792453,0.6413226457457383,0.6703349282296651,0.981132075471698,0.4567544268334921,0.8068323727306581,0.320754716981132,0.6037735849056604,-0.059500154229105484,0.13207547169811323
SFS Forward,wrapper,16,0.37735849056603776,0.7629508168563741,0.7114861186717474,1.0,0.6981132075471698,0.5300612052730697,0.4986614313760485,0.8867924528301887,0.2810368830388654,0.6632651969495352,0.5094339622641509,0.9056603773584906,-0.21282468729569887,0.320754716981132
SBS Backward,wrapper,19,0.3584905660377358,0.7588190756801417,0.7329620790241316,1.0,0.7735849056603774,0.437600492329978,0.3464994775339602,0.8679245283018868,0.1431209038137445,0.5199640263245594,0.5849056603773585,0.9627358490566011,-0.38646260149017136,0.4150943396226416
Boruta,wrapper,8,0.41509433962264153,0.6993881348553127,0.6300174520069809,0.9811320754716981,0.7358490566037735,0.5787320569762561,0.4601191620219104,0.9056603773584906,0.2591923286704051,0.6225367105607339,0.5471698113207547,0.9245283018867924,-0.1698982899850705,0.320754716981132
