FS_Method,Classifier,N_Features,Category,MAE,Spearman,Kappa,AAcc,MAE_CI_lo,MAE_CI_hi,Spearman_CI_lo,Spearman_CI_hi,Kappa_CI_lo,Kappa_CI_hi,AAcc_CI_lo,AAcc_CI_hi,norm_MAE,norm_Spearman,norm_Kappa,norm_AAcc,Composite
Pearson,MLP(8),16,filter,0.5094339622641509,0.5672658960862996,0.5749029754204399,0.9622641509433962,0.3584905660377358,0.660377358490566,0.3682114115479052,0.7245490822218285,0.34677613447096356,0.7320529267297389,0.9056603773584906,1.0,0.7142857142857143,0.5937841058104485,0.7555878765823395,0.8333333333333334,0.7242477575029589
Spearman,MLP(8),4,filter,0.4716981132075472,0.6028732517605142,0.4749121124960052,0.9433962264150944,0.32075471698113206,0.6415094339622641,0.4190088903295164,0.7478787380053021,0.3332166584325185,0.5886567164179104,0.8679245283018868,1.0,0.7714285714285714,0.6715390316510916,0.5682739672196491,0.75,0.690310392574828
Kendall,MLP(8),4,filter,0.49056603773584906,0.6020555604555282,0.47621988882025934,0.9433962264150944,0.33962264150943394,0.660377358490566,0.41436349015111107,0.748789210758627,0.3351588412254145,0.5843757171331002,0.8679245283018868,1.0,0.7428571428571429,0.669753458822785,0.570723838024876,0.75,0.6833336099262011
Mutual Info,MLP(8),3,filter,0.4528301886792453,0.641418503530402,0.6313043478260869,1.0,0.32075471698113206,0.5849056603773585,0.4610434272062999,0.77527180125915,0.46603726437065773,0.7414665659820908,1.0,1.0,0.8,0.7557093705074226,0.8612451461541277,1.0,0.8542386291653876
F-regression,MLP(8),16,filter,0.5094339622641509,0.5672658960862996,0.5749029754204399,0.9622641509433962,0.3584905660377358,0.660377358490566,0.36572912407440933,0.7234530986107439,0.3534187690568192,0.7402075201777716,0.9056603773584906,1.0,0.7142857142857143,0.5937841058104485,0.7555878765823395,0.8333333333333334,0.7242477575029589
mRMR,MLP(8),8,filter,0.37735849056603776,0.7440826471954839,0.6810722100656454,0.9811320754716981,0.24528301886792453,0.5283018867924528,0.5957128652163536,0.8437617724594907,0.5447305728813073,0.7928203449658588,0.9433962264150944,1.0,0.9142857142857143,0.9798945908368357,0.9544757930759422,0.9166666666666666,0.9413306912162897
Distance Correlation,MLP(8),20,filter,0.5471698113207547,0.5174654558836781,0.49260226283724984,0.9622641509433962,0.41509433962264153,0.7169811320754716,0.3075899066562091,0.6905093013243713,0.28923467010166565,0.6436734964006268,0.9056603773584906,1.0,0.6571428571428573,0.48503608278355653,0.6014131073442467,0.8333333333333334,0.6442313451509984
HSIC,MLP(8),9,filter,0.4339622641509434,0.6272847872608391,0.49055352999668544,0.9433962264150944,0.2830188679245283,0.6037735849056604,0.4473629945667986,0.7789505267757942,0.3545228706815856,0.6265604651452333,0.8679245283018868,1.0,0.8285714285714285,0.7248459143595577,0.5975751950952459,0.75,0.725248134506558
Fisher Score,MLP(8),8,filter,0.41509433962264153,0.6336593878875066,0.6182472989195678,0.9811320754716981,0.2641509433962264,0.5660377358490566,0.4495593127429511,0.7795946242740737,0.38932757499878895,0.7777056447785407,0.9433962264150944,1.0,0.8571428571428571,0.7387659763693627,0.8367852424800464,0.9166666666666666,0.8373401856647332
ReliefF,MLP(8),17,filter,0.6037735849056604,0.590597992298011,0.5099756690997566,0.9433962264150944,0.4528301886792453,0.7547169811320755,0.38377193515667596,0.7494261557055845,0.35258061499671023,0.6357475854882962,0.8679245283018868,1.0,0.5714285714285715,0.6447338429166535,0.63395888753654,0.75,0.6500303254704413
