Frame,X_thumb,Y_thumb,X_index,Y_index
0,229,212,155,155
1,231,213,149,150
2,234,214,145,146
3,236,215,141,141
4,238,216,137,136
5,240,216,134,132
6,241,217,133,127
7,243,217,131,122
8,245,217,130,119
9,246,218,128,115
10,248,218,127,111
11,249,218,127,109
12,249,218,126,106
13,250,218,125,103
14,251,219,125,102
15,251,219,125,100
16,252,219,125,98
17,252,219,125,97
18,253,220,125,96
19,254,219,125,95
20,255,220,125,93
21,255,220,125,92
22,256,221,125,91
23,256,221,125,90
24,257,221,125,88
25,257,221,125,87
26,258,221,125,86
27,258,221,125,85
28,259,221,125,84
29,259,221,125,84
30,260,221,125,83
31,260,221,125,82
32,261,220,125,81
33,261,220,124,81
34,261,220,124,80
35,262,220,124,80
36,262,220,123,79
37,262,220,123,79
38,262,220,122,78
39,262,219,122,78
40,262,219,122,77
41,261,219,122,77
42,261,219,121,76
43,260,219,121,76
44,260,219,121,76
45,259,219,120,76
46,259,219,120,76
47,258,219,120,77
48,257,219,120,78
49,255,219,120,79
50,254,219,121,82
51,251,219,121,84
52,249,219,122,89
53,246,219,123,94
54,243,219,125,104
55,240,218,128,112
56,236,218,131,123
57,233,218,135,133
58,228,217,142,146
59,224,216,147,154
60,219,214,155,165
61,215,213,163,173
62,211,211,172,180
63,207,210,182,185
64,205,209,188,187
65,205,209,189,188
66,204,209,189,188
67,204,210,189,189
68,204,210,190,190
69,204,210,190,190
70,205,211,191,191
71,205,212,192,192
72,205,213,192,193
73,205,213,192,193
74,205,214,192,194
75,205,214,193,195
76,205,215,193,195
77,205,215,193,195
78,205,215,193,196
79,206,216,193,197
80,205,216,193,197
81,205,216,193,197
82,205,217,193,197
83,205,217,193,198
84,205,217,193,197
85,205,217,193,197
86,205,216,193,197
87,205,216,193,197
88,205,216,193,197
89,205,216,193,197
90,205,216,193,197
91,205,216,193,197
92,205,216,193,197
93,205,216,193,197
94,205,216,193,197
95,205,216,193,197
96,205,216,193,197
97,205,216,193,196
98,205,216,193,196
99,205,216,193,196
100,205,216,192,196
101,205,215,192,196
102,205,215,192,195
103,205,214,192,195
104,204,213,191,194
105,204,212,191,193
106,204,211,191,191
107,205,209,191,189
108,205,208,191,188
109,206,206,190,186
110,207,204,191,185
111,208,203,190,183
112,209,202,189,182
113,212,201,189,180
114,214,201,186,178
115,217,202,182,177
116,221,204,178,174
117,223,205,174,171
118,226,207,169,168
119,229,208,164,164
120,231,210,160,160
121,233,211,155,156
122,236,212,150,152
123,238,213,146,148
124,241,213,142,143
125,243,213,139,138
126,245,214,135,132
127,247,214,133,128
128,249,214,130,123
129,250,215,127,118
130,252,215,126,114
131,252,214,125,111
132,254,214,123,108
133,255,214,122,104
134,256,214,121,102
135,256,214,120,99
136,257,214,119,97
137,257,214,119,95
138,258,214,118,94
139,258,214,119,92
140,259,214,118,90
141,260,214,118,88
142,260,214,118,87
143,261,214,118,86
144,261,213,118,84
145,262,214,117,83
146,262,213,117,82
147,262,213,117,81
148,263,213,117,79
149,263,212,117,78
150,263,212,117,77
151,263,212,116,77
152,262,212,116,76
153,262,212,116,75
154,262,212,116,75
155,262,213,116,74
156,261,212,115,74
157,260,212,115,74
158,259,213,114,74
159,259,213,114,74
160,258,214,114,75
161,257,214,114,76
162,255,214,114,78
163,254,215,115,81
164,251,215,116,84
165,249,215,116,87
166,247,216,118,93
167,244,217,119,99
168,241,217,122,107
169,238,217,123,116
170,234,217,128,128
171,231,216,133,137
172,227,216,139,148
173,223,215,147,157
174,219,215,154,168
175,216,214,163,176
176,212,213,172,183
177,209,212,183,188
178,207,211,190,192
179,207,212,191,192
180,206,212,191,192
181,206,212,191,193
182,206,213,192,193
183,207,214,193,194
184,207,214,193,195
185,207,215,193,196
186,207,215,194,196
187,207,216,194,197
188,207,216,194,197
189,207,217,194,197
190,208,217,195,198
191,208,217,195,198
192,208,217,195,198
193,208,217,195,198
194,208,217,195,198
195,208,217,195,198
196,207,217,195,198
197,207,217,195,198
198,207,217,195,198
199,207,217,195,198
200,207,217,195,198
201,207,217,195,198
202,207,217,194,198
203,207,217,194,198
204,206,217,194,198
205,206,216,194,198
206,206,216,194,198
207,206,216,194,198
208,206,217,194,198
209,206,216,194,198
210,205,217,193,198
