Frame,X_thumb,Y_thumb,X_index,Y_index
0,149,220,201,141
1,148,220,200,141
2,147,223,203,138
3,146,225,205,134
4,145,227,206,131
5,145,230,208,127
6,144,232,209,124
7,143,233,210,121
8,142,236,210,119
9,142,237,211,116
10,141,238,211,114
11,141,239,212,112
12,139,241,212,111
13,139,242,212,109
14,138,243,212,108
15,138,243,212,107
16,137,244,212,106
17,137,245,212,105
18,136,245,212,104
19,136,246,212,103
20,135,246,212,102
21,135,246,212,101
22,134,247,212,101
23,134,247,212,100
24,134,247,212,99
25,133,247,212,98
26,133,247,212,97
27,133,247,212,96
28,133,246,212,96
29,133,246,212,95
30,132,246,211,94
31,132,245,211,93
32,132,245,211,92
33,132,245,211,92
34,132,245,210,91
35,132,245,210,91
36,132,244,210,90
37,132,244,210,90
38,132,244,209,89
39,132,243,210,89
40,132,243,209,88
41,132,243,209,88
42,133,243,209,88
43,133,243,209,88
44,134,242,209,88
45,135,242,209,90
46,136,241,208,91
47,137,239,208,93
48,139,238,208,96
49,141,237,208,99
50,143,235,208,104
51,145,233,207,111
52,147,231,207,117
53,151,227,206,125
54,153,225,203,134
55,155,222,200,142
56,158,219,196,151
57,159,216,192,158
58,161,214,188,166
59,163,211,184,172
60,165,208,178,176
61,166,204,174,179
62,166,204,173,179
63,166,202,174,177
64,168,201,174,176
65,167,200,175,175
66,167,199,175,175
67,167,198,175,174
68,167,197,175,174
69,168,196,175,173
70,168,196,175,173
71,168,196,175,173
72,168,195,175,172
73,168,194,175,172
74,168,194,175,171
75,169,193,175,170
76,168,193,175,170
77,169,192,175,170
78,169,192,175,169
79,169,192,176,169
80,169,191,176,168
81,169,190,176,167
82,169,190,176,167
83,170,190,176,166
84,170,189,176,166
85,170,189,176,166
86,170,189,176,166
87,170,189,176,165
88,170,189,176,165
89,170,188,176,165
90,170,189,176,165
91,170,189,176,165
92,170,188,176,165
93,170,188,176,165
94,170,189,176,165
95,169,189,176,165
96,169,189,176,165
97,169,189,176,165
98,169,189,175,165
99,169,188,175,165
100,169,188,175,164
101,168,187,175,163
102,167,186,175,162
103,166,185,176,160
104,164,186,178,158
105,163,187,180,154
106,160,190,183,151
107,158,191,186,147
108,156,194,189,143
109,153,196,193,138
110,150,200,196,133
111,148,202,200,127
112,146,206,203,121
113,143,208,205,116
114,142,211,206,111
115,140,213,208,107
116,139,215,208,104
117,138,217,209,100
118,137,218,209,98
119,136,220,209,95
120,135,221,210,94
121,134,222,210,92
122,134,223,210,91
123,133,224,210,91
124,133,226,210,89
125,132,226,210,89
126,132,227,210,88
127,131,228,210,88
128,130,229,209,87
129,130,230,209,87
130,130,230,209,87
131,129,231,209,87
132,129,232,209,86
133,129,232,209,86
134,128,233,209,86
135,128,234,208,85
136,128,234,208,85
137,128,235,208,85
138,128,235,208,84
139,128,235,208,84
140,127,236,208,84
141,128,236,207,84
142,128,237,207,84
143,128,237,207,83
144,128,237,207,83
145,129,237,207,83
146,129,237,207,83
147,130,237,207,83
148,130,236,207,83
149,131,236,207,83
150,133,235,206,85
151,134,235,206,87
152,136,234,207,89
153,138,233,207,92
154,140,232,207,97
155,142,231,207,103
156,144,230,207,110
157,147,227,206,117
158,150,226,205,125
159,152,223,203,134
160,155,220,200,142
161,157,218,196,151
162,160,215,191,159
163,162,212,186,166
164,164,208,180,173
165,165,204,175,176
166,166,202,172,179
167,166,201,173,177
168,167,199,174,176
169,167,198,173,175
170,167,197,173,174
171,167,197,173,174
172,167,196,173,173
173,167,196,173,173
174,167,196,173,173
175,167,195,173,173
176,167,195,173,173
177,167,194,173,173
178,167,194,173,172
179,167,193,173,172
180,167,193,173,171
181,168,193,173,171
182,168,192,173,171
183,168,192,173,170
184,168,191,173,170
185,168,190,173,169
186,168,189,173,168
187,168,189,173,167
188,168,188,174,166
189,168,187,174,165
190,168,185,174,164
191,168,184,174,163
192,168,183,174,161
193,167,182,175,160
194,167,182,176,158
195,166,182,178,156
196,166,183,180,153
197,165,185,183,150
198,164,186,185,147
199,162,189,189,144
200,161,191,192,140
201,158,193,195,136
202,156,196,197,132
203,154,197,200,127
204,153,200,203,122
205,151,201,204,117
206,150,203,206,113
207,148,205,207,109
208,147,207,207,105
209,145,208,208,101
210,143,210,208,98
211,143,211,208,95
212,141,212,208,93
213,140,213,208,90
214,139,214,208,89
215,139,214,208,87
216,138,215,208,86
217,137,216,207,85
218,136,217,207,84
219,135,217,207,83
220,135,218,207,81
221,134,219,207,81
222,134,220,206,80
223,133,220,206,79
224,132,221,206,79
225,132,222,206,78
226,131,222,206,78
227,131,223,206,78
228,131,223,206,77
229,131,224,206,77
230,130,225,206,77
231,130,225,206,77
232,130,226,205,77
233,130,227,206,77
234,130,227,205,77
235,129,228,205,77
236,129,228,205,77
237,129,229,205,77
238,129,229,204,77
239,129,229,204,77
240,128,230,204,76
241,128,230,204,77
242,128,230,204,76
243,128,230,204,77
244,128,230,203,76
245,129,230,203,76
246,129,229,203,76
247,130,229,203,77
248,130,228,203,78
249,131,227,203,80
250,132,226,203,82
251,134,224,203,86
252,136,223,202,89
253,138,221,202,95
254,140,219,202,100
255,143,216,201,107
256,147,213,201,114
257,150,211,198,122
258,153,209,196,130
259,155,204,193,139
260,158,203,189,145
261,160,200,186,151
262,162,197,181,158
263,164,193,176,163
264,165,191,172,167
265,165,191,171,167
266,166,190,172,166
267,166,190,172,166
268,166,190,172,167
269,166,190,172,167
270,166,190,172,167
271,166,190,172,168
272,166,191,172,169
273,166,191,172,169
274,166,192,172,170
275,166,192,172,170
276,166,192,171,170
277,166,192,171,171
278,166,193,171,171
279,166,193,171,171
280,166,193,171,171
281,166,193,171,171
282,166,193,171,171
283,166,192,171,170
284,166,192,172,170
285,166,191,172,169
286,166,190,172,168
287,165,189,171,166
288,166,187,171,165
289,165,185,171,163
290,165,185,172,162
291,165,183,172,160
292,164,182,172,158
293,163,182,174,156
294,163,182,175,154
295,162,183,178,150
296,161,185,181,147
297,159,186,184,143
298,157,189,188,139
299,155,191,192,135
300,154,194,195,131
301,152,196,198,126
302,150,199,201,122
303,148,201,203,118
304,146,203,204,114
305,145,204,206,110
306,144,206,206,108
307,142,207,206,105
308,141,208,206,102
309,140,209,206,100
310,138,211,206,98
311,138,211,206,96
312,136,212,206,94
313,136,213,207,92
314,135,214,206,91
315,134,215,206,90
316,134,215,206,88
317,133,215,206,87
318,133,216,206,86
319,132,217,206,85
320,131,217,206,83
321,130,218,206,83
322,130,218,206,82
323,129,219,206,82
324,129,219,206,81
325,128,220,206,80
326,128,221,206,80
327,128,221,206,80
328,128,222,206,80
329,128,223,206,79
330,128,223,206,79
331,128,224,206,79
332,128,224,206,79
333,129,225,205,79
334,129,226,205,80
335,130,226,205,80
336,130,227,205,80
337,131,227,205,81
338,132,227,205,82
339,133,228,205,83
340,135,228,205,85
341,137,227,205,88
342,138,227,204,91
343,141,227,204,96
344,143,226,204,101
345,145,224,203,109
346,148,222,203,117
347,151,219,201,125
348,154,217,198,135
349,156,213,195,143
350,159,210,189,153
351,161,205,183,161
352,164,201,175,169
353,166,197,170,172
354,165,196,170,171
355,166,194,171,168
356,166,193,171,167
357,166,192,171,166
358,166,191,171,166
359,166,190,171,165
360,166,189,171,165
361,166,189,171,165
362,166,188,171,164
363,166,188,171,164
364,166,187,171,164
365,166,187,171,163
366,166,186,171,163
367,166,186,171,163
368,166,186,171,163
369,166,185,171,162
370,166,185,171,162
371,166,185,171,162
372,166,184,171,162
373,166,184,170,161
374,166,183,170,161
375,166,182,171,160
376,166,182,171,160
377,166,181,170,159
378,166,181,170,159
379,165,180,170,158
380,165,179,170,157
381,165,178,171,157
382,165,178,171,156
383,165,177,171,155
384,165,176,171,154
385,165,175,171,153
386,165,174,171,153
387,164,174,171,152
388,164,174,171,152
389,164,174,172,151
390,163,174,173,150
391,162,176,175,148
392,162,178,176,147
393,160,179,178,145
394,159,182,181,143
395,157,184,185,139
396,155,187,187,137
397,153,190,191,133
398,151,193,194,129
399,149,196,197,125
400,147,199,199,122
401,145,202,201,118
402,143,205,203,115
403,141,207,204,112
404,140,209,205,109
405,139,211,206,106
406,137,213,206,104
407,137,214,206,102
408,136,215,207,99
409,135,217,207,98
410,135,218,207,97
411,135,219,207,95
412,135,219,207,94
413,135,220,206,94
414,135,220,206,93
415,135,220,206,92
416,135,220,205,92
417,136,220,204,91
418,137,219,203,91
419,138,219,203,91
420,139,218,203,91
421,140,217,202,92
422,142,215,201,94
423,143,213,201,97
424,145,211,200,100
425,147,208,200,105
426,149,206,198,111
427,152,202,197,118
428,154,199,194,125
429,156,196,191,131
430,158,192,187,139
431,159,188,182,146
432,162,184,177,153
433,164,180,171,158
434,164,179,170,159
435,165,178,171,157
436,166,176,172,155
437,166,174,172,154
438,166,174,172,154
439,167,173,173,153
440,167,173,173,153
441,167,172,173,152
442,167,171,173,152
443,167,171,173,152
444,167,170,173,151
445,167,170,173,151
446,167,170,173,150
447,167,169,173,150
448,168,169,173,149
449,168,168,174,149
450,168,167,174,148
451,168,167,174,147
452,168,166,174,147
453,168,165,174,146
454,168,164,174,145
455,168,163,173,144
456,168,163,174,143
457,169,162,174,142
458,169,161,174,141
459,168,160,174,141
460,169,159,174,140
461,169,159,174,139
462,168,158,174,138
463,168,157,174,138
464,168,156,174,137
465,168,155,174,136
466,167,155,174,135
467,167,154,174,134
468,166,153,174,133
469,166,154,175,132
470,164,155,176,131
471,163,156,178,128
472,161,159,181,125
473,160,162,183,122
474,158,165,187,119
475,156,168,190,115
476,154,171,193,111
477,152,174,196,106
478,150,178,198,102
479,148,181,200,99
480,147,184,201,95
481,145,187,202,92
482,143,190,203,90
483,142,192,203,87
484,140,194,203,86
485,140,196,203,84
486,138,198,203,83
487,137,199,203,81
488,137,201,203,80
489,137,202,203,79
490,136,204,203,77
491,136,205,203,76
492,136,206,203,76
493,136,206,203,75
494,136,208,203,74
495,135,208,203,74
496,135,209,203,73
497,135,211,202,72
498,136,211,202,72
499,135,212,202,71
500,135,212,202,70
501,135,213,203,70
502,135,215,202,69
503,135,216,202,69
504,136,216,202,69
505,136,217,203,69
506,136,218,202,69
507,136,219,202,69
508,137,220,203,69
509,137,220,203,69
510,137,222,203,70
511,138,222,203,71
512,139,223,203,72
513,140,223,203,74
514,142,223,204,76
515,143,223,204,80
516,145,222,205,83
517,147,222,205,87
518,148,221,205,93
519,151,219,205,100
520,153,219,205,107
521,156,216,204,114
522,158,215,202,126
523,160,213,200,134
524,162,211,195,144
525,164,208,192,151
526,166,204,186,160
527,167,201,181,165
528,169,197,176,171
529,168,196,173,172
530,169,195,174,170
531,169,193,174,168
532,169,193,174,168
533,169,192,173,167
534,169,191,173,166
535,169,190,173,166
536,169,189,173,166
537,169,189,173,165
538,169,188,173,165
539,169,187,173,164
540,169,186,173,163
541,169,185,173,162
542,169,185,173,162
543,169,184,173,161
544,169,183,173,160
545,169,182,174,159
546,169,181,174,158
547,169,179,174,157
548,169,178,173,155
549,169,177,173,154
550,169,175,173,153
551,168,174,174,151
552,168,172,174,150
553,168,171,174,149
554,167,170,174,148
555,167,170,175,148
556,167,170,175,147
557,166,170,177,145
558,165,172,179,143
559,164,174,181,141
560,163,176,184,138
561,162,178,187,135
562,161,180,189,131
563,160,182,192,128
564,159,184,194,124
565,158,185,196,120
566,157,187,198,117
567,156,189,199,113
568,154,190,200,109
569,153,192,202,105
570,152,194,202,102
571,151,195,203,99
572,149,197,204,96
573,148,198,204,94
574,147,200,204,91
575,145,200,204,88
576,144,201,204,87
577,142,202,204,84
578,141,203,204,83
579,140,204,204,81
580,138,205,204,79
581,138,205,204,77
582,136,206,204,76
583,135,207,204,75
584,134,207,204,74
585,134,207,204,73
586,134,207,203,72
587,133,208,203,72
588,133,208,203,71
589,133,208,203,71
590,132,209,203,70
591,132,209,203,70
592,131,209,203,69
593,131,210,203,69
594,131,210,203,68
595,131,211,203,68
596,131,211,203,67
597,131,211,203,67
598,131,211,202,66
599,131,211,202,66
600,131,211,202,65
601,131,211,202,65
602,131,212,202,64
603,132,212,202,64
604,132,212,202,64
605,132,212,201,63
606,133,212,201,63
607,133,212,201,63
608,134,212,201,63
609,135,211,201,64
610,136,211,202,65
611,138,210,202,66
612,140,209,202,69
613,142,208,203,73
614,145,207,203,77
615,147,204,203,83
616,150,203,203,89
617,154,200,202,96
618,156,198,201,105
619,159,195,198,112
620,162,191,195,122
621,164,187,191,130
622,166,183,186,139
623,168,178,181,144
624,170,173,175,151
625,170,172,174,151
626,170,171,175,148
627,170,169,175,146
