Frame,X_thumb,Y_thumb,X_index,Y_index
0,252,140,131,223
1,254,136,127,227
2,259,132,123,231
3,262,129,121,236
4,265,127,119,241
5,268,124,118,247
6,271,122,117,252
7,273,121,116,256
8,274,119,116,261
9,276,118,117,266
10,277,118,117,270
11,277,117,118,274
12,277,117,119,276
13,276,117,119,279
14,276,118,119,280
15,274,119,120,280
16,272,120,120,281
17,269,122,120,280
18,266,123,120,280
19,262,126,120,278
20,257,128,120,275
21,250,133,120,272
22,244,137,120,267
23,236,143,121,263
24,229,152,122,258
25,223,161,124,253
26,217,169,128,247
27,212,180,133,241
28,205,188,141,235
29,202,197,149,231
30,198,208,161,224
31,199,212,173,220
32,199,211,177,220
33,200,211,179,221
34,202,210,180,222
35,203,209,182,223
36,204,209,185,223
37,204,208,186,223
38,205,207,188,223
39,206,207,189,223
40,206,207,190,223
41,206,206,190,222
42,207,205,191,222
43,207,204,192,221
44,208,203,192,220
45,209,201,193,219
46,209,200,193,218
47,210,198,194,217
48,211,196,194,216
49,212,193,194,214
50,214,190,194,212
51,215,186,192,211
52,218,182,192,209
53,221,178,191,206
54,224,173,189,204
55,228,169,187,201
56,230,163,182,199
57,234,159,177,197
58,238,154,171,196
59,241,150,164,196
60,246,145,159,196
61,250,141,153,197
62,254,137,146,200
63,259,134,141,203
64,262,130,134,205
65,267,127,128,210
66,271,124,124,214
67,273,121,120,221
68,277,119,116,226
69,281,117,113,233
70,283,115,111,241
71,285,113,111,250
72,286,112,111,256
73,287,111,111,263
74,288,110,112,269
75,288,111,113,273
76,288,110,114,277
77,288,110,114,280
78,287,110,115,283
79,286,112,115,285
80,284,112,116,286
81,282,113,116,287
82,279,115,116,287
83,275,117,115,286
84,272,119,115,285
85,266,124,114,282
86,261,126,114,279
87,254,131,113,275
88,248,136,113,269
89,242,140,113,262
90,233,149,115,256
91,226,156,117,248
92,219,167,122,238
93,214,175,127,231
94,208,185,138,223
95,204,195,149,216
96,201,200,162,209
97,203,201,175,203
98,206,199,181,201
99,207,198,183,201
100,208,197,184,201
101,208,198,185,202
102,209,198,186,202
103,209,199,187,203
104,210,199,187,203
105,210,199,188,204
106,210,200,188,204
107,211,200,189,204
108,211,199,189,204
109,211,199,189,204
110,211,199,189,204
111,210,199,189,203
112,211,198,189,203
113,211,196,190,202
114,212,195,189,202
115,212,193,189,201
116,213,191,188,201
117,215,187,186,200
118,217,182,184,199
119,219,178,181,198
120,223,172,178,197
121,226,167,173,197
122,231,160,166,196
123,234,155,160,197
124,239,149,153,197
125,245,144,147,199
126,250,139,140,201
127,255,135,135,203
128,260,131,128,205
129,264,127,123,208
130,270,124,119,213
131,274,121,116,218
132,278,119,113,222
133,282,117,113,228
134,284,115,112,233
135,286,113,113,237
136,288,112,114,241
137,289,110,115,245
138,290,110,116,247
139,289,110,117,249
140,289,110,118,252
141,288,110,119,254
142,287,111,120,256
143,285,110,121,258
144,284,111,122,260
145,281,112,122,262
146,280,113,123,263
147,279,115,123,265
148,274,116,122,266
149,270,119,122,266
150,264,122,121,267
151,258,126,119,266
152,251,131,117,265
153,244,136,116,263
154,236,143,115,260
155,228,149,115,256
156,221,158,116,249
157,214,167,119,243
158,209,176,125,235
159,205,186,132,229
160,202,193,143,218
161,201,199,154,213
162,199,204,170,203
163,200,202,176,200
164,203,199,180,197
165,204,198,181,197
166,205,197,182,197
167,205,197,183,197
168,206,198,184,197
169,207,198,185,197
170,207,198,186,197
171,208,197,186,197
172,208,197,187,197
173,209,197,188,197
174,209,197,188,197
175,209,197,188,197
176,209,197,188,197
177,209,197,188,197
178,209,196,188,197
179,210,196,187,197
180,212,193,186,197
181,214,190,185,197
182,214,187,184,197
183,215,184,183,197
184,219,179,181,196
185,220,176,178,196
186,224,170,173,196
187,228,166,169,196
188,232,160,164,196
189,236,155,159,197
190,241,149,152,198
191,246,144,147,200
192,252,138,140,202
193,257,135,136,205
194,264,129,129,208
195,271,125,124,212
196,275,122,119,216
197,279,120,114,221
198,284,116,112,227
199,287,115,110,232
200,291,113,110,238
201,293,111,110,243
202,295,109,111,248
203,296,109,112,251
204,297,108,113,255
205,296,108,114,257
206,297,108,114,259
207,296,108,115,261
208,296,108,115,263
209,294,108,116,264
210,293,109,116,265
211,290,110,116,266
212,287,112,116,266
213,284,113,115,265
214,279,116,115,264
215,273,120,114,263
216,266,124,113,260
217,258,128,113,257
218,251,134,113,253
219,243,138,113,248
220,235,147,116,241
221,226,154,121,234
222,220,163,128,228
223,215,172,139,221
224,210,181,149,213
225,207,189,160,208
226,206,194,174,201
227,207,195,181,198
228,207,193,182,197
229,208,192,184,199
230,208,191,184,199
231,209,191,185,200
232,209,192,186,200
233,209,193,186,201
234,209,193,186,201
235,209,194,186,202
236,209,194,186,203
237,209,194,187,203
