Frame,X_thumb,Y_thumb,X_index,Y_index
0,233,197,140,157
1,234,197,138,155
2,236,199,135,154
3,237,199,133,152
4,239,199,131,151
5,239,200,129,149
6,239,200,127,148
7,239,200,124,147
8,239,200,122,145
9,239,200,120,144
10,239,200,119,143
11,237,200,116,142
12,237,201,115,141
13,236,202,114,140
14,235,202,112,140
15,234,202,112,140
16,234,202,111,139
17,232,202,111,139
18,231,202,111,140
19,230,202,111,140
20,230,202,111,141
21,229,202,111,141
22,228,202,112,141
23,228,202,113,142
24,227,202,113,143
25,227,202,114,143
26,227,202,114,144
27,227,202,114,144
28,227,202,115,144
29,227,202,115,145
30,227,203,115,145
31,227,202,115,145
32,227,203,116,145
33,227,203,117,146
34,226,203,118,148
35,225,203,121,149
36,225,203,124,152
37,222,202,130,155
38,220,202,135,160
39,216,200,143,165
40,213,200,151,167
41,208,198,161,170
42,205,197,167,171
43,203,196,172,170
44,201,196,170,171
45,200,195,167,170
46,198,195,165,169
47,197,194,165,168
48,196,193,164,167
49,195,192,163,166
50,194,192,162,165
51,193,191,161,164
52,192,189,160,163
53,190,189,159,162
54,189,188,158,160
55,188,186,157,159
56,187,185,156,158
57,186,184,155,157
58,184,183,153,155
59,184,181,153,154
60,183,180,152,153
61,183,179,151,152
62,182,178,151,151
63,182,177,150,150
64,182,176,150,150
65,183,175,150,149
66,183,174,150,148
67,183,173,150,148
68,184,173,150,148
69,184,172,150,147
70,185,172,149,147
71,186,171,150,147
72,187,171,149,147
73,188,172,149,147
74,191,173,149,148
75,192,174,147,148
76,195,174,145,148
77,198,176,143,148
78,201,178,141,148
79,205,180,139,148
80,207,181,137,148
81,212,182,136,148
82,213,184,134,148
83,215,185,133,147
84,218,187,131,146
85,219,189,130,145
86,221,190,129,144
87,222,191,127,143
88,223,192,126,142
89,224,192,125,140
90,225,193,124,140
91,225,194,123,139
92,225,194,121,138
93,225,195,120,137
94,226,195,118,136
95,226,195,117,136
96,225,195,116,135
97,225,195,115,135
98,225,195,114,135
99,225,195,113,135
100,225,195,113,135
101,224,195,113,136
102,224,195,113,136
103,224,195,114,136
104,224,195,114,137
105,223,195,114,137
106,223,195,115,137
107,223,195,116,138
108,222,195,116,138
109,222,195,116,139
110,221,195,116,139
111,221,196,116,139
112,220,196,116,140
113,220,196,117,140
114,219,196,117,141
115,219,197,118,142
116,218,197,119,143
117,217,197,121,145
118,216,197,122,147
119,216,198,125,149
120,214,198,128,151
121,213,198,134,155
122,211,198,138,158
123,209,197,144,162
124,207,197,151,165
125,204,196,158,167
126,202,196,164,167
127,200,195,165,167
128,199,196,164,167
129,199,196,162,167
130,198,196,162,167
131,198,196,163,167
132,198,196,163,168
133,198,196,163,168
134,198,197,163,168
135,198,197,163,168
136,197,196,163,168
137,197,196,163,168
138,197,196,163,168
139,197,195,162,167
140,197,194,162,167
141,197,193,162,166
142,197,192,162,165
143,197,191,162,164
144,197,190,162,163
145,197,188,162,162
146,197,187,162,161
147,198,186,162,160
148,198,185,162,159
149,198,183,161,158
150,198,182,161,157
151,198,181,161,156
152,199,181,161,156
153,199,180,161,155
154,200,179,161,155
155,200,178,161,154
156,201,178,159,153
157,203,177,158,152
158,203,177,156,152
159,204,177,153,151
160,206,177,151,151
161,207,178,148,150
162,209,178,146,149
