Frame,X_thumb,Y_thumb,X_index,Y_index
0,138,157,209,123
1,138,157,209,123
2,138,157,209,123
3,138,157,210,122
4,138,158,210,123
5,138,158,211,122
6,138,158,211,122
7,138,158,212,122
8,138,159,212,122
9,139,159,213,122
10,139,159,214,122
11,139,159,215,122
12,139,159,215,121
13,140,160,216,121
14,140,160,217,120
15,140,160,217,120
16,140,160,218,119
17,140,161,219,118
18,141,161,220,118
19,141,161,221,117
20,141,162,221,117
21,141,162,222,115
22,141,162,222,115
23,141,162,223,114
24,142,163,224,114
25,142,163,224,113
26,142,163,225,113
27,142,163,226,113
28,142,163,226,112
29,142,164,227,112
30,142,164,228,112
31,142,165,228,112
32,143,165,229,112
33,142,166,230,112
34,143,166,231,112
35,143,167,232,112
36,143,167,232,112
37,143,168,233,113
38,143,169,234,113
39,143,169,235,114
40,143,170,235,114
41,144,170,236,115
42,144,171,237,115
43,144,171,238,116
44,144,173,238,117
45,144,173,239,117
46,144,174,239,118
47,144,174,240,118
48,143,174,240,119
49,143,175,240,119
50,143,175,240,119
51,143,176,240,119
52,143,176,240,119
53,143,176,240,119
54,142,177,240,120
55,142,177,240,120
56,142,177,240,120
57,142,177,240,120
58,141,178,240,120
59,141,178,240,120
60,141,178,240,120
61,141,178,240,120
62,141,178,239,120
63,141,178,239,120
64,140,178,239,120
65,140,178,240,120
66,140,179,240,120
67,140,178,240,120
68,140,179,240,120
69,140,178,240,119
70,140,178,240,119
71,140,178,240,119
72,140,178,240,119
73,140,178,241,119
74,141,178,241,119
75,141,178,241,119
76,141,178,242,119
77,141,178,242,119
78,141,178,242,119
79,141,178,243,119
80,141,177,243,119
81,142,177,243,119
82,142,177,243,119
83,142,177,243,119
84,142,177,244,119
85,142,177,245,119
86,142,177,245,119
87,143,176,246,119
88,143,176,246,119
89,143,176,246,119
90,143,176,246,119
91,144,175,247,118
92,144,175,247,118
93,144,175,247,118
94,144,175,248,118
95,144,174,248,117
96,144,174,248,117
97,145,174,249,117
98,145,173,249,117
99,145,173,249,117
100,145,173,249,116
101,145,172,250,116
102,145,172,250,116
103,145,171,250,115
104,145,171,251,115
105,146,171,251,115
106,146,171,251,115
107,146,170,251,114
108,146,170,252,114
109,146,170,252,114
110,146,170,252,114
111,146,169,252,113
112,146,169,253,113
113,147,168,253,113
114,147,168,253,113
115,147,168,253,112
116,147,167,253,112
117,147,167,253,112
118,147,167,253,112
119,147,167,254,111
120,147,166,254,111
121,147,166,254,111
122,147,166,254,110
123,147,165,254,110
124,147,165,254,110
125,147,165,254,110
126,147,164,254,110
127,147,164,254,109
128,147,164,254,110
129,147,163,254,109
130,147,163,253,109
131,147,163,253,109
132,147,163,253,109
133,146,162,253,109
134,146,162,253,109
135,146,162,253,108
136,146,161,253,108
137,146,161,252,108
138,146,161,252,108
139,146,160,252,108
140,145,160,252,108
141,145,160,252,108
142,145,160,252,109
143,145,159,252,109
144,145,159,252,109
145,145,159,252,109
146,145,159,252,109
147,145,159,251,109
148,145,159,251,109
149,145,159,251,109
150,145,159,251,109
151,145,159,251,110
152,144,159,251,110
153,144,159,251,110
154,144,159,251,110
155,144,159,251,110
156,144,159,250,111
157,143,159,250,111
158,143,158,249,111
159,142,159,249,111
160,142,159,249,112
161,142,159,248,112
162,142,159,248,113
163,141,158,247,113
164,141,158,246,114
165,141,158,245,114
166,140,158,244,115
167,139,157,243,115
168,139,157,242,116
169,138,157,241,117
170,138,157,239,117
171,137,156,238,117
172,136,156,237,118
173,136,156,236,118
174,136,155,234,119
175,135,155,234,119
176,135,155,232,119
177,135,154,231,119
178,134,154,230,119
179,134,153,229,119
180,133,153,228,119
181,133,152,228,119
182,133,152,227,119
183,132,151,226,119
184,132,151,225,118
185,132,150,224,118
186,131,150,224,118
187,131,150,223,118
188,131,150,223,118
189,130,149,222,118
190,130,149,221,118
191,130,148,220,118
192,130,148,219,118
193,129,148,218,118
194,129,148,216,118
195,128,147,215,118
196,128,147,213,118
197,127,147,211,118
198,127,147,209,118
199,126,147,207,118
200,125,147,205,119
201,125,146,203,119
202,124,146,200,120
203,123,146,198,120
204,123,146,195,121
205,122,146,193,121
206,122,146,190,122
207,121,145,187,122
208,121,146,184,123
209,120,146,181,123
210,119,146,178,124
211,119,146,175,124
212,118,145,171,125
213,118,145,168,125
214,117,146,164,126
215,117,145,161,127
216,116,145,158,127
217,116,145,156,127
218,116,146,155,127
219,115,145,154,127
220,115,146,153,127
221,114,145,151,128
222,113,145,150,128
223,113,145,149,128
224,113,145,148,128
225,112,145,147,128
226,111,146,146,128
227,111,146,145,129
228,110,146,144,129
229,109,147,142,130
230,108,147,142,130
231,108,148,141,131
232,107,148,140,132
233,106,148,139,132
234,106,149,138,133
235,105,150,137,133
236,104,150,136,134
237,103,151,135,134
238,102,152,134,135
239,102,152,133,136
240,101,153,133,137
241,101,154,131,137
242,100,155,131,138
243,99,155,130,139
244,99,156,130,140
245,98,156,129,140
246,98,157,128,141
247,97,158,128,142
248,96,159,127,142
249,96,159,126,143
250,95,160,125,143
251,94,160,125,144
252,93,161,124,145
253,93,162,123,145
254,92,163,122,145
255,91,163,122,146
256,91,163,122,146
257,90,164,120,147
258,89,164,120,147
259,88,164,119,148
260,88,165,118,148
261,87,165,118,148
262,87,166,117,148
263,86,166,117,148
264,86,166,116,149
265,85,166,116,149
266,85,167,115,149
267,85,167,115,149
268,84,167,114,150
269,84,167,114,150
270,83,167,113,150
271,83,167,113,150
272,82,167,113,150
273,81,168,112,150
274,81,168,112,151
275,80,168,111,150
276,79,169,111,151
277,79,169,111,151
278,78,169,111,151
279,77,170,110,151
280,77,170,110,151
281,76,170,110,150
282,76,171,111,150
283,75,171,111,148
284,74,172,112,147
285,74,173,114,145
286,73,173,116,144
287,72,173,119,142
288,71,174,122,141
289,70,175,126,140
290,69,176,130,139
291,69,176,133,138
292,67,177,137,136
293,67,178,141,135
294,66,178,145,134
295,66,178,147,133
296,66,178,151,132
297,66,179,154,131
298,66,179,157,131
299,65,181,159,130
300,65,181,162,130
301,66,181,164,130
302,66,182,167,130
303,66,182,169,131
304,66,182,171,130
305,67,182,173,130
306,67,182,175,131
307,68,182,176,131
308,68,183,177,131
309,68,183,178,131
310,69,183,179,131
311,69,183,179,131
312,69,183,180,131
313,70,183,181,131
314,70,184,181,131
315,70,184,182,131
316,70,184,183,131
317,71,184,184,131
318,71,184,184,131
319,71,184,185,131
320,71,185,185,131
321,71,185,186,132
322,71,185,187,132
323,72,185,187,132
324,72,185,188,132
325,73,185,189,132
326,73,185,189,133
327,74,185,190,133
328,74,185,191,133
329,75,185,192,133
330,76,186,192,134
331,76,186,193,134
332,77,186,194,135
333,78,187,195,135
334,79,187,195,136
335,79,187,196,136
336,81,187,197,136
337,82,187,197,137
338,82,188,198,137
339,83,188,198,137
340,84,188,199,138
341,85,188,199,138
342,86,188,200,139
343,87,187,200,139
344,87,188,201,140
345,89,188,201,140
346,89,187,201,141
347,91,187,201,141
348,91,187,200,142
349,92,186,200,142
350,93,186,200,143
351,94,186,200,143
352,94,186,200,144
353,95,186,199,144
354,96,186,199,145
355,97,185,198,145
356,98,185,198,146
357,99,185,197,147
358,99,185,195,148
359,101,184,194,148
360,102,183,192,149
361,104,183,191,150
362,105,182,189,151
363,106,182,187,152
364,107,181,184,153
365,108,181,181,154
366,110,180,177,155
367,111,179,174,155
368,113,178,171,156
369,114,178,168,156
370,116,177,165,156
371,117,177,163,156
372,119,176,161,157
373,120,176,159,156
374,121,175,160,156
375,122,175,161,157
376,123,175,161,157
377,124,175,161,157
378,125,174,161,158
379,125,174,161,158
380,127,174,161,157
381,127,174,161,157
382,127,174,161,157
383,128,174,161,157
384,128,173,161,157
385,128,172,161,157
386,129,172,161,157
387,130,171,161,157
388,130,171,161,157
389,130,171,161,157
390,130,170,161,156
391,130,170,161,156
392,131,170,161,156
393,131,169,161,155
394,131,169,161,155
395,132,168,161,154
396,132,167,161,154
397,133,167,162,153
398,133,167,162,153
399,133,166,162,152
400,133,166,162,152
401,133,166,162,152
402,133,165,162,151
403,133,164,162,151
404,133,164,161,151
405,133,164,161,151
406,132,163,161,150
407,133,163,161,150
408,133,163,160,149
409,132,162,160,148
410,132,162,159,148
411,132,161,159,147
412,131,161,159,147
413,131,160,159,146
414,131,159,159,145
415,130,159,158,144
416,130,158,158,144
417,130,157,157,143
418,130,156,157,142
419,129,155,157,141
420,129,154,156,140
421,128,153,156,139
422,128,152,156,138
423,128,151,156,137
424,128,150,156,135
425,128,148,156,134
426,128,147,156,133
427,127,146,156,131
428,127,145,156,129
429,127,143,156,128
430,127,142,156,126
431,127,141,156,125
432,127,139,156,123
433,127,138,156,122
434,126,137,156,120
435,126,136,157,119
436,126,134,157,117
437,125,133,157,116
438,125,132,157,114
439,124,131,157,112
440,124,130,158,110
441,122,130,159,108
442,122,129,161,106
443,121,129,162,104
444,120,129,164,102
445,119,129,166,100
446,117,128,169,99
447,117,129,171,98
448,115,128,174,96
449,114,129,177,94
450,113,128,180,92
451,112,128,183,90
452,111,128,186,88
453,110,128,188,86
454,109,129,190,84
455,108,129,192,82
456,107,129,194,81
457,106,129,195,79
458,106,129,197,77
459,105,129,198,76
460,104,129,199,75
461,104,129,200,73
462,103,129,201,72
463,103,129,201,71
464,102,129,202,70
465,102,129,203,69
