Frame,X_thumb,Y_thumb,X_index,Y_index
0,192,145,168,103
1,191,144,166,101
2,191,144,165,100
3,191,144,163,98
4,191,144,161,97
5,190,144,159,95
6,190,144,157,94
7,190,144,156,93
8,190,144,154,91
9,190,144,154,91
10,189,144,150,88
11,189,144,149,87
12,188,144,147,85
13,188,144,145,84
14,188,144,145,83
15,188,144,143,81
16,187,144,142,80
17,187,144,141,80
18,187,145,140,78
19,187,145,139,78
20,187,145,139,78
21,187,145,139,78
22,187,145,139,78
23,185,146,135,74
24,185,147,136,74
25,184,147,134,73
26,185,147,134,72
27,184,147,134,72
28,184,147,134,71
29,184,147,133,71
30,185,148,133,70
31,185,148,131,68
32,185,148,131,68
33,185,148,131,68
34,185,148,130,68
35,185,148,130,67
36,185,149,129,66
37,185,149,128,66
38,185,149,127,65
39,185,149,126,65
40,185,149,126,64
41,185,148,125,64
42,184,148,125,64
43,184,148,124,63
44,184,148,123,62
45,183,148,123,62
46,183,148,122,62
47,183,148,122,61
48,182,147,121,61
49,182,147,120,61
50,182,147,120,61
51,182,147,120,61
52,181,147,120,60
53,181,147,119,61
54,181,147,119,60
55,181,147,119,60
56,181,147,119,60
57,181,147,119,60
58,181,147,119,60
59,181,147,119,60
60,181,147,118,59
61,181,148,118,59
62,181,148,118,59
63,181,148,118,59
64,181,148,118,59
65,181,148,118,59
66,181,148,118,58
67,181,148,117,58
68,181,148,117,59
69,181,148,117,59
70,180,148,117,59
71,180,148,116,59
72,180,148,116,59
73,179,148,116,60
74,179,148,116,60
75,178,148,116,61
76,178,148,116,61
77,178,148,115,62
78,177,148,115,62
79,177,148,115,62
80,175,148,115,64
81,175,148,115,65
82,174,148,115,66
83,172,148,115,67
84,172,148,115,68
85,170,148,114,70
86,168,148,114,71
87,167,148,114,72
88,166,148,114,72
89,166,148,114,73
90,165,148,114,73
91,164,148,114,74
92,164,148,115,74
93,164,148,115,74
94,164,148,115,75
95,163,147,116,76
96,163,147,116,76
97,163,147,116,76
98,163,147,116,76
99,163,147,116,76
100,163,147,116,76
101,163,147,116,76
102,163,147,116,76
103,162,143,121,81
104,162,143,122,83
105,161,142,123,83
106,162,141,125,84
107,162,141,125,84
108,162,141,124,84
109,160,140,129,87
110,160,139,130,88
111,160,139,131,88
112,159,138,133,89
113,159,137,133,89
114,158,136,136,89
115,158,135,137,90
116,157,134,138,90
117,157,134,139,89
118,157,134,139,89
119,158,133,140,89
120,158,132,142,89
121,158,132,142,88
122,158,132,142,88
123,158,132,142,88
124,159,132,143,88
125,159,131,143,88
126,159,131,143,88
127,160,131,144,88
128,160,131,144,88
129,160,131,144,89
130,161,131,144,89
131,161,132,144,89
132,161,132,144,89
133,161,132,144,90
134,161,132,145,90
135,162,132,145,90
136,162,132,145,90
137,162,132,145,90
138,162,132,145,90
139,162,132,145,90
140,163,133,146,90
141,163,133,146,90
142,164,133,146,90
143,164,133,146,90
144,164,133,147,90
145,164,133,147,90
146,164,133,147,90
147,164,133,147,90
148,165,132,148,89
149,165,132,148,89
150,165,132,148,89
151,166,132,149,89
152,166,132,149,89
153,166,132,149,89
154,166,132,149,89
155,166,132,149,89
156,166,132,149,89
157,167,132,151,89
158,168,132,151,89
159,168,132,152,89
160,169,132,152,89
161,169,132,153,89
162,170,132,153,89
163,170,132,154,89
164,171,132,154,89
165,172,133,155,89
166,172,133,156,89
167,173,133,156,89
168,173,133,157,89
169,174,133,158,89
170,175,133,159,89
171,176,133,159,89
172,177,132,160,89
173,177,132,160,89
174,178,132,162,88
175,179,132,163,88
176,180,132,164,88
177,181,131,164,88
178,181,131,165,87
179,182,130,166,87
180,183,130,167,87
181,183,129,168,86
182,184,128,168,85
183,184,128,169,85
184,184,127,170,84
185,184,126,170,84
186,185,126,170,83
187,184,125,170,82
188,185,125,171,81
189,184,124,171,81
190,185,124,171,80
191,185,123,170,80
192,185,123,170,79
193,185,123,170,78
194,185,123,168,77
195,186,123,167,77
196,186,123,166,76
197,186,123,165,76
198,186,123,164,75
199,186,123,162,74
200,186,123,162,74
201,186,123,160,72
202,186,123,160,72
203,186,123,158,71
204,187,123,157,70
205,187,123,156,69
206,187,123,155,68
207,188,124,153,66
208,188,124,153,66
209,188,124,153,66
210,188,124,153,66
211,188,124,154,66
212,190,126,149,61
213,190,126,148,61
214,190,127,148,60
215,190,127,148,60
216,191,129,146,59
217,191,129,145,58
218,191,130,145,57
219,191,130,145,57
220,192,132,143,56
221,192,132,142,55
222,192,133,142,55
223,192,133,141,54
224,192,134,141,54
225,192,134,140,54
226,192,135,140,54
227,192,135,139,54
228,192,135,139,54
229,191,135,139,54
230,191,135,138,54
231,191,135,138,53
232,191,135,138,52
233,190,134,137,52
234,190,134,137,51
235,190,134,136,51
236,189,133,136,50
237,189,133,136,50
238,189,133,136,50
239,188,132,135,49
240,188,132,135,49
241,187,131,134,48
242,186,131,134,47
243,186,130,134,47
244,186,130,133,46
245,186,130,133,46
246,185,129,133,45
247,185,129,133,45
248,184,129,132,44
249,185,129,132,44
250,184,129,131,44
251,184,129,131,44
252,184,129,131,44
253,184,129,131,44
254,184,129,130,44
255,184,129,130,44
256,183,129,130,44
257,183,130,130,45
258,183,130,130,45
259,183,129,130,45
260,183,129,130,46
261,183,129,130,46
262,182,129,130,47
263,182,129,130,47
264,182,129,130,47
265,181,128,130,47
266,182,128,131,47
267,181,128,131,47
268,181,127,131,47
269,181,126,131,46
270,181,126,131,46
271,181,126,131,46
272,180,124,131,45
273,180,123,131,45
274,180,123,131,45
275,179,122,131,44
276,179,122,131,44
277,179,122,131,44
278,179,122,131,44
279,178,121,130,43
280,177,120,130,43
281,176,119,129,42
282,176,119,129,43
283,175,118,128,43
284,174,118,128,43
285,174,118,128,44
286,173,118,128,44
287,173,118,128,45
288,173,118,127,45
289,172,117,128,46
290,172,117,128,47
291,171,117,128,48
292,171,116,128,48
293,171,117,128,48
294,170,116,130,51
295,170,115,131,51
296,170,115,131,52
297,170,115,131,52
298,169,115,132,53
299,168,114,133,54
300,168,114,133,54
301,168,114,133,54
302,168,114,133,54
303,168,114,133,54
304,168,114,133,54
305,168,114,133,54
306,165,110,137,56
307,164,110,138,56
308,164,109,139,56
309,164,109,139,56
310,164,109,139,56
311,164,109,139,56
312,161,106,141,56
313,161,106,141,56
314,160,104,142,57
315,159,103,142,57
316,158,103,143,57
317,157,102,143,58
318,157,102,144,59
319,156,101,145,59
320,156,102,145,60
321,156,102,145,61
322,156,103,145,61
323,155,103,144,62
324,155,103,143,63
325,155,104,143,63
326,154,105,142,64
327,154,106,142,65
328,154,106,141,66
329,153,106,141,66
330,153,106,140,67
331,153,107,140,67
332,153,107,140,68
333,153,107,140,68
334,153,107,139,68
335,153,106,139,68
336,153,107,139,68
337,153,106,139,68
338,153,106,139,68
339,153,106,139,68
340,152,105,139,67
341,152,104,139,67
342,152,104,139,66
343,152,103,139,65
344,152,103,138,65
345,152,102,139,64
346,152,101,138,64
347,152,100,138,63
348,152,99,138,62
349,152,99,139,61
350,152,98,138,61
351,152,97,138,60
352,152,97,138,60
353,152,96,138,59
354,152,96,138,59
355,152,95,138,59
356,152,95,138,58
357,153,95,138,58
358,153,95,138,58
359,153,95,139,58
360,153,95,139,58
361,153,95,139,58
362,153,95,139,58
363,153,95,139,58
364,154,95,140,58
365,154,95,140,58
366,154,96,141,59
367,155,96,141,59
368,155,96,141,59
369,155,97,141,60
370,155,97,142,60
371,156,97,142,60
372,156,98,142,60
373,156,98,142,60
374,156,98,142,61
375,156,98,142,61
376,156,98,143,60
377,157,98,143,60
378,157,98,143,60
379,158,97,144,60
380,158,97,144,60
381,158,96,145,59
382,159,96,145,59
383,159,96,145,58
384,159,95,146,58
385,160,95,146,58
386,161,95,147,58
387,161,95,147,58
388,161,94,148,57
389,162,94,148,57
390,162,94,148,57
391,162,94,148,57
392,163,94,149,57
393,163,94,149,57
394,163,94,150,57
395,163,93,150,57
396,163,93,150,57
397,164,93,151,57
398,164,93,151,57
399,164,93,152,57
400,164,94,152,57
401,165,94,152,57
402,165,94,153,58
403,165,95,153,58
404,166,95,153,58
405,165,95,153,58
406,166,97,153,58
407,166,97,153,58
408,168,99,152,58
409,168,99,152,58
410,169,101,151,58
411,169,102,150,58
412,170,103,150,58
413,170,104,149,58
414,170,106,148,58
415,171,106,147,58
416,172,108,147,58
417,173,109,146,58
418,173,110,146,58
419,174,110,146,59
420,174,111,145,59
421,175,112,145,59
422,174,113,145,59
423,175,114,145,59
424,176,115,146,59
425,176,115,146,59
426,177,116,146,59
427,177,117,146,59
428,178,118,146,59
429,178,118,146,59
430,179,119,146,59
431,178,119,145,59
432,179,120,145,59
