Frame,X_thumb,Y_thumb,X_index,Y_index
0,123,219,244,161
1,118,219,247,158
2,115,220,250,155
3,110,221,251,152
4,109,221,252,150
5,105,222,253,148
6,104,222,253,147
7,103,223,254,144
8,102,223,254,142
9,100,224,254,140
10,99,224,254,138
11,98,225,254,136
12,98,224,254,134
13,98,224,255,133
14,97,224,255,131
15,97,224,255,129
16,97,223,254,127
17,97,223,254,126
18,96,223,254,125
19,96,223,254,124
20,96,222,254,123
21,96,222,254,122
22,96,222,254,122
23,96,221,254,122
24,95,221,254,121
25,95,221,254,121
26,95,221,254,121
27,95,221,254,121
28,95,220,254,120
29,95,219,254,120
30,94,219,254,120
31,94,219,254,119
32,94,219,254,119
33,94,219,255,118
34,93,219,255,118
35,93,219,255,117
36,93,219,255,117
37,93,219,255,116
38,92,218,255,116
39,92,218,255,115
40,92,218,254,115
41,92,218,254,114
42,92,217,254,114
43,92,217,254,114
44,92,217,254,114
45,92,217,254,114
46,92,217,254,114
47,92,218,254,114
48,92,218,254,114
49,92,218,254,114
50,92,218,254,114
51,92,218,254,114
52,92,218,255,115
53,93,218,255,115
54,93,219,255,115
55,93,219,255,115
56,93,219,255,115
57,93,219,255,115
58,93,218,255,115
59,93,218,255,115
60,93,218,255,115
61,93,218,255,115
62,93,218,255,115
63,93,218,255,115
64,93,218,255,115
65,93,218,255,115
66,93,217,256,115
67,94,217,256,115
68,94,217,256,115
69,95,217,256,116
70,95,217,256,118
71,96,218,256,119
72,97,217,256,120
73,97,217,256,121
74,98,217,257,123
75,99,218,257,125
76,101,218,257,128
77,103,219,257,131
78,104,219,257,134
79,107,220,256,138
80,110,220,255,142
81,112,221,254,147
82,115,222,253,150
83,117,224,252,153
84,120,223,252,156
85,122,226,251,159
86,125,225,250,161
87,127,226,249,162
88,130,227,248,164
89,132,227,247,166
90,135,227,245,168
91,137,227,243,171
92,140,227,241,173
93,142,228,237,176
94,145,227,234,179
95,147,227,231,182
96,150,226,226,185
97,153,226,222,188
98,155,225,217,190
99,157,225,214,192
100,159,224,210,192
101,161,224,207,194
102,161,224,206,193
103,161,224,206,193
104,161,224,206,193
105,161,224,206,193
106,162,224,206,193
107,162,224,205,193
108,162,224,205,193
109,162,224,205,193
110,162,223,205,193
111,162,223,205,193
112,162,223,205,192
113,162,223,206,192
114,162,223,206,192
115,163,222,206,192
116,163,222,206,191
117,163,222,206,191
118,163,222,206,191
119,163,222,206,191
120,163,221,206,190
121,163,221,206,190
122,163,221,206,190
123,163,220,206,190
124,163,220,207,189
125,163,220,207,189
126,163,220,207,189
127,163,220,207,189
128,163,220,207,189
129,163,220,206,189
130,163,220,206,189
131,163,220,206,189
132,163,220,206,190
133,163,220,206,190
134,163,221,206,190
135,163,221,206,190
136,163,221,206,190
137,163,221,206,191
138,163,221,206,190
139,162,221,206,191
140,162,221,206,190
141,162,221,206,190
142,162,220,205,190
143,161,219,205,189
144,161,218,206,189
145,160,218,206,188
146,159,216,206,188
147,157,215,207,187
148,156,215,208,185
149,153,215,212,184
150,150,216,215,182
151,144,217,221,180
152,140,218,225,178
153,136,220,231,175
154,131,220,235,172
155,127,222,241,169
156,122,223,245,167
157,117,223,248,163
158,114,223,250,161
159,111,223,252,158
160,109,224,253,156
161,106,224,253,154
162,104,225,254,151
163,102,224,255,150
164,101,225,255,148
165,99,224,255,146
166,98,224,255,145
167,97,223,255,143
168,96,223,255,141
169,95,223,256,139
170,94,222,256,137
171,93,222,256,135
172,93,221,256,134
173,92,220,256,132
174,92,220,257,132
175,91,220,256,131
176,91,219,257,129
177,90,219,256,129
178,90,219,256,128
179,89,219,256,127
180,89,219,256,126
181,89,218,256,125
182,88,218,256,125
183,88,218,256,124
184,88,217,256,124
185,87,217,257,124
186,87,217,257,123
187,87,217,257,123
188,87,217,257,123
189,87,217,257,123
190,87,217,257,122
191,87,216,257,122
192,86,216,257,122
193,86,217,256,122
194,86,216,256,122
195,86,216,256,122
196,86,216,256,122
197,86,216,256,122
198,86,216,256,122
199,87,216,256,122
200,86,216,256,122
201,87,217,256,122
202,87,217,256,122
203,87,217,256,122
204,87,217,256,122
205,87,217,256,122
206,87,217,256,122
207,87,217,256,122
208,87,217,256,122
209,86,217,256,122
210,87,217,256,122
211,87,217,256,122
212,87,217,256,123
213,87,217,256,123
214,87,217,256,123
215,87,217,256,123
216,87,217,256,123
217,87,217,257,123
218,87,217,257,124
219,87,217,257,124
220,87,217,257,124
221,87,217,257,125
222,88,217,257,125
223,88,217,257,125
224,88,217,257,126
225,88,218,257,126
226,89,218,257,127
227,90,218,258,128
228,91,218,258,129
229,92,219,258,129
230,92,219,258,130
231,94,219,258,132
232,94,220,258,133
233,95,220,258,134
234,96,220,258,136
235,98,220,258,138
236,98,221,257,140
237,100,222,257,143
238,102,222,257,145
239,104,223,257,147
240,106,224,255,149
241,108,225,255,153
242,112,226,254,155
243,115,226,253,158
244,117,227,252,160
245,121,228,251,163
246,124,229,249,165
247,127,229,247,168
248,130,230,246,170
249,133,230,244,174
250,136,230,241,175
251,139,230,239,178
252,141,229,237,180
253,144,229,234,182
254,146,229,232,183
255,148,229,230,185
256,150,228,228,185
257,152,227,226,187
258,153,227,224,187
259,155,226,223,189
260,156,225,220,189
261,157,225,219,190
262,158,224,217,191
263,158,224,216,192
264,159,223,214,192
265,160,223,213,192
266,160,223,212,192
267,160,222,212,192
268,160,222,212,192
269,160,222,211,192
270,161,222,211,191
271,161,222,211,191
272,161,222,211,191
273,161,222,211,191
274,161,221,211,191
275,161,221,211,190
276,161,221,210,190
277,161,221,210,190
278,162,221,210,190
279,161,220,210,189
280,161,220,210,189
281,161,220,210,189
282,161,220,210,189
283,161,220,210,189
284,161,220,209,189
285,161,220,209,189
286,161,220,209,189
287,161,220,209,189
288,160,219,209,189
289,160,219,209,189
290,159,218,209,188
291,158,217,209,188
292,158,216,209,188
293,157,216,209,187
294,156,215,210,185
295,152,215,213,184
296,150,215,216,183
297,146,217,219,181
298,142,218,223,179
299,136,219,228,177
300,131,221,233,174
301,126,222,237,171
302,120,224,242,169
303,115,224,245,166
304,111,225,249,162
305,107,225,251,159
306,103,225,252,156
307,100,226,253,152
308,97,225,254,151
309,95,224,254,149
310,92,224,255,147
311,91,223,255,145
312,89,222,255,144
313,88,221,255,142
314,86,221,255,140
315,85,220,255,138
316,84,219,255,137
317,83,218,255,135
318,82,217,255,134
319,82,216,255,133
320,81,216,255,132
321,81,215,255,132
322,80,215,255,131
323,79,215,255,131
324,78,215,255,130
325,78,215,255,130
326,78,215,255,130
327,78,215,255,130
328,77,215,255,130
329,77,215,255,130
330,77,215,255,130
331,76,215,255,129
332,76,215,255,129
333,76,214,255,128
334,75,214,255,127
335,75,214,254,126
336,75,213,254,126
337,75,213,254,125
338,74,213,254,125
339,73,212,254,124
340,73,212,254,124
341,73,212,254,123
342,73,211,254,123
343,73,211,254,122
344,72,211,254,122
345,73,211,254,122
346,73,211,254,122
347,73,211,254,122
348,73,212,254,122
349,73,213,254,123
350,74,213,254,123
351,74,214,254,124
352,74,215,254,124
353,74,215,254,125
354,74,215,254,125
355,74,216,254,125
356,74,216,254,126
357,74,216,254,126
358,74,216,254,126
359,74,216,254,126
360,74,216,254,126
361,74,216,254,126
362,74,216,254,126
363,74,216,254,126
364,74,216,254,126
