Model,vs_Tan_MAE,vs_Tan_r,vs_Tan_κ,vs_Tan_AAUC,vs_Tan_WD,vs_Chien_MAE,vs_Chien_r,vs_Chien_κ,vs_Chien_AAUC,vs_Chien_WD,vs_Consensus_MAE,vs_Consensus_r,vs_Consensus_κ,vs_Consensus_AAUC,vs_Consensus_WD,Human_MAE,Human_r,Human_κ,Human_AAUC,Human_WD
Unknown_Model,0.5761006289308176,0.5136441949300004,0.49703440094899165,0.6632936507936508,0.310691823899371,0.8389937106918239,0.4509883951055832,0.42532353969919545,0.700201000690131,0.4125786163522012,0.5371069182389937,0.5569424109573095,0.5596227262519651,0.7697420634920634,0.2578616352201258,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
deepseek-r1_32b_fewshot,0.5761006289308176,0.5136441949300004,0.49703440094899165,0.6632936507936508,0.310691823899371,0.8389937106918239,0.4509883951055832,0.42532353969919545,0.700201000690131,0.4125786163522012,0.5371069182389937,0.5569424109573095,0.5596227262519651,0.7697420634920634,0.2578616352201258,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
deepseek-r1_32b_zeroshot,0.6574423480083856,0.4851876411739317,0.40112994350282494,0.6580882352941176,0.5215932914046121,1.0234800838574423,0.31686597543369177,0.24123120973514678,0.6162990196078431,0.7253668763102725,0.7140461215932915,0.4458235264093119,0.3300390714778212,0.6425653594771241,0.559329140461216,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
deepseek-r1_70b_fewshot,0.5360587002096435,0.598761066650506,0.49832962138084624,0.6589826839826839,0.2983228511530398,0.7851153039832286,0.491242261297131,0.4061120543293718,0.6707258924650228,0.3356394129979035,0.539832285115304,0.6238762532664374,0.4816344272984133,0.6753968253968253,0.18511530398322848,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
deepseek-r1_70b_zeroshot,0.45849056603773586,0.5329400468961732,0.451913133402275,0.6048920377867746,0.23962264150943396,0.8245283018867925,0.4001613776915577,0.22058823529411753,0.7436572199730094,0.5905660377358489,0.5226415094339623,0.5280248536207788,0.36450839328537177,0.7716767881241565,0.28490566037735854,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
Gemini3_flash_fewshot,0.7000000000000001,0.39901119862672935,0.3542418772563177,0.6208082466703156,0.39433962264150946,0.8773584905660378,0.3504855901266091,0.32753024491000293,0.6568074326695017,0.28490566037735854,0.7339622641509435,0.43275435347764385,0.39434064937420643,0.6663382594417077,0.33396226415094343,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
Gemini3_flash_zeroshot,0.6641509433962265,0.4845658160597217,0.30301369863013705,0.7209864603481624,0.618867924528302,0.8301886792452831,0.41794762043507444,0.32518926359256706,0.6990495206006531,0.6264150943396227,0.7056603773584906,0.5198900950016886,0.3694725028058362,0.7242049874170671,0.6,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
mistral_7b_fewshot,0.5283018867924528,0.41726048887416833,0.25858414582450195,0.8070344129554656,0.369811320754717,0.9207547169811322,0.3184256341955874,0.2062855937565914,0.7804318488529015,0.7547169811320754,0.6188679245283019,0.41717981660291364,0.24155695477962225,0.8101045883940621,0.43018867924528303,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
qwen2.5_32b_fewshot,0.639622641509434,0.524807806752583,0.43929471032745593,0.6429426324877535,0.43207547169811317,0.9,0.40131153385419877,0.3303853442830069,0.6506698496335327,0.5113207547169811,0.609433962264151,0.5253041738665957,0.4256157635467981,0.7061508333518605,0.42075471698113204,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
qwen2.5_32b_zeroshot,0.47358490566037736,0.5129266888603489,0.4813167259786477,0.6705072463768116,0.2660377358490566,0.8735849056603774,0.3765547199460354,0.2551602986385595,0.673768115942029,0.6433962264150943,0.5339622641509434,0.5018863826209409,0.4649739981645763,0.7930434782608695,0.29245283018867924,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
qwen2.5_72b_fewshot,0.6075471698113208,0.5043990430533825,0.4283922748934035,0.6527260179434093,0.38113207547169803,0.8943396226415097,0.3720243317865038,0.34094128758067055,0.6687295869645465,0.430188679245283,0.6113207547169811,0.49481460211006556,0.4386033738721068,0.7137271394064872,0.3660377358490566,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
qwen2.5_72b_zeroshot,0.4566037735849057,0.5281828675051923,0.41651376146789,0.6468937048503612,0.22641509433962265,0.8415094339622643,0.40669708534364096,0.28859060402684567,0.6670691434468525,0.581132075471698,0.5396226415094341,0.5307451099899537,0.449480642115203,0.7746594427244581,0.2566037735849057,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
qwen2.5_8b_fewshot,0.5186582809224318,0.5301710225005958,0.4920127795527156,0.7178656220322887,0.27756813417190773,0.8356394129979035,0.38996901199604017,0.41587068332108734,0.7271462488129155,0.4436058700209643,0.5677148846960167,0.519314592469447,0.5034830650972857,0.761372269705603,0.19077568134171907,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
