FS_Label,FS_Key,Predictor,Type,N_Features,MAE,Spearman,Kappa,AAcc,MAE_CI_lo,Spearman_CI_lo,Kappa_CI_lo,AAcc_CI_lo,MAE_CI_hi,Spearman_CI_hi,Kappa_CI_hi,AAcc_CI_hi,norm_MAE,norm_Spearman,norm_Kappa,norm_AAcc,Composite
LLM-Lasso (LLM),LLM-Lasso,LinearReg,regression,6,0.49056603773584906,0.5929654478802057,0.6021447721179626,0.9811320754716981,0.6787735849056603,-0.2649879589717461,-0.2535484662468138,0.7169811320754716,1.0754716981132075,0.27448269072859577,0.26507938775704587,0.9245283018867925,0.8936170212765957,0.894389657406089,0.9180136048533878,0.9583333333333334,0.9160884042173515
LLM-Lasso (LLM),LLM-Lasso,Ridge,regression,6,0.5283018867924528,0.5593348276648207,0.5538720538720538,0.9811320754716981,0.6415094339622641,-0.2753478046507516,-0.25479302136353404,0.7358490566037735,1.0566037735849056,0.26246864022914845,0.24615852414880868,0.9245283018867925,0.851063829787234,0.8574472764669903,0.8542061196857574,0.9583333333333334,0.8802626398183288
LLM-Lasso (LLM),LLM-Lasso,Lasso,regression,6,0.5660377358490566,0.4524534250438886,0.3747397640527411,0.9622641509433962,0.5849056603773585,-0.2714458353007513,-0.2214554324919757,0.8113207547169812,0.9433962264150944,0.263071470486041,0.2149708254689453,0.9622641509433962,0.8085106382978724,0.7400407741295352,0.6174268095283436,0.9166666666666667,0.7706612221556044
LLM-Lasso (LLM),LLM-Lasso,ElasticNet,regression,6,0.5471698113207547,0.5004257632061402,0.48055643376541257,0.9811320754716981,0.6226415094339622,-0.2644116373755023,-0.2352672553053914,0.7735849056603774,0.9816037735849031,0.265102727363301,0.22481079515644978,0.9433962264150944,0.8297872340425532,0.792737167463323,0.7572966123595023,0.9583333333333334,0.834538586799678
LLM-Lasso (LLM),LLM-Lasso,SVR(linear),regression,6,0.5471698113207547,0.5426801636206003,0.5419570671870644,0.9811320754716981,0.660377358490566,-0.27561754603061883,-0.2522517959149749,0.7358490566037735,1.0566037735849056,0.26504725630030596,0.24548904395121116,0.9245283018867925,0.8297872340425532,0.8391525516122629,0.8384567406617284,0.9583333333333334,0.8664324649124695
LLM-Lasso (LLM),LLM-Lasso,SVR(rbf),regression,6,0.6037735849056604,0.4185676025610635,0.3148028442146089,0.9622641509433962,0.6037735849056604,-0.2645243536406459,-0.2317929410719442,0.7735849056603774,0.9811320754716981,0.27265642945196267,0.237618777248046,0.9622641509433962,0.7659574468085106,0.7028180599905158,0.5382014362215647,0.9166666666666667,0.7309109024218146
LLM-Lasso (LLM),LLM-Lasso,KNN-reg(k=5),regression,6,0.5283018867924528,0.5373155830102608,0.47975460122699387,0.9622641509433962,0.6226415094339622,-0.26781910558518296,-0.24564468472615197,0.7547169811320755,1.0,0.26098281321237715,0.24382075964688785,0.9433962264150944,0.851063829787234,0.8332596962555543,0.7562367400411165,0.9166666666666667,0.8393067331876429
LLM-Lasso (LLM),LLM-Lasso,RandomForest-R,regression,6,0.4716981132075472,0.6629845606801177,0.5777515491295367,0.9811320754716981,0.6415094339622641,-0.2689935498114566,-0.2506379705205904,0.7547169811320755,1.0377358490566038,0.28139655991752965,0.2575909531276111,0.9433962264150944,0.9148936170212766,0.971303871937546,0.885770336386595,0.9583333333333334,0.9325752896696877
LLM-Lasso (LLM),LLM-Lasso,GradBoost-R,regression,6,0.41509433962264153,0.6891081769708869,0.6641705069124424,1.0,0.6415094339622641,-0.27914381133086913,-0.25821981665419574,0.7358490566037735,1.0377358490566038,0.27685343677558405,0.259930905104665,0.9433962264150944,0.9787234042553191,1.0,1.0,1.0,0.9946808510638298
LLM-Lasso (LLM),LLM-Lasso,XGBoost-R,regression,6,0.5283018867924528,0.6358753129974855,0.5612582781456954,0.9811320754716981,0.6415094339622641,-0.2711068546491057,-0.2522110576514003,0.7358490566037735,1.0754716981132075,0.285135279019426,0.27360667595976335,0.9245283018867925,0.851063829787234,0.9415250528598641,0.863969323684014,0.9583333333333334,0.9037228849161114
LLM-Lasso (LLM),LLM-Lasso,AdaBoost-R,regression,6,0.4339622641509434,0.6888207212943561,0.5749117741418031,0.9811320754716981,0.6037735849056604,-0.26020652225256774,-0.2354452108976995,0.7735849056603774,0.9811320754716981,0.2579044021533427,0.22568784360250846,0.9622641509433962,0.9574468085106383,0.9996842372505326,0.8820166861470089,0.9583333333333334,0.9493702663103784
LLM-Lasso (LLM),LLM-Lasso,ExtraTrees-R,regression,6,0.5471698113207547,0.5817406117350928,0.5064583959146891,0.9811320754716981,0.6415094339622641,-0.28290150694739763,-0.2543955034851687,0.7547169811320755,1.0188679245283019,0.26667022242499727,0.24290708631737631,0.9433962264150944,0.8297872340425532,0.8820594603952702,0.7915341511952724,0.9583333333333334,0.8654285447416072
LLM-Lasso (LLM),LLM-Lasso,MLP-R,regression,6,0.5849056603773585,0.5498073400900818,0.5564351956570912,0.9433962264150944,0.7169811320754716,-0.2721343499953433,-0.2572944391642285,0.6981132075471698,1.169811320754717,0.2712516958185933,0.25412765212531124,0.9056603773584906,0.7872340425531915,0.8469815736900453,0.8575941126841663,0.875,0.8417024322318508
LLM-Lasso (LLM),LLM-Lasso,LogisticReg,classifier,6,0.4528301886792453,0.5853308744206067,0.5578727841501564,0.9245283018867925,0.660377358490566,-0.2694681618724471,-0.2612849612358095,0.6792452830188679,1.0943396226415094,0.27627735002939674,0.26256738053272666,0.9056603773584906,0.9361702127659575,0.8860032726398928,0.859494335206982,0.8333333333333334,0.8787502884865415
LLM-Lasso (LLM),LLM-Lasso,LDA,classifier,6,0.4339622641509434,0.6356214679123846,0.610901001112347,0.9433962264150944,0.7358490566037735,-0.26116657086903927,-0.25142216655577354,0.6415094339622641,1.169811320754717,0.26499297548613576,0.25396404222829433,0.8490566037735849,0.9574468085106383,0.9412462104902244,0.9295876982955137,0.875,0.9258201793240941
LLM-Lasso (LLM),LLM-Lasso,QDA,classifier,6,1.2830188679245282,,0.0,0.5471698113207547,1.0566037735849056,,0.0,0.41509433962264153,1.528301886792453,,0.0,0.6792452830188679,0.0,,0.12209108356592262,0.0,0.04069702785530754
LLM-Lasso (LLM),LLM-Lasso,NaiveBayes,classifier,6,0.7924528301886793,-0.22124517223058007,-0.09236641221374042,0.9245283018867925,0.5849056603773585,-0.24924275311659252,-0.12498695437249514,0.8867924528301887,0.9056603773584906,0.2550197141764915,0.12742198327723547,1.0,0.553191489361702,0.0,0.0,0.8333333333333334,0.3466312056737588
LLM-Lasso (LLM),LLM-Lasso,DecisionTree,classifier,6,0.5471698113207547,0.4895461106519009,0.47167517627036226,0.8867924528301887,0.7169811320754716,-0.25858913595948885,-0.24520052164869455,0.660377358490566,1.1320754716981132,0.2782619187773238,0.26550619304891265,0.8867924528301887,0.8297872340425532,0.7807861458476145,0.7455572546751366,0.7500000000000001,0.7765326586413261
LLM-Lasso (LLM),LLM-Lasso,RandomForest-C,classifier,6,0.5094339622641509,0.5348478360477928,0.5127950310559006,0.9056603773584906,0.6792452830188679,-0.28038433149913333,-0.2668413945241629,0.660377358490566,1.1132075471698113,0.2726407744153671,0.25906609499006844,0.8867924528301887,0.8723404255319149,0.8305489389824222,0.7999099950979474,0.7916666666666667,0.8236165065697378
LLM-Lasso (LLM),LLM-Lasso,SVM(rbf),classifier,6,0.5094339622641509,0.47832028687908423,0.48381152934982896,0.9056603773584906,0.660377358490566,-0.2609997727357064,-0.25834893010488835,0.6792452830188679,1.0754716981132075,0.2627731925449756,0.25062886909538873,0.8867924528301887,0.8723404255319149,0.7684548639528825,0.7615992385792195,0.7916666666666667,0.7985152986826709
LLM-Lasso (LLM),LLM-Lasso,KNN-clf(k=5),classifier,6,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.9433962264150944,0.6792452830188679,-0.26977120658209797,-0.2623631193087729,0.6792452830188679,1.0943396226415094,0.25280377444867885,0.2444008223238184,0.8867924528301887,1.0,0.9455662263268668,0.9555189858883325,0.875,0.9440213030537998
LLM-Lasso (LLM),LLM-Lasso,GradBoost-C,classifier,6,0.49056603773584906,0.6102131379426858,0.5578727841501564,0.9433962264150944,0.660377358490566,-0.27572467406641327,-0.26222918906364007,0.6792452830188679,1.0943396226415094,0.27193447912086044,0.26082437739932723,0.9056603773584906,0.8936170212765957,0.9133358062587398,0.859494335206982,0.875,0.8853617906855794
LLM-Lasso (LLM),LLM-Lasso,XGBoost-C,classifier,6,0.5849056603773585,0.3867303559194933,0.3496118206862009,0.8679245283018868,0.6981132075471698,-0.27888420199819824,-0.274488794943305,0.660377358490566,1.1132075471698113,0.2659172024815736,0.25459297619857435,0.8867924528301887,0.7872340425531915,0.6678456543092528,0.5842123784394239,0.7083333333333334,0.6869063521588004
LLM-Lasso (LLM),LLM-Lasso,MLP-C,classifier,6,0.49056603773584906,0.5539771125020237,0.531948051948052,0.9245283018867925,0.6792452830188679,-0.2762224440384339,-0.262774304869949,0.6792452830188679,1.0943396226415094,0.26969781780621743,0.26107124238073165,0.8867924528301887,0.8936170212765957,0.85156196262979,0.8252266986294464,0.8333333333333334,0.8509347539672915
LLM-Lasso (LLM),LLM-Lasso,ExtraTrees-C,classifier,6,0.4528301886792453,0.6766449591016254,0.6304780876494024,0.9622641509433962,0.6981132075471698,-0.2794341336001813,-0.26680186841262016,0.660377358490566,1.1132075471698113,0.24765706957247557,0.24350523834765492,0.8867924528301887,0.9361702127659575,0.9863094721624368,0.9554649371216999,0.9166666666666667,0.9486528221791903
LLM-Lasso (LLM),LLM-Lasso,Bagging-C,classifier,6,0.4339622641509434,0.6377481518738849,0.6137220407137471,0.9433962264150944,0.6981132075471698,-0.2611147107318969,-0.25999145738065815,0.660377358490566,1.1132075471698113,0.2720461661823227,0.25431781822646726,0.8867924528301887,0.9574468085106383,0.9435823187314537,0.9333165838661722,0.875,0.927336427777066
