FS_Method,Classifier,N_Features,Category,MAE,Spearman,Kappa,AAcc,MAE_CI_lo,MAE_CI_hi,Spearman_CI_lo,Spearman_CI_hi,Kappa_CI_lo,Kappa_CI_hi,AAcc_CI_lo,AAcc_CI_hi,norm_MAE,norm_Spearman,norm_Kappa,norm_AAcc,Composite
Pearson,KNN-reg(k=5),8,filter,0.5283018867924528,0.6029332787507412,0.517010935601458,0.9811320754716981,0.37735849056603776,0.6792452830188679,0.41831508841207987,0.7470447433469566,0.38526192068319826,0.6331656950384743,0.9433962264150944,1.0,0.3846153846153846,0.61956890737727,0.581884637460309,1.0,0.6465172323632409
Pearson,SVR(rbf),8,filter,0.5660377358490566,0.45335527604218345,0.33618984838497035,0.9622641509433962,0.39622641509433965,0.7358490566037735,0.23731095245056708,0.651037356495876,0.1561159675919238,0.5391381364798884,0.9056603773584906,1.0,0.23076923076923073,0.15994656341248029,0.02834860530925759,0.5,0.22976609987274216
Pearson,RandomForest-R,8,filter,0.5283018867924528,0.5370640176460664,0.4410019775873434,0.9622641509433962,0.37735849056603776,0.6981132075471698,0.3230880752995239,0.7085529550058339,0.27511158377323985,0.5763081395348837,0.9056603773584906,1.0,0.3846153846153846,0.417166257014649,0.3492032744913084,0.5,0.41274622903033553
Spearman,KNN-reg(k=5),8,filter,0.4716981132075472,0.6315217135570302,0.5074010327022376,0.9811320754716981,0.32075471698113206,0.6226415094339622,0.46903375760816685,0.7728059450777371,0.39036356075343126,0.623170564268247,0.9433962264150944,1.0,0.6153846153846154,0.7074152696632626,0.5524664561957383,1.0,0.7188165853109041
Spearman,SVR(rbf),8,filter,0.4528301886792453,0.6576031146600616,0.5218598195697433,0.9811320754716981,0.32075471698113206,0.6037735849056604,0.4972616970707361,0.7785834888938252,0.40446295139520355,0.6244300276337804,0.9433962264150944,1.0,0.6923076923076923,0.7875580345871808,0.5967282159028608,1.0,0.7691484856994335
Spearman,RandomForest-R,8,filter,0.5283018867924528,0.5443808182722555,0.44485520640788656,0.9433962264150944,0.37735849056603776,0.6981132075471698,0.2977087778928106,0.7349696588074798,0.25630555025893326,0.595169256546011,0.8679245283018868,1.0,0.3846153846153846,0.43964927586257796,0.3609989174947151,0.0,0.2963158944931694
Kendall,KNN-reg(k=5),8,filter,0.49056603773584906,0.6297939968039377,0.53625,0.9811320754716981,0.33962264150943394,0.6415094339622641,0.45591943166719456,0.7612095099963748,0.40802982119957054,0.6520366514076369,0.9433962264150944,1.0,0.5384615384615384,0.7021063525137878,0.6407799551104975,1.0,0.720336961521456
Kendall,SVR(rbf),8,filter,0.49056603773584906,0.5933058284111752,0.4410019775873434,0.9811320754716981,0.33962264150943394,0.660377358490566,0.4056203389101089,0.7596348270016169,0.26274620356786543,0.6214353268073824,0.9433962264150944,1.0,0.5384615384615384,0.5899857386536059,0.3492032744913084,1.0,0.6194126379016132
Kendall,RandomForest-R,8,filter,0.49056603773584906,0.6326316189723433,0.53625,0.9811320754716981,0.3584905660377358,0.6415094339622641,0.46713500172817174,0.7676247521615501,0.40686833426228114,0.6495640580140565,0.9433962264150944,1.0,0.5384615384615384,0.710825780027941,0.6407799551104975,1.0,0.7225168183999943
Mutual Info,KNN-reg(k=5),8,filter,0.5660377358490566,0.5492619966744976,0.4943883277216611,0.9622641509433962,0.41509433962264153,0.7169811320754716,0.35458883655001067,0.7044488096431497,0.3337275373630751,0.6286857896532277,0.9056603773584906,1.0,0.23076923076923073,0.4546481300919671,0.5126314945030417,0.5,0.42451221384105986
Mutual Info,SVR(rbf),8,filter,0.5471698113207547,0.5451189041500096,0.4543341082696779,0.9811320754716981,0.41509433962264153,0.6981132075471698,0.35825387169793116,0.7026810444009496,0.32088586126022234,0.562761307684769,0.9245283018867925,1.0,0.3076923076923077,0.44191726149574395,0.3900160736599323,1.0,0.534906410711996
Mutual Info,RandomForest-R,8,filter,0.4716981132075472,0.6077343829677371,0.4816188870151771,0.9622641509433962,0.32075471698113206,0.6226415094339622,0.3870761816019353,0.7746018254766364,0.3107407362727602,0.6238013670954273,0.9056603773584906,1.0,0.6153846153846154,0.6343217101549249,0.47354122217770883,0.5,0.5558118869293123
