,Gemini3_flash_fewshot,Gemini3_flash_zeroshot,deepseek-r1_32b_fewshot_llmalassov2_old,deepseek-r1_32b_fewshot_llmlasso,deepseek-r1_32b_fewshot_llmlasso_amplitude,deepseek-r1_32b_fewshot_llmlassov2_amplitude,deepseek-r1_32b_fewshot_v1_freq4,deepseek-r1_32b_fewshot_v2_freq4,deepseek-r1_32b_zeroshot_llmalassov2_old,deepseek-r1_32b_zeroshot_llmlasso,deepseek-r1_32b_zeroshot_llmlasso_amplitude,deepseek-r1_32b_zeroshot_llmlassov2_amplitude
Gemini3_flash_fewshot,1.0,0.0020217061601929603,0.04912933177517805,0.7495306669577655,0.4327430857397942,0.20483478586787635,0.8906908896753045,0.5864626642905872,0.30419545649146373,0.20483478586787635,0.20483478586787635,0.5864626642905872
Gemini3_flash_zeroshot,0.0020217061601929603,1.0,0.004158938380883257,2.84723725456573e-05,0.0020217061601929603,0.015517958259340086,0.00017916163885718875,0.0082023505653586,0.04912933177517805,0.08228855958932806,4.064621397164861e-07,0.00041991009107145
deepseek-r1_32b_fewshot_llmalassov2_old,0.04912933177517805,0.004158938380883257,1.0,0.015517958259340086,0.8906908896753045,0.9999979398784924,0.04912933177517805,0.8906908896753045,0.8906908896753045,0.8906908896753045,0.0009416165678523157,0.13244207792966609
deepseek-r1_32b_fewshot_llmlasso,0.7495306669577655,2.84723725456573e-05,0.015517958259340086,1.0,0.30419545649146373,0.08228855958932806,0.9999999999999987,0.20483478586787635,0.30419545649146373,0.13244207792966609,0.9985346755123363,0.5864626642905872
deepseek-r1_32b_fewshot_llmlasso_amplitude,0.4327430857397942,0.0020217061601929603,0.8906908896753045,0.30419545649146373,1.0,0.9999979398784924,0.5864626642905872,0.9746681076088753,0.8906908896753045,0.7495306669577655,0.04912933177517805,0.8906908896753045
deepseek-r1_32b_fewshot_llmlassov2_amplitude,0.20483478586787635,0.015517958259340086,0.9999979398784924,0.08228855958932806,0.9999979398784924,1.0,0.20483478586787635,0.9999979398784924,0.9999979398784924,0.9985346755123363,0.0082023505653586,0.4327430857397942
deepseek-r1_32b_fewshot_v1_freq4,0.8906908896753045,0.00017916163885718875,0.04912933177517805,0.9999999999999987,0.5864626642905872,0.20483478586787635,1.0,0.4327430857397942,0.4327430857397942,0.30419545649146373,0.8906908896753045,0.7495306669577655
deepseek-r1_32b_fewshot_v2_freq4,0.5864626642905872,0.0082023505653586,0.8906908896753045,0.20483478586787635,0.9746681076088753,0.9999979398784924,0.4327430857397942,1.0,0.9985346755123363,0.9746681076088753,0.028177314038713416,0.7495306669577655
deepseek-r1_32b_zeroshot_llmalassov2_old,0.30419545649146373,0.04912933177517805,0.8906908896753045,0.30419545649146373,0.8906908896753045,0.9999979398784924,0.4327430857397942,0.9985346755123363,1.0,0.9999999999999987,0.04912933177517805,0.5864626642905872
deepseek-r1_32b_zeroshot_llmlasso,0.20483478586787635,0.08228855958932806,0.8906908896753045,0.13244207792966609,0.7495306669577655,0.9985346755123363,0.30419545649146373,0.9746681076088753,0.9999999999999987,1.0,0.015517958259340086,0.5864626642905872
deepseek-r1_32b_zeroshot_llmlasso_amplitude,0.20483478586787635,4.064621397164861e-07,0.0009416165678523157,0.9985346755123363,0.04912933177517805,0.0082023505653586,0.8906908896753045,0.028177314038713416,0.04912933177517805,0.015517958259340086,1.0,0.5864626642905872
deepseek-r1_32b_zeroshot_llmlassov2_amplitude,0.5864626642905872,0.00041991009107145,0.13244207792966609,0.5864626642905872,0.8906908896753045,0.4327430857397942,0.7495306669577655,0.7495306669577655,0.5864626642905872,0.5864626642905872,0.5864626642905872,1.0
