Model,is_baseline,MAE,MAE_CI_lo,MAE_CI_hi,MAE_fmt,Spearman,Spearman_CI_lo,Spearman_CI_hi,Spearman_fmt,Kappa,Kappa_CI_lo,Kappa_CI_hi,Kappa_fmt,Acc,Acc_CI_lo,Acc_CI_hi,Acc_fmt,AAcc,AAcc_CI_lo,AAcc_CI_hi,AAcc_fmt,ICC,WD,Stability,ACC_Tan,Recall_Tan,ACC_Chien,Recall_Chien,ACC_Consensus,Recall_Consensus,Bin_ACC,Bin_Recall,Bin_Precision,Bin_F1,AUC,CompositeScore
Gemini3_flash_fewshot,False,0.7735849056603774,0.5660377358490566,0.9811320754716981,"0.77 [0.57, 0.98]",0.39735602377714435,0.09883404995422396,0.6311928758662395,"0.40 [0.10, 0.63]",0.39434064937420643,0.1047822358684168,0.6104353746603062,"0.39 [0.10, 0.61]",0.39622641509433965,0.2641509433962264,0.5283018867924528,"0.40 [0.26, 0.53]",0.8679245283018868,0.7735849056603774,0.9433962264150944,"0.87 [0.77, 0.94]",0.4111195158850225,0.3207547169811321,0.14816057264468582,0.4716981132075472,0.47011494252873565,0.4528301886792453,0.33350877192982453,0.39622641509433965,0.45401069518716586,0.8490566037735849,0.9512195121951219,0.8666666666666667,0.9069767441860465,0.6971544715447154,0.602630233436748
Gemini3_flash_zeroshot,False,0.660377358490566,0.4716981132075472,0.8679245283018868,"0.66 [0.47, 0.87]",0.4947610142572468,0.2384575235647127,0.6962260808469101,"0.49 [0.24, 0.70]",0.3694725028058361,0.18164839615793296,0.5622680584441736,"0.37 [0.18, 0.56]",0.49056603773584906,0.3584905660377358,0.6226415094339622,"0.49 [0.36, 0.62]",0.8679245283018868,0.7735849056603774,0.9433962264150944,"0.87 [0.77, 0.94]",0.4710933028048084,0.5849056603773586,0.3310580764563105,0.49056603773584906,0.3727969348659004,0.4716981132075472,0.3257894736842105,0.49056603773584906,0.34910873440285206,0.7735849056603774,0.7317073170731707,0.967741935483871,0.8333333333333334,0.8414634146341463,0.6267709742091957
deepseek-r1_32b_fewshot_llmalassov2_old,False,0.3584905660377358,0.22641509433962265,0.49056603773584906,"0.36 [0.23, 0.49]",0.7100959582081608,0.5398744605296292,0.8321680476845462,"0.71 [0.54, 0.83]",0.682815616984896,0.529111063003882,0.8123905661390337,"0.68 [0.53, 0.81]",0.660377358490566,0.5283018867924528,0.7924528301886793,"0.66 [0.53, 0.79]",0.9811320754716981,0.9433962264150944,1.0,"0.98 [0.94, 1.00]",0.6845714285714284,0.28301886792452824,0.4696053543918052,0.660377358490566,0.46704980842911875,0.5283018867924528,0.4195614035087719,0.660377358490566,0.5946524064171123,0.8867924528301887,1.0,0.8723404255319149,0.9318181818181818,0.8536585365853658,0.9279237467016448
deepseek-r1_32b_fewshot_llmlasso,False,0.7358490566037735,0.5849056603773585,0.9056603773584906,"0.74 [0.58, 0.91]",0.5102503463310686,0.26998646448168206,0.6986292055549913,"0.51 [0.27, 0.70]",0.48136581303352066,0.2856369854406648,0.62070632534671,"0.48 [0.29, 0.62]",0.33962264150943394,0.20754716981132076,0.4716981132075472,"0.34 [0.21, 0.47]",0.9245283018867925,0.8490566037735849,0.9811320754716981,"0.92 [0.85, 0.98]",0.530032095369097,0.43396226415094336,0.40680743447646606,0.4528301886792453,0.4116858237547893,0.41509433962264153,0.33464912280701753,0.33962264150943394,0.3915329768270945,0.7735849056603774,0.975609756097561,0.7843137254901961,0.8695652173913043,0.6697154471544715,0.6910542143951828
deepseek-r1_32b_fewshot_llmlasso_amplitude,False,0.5471698113207547,0.39622641509433965,0.6985849056603748,"0.55 [0.40, 0.70]",0.5057750184116996,0.24719227255125728,0.6960789074472928,"0.51 [0.25, 0.70]",0.5451235370611183,0.29228119404424596,0.6985244748785435,"0.55 [0.29, 0.70]",0.49056603773584906,0.3584905660377358,0.6226415094339622,"0.49 [0.36, 0.62]",0.9622641509433962,0.9056603773584906,1.0,"0.96 [0.91, 1.00]",0.5521601685985245,0.32075471698113206,0.4339585950460841,0.5849056603773585,0.47681992337164747,0.4716981132075472,0.37236842105263157,0.49056603773584906,0.48475935828877004,0.8301886792452831,1.0,0.82,0.9010989010989011,0.7388211382113821,0.8016288728354155
deepseek-r1_32b_fewshot_llmlassov2_amplitude,False,0.49056603773584906,0.3584905660377358,0.6226415094339622,"0.49 [0.36, 0.62]",0.5851984292786158,0.3901376069525053,0.7399215044524772,"0.59 [0.39, 0.74]",0.566841798015178,0.38644253588364913,0.7062277140409777,"0.57 [0.39, 0.71]",0.5283018867924528,0.39622641509433965,0.660377358490566,"0.53 [0.40, 0.66]",0.9811320754716981,0.9433962264150944,1.0,"0.98 [0.94, 1.00]",0.5675043834015199,0.33962264150943394,0.42633536812512024,0.6037735849056604,0.3906130268199234,0.4716981132075472,0.3562280701754386,0.5283018867924528,0.5131907308377897,0.8490566037735849,1.0,0.8367346938775511,0.9111111111111111,0.7886178861788617,0.8414491119120647
deepseek-r1_32b_fewshot_v1_freq4,False,0.660377358490566,0.49056603773584906,0.8301886792452831,"0.66 [0.49, 0.83]",0.6386945027747931,0.43133291451865696,0.79819798239796,"0.64 [0.43, 0.80]",0.582384871300998,0.4101018336865923,0.715444913094199,"0.58 [0.41, 0.72]",0.4339622641509434,0.3018867924528302,0.5660377358490566,"0.43 [0.30, 0.57]",0.9056603773584906,0.8301886792452831,0.9811320754716981,"0.91 [0.83, 0.98]",0.6216822429906542,0.3584905660377359,0.3635885970656009,0.3018867924528302,0.3480842911877394,0.39622641509433965,0.3114035087719298,0.4339622641509434,0.4646167557932264,0.8301886792452831,0.9512195121951219,0.8478260869565217,0.896551724137931,0.8373983739837398,0.740428740815256
deepseek-r1_32b_fewshot_v2_freq4,False,0.5283018867924528,0.376886792452831,0.6792452830188679,"0.53 [0.38, 0.68]",0.6127934594883683,0.3833594884503672,0.7873028156332147,"0.61 [0.38, 0.79]",0.642495784148398,0.42872296011591615,0.7811595768739854,"0.64 [0.43, 0.78]",0.5094339622641509,0.37735849056603776,0.6415094339622641,"0.51 [0.38, 0.64]",0.9622641509433962,0.9056603773584906,1.0,"0.96 [0.91, 1.00]",0.642495784148398,0.15094339622641506,0.437425154570765,0.4528301886792453,0.46321839080459776,0.5283018867924528,0.4141228070175439,0.5094339622641509,0.5210338680926917,0.8490566037735849,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.8780487804878049,0.8464802043351486
deepseek-r1_32b_zeroshot_llmalassov2_old,False,0.6226415094339622,0.4716981132075472,0.7735849056603774,"0.62 [0.47, 0.77]",0.3653284503438073,0.10644066962686968,0.5920018302591192,"0.37 [0.11, 0.59]",0.35173553719008266,0.12580856832595122,0.5231456691093593,"0.35 [0.13, 0.52]",0.41509433962264153,0.2830188679245283,0.5660377358490566,"0.42 [0.28, 0.57]",0.9622641509433962,0.9056603773584906,1.0,"0.96 [0.91, 1.00]",0.351851851851852,0.3962264150943396,0.5267893640135897,0.5849056603773585,0.29061302681992335,0.2830188679245283,0.18964912280701754,0.41509433962264153,0.24723707664884137,0.8113207547169812,1.0,0.803921568627451,0.8913043478260869,0.6900406504065041,0.7010910415655197
deepseek-r1_32b_zeroshot_llmlasso,False,0.6792452830188679,0.5094339622641509,0.8490566037735849,"0.68 [0.51, 0.85]",0.17466121914367164,-0.11676059953138385,0.434150104894217,"0.17 [-0.12, 0.43]",0.15014577259475204,-0.08443240164707408,0.3313183192723592,"0.15 [-0.08, 0.33]",0.39622641509433965,0.2641509433962264,0.5283018867924528,"0.40 [0.26, 0.53]",0.9245283018867925,0.8490566037735849,0.9811320754716981,"0.92 [0.85, 0.98]",0.15102639296187695,0.5283018867924529,0.5602150896773199,0.5849056603773585,0.2390804597701149,0.3584905660377358,0.22894736842105265,0.39622641509433965,0.23101604278074866,0.7735849056603774,1.0,0.7735849056603774,0.8723404255319149,0.5182926829268293,0.574915896088004
