Model,WD_overall,n_0,WD_0,n_1,WD_1,n_2,WD_2,n_3,WD_3,n_4,WD_4
Gemini3_flash_fewshot,0.3207547169811321,12,1.0,17,0.5294117647058824,22,0.8636363636363636,1,,1,
Gemini3_flash_zeroshot,0.5849056603773586,12,0.08333333333333337,17,0.35294117647058826,22,1.0909090909090908,1,,1,
deepseek-r1_32b_fewshot_llmalassov2_old,0.28301886792452824,12,0.5,17,0.11764705882352944,22,0.4090909090909091,1,,1,
deepseek-r1_32b_fewshot_llmlasso,0.43396226415094336,12,1.25,17,0.3529411764705882,22,0.7727272727272727,1,,1,
deepseek-r1_32b_fewshot_llmlasso_amplitude,0.32075471698113206,12,0.9166666666666666,17,0.23529411764705888,22,0.5909090909090908,1,,1,
deepseek-r1_32b_fewshot_llmlassov2_amplitude,0.33962264150943394,12,0.6666666666666667,17,0.17647058823529416,22,0.5909090909090908,1,,1,
deepseek-r1_32b_fewshot_v1_freq4,0.3584905660377359,12,0.6666666666666666,17,0.5294117647058824,22,0.7727272727272727,1,,1,
deepseek-r1_32b_fewshot_v2_freq4,0.15094339622641506,12,0.33333333333333337,17,0.47058823529411764,22,0.6818181818181818,1,,1,
deepseek-r1_32b_zeroshot_llmalassov2_old,0.3962264150943396,12,0.9166666666666667,17,0.2941176470588235,22,0.6363636363636364,1,,1,
deepseek-r1_32b_zeroshot_llmlasso,0.5283018867924529,12,1.1666666666666665,17,0.11764705882352944,22,0.7272727272727273,1,,1,
deepseek-r1_32b_zeroshot_llmlasso_amplitude,0.6415094339622641,12,1.75,17,0.8235294117647058,22,0.18181818181818182,1,,1,
deepseek-r1_32b_zeroshot_llmlassov2_amplitude,0.3018867924528302,12,1.0,17,0.4117647058823529,22,0.2727272727272727,1,,1,
