Frame,X_thumb,Y_thumb,X_index,Y_index
0,207,229,153,137
1,209,231,151,135
2,211,233,150,133
3,214,236,149,132
4,217,238,148,131
5,220,241,148,129
6,223,243,147,128
7,226,246,147,127
8,229,248,147,127
9,232,250,147,126
10,234,251,147,126
11,236,252,147,125
12,237,253,148,125
13,240,255,148,125
14,241,256,149,125
15,243,257,149,124
16,245,257,150,124
17,247,258,150,124
18,248,259,151,124
19,250,260,151,124
20,251,260,152,124
21,253,261,153,124
22,254,261,153,124
23,255,262,153,124
24,256,262,154,124
25,257,263,155,124
26,257,263,155,125
27,259,264,155,125
28,259,264,156,125
29,261,264,156,125
30,261,264,157,125
31,262,265,157,125
32,263,264,157,125
33,264,264,157,125
34,264,264,158,125
35,265,264,158,125
36,265,264,158,125
37,265,264,158,124
38,265,264,158,124
39,265,264,158,124
40,265,264,158,124
41,265,264,158,124
42,265,264,158,124
43,264,264,158,124
44,264,264,158,124
45,264,264,158,124
46,264,264,157,124
47,264,264,157,124
48,264,264,157,124
49,264,264,157,124
50,264,264,157,124
51,264,264,157,124
52,264,264,157,124
53,264,264,157,124
54,264,264,157,124
55,264,264,157,124
56,265,264,157,124
57,265,264,157,124
58,265,264,157,124
59,265,264,157,124
60,266,264,157,125
61,266,264,157,125
62,266,265,157,125
63,266,265,157,125
64,266,265,157,125
65,266,265,157,125
66,266,266,157,126
67,266,266,157,126
68,266,266,157,126
69,266,266,157,126
70,266,267,157,126
71,266,266,157,126
72,265,267,157,126
73,265,267,157,126
74,265,267,157,126
75,265,266,157,126
76,265,266,157,126
77,265,266,157,126
78,265,266,157,126
79,265,266,157,126
80,265,266,157,125
81,265,266,157,125
82,265,265,157,125
83,265,265,157,125
84,265,265,157,125
85,265,265,157,125
86,265,265,157,125
87,265,265,157,125
88,265,265,157,125
89,265,265,157,125
90,265,265,156,125
91,265,265,156,125
92,265,265,156,125
93,265,265,156,125
94,265,265,156,125
95,265,265,156,125
96,265,265,156,125
97,264,265,156,125
98,264,265,156,125
99,263,265,156,125
100,263,265,156,125
101,262,264,156,125
102,261,265,156,125
103,260,265,156,125
104,259,265,155,125
105,256,265,155,125
106,255,265,155,125
107,252,264,155,124
108,250,264,155,124
109,246,264,155,123
110,244,264,155,123
111,240,262,155,122
112,238,261,154,122
113,234,260,154,122
114,232,259,154,123
115,228,257,153,123
116,226,256,153,124
117,223,255,153,126
118,221,253,153,128
119,219,252,153,130
120,217,251,153,133
121,216,250,154,137
122,215,249,155,141
123,214,248,156,145
124,214,247,157,148
125,214,246,159,152
126,214,246,160,155
127,213,245,162,159
128,213,245,163,162
129,212,245,165,165
130,212,244,167,167
131,212,243,168,168
132,211,242,169,169
133,210,241,170,170
134,210,240,171,170
135,209,239,172,170
136,209,238,172,170
137,207,237,173,170
138,207,236,173,170
139,206,234,174,169
140,206,233,174,169
141,205,232,174,168
142,204,231,174,168
143,204,230,174,166
144,203,229,173,165
145,202,228,173,164
146,202,227,173,164
147,202,226,173,163
148,201,226,173,162
149,201,225,172,162
150,201,224,172,161
151,200,223,172,161
152,200,223,172,160
153,200,223,172,160
154,200,223,172,160
155,200,222,172,159
156,200,222,172,159
157,200,222,172,159
158,200,222,172,159
159,200,222,172,158
160,200,222,172,158
161,200,222,172,158
162,200,222,173,158
163,200,221,173,158
164,200,221,173,157
165,200,221,173,157
166,200,221,173,157
167,200,220,173,157
168,200,220,173,156
169,200,220,173,156
170,200,220,173,156
171,200,219,173,156
172,200,219,173,156
173,200,219,173,156
174,200,219,173,155
175,200,219,173,156
176,200,219,173,155
177,200,219,173,155
178,200,219,173,155
179,200,219,173,155
180,200,219,173,155
181,199,219,172,155
182,199,219,172,155
183,199,218,172,155
184,199,218,172,155
185,198,218,172,155
186,198,218,172,155
187,198,217,172,154
188,198,216,171,154
189,198,216,171,154
190,198,216,171,153
191,198,216,170,153
192,198,217,170,152
193,199,217,169,151
194,200,218,168,150
195,201,219,167,149
196,201,220,166,148
197,202,221,165,147
198,203,222,164,146
199,204,223,163,144
200,206,224,162,143
201,207,226,161,141
202,208,227,160,140
203,210,228,159,137
204,212,230,158,136
205,213,232,157,133
206,215,234,156,132
207,217,235,156,130
208,218,237,156,128
209,220,238,155,126
210,222,240,155,125
211,223,241,155,123
212,225,242,155,122
213,226,242,155,120
214,227,243,155,119
215,228,244,155,118
216,229,244,155,117
217,230,245,155,116
218,231,245,155,115
219,231,245,155,114
220,232,246,155,113
221,233,245,155,112
222,234,246,155,112
223,235,246,155,111
224,235,247,156,111
225,236,247,156,110
226,237,247,156,110
227,237,247,156,109
228,238,247,156,109
229,238,247,156,109
230,239,248,156,109
231,240,248,156,108
232,241,249,156,108
233,241,248,156,108
234,242,249,156,108
235,242,249,156,108
236,243,249,157,108
237,244,249,157,108
238,244,249,157,108
239,245,249,157,108
240,245,249,158,107
241,245,249,158,107
242,246,249,158,107
243,246,249,158,107
244,246,249,158,107
245,246,249,158,107
246,246,249,158,107
247,247,249,159,107
248,247,249,159,107
249,247,249,159,107
250,248,249,159,107
251,248,249,159,107
252,248,249,158,107
253,247,249,158,107
254,248,249,158,107
255,247,249,158,107
256,247,249,158,107
257,247,249,158,107
258,247,249,158,107
259,247,249,158,107
260,247,249,158,107
261,248,249,158,107
262,248,249,158,107
263,247,249,158,107
264,248,249,158,107
265,248,249,158,107
266,248,249,158,107
267,248,248,158,107
268,248,248,158,107
269,248,248,158,107
270,248,248,158,107
271,248,248,158,107
272,248,249,158,107
273,248,249,158,107
274,248,249,158,107
275,248,249,158,107
276,248,249,157,107
277,248,249,157,107
278,248,249,157,107
279,248,249,157,107
280,248,250,157,108
281,248,250,157,108
282,248,250,157,108
283,248,250,157,108
284,248,250,157,108
285,247,250,157,108
286,247,250,157,108
287,247,250,157,108
288,247,250,157,108
289,247,250,157,108
290,247,250,157,108
291,247,249,157,108
292,247,250,157,107
293,247,249,157,107
294,247,249,157,107
295,247,249,157,107
296,247,249,157,107
297,247,249,157,107
298,247,249,157,107
299,247,249,157,107
300,247,249,157,107
301,247,249,157,107
302,248,249,157,107
303,248,249,157,107
304,248,249,158,107
305,248,249,157,108
306,248,249,158,108
307,248,249,157,108
308,248,249,157,108
309,248,249,158,108
310,248,249,158,108
311,248,249,157,108
312,248,250,158,108
313,248,250,157,109
314,247,250,157,109
315,247,250,157,109
316,246,250,157,110
317,246,250,157,110
318,246,250,157,111
319,245,249,157,111
320,244,249,157,112
321,242,248,157,113
322,241,248,157,115
323,239,247,157,117
324,237,246,157,118
325,235,245,157,121
326,233,245,157,124
327,230,243,157,126
328,228,242,157,130
329,225,240,158,134
330,223,240,158,138
331,220,238,159,142
332,218,237,161,146
333,216,235,162,150
334,214,235,164,154
335,212,234,166,156
336,211,233,168,159
337,210,232,170,161
338,209,232,171,163
339,209,231,172,165
340,208,231,173,165
341,208,232,174,166
342,208,232,174,166
343,208,232,174,167
344,208,232,175,167
345,208,232,175,167
