Frame,X_thumb,Y_thumb,X_index,Y_index
0,160,227,215,146
1,159,226,215,145
2,159,226,215,145
3,159,226,215,144
4,158,226,216,143
5,158,226,216,142
6,157,226,217,141
7,157,226,217,141
8,156,225,217,141
9,156,225,218,140
10,156,225,218,139
11,156,224,218,139
12,156,224,218,138
13,156,224,218,138
14,156,224,219,138
15,156,224,219,137
16,156,224,219,137
17,156,224,219,137
18,156,224,219,136
19,156,224,219,136
20,156,225,219,135
21,156,226,219,135
22,155,227,219,135
23,155,227,219,135
24,154,229,219,134
25,154,230,219,135
26,153,230,219,135
27,153,231,218,136
28,152,233,218,137
29,151,233,218,137
30,150,235,218,138
31,150,236,218,139
32,149,237,218,140
33,148,238,218,141
34,148,239,218,141
35,148,240,218,142
36,148,241,219,143
37,148,242,219,144
38,147,244,219,145
39,147,244,219,145
40,147,245,219,146
41,148,245,219,147
42,148,245,219,148
43,148,246,220,149
44,148,246,219,149
45,148,246,220,151
46,148,246,220,151
47,148,246,220,151
48,148,246,220,151
49,148,246,220,151
50,148,246,220,151
51,148,245,220,151
52,148,245,220,152
53,148,245,219,152
54,148,245,219,152
55,148,245,219,153
56,149,245,219,154
57,149,245,218,155
58,150,245,218,156
59,150,244,217,157
60,151,245,217,159
61,152,244,216,160
62,152,245,215,161
63,152,245,215,163
64,153,245,214,163
65,153,245,213,165
66,153,245,212,166
67,153,245,211,167
68,153,245,210,167
69,154,245,209,168
70,154,245,209,169
71,154,245,208,169
72,154,244,208,169
73,154,244,207,169
74,154,244,206,168
75,155,244,206,168
76,155,244,205,168
77,155,244,205,168
78,155,243,204,168
79,155,243,204,168
80,156,242,203,167
81,156,242,203,167
82,156,241,203,168
83,156,241,202,168
84,156,240,201,168
85,156,239,201,167
86,157,239,201,167
87,157,238,201,167
88,157,238,202,166
89,157,237,202,166
90,157,237,202,166
91,157,236,202,166
92,157,236,202,166
93,158,235,202,166
94,157,235,202,166
95,157,235,202,165
96,157,234,202,165
97,157,234,202,165
98,157,234,202,165
99,157,234,202,164
100,157,233,202,164
101,157,233,202,164
102,157,233,202,164
103,157,233,201,163
104,157,232,201,163
105,157,232,201,163
106,157,232,201,163
107,157,232,201,163
108,158,232,201,163
109,158,232,201,162
110,158,231,201,162
111,158,231,201,162
112,158,231,201,162
113,159,231,201,162
114,159,231,201,162
115,159,231,201,162
116,159,231,202,162
117,160,231,202,162
118,160,230,202,162
119,161,230,202,162
120,161,230,203,162
121,161,230,203,162
122,161,230,203,162
123,162,230,203,161
124,162,230,203,161
125,162,230,203,161
126,162,230,203,161
127,163,230,203,161
128,163,230,203,161
129,163,230,203,161
130,163,230,204,161
131,163,230,204,161
132,163,229,204,161
133,163,230,204,161
134,163,229,204,161
135,163,229,204,161
136,164,229,205,160
137,164,228,205,160
138,164,228,206,159
139,164,228,207,159
140,164,227,208,157
141,164,228,208,156
142,164,227,209,155
143,164,227,210,154
144,164,227,211,153
145,164,227,212,152
146,164,227,213,151
147,164,227,213,150
148,164,227,214,148
149,164,227,214,148
150,164,227,215,147
151,164,227,215,147
152,163,227,216,145
153,163,227,217,145
154,163,227,217,145
155,163,227,217,144
156,164,227,218,144
157,163,227,218,144
158,164,227,218,144
159,164,227,218,144
160,164,227,218,143
161,164,227,218,143
162,163,227,218,142
163,163,227,218,141
164,163,227,218,141
165,163,227,218,141
166,162,228,218,141
167,162,228,218,141
168,162,228,218,141
169,161,229,218,141
170,161,229,218,141
171,160,230,218,141
172,160,230,218,141
173,159,230,218,141
174,159,231,218,141
175,158,231,219,141
176,157,232,219,140
