Frame,X_thumb,Y_thumb,X_index,Y_index
0,143,203,217,169
1,142,202,221,166
2,141,201,225,164
3,141,201,229,161
4,140,201,234,159
5,140,200,238,157
6,139,200,241,155
7,139,200,244,153
8,139,200,248,152
9,138,200,252,150
10,138,200,253,150
11,138,200,257,150
12,138,200,258,149
13,138,200,261,149
14,138,200,262,149
15,138,201,263,149
16,138,201,263,150
17,139,201,265,150
18,138,201,265,150
19,138,202,265,150
20,138,202,266,150
21,138,202,266,150
22,138,202,266,150
23,138,202,266,150
24,137,202,266,150
25,137,202,266,151
26,137,202,266,151
27,137,202,266,151
28,137,203,266,152
29,136,203,265,152
30,136,203,264,152
31,136,203,264,152
32,135,204,263,153
33,135,204,263,153
34,134,204,263,153
35,134,204,263,153
36,134,204,263,153
37,134,205,263,153
38,134,205,262,154
39,133,205,262,154
40,133,205,262,154
41,133,205,262,154
42,133,206,262,154
43,133,206,261,155
44,133,206,261,155
45,133,206,261,155
46,134,206,261,155
47,134,206,260,156
48,134,206,259,156
49,134,206,258,156
50,134,206,256,157
51,135,206,256,158
52,136,206,253,159
53,136,206,252,160
54,136,206,250,161
55,137,206,248,163
56,137,206,245,164
57,138,206,242,165
58,139,206,238,166
59,140,206,235,168
60,140,206,231,169
61,141,207,228,170
62,142,207,224,171
63,143,207,221,172
64,144,208,217,174
65,145,208,215,175
66,147,208,211,176
67,148,208,208,178
68,149,208,205,178
69,150,208,203,180
70,151,208,200,180
71,152,208,198,181
72,151,208,198,181
73,152,209,199,182
74,152,209,199,182
75,152,209,200,182
76,153,209,201,182
77,153,210,202,183
78,153,210,202,183
79,153,210,202,183
80,154,210,202,183
81,154,210,203,183
82,154,210,203,184
83,154,211,203,184
84,154,211,204,184
85,154,211,204,184
86,154,211,204,184
87,154,211,205,185
88,154,211,205,185
89,154,212,205,185
90,154,212,205,185
91,154,212,205,185
92,154,212,205,186
93,154,212,205,186
94,154,212,205,186
95,154,212,205,186
96,153,213,204,187
97,153,213,204,187
98,153,213,204,187
99,153,213,203,188
100,152,214,203,188
101,153,214,203,189
102,152,214,202,189
103,152,215,202,189
104,152,215,202,189
105,152,215,202,189
106,152,216,201,189
107,152,216,201,190
108,152,216,201,190
109,152,216,201,190
110,152,216,201,190
111,152,216,201,190
112,152,216,201,190
113,153,216,202,189
114,153,215,202,189
115,153,215,203,188
116,153,215,203,187
117,155,214,203,186
118,155,213,204,185
119,157,213,205,184
120,157,212,206,182
121,157,211,208,181
