Frame,X_thumb,Y_thumb,X_index,Y_index
0,210,218,154,144
1,209,217,154,143
2,212,219,152,142
3,213,219,151,141
4,216,220,149,139
5,217,220,148,137
6,219,221,147,136
7,219,221,147,135
8,220,221,145,133
9,221,221,145,132
10,221,221,145,130
11,222,221,145,129
12,223,220,144,127
13,223,220,144,126
14,223,220,144,125
15,223,220,144,124
16,224,220,143,122
17,224,219,143,121
18,224,219,142,120
19,224,219,142,119
20,224,219,142,118
21,225,219,141,117
22,225,219,141,116
23,225,219,141,116
24,226,219,141,115
25,226,220,141,114
26,226,220,141,114
27,227,220,141,114
28,227,220,141,113
29,227,221,140,113
30,228,221,140,113
31,228,221,140,113
32,228,221,140,113
33,228,222,140,112
34,228,222,140,112
35,229,222,140,112
36,229,222,140,112
37,229,222,140,112
38,229,222,140,112
39,229,223,140,112
40,229,223,140,112
41,229,223,140,112
42,229,223,140,112
43,229,223,140,112
44,229,223,140,112
45,228,223,140,113
46,228,223,140,113
47,228,223,140,113
48,228,223,141,114
49,227,223,141,114
50,226,223,141,115
51,225,223,141,115
52,225,223,142,115
53,224,223,142,115
54,223,223,142,116
55,223,223,142,117
56,221,223,142,117
57,220,223,143,118
58,219,222,143,119
59,217,222,143,120
60,215,221,143,122
61,213,221,144,124
62,211,220,145,126
63,209,220,145,128
64,207,219,146,130
65,205,218,147,133
66,203,217,149,136
67,201,216,150,138
68,200,215,152,141
69,198,213,154,144
70,196,211,156,147
71,195,210,159,150
72,194,209,162,152
73,194,209,163,152
74,193,208,161,152
75,193,208,159,151
76,193,207,159,151
77,194,207,159,152
78,194,207,159,152
79,194,207,159,152
80,194,207,159,152
81,195,207,159,153
82,195,207,159,153
83,195,208,159,154
84,195,208,159,154
85,195,208,159,154
86,196,207,159,154
87,196,207,159,154
88,196,207,159,154
89,195,207,159,153
90,195,207,158,153
91,195,206,158,153
92,195,206,158,152
93,195,205,158,152
94,195,205,158,151
95,195,204,158,151
96,195,204,158,151
97,195,204,158,150
98,195,203,158,150
99,195,202,158,149
100,195,202,158,149
101,195,202,158,148
102,195,201,158,148
103,195,201,158,148
104,195,201,158,147
105,195,200,158,147
106,195,200,158,147
107,195,200,157,147
108,195,199,157,146
109,194,199,157,146
110,194,199,157,146
111,194,199,157,146
112,194,199,157,145
113,194,198,157,145
114,194,198,157,145
115,194,198,157,145
116,194,198,157,145
117,194,198,157,144
118,194,198,157,144
119,194,198,157,144
120,194,198,157,144
121,194,198,157,144
122,193,198,157,144
123,193,198,157,144
124,193,198,157,144
125,193,199,157,144
126,193,199,157,145
127,193,199,157,145
128,193,199,157,145
129,193,200,157,145
130,193,200,157,145
131,193,200,157,146
132,193,200,157,145
133,192,200,157,145
134,192,200,157,145
135,192,199,157,145
136,192,199,157,144
137,191,199,157,144
138,191,198,157,143
139,191,198,157,142
140,191,198,157,142
141,191,198,157,141
142,191,198,157,141
143,191,198,157,141
144,191,198,157,140
145,191,199,156,140
146,192,200,155,140
147,193,200,154,139
148,194,201,154,138
149,194,202,153,138
150,195,203,152,137
151,196,204,152,136
152,197,205,151,135
153,198,205,150,134
154,199,206,150,133
155,200,207,149,132
156,201,208,149,131
157,201,208,148,130
158,203,209,147,129
159,203,209,147,127
160,204,210,147,125
161,205,211,146,124
162,206,211,145,122
163,206,211,145,121
164,207,211,145,120
165,207,212,144,119
166,208,212,144,118
167,208,213,144,117
168,208,213,144,116
169,209,214,144,116
170,209,214,144,115
171,209,214,143,115
172,209,214,143,114
173,209,214,143,114
174,210,215,142,114
175,210,215,142,114
176,210,215,142,113
177,211,215,142,113
178,211,215,142,113
179,211,216,142,112
180,211,216,142,111
181,211,216,142,111
182,212,216,142,110
183,212,216,142,110
184,212,216,142,109
185,212,216,141,108
186,212,216,141,108
187,213,216,141,107
188,213,216,141,107
189,213,216,141,107
190,213,217,141,107
191,213,217,141,106
192,214,217,141,106
193,214,217,140,106
194,214,217,140,105
195,214,217,140,105
196,215,217,140,105
197,215,217,140,105
198,215,218,140,105
199,215,218,140,105
200,216,218,140,105
201,216,218,140,106
202,216,218,140,106
203,216,218,140,107
204,216,217,140,107
205,216,217,140,108
206,215,216,141,110
207,214,216,141,110
208,213,215,142,112
209,213,215,142,114
210,212,214,144,115
211,210,214,144,117
212,209,213,144,120
213,208,213,145,122
214,207,212,147,125
215,206,212,148,129
216,204,211,150,132
217,204,211,151,134
218,202,210,153,137
219,201,210,154,139
220,201,208,156,141
221,200,208,157,143
222,199,207,159,145
223,197,207,160,146
224,196,206,162,147
225,195,205,162,148
226,195,205,162,148
227,195,205,161,147
228,194,205,161,147
229,194,204,160,147
230,194,204,160,147
231,194,204,160,147
232,194,203,159,147
233,193,204,159,147
234,193,203,159,147
235,193,203,159,147
236,194,203,159,147
237,194,203,159,147
238,194,203,159,147
239,194,203,159,147
240,194,203,159,147
241,194,203,159,147
242,194,203,159,147
243,194,202,159,147
244,194,202,159,147
245,194,202,159,147
246,194,202,159,147
247,195,202,159,147
248,195,202,159,147
249,195,202,159,147
250,195,202,159,147
251,195,201,159,147
252,195,201,159,146
253,195,201,159,146
254,195,200,159,146
255,195,200,159,145
256,195,200,159,145
257,194,200,159,145
258,194,199,159,144
259,194,199,159,144
260,194,199,159,144
261,193,199,159,144
262,193,199,159,144
263,193,199,159,144
264,193,198,159,144
265,193,198,159,144
266,193,198,159,144
267,193,198,159,144
268,193,198,159,144
269,193,198,159,143
270,193,198,159,144
271,193,198,160,143
272,193,198,160,143
273,192,198,160,143
274,193,198,160,143
275,192,198,160,143
276,193,198,161,143
277,193,198,161,143
278,193,197,161,143
279,192,197,161,143
280,192,196,161,143
281,193,196,161,142
282,193,197,161,141
283,194,197,159,140
284,195,199,159,139
285,195,199,158,138
286,197,200,157,137
287,198,201,156,136
288,199,202,154,135
289,200,204,153,134
290,201,204,153,133
291,203,205,151,132
292,204,206,150,131
293,206,208,149,129
294,207,208,149,128
295,208,209,148,127
296,209,210,148,125
297,211,210,147,125
298,211,211,147,123
299,212,211,146,122
300,213,212,146,120
301,214,212,145,119
302,215,212,145,118
303,216,213,144,117
304,216,213,144,116
305,216,213,143,115
306,217,213,143,114
307,217,213,142,113
308,217,214,142,112
309,218,214,142,111
310,218,214,142,111
311,218,214,141,110
312,219,214,141,110
313,219,214,141,108
314,219,214,141,108
315,220,215,141,107
316,220,215,141,107
317,220,215,141,107
318,221,215,141,107
319,221,216,140,107
320,221,216,140,107
321,221,216,140,107
322,222,217,140,107
323,222,217,140,107
324,222,217,140,107
325,223,217,140,107
326,223,218,140,107
327,223,218,140,107
328,223,218,140,107
329,223,218,140,108
330,223,219,140,108
331,223,219,140,109
332,223,219,140,110
333,223,220,140,110
334,223,220,140,111
335,222,220,141,112
336,222,220,140,113
337,221,220,141,115
338,220,220,141,116
339,218,220,141,118
340,216,219,142,120
341,215,219,142,122
342,213,219,143,125
343,212,218,144,127
344,209,217,145,130
345,207,217,145,132
346,205,216,147,134
347,204,215,147,136
348,202,214,149,138
349,201,214,150,140
350,199,213,152,142
351,198,212,154,144
352,197,210,156,147
353,196,209,157,149
354,195,208,160,151
355,195,208,160,152
356,195,207,160,151
357,194,207,158,151
358,194,207,158,151
359,194,207,158,151
360,194,207,158,151
361,194,207,158,151
362,194,207,158,152
363,194,207,158,152
364,194,207,158,152
365,194,207,158,152
366,194,207,158,152
367,194,207,158,152
368,194,207,158,152
369,194,207,158,152
370,194,207,158,152
371,194,206,158,152
372,194,206,158,152
373,194,206,158,152
374,194,206,158,151
375,194,205,158,151
376,194,205,158,151
377,194,204,158,150
378,193,204,158,150
379,194,203,158,149
380,193,203,158,149
381,193,202,158,148
382,193,202,158,148
383,193,201,158,147
384,193,201,158,147
385,193,200,158,146
386,193,200,158,146
387,192,200,158,145
388,192,199,158,145
389,192,199,158,144
390,192,199,158,144
391,192,199,159,144
392,192,199,159,144
393,192,198,159,144
394,192,199,159,144
395,192,199,159,144
396,192,199,159,144
397,192,199,159,144
398,192,200,159,144
399,192,200,160,144
400,192,200,160,144
401,192,200,160,144
402,192,200,160,144
403,192,200,160,144
404,192,200,160,144
405,192,200,160,143
406,192,200,161,143
407,192,199,160,142
408,192,199,161,141
409,191,199,161,140
410,191,198,161,140
411,191,198,161,139
412,192,198,160,139
413,192,199,159,137
414,193,200,158,137
415,194,201,157,136
416,195,202,156,135
417,195,203,155,133
418,196,204,154,133
419,197,205,152,131
420,199,206,151,130
421,200,206,149,129
422,201,207,148,128
423,203,208,147,126
424,203,209,147,124
425,204,209,146,123
426,205,210,145,122
427,206,210,144,120
428,207,210,144,119
429,207,210,144,117
430,208,210,144,116
431,208,210,144,114
432,209,210,143,113
433,209,210,143,112
434,209,210,143,111
435,210,210,142,109
436,210,210,142,109
437,210,210,141,107
438,211,210,141,107
439,211,210,140,106
440,211,210,140,106
441,211,210,140,105
442,211,211,140,105
443,212,211,140,104
444,212,211,140,104
445,212,211,139,104
446,212,211,139,104
447,212,211,139,104
448,213,211,139,104
449,213,211,139,103
450,214,212,139,102
451,214,212,139,102
452,214,212,139,102
453,214,212,139,102
454,215,213,139,101
455,215,213,139,101
456,215,213,138,101
457,216,213,139,101
458,216,213,139,100
459,216,214,139,100
460,216,214,139,101
461,216,214,139,100
462,216,214,139,100
463,217,214,139,101
464,217,214,138,101
465,217,214,138,101
466,217,215,138,101
467,217,215,138,101
468,217,215,138,102
469,217,215,138,102
470,217,215,138,102
471,217,215,139,103
472,216,215,139,103
473,216,215,139,104
474,215,215,139,104
475,215,216,139,104
476,214,216,139,105
477,214,216,139,106
478,213,216,139,106
479,213,216,140,107
480,212,216,140,107
481,212,216,140,107
482,211,216,140,107
483,211,216,140,107
484,211,216,141,108
485,210,216,141,108
486,210,216,141,109
487,209,216,141,109
488,208,215,142,111
489,208,215,142,112
490,207,214,143,114
491,206,214,143,115
492,204,213,143,117
493,203,212,144,119
494,203,212,145,122
495,203,211,145,125
496,201,210,147,128
497,200,210,148,131
498,199,208,150,134
499,198,207,152,137
500,197,207,153,140
501,196,206,155,140
502,195,204,157,143
503,194,204,158,144
504,194,203,159,145
505,193,203,158,144
506,192,203,157,144
507,192,203,156,144
508,193,203,156,145
509,193,203,156,145
510,193,203,156,146
511,193,203,156,146
512,193,204,156,146
513,193,204,156,147
514,193,204,156,147
515,194,204,156,147
516,194,204,156,147
517,194,204,157,148
518,194,204,157,148
519,194,204,157,148
520,194,204,157,148
521,194,204,157,148
522,194,204,157,148
523,194,204,157,148
